ParlaMint-BE_2015-06-30-54-commissie-ic202x.u1	Mrs Claerhout is not here.
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u12	Mr. Chair, I thank the minister for his answers, which correspond to what I expected. I am delighted that the circular was released today, so I did well to ask my question! Given the many mobility problems between Belgium and the Grand Duchy of Luxembourg, telework could be a solution, but I regret that, in view of tax standards, it cannot be implemented. As regards the municipalities concerned by the increase in revenue, I think that the previous revenue will be increased by about 80%. Is a rule of three applicable to adjust the budgetary modification of the forecast revenue?
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u13	How do you say?
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u14	Since it is 30 million instead of 16, can we apply a rule of three to get an estimate?
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u15	[[...]]
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u16	It's a little risky.
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u17	It's a little more complicated than that.
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u18	All right. Thank you, Minister.
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u19	Mr President, Minister, when the rules on VAT and advance invoicing were amended in November 2012, I warned against the negative impact on business cash flow. There should also be a double flow of documents in order to ensure that the advance invoicing is consistent with VAT. In addition, accountants and accountants should keep the financial diary during the busy periods of the VAT return, while before the legislative change was carried out during the calm periods. All these comments were then snowed under the good news of the introduction of electronic invoicing. That was indeed good news. Meanwhile, we are living in 2015 and we are still in a transitional arrangement regarding the advance invoicing. In any case, I am hopeful that you intend to seek workable legislation. According to the decision of 17 April 2015, pending that amendment, the taxpayer is free to choose between the transitional arrangements or the definitive arrangements as laid down in the decision of 7 October 2014. In the transitional arrangement, the supplier may choose between the application of the old legal rules prior to 2013 or the new legal rules with the technique of the payment invitation, decision E.T.123.563 of 19 December 2012 or, third, the new legal rules with the technique of the additional entry on the invoice, namely decision E.T.124.705 of 22 November 2013. The co-contractor should follow that choice as to the deductibility of VAT. This is not the case in that definitive scheme. My questions therefore relate to the freedom of choice between the application of the transitional arrangements and the definitive arrangements and to the consequences when the supplier or service provider and the co-contractor make a different choice. First, if a supplier issues an advance invoice under the transitional arrangements with the indication of value added tax and value added taxApplication of the legislation on payment. Right of deduction arises after payment of the advance payment claim, can the customer apply the tolerance provided for in the final scheme and deduct VAT immediately upon receipt of the invoice? Or should he wait to deduct the VAT until he has paid the invoice? Secondly, if a supplier makes use of the transitional arrangements, he should not indicate a probable date of payment on the advance invoice. Is that advance invoice sufficient to allow the customer to exercise his right to deduct? In the definitive scheme, namely the decision of 7 October 2014, this is not a conform invoice if that invoice is issued more than seven days before the taxable event. Thirdly, why was the administrative decision of 7 October 2014 not repealed? I do not think that this decision is final, since the law will be amended. I have the impression that this window period makes everything more complex. Thank you for your answers.
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u20	According to the decision of 17 April 2015 on invoicing, Ms Wouters, the taxpayer currently has the possibility to apply either the old legal rules prior to 2013 or the new legal rules with an invitation to pay followed by the invoice, or the new legal rules on the basis of only one document, in particular the invoice with an additional indication, or the scheme with suspected due date and window. This is a transitional arrangement pending the entry into force of the new relevant legislation. If a supplier now issues an advance invoice under the transitional arrangements with the indication of the VAT and the debt-to-GDP ratioApplication of the legislation on payment. Right to deduct arises after payment of the advance payment, it is clear that one is in the third situation and the VAT can only be deducted after payment of the advance. If the supplier makes use of the old legal rules prior to 2013, the VAT will be reported separately, the supplier will have to pay the VAT immediately and the customer will be able to deduct the VAT immediately. The administrative decision of 7 October 2014 on the probably due date scheme and window, the fourth situation, was not withdrawn in order to allow those who had already adapted their systems to this scheme to continue to use it until the legislation is re-adapted. In any event, the administration will not criticise when the customer immediately deducts VAT in this situation and does not review this deduction at the end of the third month following the invoice, if the VAT would not have become due at that time.
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u21	Thank you, Minister, for your reply. It all gets so complicated sometimes. I now understand why you have not withdrawn it: a number of companies have already complied with the new regime and have adapted the system. We are therefore pleased to see a final settlement and the new legislation, which I believe is coming. I hope that it will be there as soon as possible, so that we can clarify quickly for the entrepreneurs who all have to comply with it. I thank you for these precise and clear answers to very precise questions.
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u22	Mr Minister, since January 2008, copyright fees, i.e. income from copyrighted work whose income is a remuneration for the assignment or concession of that work, have been explicitly taxed as movable income. This is stated in Article 17, § 1, 5° of the WIB 92. They are therefore not taxed as professional income, in particular below the ceiling of EUR 37 500, not indexed. In addition to this annual ceiling, Article 37 of the WIB 92 applies and, on a case-by-case basis, it will have to be determined whether this is movable income or income related to a professional activity. In the case of mixed contracts, the breakdown of such income shall be by nature, as movable income or as professional income. In so doing, the provisions of the Agreement as laid down in circular No. 36/2014. Despite the clear provision of Article 37 of the WIB 92, certain tax inspectors wish to tax the income from inheritance and copyright concession as professional income. They cite the principle of attraction in terms of managers. In the past, several rulings were granted on the percentage eligible for taxation under Article 17, § 1, 5°. Can these rulings serve as a benchmark for determining a key in the case of mixed contracts? Does the will of the parties prevail in determining a key or not? Once the breakdown has been made, can the principle of attraction, according to Article 32 of the WIB 92, be applied to copyright income falling under the ceiling of the unindexed 37 500 euros? Or is it the type of constraint that prevails here, in particular that if the legislator clearly qualifies the nature of certain income, it cannot have a different nature?
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u23	Mr President, Mrs Wouters, the decisions of the Prior Decisions Department in tax matters are binding only on the applicant and any third parties involved in the application and decision and on the operation described therein. As I have already replied to the oral parliamentary questions by Mrs Smaers and Mr Dedecker in the Committee on Finance and the Budget of 19 November 2014, the agreement concluded by the parties is accepted by the administration in so far as that agreement corresponds to the reality. Tax law is based on that reality. In this respect, it is necessary to examine whether the revenue is actually derived from the assignment or concession of copyright. In so far as it appears that there is a concession or concession of copyright, the possible breakdown between movable income and professional income will be made on the basis of the provisions of the agreement. The principle of attraction does not apply to copyright revenue up to and including the ceiling of EUR 37 500. Such income therefore retains its status as movable income.
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u24	Mr President, Minister, thank you for the clear answer.
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u25	Mr President, Minister, it is the very nature of cooperative societies that they have fixed and variable capital. The fixed part of the capital can only be increased through an amendment of the statutes, which therefore requires notarial intervention. On the other hand, the variable part of the capital may be implemented without any change in the statutes and may fluctuate for the entry or exit of members. Pursuant to Article 34 of the Federal Code of Registration Rights, CVBA's are faced with an annual administrative and fiscal formality. To the extent that a capital increase has been made in specimens in the last year, the registration fee should be paid for this by offering a copy of the balance sheet for recording within four months of the closure of the balance sheet. The intention is that the tax on the net increase in capital in the past year should raise the so-called contribution fee. Since 1 January 2006, that input duty has been increased to 0 % and that rate cannot be increased under Directive 2008/7/EC of 12 February 2008. I come to my specific questions, Minister. Does it still make sense to maintain Article 34 of the Registration Rights Code? Is it not better to abolish this provision, so that CVBAs are freed from this annual recurring and tax unnecessary administrative burden? If not, what is the reason for retaining this provision?
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u26	Mr President, Mrs Wouters, the successive European directives on indirect taxes on the raising of capital and its transposition into Belgian law have not in all cases brought the applicable registration fee to 0 %. A proportionate registration fee is still payable on the contribution by a natural person of an immovable property used or intended for residential use. Therefore, the type of contribution mentioned by you, in particular a contribution of money specifics, cannot be a contribution of a real estate used or intended for residential use. Indeed, as you say, the article in question could be better removed. Immediately, the administrative burden involved will also be eliminated. I have instructed the administration to include this abolition in the draft law on various tax provisions, which will be discussed in Parliament in the autumn.
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u27	Thank you, Minister, for this very positive answer. In any case, we welcome any simplification and any reduction in the administrative burden.
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u28	The question dates back to 13 May and in the meantime we discussed it in committee.
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u29	Mr President, we have already had a lot of discussions on the subject and we will do it again in plenary next week. Mr President, my question concerns a very specific point. I refer to the consultation that was planned and probably has taken place between you and the Flemish Association of Cities and Municipalities. At the time, that association said to consider going to the Constitutional Court, but to wait for consultation with the Minister. Hence my questions. How'd that meeting go? Has it provided any clarification?
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u30	Mr Vanvelthoven, we have indeed had a rather long meeting with the representatives of the VVSG. We have taken note of the various aspects they raised in relation to the problem and, of course, we have discussed them with them. The amended valuation regime for the intercommunals, partnerships, project associations and autonomous municipal companies was further discussed in the government. It is part of the programme law, which you mentioned in your brief introduction and which was discussed for the first time in the Finance Committee on 23 June. Next Monday, the legal text will be discussed for the second time. The reports in committee will be clear on this point. Of course, like my cabinet and my administration, I always remain at my disposal to answer questions about the lack of clarity that would exist in cities and municipalities and to provide them with the appropriate answer.
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u31	I would like to point out, Minister, that there has been no specific adjustment in the course of the consultations? So the texts, as they were drafted, have been incorporated into the programme law?
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u32	In particular, we have made a number of clarifications to the VVSG delegation.
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u33	Fine. Or not fine, but I'll take note of your answer.
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u34	You almost scared me.
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u35	Mr President, I understand that next Monday we will have the second reading of the programme law.
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u36	On Monday afternoon at 2 p.m., we will take the second reading and vote on it.
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u37	Thank you for your reply, Minister.
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u38	Mr Gilkinet apologized because he had to attend another committee.
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u39	Minister, the press reported that the Société fédérale de Participations et d'Investissement (SFPI) had issued a call for tenders to assess the value of the Belgian State's assets. Two business banks would be responsible for this mission. Minister, do you confirm the invitation to tender issued by the SFPI? What assets will be assessed? How and according to what procedure will this mission be supervised? What will the cost be? How long are the results expected?
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u40	Mr President, Mr Dispa, as part of the implementation of the government agreement, with a view to optimising the State shareholding strategy and in view of the objective of further reducing public debt, I have entrusted the SFPI with the task of conducting a financial and strategic analysis of the current holdings of the SFPI portfolio. In the case of BNP Paribas, Belfius, Ethias, Brussels Airport Company, Belgacom-Proximus, bpost and the National Lottery, this study must contain five main elements: the determination of a valuation range on the basis of different methods of valuation in the short and medium term; an analysis of the characteristics of the market concerned; an analysis of the company's strategy in the context of the overall economic policy; an analysis of the company's financial policy, in particular as regards the dividend policy and the financial structure; an analysis of the company's social value, taking into account the interest of all the stakeholders concerned, with particular attention to the aspect of job creation and maintenance. As far as all the other holdings in the SFPI portfolio are concerned, I also expect, and less in detail, proposals to optimize the shareholding strategy. The successful tenderer would have access to non-confidential information in the possession of the SFPI relating to the companies concerned. Where possible, consultation will also be organised with the Chairman of the Management Board, the CEO and/or the CFO of each undertaking concerned. The person in charge of the study should also naturally have an in-depth knowledge of the various sectors. In addition, the entire study will be followed by an accompanying committee composed of the SFPI and representatives of its shareholder. In order to ensure confidentiality and to avoid conflicts of interest, advisers will have to ensure that, in the course of carrying out this mission, any conflict of interest situations are avoided in their own and related companies. Upon acceptance of the mission, the advisers should clearly indicate what action will be taken in this regard. The successful tenderer must accept that, during a period of six months from the filing of the report, no personal assistance may be provided to any buyer or investor in connection with an increase in capital, a redemption of all or part of the holding or a reorganization of the undertaking concerned. As regards the award of the contract, SFPI opted for a negotiated procedure without publicity, in accordance with Article 26, § 1 of the Law of 15 June 2006 on public procurement. SFPI invited 15 investment banks to submit an offer. However, this had to be done in a consortium with local advisors. Both SFPI and I attach great importance to international financial knowledge and to the experience of the investment bank, combined on the one hand with technical knowledge that goes beyond the financial aspect such as accounting and strategic aspects and, on the other hand, with the integration of this knowledge into the specific local situation. On 18 May this process resulted in thirteen consortium offers still under the direction of an international investment bank with one or more local advisers. SFPI reviewed these offers and the consortia were able to explain their offers orally. The entire procedure was conducted at the legal level by the Liedekerke office, the legal adviser of the SFPI. On the basis of quality criteria, working methods and prices, in order of decreasing importance, the procedure resulted in a list of three consortia. In addition, I have requested that the consortium in first place on this list be presented to the Board of Directors of the SFPI as an adviser to be appointed. The Board of Directors of the SFPI then decided, on Monday 1 June, to award the contract to the consortium composed of Nomura and Leonardo for a fixed amount of €800,000 excluding VAT but all other charges included. The consortium's mission begins immediately and is due to end no later than 1 November 2015.
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u41	Minister, thank you for your full answer. Can you repeat the names of the organizations concerned?
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u42	There are two parts. There is a very in-depth study of BNP Paribas, Belfius, Ethias, Brussels Airport Company, Belgacom-Proximus, bpost and Loterie Nationale. For others, there will be a less in-depth analysis.
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u43	Mr President, Mr Minister, like many colleagues in this House and in this committee in particular, I have been questioned by FPS Finance officials who express concern for their future and for the future of their department. They consider that their working and status conditions no longer permit them to carry out their public service tasks. On January 21 of this year, I asked you about the demotivation of the FPS Finance staff that had been revealed by a satisfaction survey. You said: "The results are currently being analysed. Working groups will be set up. It is crucial that field staff participate in interpreting results and identifying areas for improvement as a matter of priority." Minister, how do you respond to the concerns of FPS Finance staff? What follow-up did you give to the fall 2014 satisfaction survey? What are your department's objectives for staff reductions throughout the legislature? Finally, have you estimated the loss of revenue associated with the decrease in the number of controls?
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u44	Mr President, Mr Minister, without going back to what has already been mentioned by my colleague Dispa, a number of e-mails are circulating, citing the difficulties encountered by some officials in your department because of the significant decrease in the number of agents. We're talking about a decrease of almost 5,000 people in six or seven years. This situation may seem paradoxical for a service that brings money into the State funds and that is needed in the fight against tax fraud. Minister, my questions are very simple. Is the reduction of staff members within your department an organizational problem or the effectiveness of your services and the missions entrusted to them? In a crucial period - including the filling of statements - should we fear difficulties?
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u45	Mr President, I shall first answer Mr Dispa's questions. The results of the survey to which Mr Dispa refers do indeed show that we need to raise deficits in several areas. In terms of accountability and recognition, the establishment of a network of regional escorts allows employees to feel more involved in the policy set up by the FPS Finance. Training courses on various subjects are frequently organised in Brussels and in the Regions. In the area of well-being and diversity as well, various preventive and accompanying actions are carried out around current topics such as health or stress. In terms of career, attracting and retaining motivated talent is one of the department's most important challenges. Career accompaniment and internal coaching are developing within the Finance FPS. Several escorts are being trained at the moment. The aim is to support employees who wish to give their careers a new look or to help them evolve in their current position. Providing support to acquire or strengthen the necessary skills makes it possible to optimally propagate talent within the FPS and contributes to the motivation of employees. In order to improve the internal communication in force, 19 focus groups were organized across the country during January and February by FPS Finance communicators. For several hours, groups of collaborators composed by representative sampling were able to express themselves. Many lessons have been learned and the full results have been presented. A follow-up committee has been set up. The organizational culture is largely based on our leaders. By investing more and more in leadership, we want to raise awareness among leaders of these different roles. Their job is to distribute the objectives of their team among the employees and to ensure that these objectives are achieved, while cultivating a good working atmosphere while ensuring that everyone is motivated. As a key figure, they are both the voice of their collaborators in the hierarchy and the political ambassadors in place to their staff. The final improvement plan, following the satisfaction survey, is planned for this summer for the FPS as a whole. Actions will be cross-cutting, sometimes specific, sometimes local. The downsizing of the FPS Finances is not in itself an objective of the FPS Finances. The Department is governed by staff management rules on the basis of provisions of the civil service. It should be stressed that if the total staff of the department declines, it is useful to make the connection with the retirements of staff of the age of retirement. In addition, entry into service is carried out on the basis of the requirements set out in the staff plan and within the budget allocated to the department for recruitment. In 2015, 1,473 recruitments will continue to be carried out by the Finance FPS. A downsizing within the department does not automatically mean a reduction in the department's capacity to establish or collect taxes. The Department of Taxation has so far made many efforts to improve its efficiency and effectiveness in order to preserve its tax collection capacity. I now answer Mrs Jadin's questions. First, in recent years, the FPS Finance has actually experienced a reduction in staff. However, this does not automatically mean a reduction in service delivery. To ensure the delivery of services, some of them have been reorganized and the use of resources has been optimized. In addition, the most repetitive tasks have been automated, allowing more time to be released to ensure control tasks and better service delivery. I come to your second question. June is still a difficult time. However, every effort has been made by the FPS Finance to ensure better service delivery. To this end, the following actions have been undertaken: 1. The administration maintained the number of filling assistance sessions. For example, 1,241 filling sessions are held in 543 premises provided by the municipalities. 2. Nineteen sessions are held in shopping centres. 3. Our 290 tax services and our front offices will be open in June, from 9:00 a.m. to 3:00 p.m. to receive citizens. It's the last day! With regard to automation and administrative simplification, the FPS Finance is sending 2,123,596 proposals for simplified reporting this year. Citizens who receive this proposal should therefore no longer complete a paper statement or on Tax-on-web.
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u46	Minister, thank you for your answer. In general, I would like to tell you that these human resources management issues are not subordinate issues and that, really, efforts must be made by the department as a whole and by you at its head, to support the motivation of the teams and improve their well-being at work and their career prospects. I am pleased that a number of actions have already been taken. I will take note with great interest of the improvement plan that you are telling us will be finalized this summer. In the head of parliamentarians, follow-up work will have to be done to encourage these efforts. On the other hand, you did mention 1,473 recruitments in 2015, but you did not hide the trend towards downsizing. On occasion, I will allow myself to rest other questions. I would like to know the evolution of the overall volume of employment, not only the recruitment figures, but also the more negative factors that influence the volume of staff in the department.
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u47	Mr Minister, as we know, the Copernicus project and the Coperfin Finance Department are an extensive project aimed at restructuring certain services and engaging in various phenomena of overexploitation of certain posts within your department. Of course, this is not new. We have been putting it in place for ten years and continue to put it in place! As a result, I was pleasantly surprised, Minister, by the fact that efforts to allow better harmonization between services are continuing. I have also learned of the existence of tax filing support services and I am pleased that the FPS Finance, as a public service to assist the public, is also working on these tasks. Thank you again for your very comprehensive answers.
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u48	Mr President, Minister, I do not want to harass you with any questions, but you have taken a very interesting initiative and I found it important that we should be able to discuss this. If I believe the press, you have commissioned your administration to conduct a study to estimate the cost of a new cadastral equalization. It is no secret to anyone that the current real property estimate no longer reflects reality. The last equalization was in 1975. Since then, no finance minister has taken this problem with his arm. It is therefore positive that you are taking an initiative on this difficult and complex matter. One of the difficulties is the cost of such a reform. In 1997, the Conseil Supérieur des Finances valued it at 320 million Belgian francs per year. In addition to the fact that this inertia has led to large disparities in taxation, it also puts Belgium at risk with European legislation. In March 2012, for example, the European Commission issued a reasoned opinion in which it considered that the method of taxation of rents in Belgium was contrary to the free movement of capital. More recently, in September 2014, the Court of Justice rendered a judgment unfavourable to the Belgian State because of the outdated valuation of the rental value of real estate in Belgium. Minister, do you confirm that you asked the FPS Finance for a study on the cost of a cadastre review? Do you intend to proceed with equalization before the end of the legislature? Are you looking at other avenues to re-evaluate the value of real property? What are the options on your table, and perhaps on the government's side, to comply with European legislation on the free movement of capital?
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u49	Mr Dispa, my administration has become aware of the judgment in question. This judgment, as well as the reasoned opinion sent by the European Commission on the difference in treatment between the taxation of taxable income from immovable property situated in Belgium or abroad, will require Belgium to review certain provisions relating to the taxation of property income against the tax of natural persons. Pathways should be developed and discussed within the government. I did indeed request a study to determine the operational means necessary to carry out a possible updating of cadastral revenues. This study will allow for a rational debate on the issue, a better comparison of the various options and an indication of any possible decision-making in this area. It is out of order to act with haste. Moreover, the government agreement does not provide for anything. Therefore, with all due respect, in answer to your most specific questions, I do not prejudge anything.
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u50	Minister, thank you. You're careful and I understand it very well. It is indeed a complex subject. As long as you are not covered by the government policy statement, you are right to go step by step. Nevertheless, the problem is very real. You identified him, by the way. You would do a useful job by moving forward in a measured but nevertheless resolute manner in dealing with these problems, if only because Europe is forcing us to do so. In terms of fairness, it would probably also be an opportunity to put things down a little bit. But I understand that you need some time and advice from your administration to solve this problem. In any case, let's not let him sleep. I believe that this is a matter that really deserves to be taken into consideration.
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u51	It will take a long time. Cadastral Equalization was already at the heart of the discussions in 1978; Minister Gaston Geens wanted to review this calculation. At that time, Mr. Tindemans was Prime Minister CVP and advised the Minister to discontinue these studies. This is more than thirty years old. The Prime Minister of Finance who can reform cadastral equalization will be back in history! You can try, Mr. Van Overtveldt.
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u52	If I understand correctly, you advise me not to.
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u53	Certainly, as part of the tax shift!
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u54	Mr President, before I ask my question, I would like to inform you of my wish to turn my question No 5219 into a written question.
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u55	That will be the case.
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u56	Mr. Chair, Minister, we know that the government is considering other tax measures to ease the burden on labour. Among the suggested avenues, there is the taxation of rental income. We know the importance of private investment in our country's real estate assets. After the reduction in renovation and insulation premiums, the construction sector could suffer, even more than today, as the investment would be less attractive for the owners. This could slow down an important sector of our economy. Minister, isn't the rental income tax a double tax, knowing that a landlord already has to pay his property discount? With a rent tax, isn't there a risk of slowing down real estate investment in our country?
