ParlaMint-BE_2015-01-21-54-commissie-ic061x.u1	Mr President, last time I surprised a lot of fellow Members by asking questions about music.
ParlaMint-BE_2015-01-21-54-commissie-ic061x.u12	Mr President, Mr Dispa, these are important comments and questions! The survey took place in early fall in a particularly difficult context, as the FPS Finance is undergoing the largest reorganization in its history. Management has chosen to organize a second satisfaction survey, after that of 2012, because the employee's opinion counts and because the information is also made to go back. The results show that we face challenges in several areas. First, accountability and recognition: employees want to be more involved in the changes taking place within the FPS and to receive more recognition for the work done. Second, career prospects are insufficient, as is support to prepare for future functions. Thirdly, employees want clear and timely communication. Fourthly, the organizational culture: the employees expect the FPS Finances to listen attentively to their needs. They also aspire to a working method that allows for the provision of quality services. The trends in the new survey are consistent with that of 2012, although in general they have decreased somewhat. The important and necessary changes that our FPS is going through are not foreign to it. However, there are areas where we can score well. Thus, in terms of flexibility, efforts have been made in teleworking, satellite office work and variable hours. Satisfaction is evident in the results. On the other hand, leadership issues are almost all rated higher than in 2012. The support offered to the leaders is therefore bearing fruit. The results are currently being analysed. Working groups will be set up. It is crucial that field staff are involved in interpreting results and identifying priority areas for improvement. In addition, the implementation of strategic and operational plans also remains a priority. The related objectives and projects are partially in line with the results of the 2012 survey. The half-tone results of the last survey should not shed a veil on the progress made in recent years in terms of leadership, flexibility and digitalization, computerization and culture. The specific results have only just been reported. It is therefore difficult to give a precise schedule. What is certain is that the working groups will be organised in the first half of 2015 so that the action plan can be finalised this summer. This plan will include a timetable for the various actions. The survey shows that the relationship between employees and managers is doing relatively well. In recent years, we have invested a lot in leadership. This axis will be further developed in the future.
ParlaMint-BE_2015-01-21-54-commissie-ic061x.u13	Mr. Dispa, are you motivated now?
ParlaMint-BE_2015-01-21-54-commissie-ic061x.u14	Mr President, I had no problem with motivation. It is the colleagues of the department whose states of soul are perceptible that must be stimulated. Having said that, Minister, I thank you for your very nuanced response, which gave us some concerns and points on which to build to improve the results achieved. The staff of the department is not only a burden that should be alleviated in terms of budgetary impact, but is a real resource of the department. We would have everything to gain from seeing all staff mobilize in the prospects for organizational improvement according to the criteria you have outlined. With respect to the timeline, I intend that we will be able to have an action plan for the summer of 2015. We'll talk about it again at that time.
ParlaMint-BE_2015-01-21-54-commissie-ic061x.u15	Mr Minister, this is a follow-up to my first question. We are now talking about the same Article 44, § 2, 4° to which you referred earlier on the subject of vocational training. That Article provides that, with effect from 1 January 2014, VAT shall be exempt from "school or university education, including education for children and young people, and vocational training or retraining, including the provision of closely related services and supplies of goods, such as the provision of accommodation, food and beverages and of teaching materials used for the purpose of exempting education, by bodies governed by public law or by other organisations designated for this purpose as bodies for similar purposes, provided that the said bodies do not systematically aim at making profits and that any profits are not paid out but are used for the maintenance or improvement of the aforementioned services'. This new provision is explained in detail in the Circular AAFisc No. 50/2013 of 29 November 2013. As regards the exemption from VAT for vocational training and retraining, it is stated in border number 13 of the abovementioned circular that the application of the exemption is not hindered by the fact that further training is not only accessible to persons who are already effectively engaged in the occupation in connection with which the training or retraining is provided. According to settled case-law, the wording defining the exemptions provided for in Article 132 of the VAT Directive 2006/112/EC should be interpreted strictly, since those exemptions are derogations from the general principle that VAT is levied on any supply of goods and any service provided by a taxable person for consideration. In addition, the administration recognises in Decision No. E.T.126.591 of 25 July 2014 that there may be some uncertainty around the scope of vocational and re-training activities, in particular as regards the fact that such training and retraining should no longer be accessible exclusively to persons who are already effectively engaged in the occupation with which they are provided. The application of the new position is therefore required only from 1 January 2015. Mr Minister, I have the following questions. In view of the strict interpretation according to settled case law, is the exemption for vocational training and retraining not interpreted too widely? An exemption also does not allow the right to deduct VAT. A non-profit association organizes, on the one hand, vocational training as referred to in marginal number 11 of the circular mentioned above and, on the other hand, recreational training, such as a wine tasting course, which can be attended by everyone. Can you confirm that the exemption for such recreational training does not apply, since it does not constitute vocational training?
ParlaMint-BE_2015-01-21-54-commissie-ic061x.u16	The concept of vocational training and retraining is referred to in the VAT Lawbook: the teaching directly intended to teach a profession or profession, as well as the further training, retraining or continuous training provided in that context. This definition is in line with the relevant European VAT legislation, according to which vocational training and retraining should be understood as: education directly related to a profession or profession, as well as education with a view to acquiring or maintaining knowledge for professional purposes. This is a matter of fact which must take into account, inter alia, the content, the target audience and the duration of the course. Therefore, the administration does not question the application of the exemption when a course corresponding to the above definition is also attended by persons other than those who are already effectively engaged in the profession covered by the training or retraining. The organisation of recreational training, such as a course of wine trials for lovers, is not covered by the concept of vocational training and retraining and is therefore not exempted under Article 44 of the VAT Code. When a non-profit association organises both exempted vocational training or retraining, for example in-service training of sommeliers who wish to upgrade their knowledge in a specific field, and other non-free courses, e.g. a course in wine trials for enthusiasts, the non-profit association is therefore considered to be a mixed taxable person.
ParlaMint-BE_2015-01-21-54-commissie-ic061x.u17	Thank you, Minister, for your clear answer.
ParlaMint-BE_2015-01-21-54-commissie-ic061x.u18	Mr President, Minister, unless I am mistaken, the European Investment Bank (EIB) only works with four large banking networks active in Belgium. Only these four large banks can benefit from the SME credit line within the EIB. At the ECOFIN Council debriefing last December, you said that you told your European colleagues that the financing of the Commission's European Investment Plan – the Juncker Plan – must also be accessible to SMEs. This investment plan will be led by the EIB. That's why there's some concern. At the same time, you explained that large banks would contribute more than proportionally to the Single Resolution Fund because they pose a greater threat to the stability of the banking system. Mr Minister, do you think it is normal for the European Investment Bank to only work with four large banks operating in Belgium? Will you take steps to facilitate the dialogue between the EIB and the Belgian banking sector as a whole?
ParlaMint-BE_2015-01-21-54-commissie-ic061x.u19	Mr President, as it develops its activities throughout the European Union and even beyond, the EIB has no choice but to channel the resources it wishes to devote to SMEs and midcaps through financial institutions to which it lays down two contractual conditions, in particular to maximise the multiplier effect of its resources and to channel financing to the final recipients on advantageous terms. On the one hand, for a euro loan by the EIB to a financial intermediary, the latter must lend two to the SME or the midcap. On the other hand, the intermediary must ensure that its customers benefit from the favourable financial conditions practised by the EIB. When choosing the intermediary institutions with which it works in Belgium, the EIB shall consider any application for financing submitted to it. Moreover, it is in its interest to diversify its counterparties in a relatively small financial intermediation market, as is the case in Belgium. Moreover, in 2015, the EIB intends to explore the possibilities of extending its contracts to other than traditional banks such as leasing companies or to instruments other than credit lines such as guarantees or equity investments. Of course, we encourage this diversification approach. The problem is more a lack of awareness of the opportunities that the EIB can offer to financial operators than an over-selective bias on its part. For reasons of understandable threshold effect, however, the EIB is forced to target intermediary institutions that have sufficient absorption capacity attested by a significant degree of priority given to SMEs and midcaps within their scope of activity, by a sufficiently wide geographical coverage and by the existence of a minimum critical mass in terms of the volume of financing. For one of these criteria, several institutions operating in Belgium could be eligible and we encourage them if they wish to get closer to the EIB with a view to starting a dialogue. I would like to add that, with regard to the discussion we have about the Juncker Plan – this will again be on ECOFIN's agenda at the beginning of next week – it is certain and certain that the EIB will play an important role at this level. At ECOFIN in December, I insisted on developing instruments that can be beneficial to SMEs. Otherwise, this may actually concern only large banking players and large companies.
ParlaMint-BE_2015-01-21-54-commissie-ic061x.u20	Minister, thank you. I hope that these efforts towards greater diversification of intermediaries will be successful in the course of 2015. This is a big challenge for financing the investments of our SMEs.
ParlaMint-BE_2015-01-21-54-commissie-ic061x.u21	Mr.President, Minister, since January 1, 2015, electronic services have been taxed in the client's country, regardless of the country in which the service provider is located. Small businesses active in e-commerce have very many concerns about the application of the new VAT rules on e-commerce. Indeed, the implementation of the new regulation involves a series of additional administrative steps for both the seller and the buyer. On its website, the European Commission publishes questions and answers in English on the changes that will take place from 2015. For example, the question "What about small businesses that were previously exempt from VAT?", the Commission explains that, if this company sells electronic services to an individual from another Member State, the latter will have to register with the European Single Window called Mini One Stop Shop (MOSS). The company, which has so far been exempt from VAT for all its transactions, will therefore no longer benefit from this exemption if it sells services to an individual established in another Member State. With respect to the Single Window, the FPS Finance website provides a specific schedule. On 1 October 2014, the Mini One Stop Shop module was scheduled to be launched and the first declarations can be submitted on 1 April 2015. Minister, how does this new regulation move the European single market forward? What are your responses to the concerns of small businesses active in e-commerce? Is the Mini One Stop Shop module fully operational as planned? How does the e-services localization system work? Has it proved its effectiveness? In view of the increase in administrative procedures, could greater harmonisation of VAT rules be a response that would simplify procedures?
ParlaMint-BE_2015-01-21-54-commissie-ic061x.u22	Mr. Chairman, Mr.Dispa, it should be noted that the new localization rule only changes for three types of specific services provided to non-taxable persons, primarily individuals. These are electronic, telecommunications and broadcasting services, such as radio and television. Until 31 December 2014, they were located in the provider's Member State, applying its VAT rate and not that of the customer. By shifting taxation to the Member State of the consumer, the new regulation addresses the perverse effects of competition linked to the applicable VAT rate. However, for the majority of e-commerce, including the online sale of physical goods, the rules have not changed. A small company subject to the franchise regime will continue to be subject to the same rules in Belgium. If it were to provide in another Member State one of these three services under the conditions mentioned, it will simply use the one-stop shop – the MOSS – to pay foreign VAT due without changing its status in Belgium. As far as MOSS is concerned, this module is well operational in Belgium. Its operating principle is to avoid companies having to be identified with VAT in each Member State where they are liable for VAT. This is very useful for SMEs: it allows for the filing of a single VAT declaration, in electronic form, which covers all the services provided in the other Member States and makes a single payment for all foreign VAT due. This is therefore not an increase, but a reduction in administrative procedures.
ParlaMint-BE_2015-01-21-54-commissie-ic061x.u23	Minister, your answers are always very complete. Thank you.
ParlaMint-BE_2015-01-21-54-commissie-ic061x.u24	The tax retirement is a new concept, Mr De Roover. Please explain what you mean by that.
ParlaMint-BE_2015-01-21-54-commissie-ic061x.u25	Mr President, we are also here to introduce new concepts, otherwise life would only become more boring. Mr Minister, we are working with this government agreement on a pension regulation that should finally make it possible to work after retirement without disproportionate sanctions. But that's not where the story ends. It is, of course, already important that the pension should not be reduced, but if the tax administration runs away with the full proceeds, then perhaps we are not taking the desired steps forward. Replacement income and pensions enjoy a special tax regime in our country. Pensions up to about EUR 15 000 are fully exempted. For pensions higher than the limit or for those with other income, a tax reduction of EUR 2 024 applies for the tax year 2014. The tax exemption does not fit seamlessly with the tax relief. A tax fall will result in the total collection of pension rights between 1 200 and 1 300 euros gross by the tax authorities. For those who have a small extra earnings from casual work or a small income from real estate, the story becomes even more punitive. There is a marginal rate of more than 600 % for the first euro. For those who have only a pension income, the tax on the additional euro should never exceed 100%. Those who receive other income shall not be subject to that rule. That's a black and white line. In practice, the first EUR 1 000 income above a pension of EUR 15 000 is fully taxed. Previous questions on the so-called retirement trap were answered with a reference to the major fiscal reform in the near future. This will soon be explained here. What will the Minister do to get rid of this tax retirement? In view of the budgetary implications, can an emergency solution be provided, so that a marginal rate of attack could never exceed 100 percent?
ParlaMint-BE_2015-01-21-54-commissie-ic061x.u26	Mr President, the term tax shift is very popular. I even noticed that some people were very inventive about it!
ParlaMint-BE_2015-01-21-54-commissie-ic061x.u27	I suspect the chairman of the committee has informed De Standaard...
ParlaMint-BE_2015-01-21-54-commissie-ic061x.u28	Mr President, Mr De Roover, since 2008, the system of the actual exemption has been replaced by a system of additional tax relief for taxable persons whose net income consists solely of replacement income. In this way, the amount of the tax due on that income shall be limited to the amount by which the limit is exceeded. In addition to this reform, an adapted calculation of the tax relief was introduced simultaneously for taxpayers who supplement their pension income with an income from labour. This adjusted calculation shall be applied to taxable persons who receive a survivor's pension or have reached the statutory retirement age and receive a low statutory pension. I also believe that efforts have already been made to reduce the tax trap on pensions and to reduce the tax burden on labour income as a complement to low pensions. In connection with your comments on pension combined with a small activity income or with a taxable real estate income, it is indeed correct that a proportionately high, possibly too high, tax is payable on this. I hope, together with you and all the others here, that the structural measures and reforms that we will and will have to implement over the next few years will also be able to provide budgetary space to resolve this problem at long last.
ParlaMint-BE_2015-01-21-54-commissie-ic061x.u29	Following on from your reply, Minister, I would like to urge that this should preferably be done as soon as possible and that the reform should completely eliminate this anomaly, because it will happen to you.
ParlaMint-BE_2015-01-21-54-commissie-ic061x.u30	The next item is Questions Nos 1268 by Mr Mathot and 1436 by Mr Van Biesen on gold stocks in Belgium.
ParlaMint-BE_2015-01-21-54-commissie-ic061x.u31	Mr President, in common agreement we agreed to postpone our joint questions. As Mr Mathot could not be here today, I would ask you to postpone these questions until next week.
ParlaMint-BE_2015-01-21-54-commissie-ic061x.u32	Then we can expect these questions on next week's agenda.
ParlaMint-BE_2015-01-21-54-commissie-ic061x.u33	Mr President, Minister, at the last ECOFIN debriefing meeting, we asked you about the state of implementation of the financial transaction tax. Unfortunately, as far as the FTT is concerned, the declaration is more often than the action. I lived it during the previous parliamentary term in the European Parliament. At the level of our Parliament, we have been advocating for such a tax for ten years. In recent months, Belgium has entered into an enhanced cooperation procedure with ten other countries. Since ECOFIN on 9 December, rumours have been circulating that implementation is difficult. During this debriefing, which I unfortunately could not attend, you seemed rather pessimistic and very untrustworthy on the subject. Yet all states remain around the table, and some of them seem to want to move forward. This year will be crucial to the progress of work. I would like to return to a number of questions that you have not answered. Could you give us an agenda for the next meetings? On the basis of certain readings, I understand that there was an ECOFIN Council on 26 January and that your French colleague was planning to come back to this subject at this meeting. The French Minister of Finance met with a number of associations in early January and it seems that he wants to be proactive in this area. What is Belgium's attitude in this matter? Will you also be proactive in trying to put into practice this issue that we believe is important? Do you already have a rate or base agreement? If this tax is in place, how will it be allocated? Will it be allocated to national budgets or to the European budget? Will it be used as a reduction in the contribution of States? Will this have an impact on our budget? These are the questions I wanted to ask you in the continuity of our last meeting.
ParlaMint-BE_2015-01-21-54-commissie-ic061x.u34	Mr President, Mr Daerden, the first proposal for a Council Directive on a common system of taxation of financial transactions was made on 28 September 2011 and not ten years ago. You are probably referring to the law of 19 November 2004 introducing a tax on foreign exchange transactions of currencies, banknotes and coins; indeed, it must be considered as the original Tobin tax. The tax on financial transactions, which is currently being negotiated at European level, has already been referred to as the Tobin tax, which may lead to some confusion. In concrete terms, next Monday there will be a Eurogroup meeting. I have not yet received an invitation for a meeting, but I have heard rumours that the French Minister of Finance would invite us. Until Wednesday noon, I haven't received anything. If an invitation reaches me, I will certainly go there. I repeat what I have already said on this subject: in my view, after attending three meetings concerning the financial tax, the fundamental problem stems from the French and German attitude. I quickly explain: the French want to exclude all stock derivatives and the Germans demand the exclusion of all bond derivatives. As a result, a huge part of what should be subject to a financial tax disappears. It is this antagonism between these two major countries that constitutes the bulk of the problem. As has already been said in other meetings, I will not hide from you that, if they maintain their positions, I am hardly optimistic about the introduction of a European tax on financial transactions.
ParlaMint-BE_2015-01-21-54-commissie-ic061x.u35	Minister, thank you. There was no confusion between the tax on financial transactions and what had been voted by the Belgian Parliament. That being said, as regards the European tax on financial transactions, it is clear that, as in many cases, if there is a Franco-German agreement, this will make it possible to make progress! I hope that this agreement will be concluded and that it will not be minimalist. If it were minimalist, it would completely distort the scope of this tax and could have the opposite effect to that of additional resources needed for the budgets of the Member States and European budgets. You do not answer my question about your position and attitude at this meeting. Will she be a voluntarist? Will you try to push this Franco-German couple further than their basic ambitions?
ParlaMint-BE_2015-01-21-54-commissie-ic061x.u36	I do not think it is very useful to try to destroy the French and German walls on their own. So I'm ready to get involved in trying to find a compromise. This is also the general attitude. The French and Germans must leave a small opening. I'll check it out. I will communicate the development of the scheduled meetings but have not yet received an invitation for a new meeting. Not all countries in the Euro zone are always invited. This depends on the specific topics discussed. We're still seeing each other in the evening, but I haven't received any invitations to date.
ParlaMint-BE_2015-01-21-54-commissie-ic061x.u37	Mr President, Minister, we have already had the opportunity to mention the fact that, for us, the European Union must have two priorities: one economic and the other social. As such, budgetary rigour is an important element, but it cannot be self-sufficient. Investment will be the key to the recovery. In some respects, therefore, the investment plan devised by the President of the Commission, Mr Juncker, is important. We have already discussed this during the ECOFIN debriefing, but I would like to discuss with you other aspects of the conclusions of the European Council of 18 December. They state that the European Fund for Strategic Investments (EFSI) will be open to contributions from Member States. Mr Minister, what is the room for manoeuvre for Member States, particularly from a budgetary and debt point of view? Does Belgium intend to contribute to this? What budgetary consequences would this have? What are the political consequences of an actual contribution or non-contribution by a Member State? Have you had any information about this?
ParlaMint-BE_2015-01-21-54-commissie-ic061x.u38	Mr President, Mr Minister, in addition to what my colleague has just asked you as questions, I shall return to the concept of flexibility. This is an important concept. We have had the opportunity to discuss this with the Prime Minister on several occasions at the meetings of the Advisory Committee. A regulation from the European Commission has recently emerged. I wanted to see if Belgium would be affected by that. As Mr Crusnière has said, we must be able to ensure a recovery through investment. That is why this European Fund for Strategic Investments is important. Minister, how will our potential contributions to this fund be treated? More broadly, what opportunities will we have to use this flexibility to allow investment in this fund for projects that would be public and private-public? Will there be a prioritization of projects acceptable to this fund? More generally, will this flexibility allow local (towns and municipalities), regional or even federal entities to increase the volume of investment without falling within the logic of the Six-Pack and Two-Pack?
ParlaMint-BE_2015-01-21-54-commissie-ic061x.u39	Mr President, ladies and gentlemen, the Member States of the European Union do indeed have the opportunity to contribute to the European Fund for Strategic Investments. Member States may contribute by providing capital either directly, through their national development banks or through co-financing of projects. As regards the status of these investments in the national accounts in relation to Eurostat rules, no formal decisions have been taken. The European Commission has announced that its services will positively consider such financial contributions in the evaluation of public finances under the provisions of the Stability and Growth Pact. On the other hand, on 13 January, the European Commission presented the method which it will now use in applying the rules included in the Stability and Growth Plan, with regard to the accounting of investments. With regard to Member States' possible contributions to EFSI, where such contributions would lead to non-compliance with the 3% reference value, it is not foreseen that the European Commission will initiate an excessive deficit procedure provided that the difference is minor and presumed temporary. With regard to investment more generally, the European Commission has clarified that, under the preventive part of the Pact, Member States may invoke the investment clause included in the Pact as a temporary departure from their medium-term budgetary objective or from the fiscal adjustment path subject to five conditions. First, GDP growth is negative or remains 1.5% below its potential. For Belgium, this figure is 1.1% according to the Commission, but everyone knows that the Plan Bureau is contesting this figure. Second, the deviation does not result in non-compliance with the 3% reference value and a safety margin is maintained. Thirdly, investment levels are actually increasing. Fourthly, eligible investments are expenditure on projects co-financed by the European Union. Fifth, the difference shall be compensated within the time limits laid down for the purposes of the stability or convergence programme of the Member State. It is now necessary to ensure that these new elements are duly taken into account in the preparation of investment programmes in Belgium, in particular in the context of the implementation of EFSI. At the political level, Member States that will make a contribution to EFSI will not benefit from any return on investment guarantee simply because EFSI will operate on a market-based basis. In order to achieve the expected leverage effect (1 out of 15), priority should be given to projects that have been structured in an attractive way for private investors. With regard to the governance of EFSI, the Fund will have two separate committees: on the one hand, a steering committee and, on the other, an investment committee. The Investment Committee, which will select projects, will be composed of independent experts specializing in project financing. It selects projects according to their merit, without geographical and sectoral constraints. This was very clearly explained at ECOFIN in December. The independence of the Investment Committee is a very important element for Belgium and we also welcome the fact that products financed by the European Fund for Strategic Investments will have to follow the EIB's traditional procedures, which are based on banking and non-political criteria. With regard to the list of projects sent by our country, it was the result of consultations with stakeholders, including the Federal, the Regions, the French Community and the private sector. The list includes more than 170 projects with a total cost of EUR 77 billion. Within the predefined framework, the different Belgian entities have been given full autonomy to select their projects according to their respective development plans.
ParlaMint-BE_2015-01-21-54-commissie-ic061x.u40	Mr President, I would like to thank the Minister for all these interesting clarifications because they are complementary to all the discussions we have already had during the ECOFIN debriefing.
ParlaMint-BE_2015-01-21-54-commissie-ic061x.u41	Mr President, I would also like to thank the Minister for these answers. I hope that with the five criteria put forward – I assume they are cumulative – we will be able to expand our much needed investment capacity. I also hope that the discussions you are going to have with your colleague from the Budget, particularly with a view to the deadline for the budgetary adjustment, will make it possible to integrate these elements for Entity I but also for Entity II and local authorities.
ParlaMint-BE_2015-01-21-54-commissie-ic061x.u42	Question No 1305 by Mrs Winckel is postponed.
ParlaMint-BE_2015-01-21-54-commissie-ic061x.u43	These are remarkable statistics. In Flanders, everyone thinks the Walloons are less controlled than the Flemish.
ParlaMint-BE_2015-01-21-54-commissie-ic061x.u44	You see, sometimes it's worth analyzing these reports and asking questions. Minister, I do allow myself to question you following the recent publication of statistics on tax controls. In reading these statistics, one element that caught my attention was the high percentage of checks carried out by Walloon employees. While they represent only 32% of the total number of employees, they have undergone 47% of the total checks. This trend can be observed for several years already. Minister, can you tell me on what basis the headquarters decides to control a particular declaration? How can you explain the fact that more checks have been carried out in Wallonia in recent years? On the basis of the statistics, it is also apparent that targeted checks are carried out annually. Can you also explain to me the reasons why the administration chooses to target a particular sector or group of people?
