ParlaMint-FR_2018-08-01-E1044.u1	The next item is the question to the Government.
ParlaMint-FR_2018-08-01-E1044.u12	The Minister responsible for transport has the floor.
ParlaMint-FR_2018-08-01-E1044.u13	Out of order!
ParlaMint-FR_2018-08-01-E1044.u14	Member of Parliament, I can assure you that I and Nicolas Hulot have been following closely the incident that affected Montparnasse station since Friday noon. I am aware that this incident was very damaging for travellers, those who went on vacation or returned, but also the travellers of everyday life. This incident revealed a great fragility in the power supply at Montparnasse station. No one can understand such a fragility and the Government does not accept it. That is why, starting Saturday, Nicolas Hulot and I announced the launch of a fact-finding mission to understand why there is no substitute solution in case of a failure on a TEN post and to learn from it. I can assure you that I won't wait for this to happen anywhere else. All major stations will be examined as part of this mission. We asked for results for the end of August and the conclusions in the fall. Beyond this exceptional incident, you also refer to the delays in daily life. That is a concern that I fully share. For this reason, the Government has chosen to give priority to daily transportation. That is the meaning of the unprecedented investment plan that we wanted to modernise our rail network. You know the figures: 10 million euros a day for ten years, 50% more than what was done in the previous decade. [[Applause on the benches of the LaREM group]] I can assure you of my total determination to ensure that the French benefit from a reliable railway network, whether it be to go on holiday or for everyday transport.
ParlaMint-FR_2018-08-01-E1044.u15	Mr Dino Cinieri, for the Group of the European People's Party, has the floor.
ParlaMint-FR_2018-08-01-E1044.u16	I would like to ask a number of questions to the Prime Minister by involving all my colleagues in the LR Group. [["No! » on the benches of the LR group. "Yes! » on the benches of the LaREM group]] Prime Minister, has the purchasing power of the French progressed? [["No! » on the benches of the LR group. "Yes! » on the benches of the LaREM group]] Has household consumption risen? No! [["No! » on the benches of the LR group. "Yes! » on the benches of the LaREM group]] Has the taxation of individuals decreased? After the Bank of France, INSEE has just confirmed the slowdown in growth, while household consumption is weakening. As for purchasing power, the French are well aware that it has declined since the beginning of the year under the weight of rising taxes and taxes. Farmers who have to cope with the increase in the cost of fuel, both privately and for their operation; the unemployed, the families, the rural elected representatives, the leaders of associations who try to compensate for the loss of the assisted contracts, but also the pensioners who suffer with full force the increase of the CSG that you have decided...
ParlaMint-FR_2018-08-01-E1044.u17	Yes!
ParlaMint-FR_2018-08-01-E1044.u18	...all are legitimately overwhelmed by your ad effects, which attempt to mask the reality of tax batting! France remains the most taxed and socially taxed country in the European Union. Prime Minister, what did you do with the fruits of the 2017 economic beautification?
ParlaMint-FR_2018-08-01-E1044.u19	He didn't do anything about it!
ParlaMint-FR_2018-08-01-E1044.u20	You have not lowered public spending, which continues to grow, to 55.9% of GDP this year. You have not reduced our country's gap with our European partners. We are the champions of the world of public spending and this title has no reason to rejoice! The French know that they had to draw again this year from their savings to maintain the state's life course. They are worried daily, but also for the future, already fearing the future pension reform, which risks once again favoring the very rich to the detriment of the middle classes. So, Prime Minister, will you finally take action to restore purchasing power to our fellow citizens...
ParlaMint-FR_2018-08-01-E1044.u21	Thank you, my dear colleague. The next speaker is the Minister for Action and Public Accounts.
ParlaMint-FR_2018-08-01-E1044.u22	[[Applause on the benches of the LaREM group]] Mr Dino Cinieri, it is good that you ask this question before it is out of date, since, as of October, the increase in purchasing power will be significant for our citizens. I could stop there, but I want to ask you a few questions. [["Yes! » on the benches of the LaREM group]] Were you in favour of a two-point increase in VAT? [["No! » on the benches of the LaREM group]] Did you vote for the removal of the housing tax for all French people? [["No! » on the benches of the LaREM group]] Did you vote in favour of abolishing, as early as October, the contributions that weigh on all employees? [["No! » on the benches of the LaREM group]] Have you voted to remove the contributions of the self-employed you claim to defend? [[Applause and laughter on the benches of the LaREM group. – Exclaims on the benches of the LR group]] [["Yes! » on the benches of the LaREM group]] We can go on like this for another minute and twenty, if Mr. President wishes! I continue, since President Jacob invites me: were you for the abolition of more than 20 billion euros for the allocations to the total communities? [["No! » on the benches of the LaREM group]] Have you voted, Mr Cinieri, to maintain the allocations to the local authorities?
ParlaMint-FR_2018-08-01-E1044.u23	They're down!
ParlaMint-FR_2018-08-01-E1044.u24	You're a liar!
ParlaMint-FR_2018-08-01-E1044.u25	[[Applause on the benches of the LaREM group]] I believe, Mr Cinieri, that before denouncing a hypothetical decline in purchasing power, it would be good to go back to your constituents in October to tell them that you did not support the reduction in taxes, the increase in the credits that affect all of your constituents. [[Mrs. and Mr. Members of the LaREM and MODEM groups stand up and applaud strongly. – Protests on the benches of the LR group]] I'm afraid vacations are necessary, both for you and for us!
ParlaMint-FR_2018-08-01-E1044.u26	The next speaker is Mr Jean-Luc Lagleize, for the Group of the Democratic and Related Movement.
ParlaMint-FR_2018-08-01-E1044.u27	My question, to which I associate our colleague from Toulouse Pierre Cabaré, is addressed to Frédérique Vidal, our Minister of Higher Education, Research and Innovation. [[Applause on the benches of the MODEM and LaREM groups]] Last Wednesday, where many things have happened, Ariane 5 has perfectly succeeded in its third launch of the year from the Guiana Space Centre. It has launched four new satellites into orbit of the European Galileo programme; This new success now allows the Galileo constellation to be fully operational. This is a project of strategic independence defended by France since 1993, and then by Europe since 2003. It allows us to have the most accurate, reliable and secure satellite navigation system that will be used in agriculture, civil protection and transport. This tool gives France and Europe strategic independence today more than necessary given American versatility and global instability. How, in fact, can you remain insensitive in front of a supplier, even an ally, who would decide alone to cut the GPS coverage of a conflict zone or to change the power of a signal? But this remarkable French and European success must not hide the major upheavals in the space sector. First of all, private players in the "New Space" such as SpaceX, Amazon, Google or Facebook are pushing our industrial champions, including innovative projects such as reusable and low-cost launchers. Then, the countries that aim to enter the "space club" have never been more numerous: China, Korea, India or the United Arab Emirates. The creation of the CNES, the Centre national d'études spatiales, by General de Gaulle, fifty years ago, allowed France to project itself in the conquest and construction of space. Minister, in the face of these challenges, what measures is the Government implementing to preserve our space activities...
ParlaMint-FR_2018-08-01-E1044.u28	Thank you.
ParlaMint-FR_2018-08-01-E1044.u29	[[Applause on the banks of the MODEM group and on several benches of the LaREM group]] ...and maintain our leadership, our excellence?
ParlaMint-FR_2018-08-01-E1044.u30	The Minister for Higher Education, Research and Innovation has the floor.
ParlaMint-FR_2018-08-01-E1044.u31	Ladies and gentlemen, honourable Members, like all of us here, I welcome the success of this ninety-ninth launch of Ariane 5. It is first and foremost a success for this launcher, which demonstrates the excellence of the CNES, but also of the European Space Agency, ESA, or of our industry, since the portage is carried out by European industry. It is also the success of the Guiana Space Centre, a place we are envying internationally, and it is also that of Galileo, therefore of the European Commission and, once again, of the CNES, ESA and the Toulouse Space Centre.
ParlaMint-FR_2018-08-01-E1044.u32	Yes! Bravo!
ParlaMint-FR_2018-08-01-E1044.u33	Finally, it is a success for our research, with this extremely precise location system that is Galileo: we are used to saying that when a GPS indicates which street we are on, Galileo indicates on which sidewalk. It is therefore important to think also of the economic benefits, whether in the field of agriculture – the inputs can be disseminated in a much more precise way – or in that of the automobile, where Galileo will allow us to keep our lead. [[Applause on several benches of the LaREM and MODEM groups]] The year 2018 is a key moment. On 14 June, the ESA Council voted on all funding for the Ariane 6 programme. The European Commission plans to invest more than EUR 16 billion in space in the next framework programme. With regard to the "New Space", we are developing both Cal listo, Themis and Prometheus, the low-cost reusable engine, the OneWeb satellites through Airbus. Finally, CNES is in the process of setting up a CosmiCapital fund that will enable us to meet the challenges in the space field.
ParlaMint-FR_2018-08-01-E1044.u34	Mr Sebastien Huyghe has the floor for the Republican Group.
ParlaMint-FR_2018-08-01-E1044.u35	[[Applause on several benches in the LR group]] Prime Minister, arrogance and sufficiency have never reduced deficits, nor increased the purchasing power of the French, nor even boosted growth. Arrogance and sufficiency were the ones who presided over your response to yesterday's motions of censure.
ParlaMint-FR_2018-08-01-E1044.u36	The mirror effect!
ParlaMint-FR_2018-08-01-E1044.u37	[[Protests on the benches of the LaREM group]] [[Exclaims on the banks of the LaREM Group. – Applause on the benches of the LR group]] [[Applause on the benches of the LR group]] Arrogance and sufficiency were the ones who presided over the response of your Minister for Public Action and Accounts a few moments ago to the very important question of my colleague Dino Cinieri. The purchasing power of the French is important enough to speak seriously about it. We're not at the circus! We are in the Chamber, where we represent the French people. The economic factors that come to us are alarming: the decline in growth, as INSEE has just announced, forces you to revise your forecasts; the deficits will grow, because you have managed to reduce them on the sole maintenance of growth. You have massively increased the taxes of the French...
ParlaMint-FR_2018-08-01-E1044.u38	Which ones?
ParlaMint-FR_2018-08-01-E1044.u39	[[Applause on several benches in the LR group]] ... and to this observation, you have just answered: "You will see well tomorrow! » – you will see in September, you will see in October, you will see in 2019... Except that the French have already seen the increase of the CSG, the increase of taxes on fuels, on gas, I pass and the best.
ParlaMint-FR_2018-08-01-E1044.u40	You're not saying anything about the removal of the housing tax?
ParlaMint-FR_2018-08-01-E1044.u41	Your policy narrows the French portfolio and worsens the deficit! [[Applause on the benches of the LR group]] So, Prime Minister, are you finally going to focus on savings over government spending rather than increasing French taxes and our country's deficit?
ParlaMint-FR_2018-08-01-E1044.u42	The Secretary of State to the Minister for Action and Public Accounts has the floor.
ParlaMint-FR_2018-08-01-E1044.u43	One traitor can hide another!
ParlaMint-FR_2018-08-01-E1044.u44	Mr President, I could finally answer you exactly like Gérald Darmanin, since you are asking the same questions as your colleague. [[Applause on several benches of the LaREM group]] Do you remember that a year ago, you supported a two-point increase in VAT, which would have cost the French 13 billion euros?
ParlaMint-FR_2018-08-01-E1044.u45	You weren't saying the same thing eight months ago!
ParlaMint-FR_2018-08-01-E1044.u46	A year ago, you were against the government!
ParlaMint-FR_2018-08-01-E1044.u47	Why didn't you vote the budget?
ParlaMint-FR_2018-08-01-E1044.u48	We will remove the housing tax, and in a department like yours, 86% of households will benefit from its reduction. Do you support the generalization of the energy check that we are about to deploy? The answer is no. [[Applause on the benches of the LaREM group]] You heard, a moment ago, the answer to your colleague Cinieri's question, which made it irrelevant. You may have noticed that outrage and caricature are not enough to carry away a reasoning, and the tone you have used does not mask the total absence of proposals from your political formation.
ParlaMint-FR_2018-08-01-E1044.u49	It's the French who judge!
ParlaMint-FR_2018-08-01-E1044.u50	We are in front of you with assumptions and budget work. We have a programming law. We have reduced deficits and, for the first time in fifteen years, made sure that we kept the European commitments that your political family has never been able to fulfil. Our work assumptions are conservative. They are based on growth, purchasing power measures to be implemented in October. Since you asked us the question of purchasing power, let me remind you that the activity premium will increase.
ParlaMint-FR_2018-08-01-E1044.u51	That's not true!
ParlaMint-FR_2018-08-01-E1044.u52	A year ago, you were at the PS!
ParlaMint-FR_2018-08-01-E1044.u53	Let me remind you that on 1 November we will increase the allowance for adults with disabilities by 50 euros.
ParlaMint-FR_2018-08-01-E1044.u54	You don't even believe it!
ParlaMint-FR_2018-08-01-E1044.u55	[[Applause on the benches of the LaREM and MODEM groups]] Let me tell you again – as I said just now – that we will benefit 4 million households with an energy check of 150 euros. These are all measures in favour of purchasing power on which we will have the opportunity to return, measures in favour of the most fragile households, which you have for a long time renounced to defend. We work for them, we work for the French, and the assumptions on which we built and prepared the 2019 budget will enable France to fulfil its commitments and the President of the Republic to keep its own.
ParlaMint-FR_2018-08-01-E1044.u56	Mrs Blandine Brocard, on behalf of the Group of the European People's Party, has the floor.
ParlaMint-FR_2018-08-01-E1044.u57	Madam Minister for Solidarity and Health, while the period of debate we have been going through in recent weeks has increased – a little artificially, I grant you – the temperature of this House, it is indeed France and the French who are currently going through a period of very hot weather. From Friday onwards, we should be experiencing canicular levels, with mercury exceeding 40 °C locally.And this situation should continue beyond the weekend. Forecasts over the past few decades have been confirmed: heat waves will increase and worsen in future, both in terms of duration and intensity, all over the world. Clearly, our action cannot be limited to a national level. It already goes far beyond this, since all our communes, cities and villages, our neighbourhood associations and our local elected representatives, everywhere in France, act daily and take care of our most vulnerable populations, our elders, of course, but also the homeless, the infants and all those who work outside. What is at stake goes far beyond a simple weather phenomenon, the consequences of which should be controlled. It is a question of measuring our ability to look at the other, to "take care" as we say in Lyon, in short, to be interested in the well-being of those around us. [[Applause on the benches of the LaREM group]] Minister, I know you are very sensitive to this issue and fully mobilized to combat the effects of the heat wave. Can you tell us more about the Government's action in this somewhat special period, which requires, on our part, vigilance and solidarity with the most fragile?
ParlaMint-FR_2018-08-01-E1044.u58	The Minister for Solidarity and Health has the floor.
ParlaMint-FR_2018-08-01-E1044.u59	Madam Member, I thank you for focusing on this situation, which will be repeated and worsen in the years to come. Of course, we have learned the lessons of the heat waves of 2003 and 2006, and the State services are fully engaged to deploy procedures aimed at improving the safety of our fellow citizens in times of great heat. Today, the heatwave plan has been deployed in fifteen departments and will be deployed in thirty-four from tomorrow, as the great heat will settle in the center and north of the country. These activities are, of course, closely monitored by the regional health agencies – ARS – which are mobilised with local and regional authorities. I would point out that the town halls set up refrigerated rooms for the elderly and that there are procedures for following retired people who live in residential institutions for dependent elderly people – EHPAD – or who are hospitalized. There is also a need to pay close attention to those who work outside, and the Labour Directorate has just sent out a circular containing recommendations, particularly for workers in the OTP. We also follow motorists, broadcasting spots on motorways, reminding that children should not be left in cars. Every day, at the ministry's crisis centre, we follow the tension in hospitals, including the influx of emergency services and calls to SOS Médecins. In recent days, we have seen an increase in the number of calls related to the heat wave. It is important to stress that older persons are not the only ones affected and that these calls concern people of all ages, including children and adolescents who have been involved in sport, but also adults. [[Applause on the benches of the LaREM and MODEM groups]] Today it is a question of solidarity. I would point out that the latest heat waves have essentially killed people living on the street, without a fixed home, and that the major associations are now fully mobilized.
ParlaMint-FR_2018-08-01-E1044.u60	The next speaker is Mr Charles de Courson, for the IDU Group, Action and Independents.
ParlaMint-FR_2018-08-01-E1044.u61	Prime Minister, the clouds are gathering on French economic growth. ("Yes! » on some benches of the LR group.) The three favourable factors that explained the increase in growth in 2017 were reversed. Interest rates will rise as early as the end of this year, due to the end of the accommodative monetary policies of the US Federal Reserve – the Fed – and the European Central Bank, the deterioration of the parity between the euro and the dollar and the sharp increase in the barrel of oil will penalise French growth. Moreover, Brexit, with its uncertainty about the future of relations between the United Kingdom and the rest of the world, and, above all, the protectionist strategy of the President of the United States on international trade, destabilize economic actors. The slowdown in growth is there: INSEE noted a low growth rate of 0.2% in the first and second quarters of 2018, which means that the target set by the Government, which was set at 2% gross domestic product growth in 2018 and 1.9% in 2019, is no longer credible. Without an unprecedented effort of savings – which our group has proposed to you – compliance with the fiscal trajectory adopted by Parliament will be impossible in 2019 and 2020. You have asked the Public Action Committee 2022, says CAP 22, to make savings proposals. The latter sent you twenty-two proposals to change the model, which would reduce public deficits by some twenty billion euros. [[Applause on the benches of the UDI-Agir group and on a few benches of the LR group]] Prime Minister, my question is quite simple: can you tell the national representation what major areas of savings you are planning to achieve?
ParlaMint-FR_2018-08-01-E1044.u62	The next speaker is the Minister for Action and Public Accounts.
ParlaMint-FR_2018-08-01-E1044.u63	Mr President, last year, at about the same time, we had a discussion about the advance decrees that I put forward, at the request of the President of the Republic and the Prime Minister, to keep the public accounts. The Court of Auditors had found a deficit of 3.4%, regardless of the savings that some of you had actually disapproved – which was not your case, honourable Member. At the end of last year, we experienced a very strong acceleration in growth, which led to a very strong acceleration in revenues. These savings and revenues in the last quarter of 2017 allowed us to reduce the deficit to 2.6%: this was the first time in ten years that it went below 3%. You know like me, honourable Member, because you have more experience in this field than I do, that it is necessary to wait until the end of August, or even the beginning of September, to be assured of a change in growth rates. If this fall in the growth rate were shown, it would in any case not be less than 1.8%. In last year's finance bill, we ourselves, like Éric Woerth and yourself, encouraged us to do so, a very low growth assumption, at 1.7%. The target that Bruno Le Maire and I have defined in the context of budgetary construction is therefore quite achievable. It is so true, honourable Member, that the interest rates, which you expect to increase at the end of the year and next year, are for the time being lower than what we had set out in our budget. Moreover, we even have a small budget margin, which is due to the fact that Bruno Le Maire and I had built our budget on a deliberately pessimistic basis. [[Applause on the benches of the LaREM and MODEM groups]] You're asking me about the expense. We have a deficit of 2.6% and we will not change our target of 2.3% next year, and we will have to find an additional 20 billion, since we are transforming the competitiveness and employment tax credit – CICE – into burden relief. This means that, regardless of growth, it is through declining public spending that we will achieve our public accounts objectives.
ParlaMint-FR_2018-08-01-E1044.u64	[[Applause on several benches]] Mr Sylvain Brial, in the name of the non-attached Members, has the floor. This is his first speech in the Chamber since his election.
ParlaMint-FR_2018-08-01-E1044.u65	Prime Minister, the first referendum on the future of New Caledonia will take place on November 4. The Government is making many efforts to ensure that the referendum is conducted in good conditions. I would particularly like to draw your attention to the Gallisian and Futunian community present in New Caledonia, estimated at 30,000 people. For more than three generations, these people have left our islands to find work, primarily in nickel, then in public works, administration or the army. If, today, there is some harmony between the communities, this has not always been the case. The Wallisian and Futunian community is worried about the approaching referendum and fears for its future. These men and women, who have left everything to become a living force in the territory of New Caledonia, are heavily involved in its economic development. What will their future be in New Caledonia? How will their physical, but also material, security be ensured? How will their investments and assets be guaranteed? In Wallis, Futuna, this concern also has consequences and causes an economic mortgage, a blockage on the land. There are serious questions about the future. What will become of our specific and essential relations between our territories? I ask you, Prime Minister, what specific preventive and protective measures the Government has taken to prevent any disturbance in New Caledonia, especially with regard to the Wallisian and Futunian community. [[Applause on various benches]] What plan does the Government envisage to come, in any event, to support this community and the territory of Wallis and Futuna?
ParlaMint-FR_2018-08-01-E1044.u66	All right!
ParlaMint-FR_2018-08-01-E1044.u67	The Secretary of State responsible for relations with Parliament has the floor.
ParlaMint-FR_2018-08-01-E1044.u68	Secretary of State for the Drink!
ParlaMint-FR_2018-08-01-E1044.u69	Mr President, you have just mentioned the role and place of Wallisians and Futunians in the recent history of New Caledonia. We remember certain tragedies such as that of Ave Maria in Saint-Louis in the early 2000s, which caused the death of two Melanesians and one Futunian, not to mention the many wounded. These events marked our territory and all of New Caledonia. Your question echoes that. Since then, a long journey has been made, guided by the spirit of the Nouméa Accords, based on common destiny and living together. The Wallisian and Futunian community today lives in harmony with New Caledonia. In Nouville, on 5 May, the President of the Republic recalled that the history of New Caledonia was "an addition of stories, often tragic, also happy, all marked by courage and the will to build. » The Head of State had also quoted the Wallisians and Futunians, because they are part of this history, of our history, whether economic or political. It has allowed us to become what we are today. Given their long-standing presence in New Caledonia, many of them will participate in the referendum on 4 November. Beyond that, it is essential that we be able to accompany and channel the Caledonian youth who, at times unworked, can commit acts of concern. [[Applause on several benches of the LaREM group]] You mentioned that concern, Mr. Member of Parliament. On behalf of the Minister of the Interior, I assure you that the State services will mobilize the 1,400 policemen and gendarmes present in that territory so that at no time will the community you represent in the National Assembly feel threatened, anywhere in the territory, and in particular in New Caledonia.
ParlaMint-FR_2018-08-01-E1044.u70	Mr Jacques Maire has the floor for the La République group on the move.
ParlaMint-FR_2018-08-01-E1044.u71	Madam Minister responsible for transport, we have been told, for a few minutes, of false economic catastrophes, when a real catastrophe, neither on the left nor on the right, but rather on the left and on the right, has occurred: the end, since yesterday, of Autolib. Economic disaster, since the bill amounts to €290 million, a social disaster, since 600 jobs are eliminated, an ecological disaster due to the abandonment of 1100 charging centres and 4000 electric cars.
ParlaMint-FR_2018-08-01-E1044.u72	Looking forward to the next elections in Paris!
ParlaMint-FR_2018-08-01-E1044.u73	Mr. Mahjoubi and Mr. Griveaux are on the line!
ParlaMint-FR_2018-08-01-E1044.u74	Mr. Maillard, too! And Mr. Renson!
ParlaMint-FR_2018-08-01-E1044.u75	[[Mr. Jean Lassalle applauds]] The problem is first of all of a social nature. No less than 150 jobs at Vaucresson headquarters alone and 600 jobs in total are at stake. A social plan is expected, but employees cannot be taken over because of the end of the public service delegation, while private operators such as Renault, Peugeot, Volkswagen could apply. I call on the Government to be vigilant so that Autolib's employees can be reclassified. Ecological disaster because, as we have already experienced with minitel or other technological advances, we can end up with a cumbersome infrastructure on our hands. After having been in advance, as the largest metropolis to have the most important electric car sharing equipment in the world, Paris finds itself with energy wrecks along its streets. The proposals put forward today are based on the "free floating", i.e. small fleets equipping certain neighborhoods and questioning the visibility of metropolitan equipment. The future Sustainable Mobility Bill should be an opportunity for the Government to make efforts to improve equipment and develop low-emission areas.
ParlaMint-FR_2018-08-01-E1044.u76	The question!
ParlaMint-FR_2018-08-01-E1044.u77	[[Applause on the benches of the LaREM and MODEM groups]] What lessons does the Government learn from the end of Autolib and what are its intentions?
ParlaMint-FR_2018-08-01-E1044.u78	The Minister responsible for transport has the floor.
ParlaMint-FR_2018-08-01-E1044.u79	Isn't Mr. Griveaux answering?
ParlaMint-FR_2018-08-01-E1044.u80	Mr President, we can only regret the end of Autolib for financial reasons. As far as employees are concerned, it is not in the role of the Government to replace elected officials and the company, but I have heard some communities call for an exemplary job-saving plan, and I can assure you that the Government will be vigilant. I would like to convey to you a conviction. Autolib's stop will not call into question the movement towards clean and shared mobility, as we see examples all over the world. That is why clean mobility will be one of the pillars of the future mobility guidance bill. Together with Nicolas Hulot, on 20 July I presented concrete measures such as the establishment of low-emission zones. We have engaged in significant work with communities in the fifteen areas most affected by air quality issues.
ParlaMint-FR_2018-08-01-E1044.u81	The Government is only concerned about Paris!
ParlaMint-FR_2018-08-01-E1044.u82	Especially Mr. Mahjoubi!
ParlaMint-FR_2018-08-01-E1044.u83	This mechanism has proved its worth throughout Europe. We will also strengthen our support for the deployment of charging stations, with an increase in the take-over of their installation by distribution networks, by raising this share from 40 to 75 per cent. We will also promote the development of carpooling, experimenting with carpooling routes next year.
ParlaMint-FR_2018-08-01-E1044.u84	That's not the point! Finally, we will present an ambitious plan in favour of cycling, to triple the bike's share as a mode of travel. [[Applause on the benches of the LaREM and MODEM groups]] This movement for clean mobility is indispensable and irreversible. The Government will be at the forefront of this crucial issue for the quality of life on a daily basis. I know that we will be able to find ourselves on this goal when we look at the future mobility orientation bill.
ParlaMint-FR_2018-08-01-E1044.u85	Mrs Mathilde Panot has the floor for the Group of the European People's Party.
ParlaMint-FR_2018-08-01-E1044.u86	My question is to Mr Nicolas Hulot, Minister of State, Minister for the ecological and solidarity transition.
ParlaMint-FR_2018-08-01-E1044.u87	He went on vacation!
ParlaMint-FR_2018-08-01-E1044.u88	Today, August 1, 2018, our entire planet enters into ecological debt. In 1971, it was only December 24. For our country, the day of the exceedance is May 5. All the signals are red: we have entered the sixth mass extinction of species, the current trajectories lead us to four degrees of global warming in 2100 and the world will see 250 million climate refugees in 2050. The effects are already there: 2017 was the third consecutive year of exceptionally warm temperatures, with 710 extreme weather events and 10,000 dead. In the cities, as I speak to you, our citizens are stifling under the influence of extreme heat and pollution. [[Exclaims on the banks of the LaREM Group]] In a Sunday Journal interview, Mr. Hulot, you are calling for a sacred climate union. But aren't you a minister? So start by achieving your sacred union within your own government! It is true that you are the minister of a government calling for the cancellation of Europa City, a project that contributes to the artificialisation of the land; a government that straddles our strategic water reserves and signs free trade treaties such as the CETA – Comprehensive Economic and Trade Agreement – or the JEFTA – Free Trade Agreement between Japan and the European Union – which increase the world's large-scale move; a government that allows greenhouse gas emissions to increase by 3 per cent per year, despite its international commitments; of a government that pursues a policy for the rich with, for the sole word of order: "Let them die and, after us, the flood! »
ParlaMint-FR_2018-08-01-E1044.u89	What are you proposing?
ParlaMint-FR_2018-08-01-E1044.u90	You want to present a plan to adapt to climate change: very well! But start by stopping taking measures that are harmful to ecology. Contrary to what you seem to believe, we cannot, at the same time, sink and get out of it. The top 90 extractive companies are responsible for 50 per cent of global temperature rise and 30 per cent of sea level rise. It cannot be recognized at the same time that these policies of the last century are at the root of the ecological emergency and continue to do so. Your new world looks above all like the end of the world [[Applause on the benches of the FI and GDR groups. – Exclaims on the banks of the LaREM and MODEM groups]] When will you finally begin the inevitable transition of our country's production and consumption model? When will you understand that your policy is based on an outdated model of society?
ParlaMint-FR_2018-08-01-E1044.u91	The Secretary of State to the Minister of State, Minister for Ecological and Solidarity Transition, has the floor.
