ParlaMint-FR_2018-01-16-O1111.u1	The next item is the question to the Government.
ParlaMint-FR_2018-01-16-O1111.u33	The Observatoire français des conjunctures économiques has just, in its own way, made a severe denial of your speech by showing, in its latest study, that the richest are indeed the first beneficiaries of your budget. What does the OFCE tell us? That the richest will be the best served by your reforms, since "only the 5 per cent of the wealthiest households... will receive 42 per cent of the gains." On the other hand, the same body considers that, for households at the bottom of the distribution, the adjustments at the end of the year [...] will not compensate for the increase in indirect taxation". If we add your refusal to the SMIC with a boost, the increase in many rates such as gas or mutuals, the increase in the generalised social contribution – CSG – for pensioners or the decrease in the personalized assistance to housing – APL – will result in a decline in income for the most modest French people. Prime Minister, by extending the revenues of previous governments, those of the old world, you continue to deepen the inequalities between the French. A society that is increasingly unequal is a society that is regressing. [[Applause on the benches of the GDR group and on several benches of the NG and FI groups]] Do you finally intend to take social justice measures that will reverse this trend and put our country back on the path of progress?
ParlaMint-FR_2018-01-16-O1111.u34	The next speaker is the Minister for Economic Affairs and Finance.
ParlaMint-FR_2018-01-16-O1111.u35	Mr. MP, you could also have recalled in your speech that the Government has decided to upgrade the allowance for adults with disabilities.
ParlaMint-FR_2018-01-16-O1111.u36	Who pays?
ParlaMint-FR_2018-01-16-O1111.u37	You could have recalled that he decided to exceptionally increase the income of active solidarity – RSA.
ParlaMint-FR_2018-01-16-O1111.u38	It's the departments that pay!
ParlaMint-FR_2018-01-16-O1111.u39	[[Applause on the benches of the REM group]] You could have recalled that he decided to maintain the tax credit for the least-favoured people, so that they could pay home help. You could have recalled all these elements which, strangely speaking, do not appear in the OFCE report. [[Applause on the benches of the REM group]] The French economic and social model is the spirit of conquest and solidarity – both at the same time. We will maintain the two amounts of this model. [[Applause on the same benches]] We are doing so with all the measures that have been taken for the most modest households, which I have just mentioned. We are also doing so by restoring this spirit of conquest, with a fiscal policy that will effectively enable our businesses to grow, create growth and jobs, because the first of the inequalities is the increase in unemployment in our country and inequality in employment. [[Same movements]] The old policy was to redistribute wealth before creating it. We make a different choice, that of creating wealth before we redistribute it, so that everyone can find a job and an activity in our country.
ParlaMint-FR_2018-01-16-O1111.u40	It's only for the rich! So, congratulations!
ParlaMint-FR_2018-01-16-O1111.u41	Finally, Mr President, I have made this fight against inequalities one of the key elements of our action at the Ministry of Economy and Finance, in particular by organising the "Rendez-vous de Bercy", which was devoted to the fight against inequalities in France, Europe and the world. [[Applause on several benches of the REM and MODEM groups]] We have begun work on the subject. We will continue to fight for inequality not to grow in France, and I invite you to participate in our work.
ParlaMint-FR_2018-01-16-O1111.u42	The next speaker is Mr Michel Lauzzana, for the La République group on the move.
ParlaMint-FR_2018-01-16-O1111.u43	My question is for the Minister of Economy and Finance. First of all, I would like to give my full support to the families of the victims of milk contaminated with salmonella. Nearly forty children have been diagnosed with salmonellosis in France, not to mention cases that appear abroad. As a doctor, I know all the consequences. Mr Minister, in addition to the legitimate feeling that this situation has aroused among the public, we must learn all the lessons from the dysfunctions encountered. If a judicial investigation is under way, it is nevertheless up to Parliament to question these malfunctions and, if necessary, to legislate to prevent them from happening again in the future. Because this scandal undermines the attractiveness of our companies abroad and weakens the entire dairy sector, which is already experiencing a period of crisis. It also undermines the trust that must bind consumers, distributors and producers. We need to analyse why the control mechanisms within the company Lactalis did not work. In addition, how have the players in the large distribution sector been able to ignore recall requests and thus continue to market these contaminated milk boxes? But this problem is far from being limited to large-scale distribution: cans of contaminated milk have been found in nurseries, pharmacies and even hospitals. Zero risk does not exist and will never exist. However, it must be noted that procedures have failed and can therefore be improved. Food security is a right that we owe to all our citizens. [[Applause on several benches in the REM group]] Minister, how can the state better control the food we eat in order to reassure consumers? What immediate steps have you taken and what are you planning to take to limit the emergence of such problems?
ParlaMint-FR_2018-01-16-O1111.u44	The next speaker is the Minister for Economic Affairs and Finance.
ParlaMint-FR_2018-01-16-O1111.u45	Mr President, this crisis in infant milk has shown a whole series of unacceptable failures throughout the production and distribution chain. The action of the Government, that of Agnes Buzyn, Stéphane Travert and myself,...
ParlaMint-FR_2018-01-16-O1111.u46	Agnes didn't say anything! Nothing!
ParlaMint-FR_2018-01-16-O1111.u47	...is characterised by very simple elements. First, the controls. It was as a result of these controls that I decided on 9 December to take a decision to withdraw 600 lots representing several hundred tons of products, as a precautionary principle and to avoid the recurrence of suspicious consignments on the market.
ParlaMint-FR_2018-01-16-O1111.u48	It's been a long time!
ParlaMint-FR_2018-01-16-O1111.u49	Transparency was achieved on the results of investigations conducted by the Directorate-General for Competition, Consumer Affairs and Fraud Prevention.
ParlaMint-FR_2018-01-16-O1111.u50	It's been a long time!
ParlaMint-FR_2018-01-16-O1111.u51	All results were given for batches that could remain in circulation. 2500 additional checks were carried out, and next week I will provide their exact results, so that all French people are informed, as well as the effectiveness of the withdrawals of suspicious lots. The second key element is responsibility. The responsibility of the producer, first of all: the responsibility of not putting into circulation products that could not be safe. It will be up to the judiciary to take the necessary steps and establish the responsibilities of the industry in this area. But the responsibility is also that of the distributors: when withdrawal decisions are made, the distributors must ensure that no more lots, no more boxes can be sold to a consumer. So I brought the distributors together to ask them to take the necessary action. We will make proposals in the coming weeks to improve withdrawal and effective withdrawal arrangements when a crisis like this occurs. [[Applause on the benches of the REM group and on several benches of the MODEM group]] As you can see, the key words of the Government, in all its actions, were transparency, vigilance and responsiveness, in order to guarantee the health safety of the consumer.
ParlaMint-FR_2018-01-16-O1111.u52	The next speaker is Mr Boris Vallaud, for the New Left Group.
ParlaMint-FR_2018-01-16-O1111.u53	Prime Minister, last week, the New Left Group received a large number of associations working with women, men and children who, after thousands of kilometres, ran aground on our coasts, in our towns and villages. These associations denounce the grubbing up of blankets, the laceration of tents, the circular of your Minister of the Interior which organizes the administrative census in the emergency accommodation centres and questions the unconditionality of the reception. Many of these associations doubt your word. Today in the newspaper Le Monde, Jean Pisani-Ferry, Thierry Pech, intellectuals and trade unionists wonder about the duplicity of the presidential speech on this subject, fearing a double language, "that of the stands", on the one hand, "that of the night", on the other hand. My question is to remove doubt about this possible duplicity. On 20 December, your government announced in its draft law on immigration and asylum that it would renounce the possibility for France to send asylum seekers back to a safe, non-European third country through which they would have passed before arriving. However, your Government is negotiating at the European Council a draft regulation "instituting a common procedure for international protection" which very broadly defines the concept of a safe country, without, for example, considering whether there is protection under the right of asylum comparable to that of the countries of the Union; The text even proposes that countries whose regions are at war and where certain categories of people are threatened should be considered safe. This draft regulation would be directly applicable and would lead to the establishment in France of the option which you seemed to have abandoned last December. [[Applause on the benches of the NG group and on several benches of the GDR group]] Prime Minister, can you confirm that the position chosen at national level will not be contradicted by your Minister of the Interior at the European Council? Can you confirm that you will oppose this draft regulation and that you are not subreptitiously negotiating in Brussels what you claim to abandon in Paris?
ParlaMint-FR_2018-01-16-O1111.u54	That's bullshit!
ParlaMint-FR_2018-01-16-O1111.u55	The Minister has the floor to the Minister of State, Minister of the Interior.
ParlaMint-FR_2018-01-16-O1111.u56	[[Smiles and exclamations on the benches of the NG group]] Mr President, I have heard your question, and I would like to say right away that we respect, of course, intellectuals and economists, who are essential to democratic vitality and to inform decision-making.
ParlaMint-FR_2018-01-16-O1111.u57	You respect them when they go your way!
ParlaMint-FR_2018-01-16-O1111.u58	[[Exclaims on FI banks]] The President of the Republic is now in Calais to dialogue on the ground with all the actors in migration policy – elected representatives, associations, as well as security forces – and to recall the Government's line in this area. This line is clear: humanity and efficiency. Humanity, because it is the honour of France to welcome those who flee the theatres of war, who, in their country, are subjected to persecution for political, ethnic or religious reasons. Effectiveness, because the right to asylum cannot be guaranteed without controlling migratory flows, without bringing those who are not destined to stay on our soil back to the border.
ParlaMint-FR_2018-01-16-O1111.u59	Apply the law!
ParlaMint-FR_2018-01-16-O1111.u60	The figures for the asylum application have recently been published; You know them: more than 100,000 people have applied for asylum this year. We also know that 85,000 people have been denied entry to the border. The Minister of the Interior often recalls that the equivalent of the city of Rennes cannot be welcomed with dignity every year.
ParlaMint-FR_2018-01-16-O1111.u61	Answer the question!
ParlaMint-FR_2018-01-16-O1111.u62	[[Exclaims on FI banks]] [[Exclaims on the benches of the LR group]] [[Exclaims on FI banks]] [[Exclaims on various benches]] I'm answering, ma'am. The position of the Government is clear: humanity and efficiency. The next Immigration and Asylum Bill, currently being drafted, will aim to implement this policy. I was in Matignon last week, with the Prime Minister and the Minister of the Interior, to present the main points of the project to the associations, with which we naturally pursue dialogue and work. I want to say to finish...
ParlaMint-FR_2018-01-16-O1111.u63	Thank you, Madam Minister.
ParlaMint-FR_2018-01-16-O1111.u64	[[Applause on several benches of the REM and MODEM groups]] ...that we trust all the staff who work to welcome migrants.
ParlaMint-FR_2018-01-16-O1111.u65	Mr Buon Tan, on behalf of the Group of the European People's Party, is speaking.
ParlaMint-FR_2018-01-16-O1111.u66	Mr Minister for Europe and Foreign Affairs, the President of the Republic's recent State visit to China was very much expected, both by the leaders and by the Chinese people. This was the President's first trip to Asia; and Emmanuel Macron was the first Head of State received by President Xi Jinping since the 19th Congress of the Chinese Communist Party, and the first in 2018. The Franco-Chinese relationship, elevated to the rank of global strategic partnership in 2014, has now entered a new phase. The choice of the President of the Republic to visit China once a year heralds a close and regular relationship. During this trip, all the topics were discussed between the two presidents, even the most difficult,...
ParlaMint-FR_2018-01-16-O1111.u67	[[Smile]] Like the pandas!
ParlaMint-FR_2018-01-16-O1111.u68	... and two in particular have my attention: the climate and the economy. With regard to climate, following the withdrawal of the United States from the Paris agreements, China has become our main ally in the climate challenge. We were able to see China's commitments and achievements in this area during the move of the France-China friendship group to Beijing last December. In economic terms, beyond the many agreements signed and the lifting of the beef embargo, this trip laid the foundations for innovative collaborations between France and China. For example, the France-China partnership for Africa's development, which is beneficial to all and preserves the interests of the African continent.
ParlaMint-FR_2018-01-16-O1111.u69	Really?
ParlaMint-FR_2018-01-16-O1111.u70	[[Applause on several benches in the REM group]] At a time when China is developing a vision and projects over several decades, particularly through the new silk roads, I would like to know, Minister, your plans to coordinate our action with the European countries, to rebalance our trade relations and to make this project beneficial for France and our companies. More generally, what follow-up will be given to this historic visit for relations between our two countries?
ParlaMint-FR_2018-01-16-O1111.u71	The next speaker is the Minister for Europe and Foreign Affairs.
ParlaMint-FR_2018-01-16-O1111.u72	Mr Macron, you are right to recall this: it was President Macron's first visit to Asia, and it was also the first visit to China by a foreign president after the 19th Congress. This visit helped to set the roadmap for our relations for the next five years, in order to define an agenda and deadlines. It has also resulted in the signing of some 50 agreements and contracts, whether legal or commercial. I will mention in particular the agreement in principle on the nuclear waste reprocessing plant in China. In addition to opening up the market to beef and veal,...
ParlaMint-FR_2018-01-16-O1111.u73	The lifting of the embargo is me! March 3, 2017!
ParlaMint-FR_2018-01-16-O1111.u74	... other agri-food topics are being discussed, as are others related to health, aging, academic exchanges and ecological transition. With regard to the Silk Road, in his speech to Xi'an, the President of the Republic announced France's openness to such an initiative, provided that it is not unilateral and that, as with any road that respects itself, the exchange exists in both directions. We believe that market rules, particularly with regard to opening up the Chinese market, must be fair and fair. Moreover, trade relations between China and France must respect the industrial property of our companies. [[Applause on several benches of the REM and MODEM groups]] We've set an agenda. The President of the Republic will visit China annually. President Xi Jinping has been invited to come to our country in the coming months. On the question of Korea, we have had very positive exchanges, allowing us to address this issue with a relative convergence of views. We have also raised the issue of human rights and fundamental freedoms.
ParlaMint-FR_2018-01-16-O1111.u75	The next speaker is Mr Arnaud Viala, for the Group of the European People's Party.
ParlaMint-FR_2018-01-16-O1111.u76	Prime Minister, as good wishes for the year 2018 to the French, you have in particular informed them of your decision to lower the speed limit on the entire two-way secondary network without a central separator to eighty kilometres per hour. Nice gift! No one today challenges measures aimed at reducing the scourge of road mortality and irreversible sequelae; But, in this case, the French need explanations. What proves that this measure will have beneficial effects? No study, no debate, even in Parliament, where you are triggering an epidemic of acute schizophrenia among members of your majority. Such a step-by-step restriction with the modernisation of our vehicles and roads will, on the contrary, lead to the proliferation of risky behaviour, especially in order to exceed heavy goods vehicles. What do you say to the French in rural areas – like those in my department of Aveyron, for which your measure concerns 98% of the road network, since there are almost only secondary roads without separator – whose attractiveness and economic and residential competitiveness depend on the mobility of those who live there? The least we can say is that you spoil them: CSG rise,...
ParlaMint-FR_2018-01-16-O1111.u77	This has nothing to do with it!
ParlaMint-FR_2018-01-16-O1111.u78	... gasoil increase, and now, dark cut on their journeys! Do you want to empty our rural world? What about the exorbitant cost of signal replacements? Wouldn't that money be better spent on accident-prone areas? Finally, tensions will arise everywhere between our fellow citizens and our law enforcement agencies, when sanctions are raining, even though our police officers and gendarmes are in particular in need of massive support in their day-to-day peacekeeping missions. [[Applause on the benches of the LR group. - "Oh! » on many benches of the REM group]] [[Applause on the benches of the LR group]] In 1966, Georges Pompidou, then Prime Minister of General de Gaulle, exclaimed: "But stop bothering the French! " It perfectly reflected France's feeling of 2018 in the face of your incomprehensible decision.
ParlaMint-FR_2018-01-16-O1111.u79	The Prime Minister has the floor.
ParlaMint-FR_2018-01-16-O1111.u80	Member of Parliament, every year, 3500 people die on French roads, 72000 injured, including 25,000 seriously, the population of Rodez, in Aveyron! For these serious injuries, the sequelae are permanent: amputees, people who have traumas or injuries so lasting that their lives are sometimes permanently transformed.
ParlaMint-FR_2018-01-16-O1111.u81	But it's not speed!
ParlaMint-FR_2018-01-16-O1111.u82	It can be said that this only happens to others or wishes; But you know like me, we all know, ladies and gentlemen, that this scourge strikes us all...
ParlaMint-FR_2018-01-16-O1111.u83	No one said it wasn't!
ParlaMint-FR_2018-01-16-O1111.u84	[[Applause on the benches of the REM group. – Exclaims on the benches of the LR group]] ...and he's hitting us more and more. Despite the improvements in the vehicles you mentioned, MP, there are more deaths this year than last year, the previous year and the previous year. We are experiencing a reversal in this public policy for the security of the French. Mr President, 92% of serious road accidents are due to an error in human behaviour; 4 per cent at vehicle failure; 4% to the maintenance of the road network. It is therefore the behaviour that needs to be corrected. The plan I have presented contains severe measures concerning the use of alcohol and narcotics, as well as driving without a licence – you know that.
ParlaMint-FR_2018-01-16-O1111.u85	We agree on that!
ParlaMint-FR_2018-01-16-O1111.u86	In a systematic way – as you also know – speed is an aggravating factor. On the roads you mention, it is responsible for almost 60% of serious accidents. The measure we are taking is unpopular, as were the measures taken by Jacques Chirac in 2002...
ParlaMint-FR_2018-01-16-O1111.u87	They were useless!
ParlaMint-FR_2018-01-16-O1111.u88	...to reduce the number of accidents. However, these measures have borne fruit.
ParlaMint-FR_2018-01-16-O1111.u89	That's right!
ParlaMint-FR_2018-01-16-O1111.u90	Similarly, the measure which made it mandatory to wear the seat belt in 1973 was unpopular, although it had positive effects. [[Applause on the benches of the REM and MODEM groups]] We will not earn any extra money with these measures. All additional revenues will be paid to the medical and social centres that deal with those who have suffered a serious accident. This revenue will not be pocket money for the state: it is to reduce the number of victims injured or killed on the roads and to achieve collectively better results. Without wishing to be controversial about such a subject – we should not be, I believe, even if I understand bad mood, even scepticism –...
ParlaMint-FR_2018-01-16-O1111.u91	It's demagogy!
ParlaMint-FR_2018-01-16-O1111.u92	...I just want to say one thing to you: 3500 dead a year, on a quinquennium, it represents nearly 17,000 dead, a city like Fécamp that is razed off the map! As for the 24,000 serious accidents, I told you, the population of Rodez, every year. We can do better, and the measure I have proposed will allow us to do so. [[Applause on the benches of the REM and MODEM groups and on some benches of the LR group]] If in two years' time, on 1 July 2020, when we take stock of all the measures taken in the plan that I have presented, you find that there is something to say again, I suggest to you, Member – you will be there; I cannot say that I will be there – that you and I, who know us and we believe, have this discussion. And something tells me, Congressman, that she'll take a bit of a different turn.
ParlaMint-FR_2018-01-16-O1111.u93	Mrs Geraldine Bannier, for the Group of the Democratic and Related Movement, has the floor.
ParlaMint-FR_2018-01-16-O1111.u94	Mr President, ladies and gentlemen, my question is to the Minister for Agriculture. Mr Minister, Member of Parliament for the district where the Lactalis plant in Craon is located, I would like first of all to express my full solidarity to the families affected by the contamination of infant milk, both in France and abroad, to the employees affected by the technical unemployment measures and to the officials of the State services accused of what looks like a series of malfunctions, both at the production site and during the procedure to be improved withdrawal-recall. Only justice will be able to update and clarify these malfunctions; The main thing is that the infants return to health, that the company can operate again in a perfect safety environment and that the employees regain their serenity. I had planned to go back to the history of this case, but in view of the speeches that have taken place and the numerous press articles, my question will focus on the potential impact of this health crisis on dairy producers under contract with Lactalis. The P.D.G. the undertaking has undertaken to ensure that the collection is ensured in full and maintained regardless of the duration of the cessation of production; the site would not be closed; Lactalis is also committed to the price of the litre of milk paid to producers. However, the impact on the image of milk may be significant. Our producers have gone through years of deep crisis and have seen with relief the price of milk set again at 330-340 euros per tonne at the end of 2017. They expect a lot from the general states to finally get a fair and rewarding remuneration for their work; It would appear that they would receive a tariff of only 320 euros per tonne for January-February. [[Applause on the benches of the MODEM and REM groups]] A few days away from a farmers' demonstration, can you, Minister, confirm Lactalis's commitments and discuss the measures that the Government could put in place to accompany our producers?
ParlaMint-FR_2018-01-16-O1111.u95	The next speaker is the Minister for Agriculture and Food.
ParlaMint-FR_2018-01-16-O1111.u96	Madam Member, I know the concerns of the Lactalis Group and the dairy producers; But I also know the concern of the parents whose children became ill because of salmonella contamination at the Craon site. You fear that this case will undermine the reputation and the economic strength of a sector, but as Minister for Food, I affirm that health safety is a prerequisite and a prerequisite for obtaining consumer confidence in products placed on the market and for ensuring the overall performance of a sector. I stress the role and responsibilities of everyone in the food chain: as in any chain, the links are interdependent and each one is accountable to others. The company must provide its customers with a healthy and perfectly controlled product; to ensure the effectiveness of the risk control systems of each of the actors. These controls cover the entire food chain, from fork to bottle, and are carried out in a complementary manner by the departments of the ministries responsible for agriculture and the economy. [[Applause on the benches of the REM group as well as on some benches of the MODEM group]] At my request, I received this morning Mr. Emmanuel Besnier, P.-D.G. After this question-and-answer session to the Government, I will bring together the entire dairy sector to take stock of the situation, the actions to be taken and the first lessons to be learned. With regard specifically to the Craon plant, I made sure that the P.-D.G. of Lactalis of the continuity of the collection of milk and of the maintenance of the employees of the group. As for the lessons to be drawn from this case, they are fully in line with the road map of the food states which is the basis of the bill that I will present to the Council of Ministers on 31 January.
ParlaMint-FR_2018-01-16-O1111.u97	The next speaker is Mr Alexis Corbière, for the Group of the European People's Party.
ParlaMint-FR_2018-01-16-O1111.u98	[[Applause on the benches of the FI group. – Protests on the benches of the REM group]] Mr President, ladies and gentlemen, my question is to the Minister for Higher Education and Research. In the very near future, universities will have to indicate on the new platform called "Parcoursup" the criteria they will use to evaluate the dossiers of high school students and to enable them to eventually integrate the different curricula and trainings they offer. The draft law on the guidance and success of students has, for the time being, only been passed by this House once, and still needs to be considered by the Senate; The law has therefore not yet been adopted. How can universities be asked to implement a law that does not exist? Why spread a fake news? For our group, this contempt – for it is one! – parliamentary democracy is scandalous. [[Applause on the benches of the FI group]] [[Protests on many benches]] But it is worse: by imposing such time limits on universities, you force them de facto not to draw up by themselves the educational expectations for their training; In reality, it is the very idea of orientation that you are flouting. Basically, what is the philosophy of your project? It is the introduction of a selection at the university that does not say its name since the right files, according to general criteria, will be kept when apparently less good files are discarded. While the idea of this reform, as you presented it, was to value the specifics of the course of each high school student, the uniformity of the criteria that will be retained in concrete terms burying this ambition. It's a Pandora's box that you've opened: attests to the mobilization that was necessary at Clermont Auvergne University in order to remove socially discriminating criteria: to have completed a language stay, which is not within the financial reach of all families, or to have had paid work during schooling – as much as to be from an economically affluent family.
ParlaMint-FR_2018-01-16-O1111.u99	It's the other way around!
ParlaMint-FR_2018-01-16-O1111.u100	[[Applause on the benches of the FI group]] Similarly, in a department of the University of Paris-XIII, a proposal was made to sort students according to their original baccalaureate; allow the professional high school teacher that I am to indignation! Madam Minister, what justifies your haste? I greet you and wish you a happy New Year.
ParlaMint-FR_2018-01-16-O1111.u101	The Minister for National Education has the floor.
