ParlaMint-NO_2011-12-02.ana.ud1812e24	The representative Lise Christoffersen, who has been licensed, has again taken the seat.
ParlaMint-NO_2011-12-02.ana.ud1812e132	The latest figures show that the percentage of data on crime — reports — in Norway has increased to 40.7 pst. in the first half of 2011. It's high. In 2009 the figure was 34 pst. The Directorate of Police survey showed that 94 pst. among the population of Norway, they feel safe in their environments. We also see that the number of reports of crime in Norway has decreased by some tens of thousands since the turn of the century. It is not the case that Norwegian society is on the defensive in terms of crime. On the contrary, I believe that we are on the offensive, and that this budget also provides the basis for a further offensive. It is good that the government is able to clarify measures after terrorist attacks on 22 July as quickly as it has done in this budget, that a number of things are put forward that there is no doubt that we should get started right away. The main discussion on the measures to be taken by the Stortinget after 22 July – the experience gained from it – comes in the context of the special committee we have set up here at Stortinget to look at the statements made by the Minister of Justice and the Minister of Defence. It also comes when the 22nd July Commission comes up with its report in August next year. It's good that the government shows that you don't wait for the main debates here at Stortinget until you grab hold. What is being done about helicopters and reserve helicopters, more crews for them, Emergency Network, which is the very largest budget allocation, more investment in the PST, upgrading the emergency team, getting funds in place and people to deal with the new scale of the victims' cases after July 22, what is being done to put money into the investigation that is being done immediately, and what is being done in this budget – investigation, prosecution, courts – to deal with the terrorist issue is excellent. I think there's a great deal of excitement on the Stortinget that you show that you can take action right away. But it is also important that we keep an eye on the development of costs in these areas, especially for the courts and prosecutions, which are the ones that get the greatest pressure in the year that comes, after the investigation efforts of the police begin to wane. It is true, as the chairman of the committee also stated, that in the years to come, the main task in the justice sector is to achieve the objective of the 2020 strategy, namely two police officers per 1000 inhabitants. We have set out a plan for it through this strategy. The chairperson of the Committee raises the question of whether we are on our way. I think we're on our way, because we've begun to pick up the number of police students we need to achieve that goal. We started with it from 2010 -- 720 students per year. It is three times more than in the years 2002–03. We're still doing this in 2011 and we're adding up to the same thing in 2012. If it continues – as it has to – in the years ahead, until 2020, it will, until then, for eight years, come 720 students out of the Police College. Then we want a different situation than the one we had so late this summer, when 422 went out of high school. So we want far more to recruit into the police in the period that comes from 2013. I think we have to think that there will be a slightly different situation when so many come out of high school. It won't be that it can immediately stand 720 jobs ready for them in the police. It will have to be a phase in which you work on recruitment, filling up for those who retire in the years that come – that you have a process where they get into the police. That process has been successful. From 2006 to the hill that went out in 2010, has 94–95 pst. of those who went out of the Police College every year, working in the police a year later. There's an unusually high number in relation to other colleges, and the number of people taking a job in the police wants to use their education. Of those who graduated from the Police College this year, in the summer of 2011, 383 are on 15 November who have passed the exam, i.e. also passed the shooting test, etc., and of them, 329 are now employed by the police in different ways. It is true that some people are temporary workers, etc., but I think that in most professions you have to realize that will be the case in transitional stages. I believe that when we have also allocated funds to 202 posts to recruit those who then come out of the Police College, which is 522 – 722, it will only be from 2013 onwards – there are a number of positions that need to be weighed up against the number that are also going out of retirement, and the number that you have to fill up after for other reasons, so that you have a realistic plan to get those who leave the Police College next year, into the police. This is a big task for the Stortinget to do in the years to come, and I think the very biggest promise comes from 2013, when we get 720 pieces out of the Police College. It's important that we can stick to that goal, that one. It's going to be a big problem for all governments until 2020, and also that we don't put our legs under each other and already say that it doesn't work, that this problem can't be solved. It's true, as the chairman of the committee says, that the police coverage, the number of uniformed police officers per thousand, has not increased in recent years. That's right. I think it's important that we are honest and proper about the facts, so that we have a common background to work with these matters. But it is also right to bear in mind that the total figures for annual police work have increased since 2006 – there are probably 1,600 more annual police work, but there are also civilians. One of the reasons we've had to spend a lot of time on civilians is that there aren't enough students from Police College that we've been able to increase the police coverage. We've also got a police agreement, which gives at least 230 more years' work in the police department, as a result of working one more hour, which comes in addition to that. When we get new resources in the police, we have to work to make good use of resources, for example. working on the performance reform, which will be the next major issue to be addressed by the Justice Committee and the Stortinget on the Justice page. The reform of results comes as a result of a process that began with the police role message, which was presented by the previous government. It was followed up by a crew analysis, which is the 2020 strategy, with two police officers per thousand, which came in 2008, and which was followed up by an operational analysis carried out in 2009 — an operational analysis of a number of police districts on how to use their resources in practice, and which is now to culminate in the performance reform coming in autumn 2012. It will be a crucial matter for the Storting to discuss. As the chairman of the committee was also concerned, it is important to make good use of the resources. Interesting input has been made into the discussions until now. One thing that the Committee stresses in the setting, and that we, on our side, would also stress, is the work on measurement criteria. It is important that the police, when using their resources, do not use them artificially because they have artificial measurement criteria, such as: Over-emphasis on the number of road traffic offences or the number of simple drug offences detected — it provides a little artificial achievement of the targets in relation to what is required of interventions, e.g. to cooperate on major organised crime issues. Big things like, for example, MC crime, which we talked about here in the Storting yesterday, requires cooperation between the police districts, long-term work and heavy resources. It will not give the same pronunciation in the existing measurement criteria, so it is important to adjust it. Similarly, it's important that the measurement criteria are arranged so that we get the police out of there among people, that we manage to make demands through the measurement criteria, so that we get the effect, that people look at them on the street at all times of the day, and that it works according to purpose. There are several ways of designing the measurement criteria and achieving that effect. One of the things we've been recording in the discussion is to demand that you be in touch with your audience, your population, for example. through a permanent police system, where a certain number of people know which police officer they have to deal with and can keep in touch with, even when there are no emergency cases. We will address these kinds of questions when we come to the reform of results. I also think that other parties have raised interesting discussions, for example, how we avoid that the retirement age of 57 makes us lose too many good police officers too early, who could have worked in completely different ways in the police. There we have to find other solutions to what is the situation today. It requires cooperation from police organisations. If not, the question of 57 years of age will be a debate. We need to be able to find ways to get more policemen to use all the experience they have — many can be young and speak when they are 57 years old — to make an effort for a number of years in the police in the future. There are also several other key points to develop the fight against crime. We know that we have struggled with the introduction of ICT in the police. There it is that in this draft budget the government is now beginning to earmark funds, as the chairman of the committee called for. That's 80 million. kr earmarked in this budget. We hope and believe that the amount should increase in the coming years, so that we take care that the operation in the police districts is not disproportionately affected by investment in ICT. It is also important that we have a common approach to the situation. In the budget proposal, the government said that it was set aside approximately last year. 250 million. kr around the police for ICT. They say they're going to continue this to next year, and then they have the earmarked 80 million. kr to be used as well. The opposition, as well as the Police Union, have said that this is 450 million. SEK – 480 million. kr. That's more than 200 million. kr will decide very much on what action space is actually in the police for next year, but I believe that the Storting, and of course we in the government parties, relate to the framework described in the budget. I think we're all well served that we have a common starting point for the kind of numbers that are in the budget proposition. It is also important that the government follow up on what was raised by the Storting in the previous budgetary position, and in particular on organised crime, namely online crime, cybercrime or cybercrime. As we wrote in the attitude of the Biggest Report on Organised Crime, a separate working group in the Police Directorate has now been set up to get into that work. The government is now proposing a budget of between 15 and 16 million. kr extra to Kripos, to the data-space department that is being built there. Here's a very difficult task that almost towers up in front of us, because this is a lot of broken ground. Only to mention one field where much needs to be inserted: capacity to search when making seizures. Just as you search elsewhere, you have to search computers and mobile phones. The competence to carry out the research of electronic equipment is a crucial part of the resolution of many criminal cases, and very many police districts do not have the competence to carry out that type of investigation, do not have that type of team. Here, the assistance from Kripos is absolutely crucial. But it's a difficult task to build up these resources enough in the years to come. I have mentioned some key issues that we are now discussing in order to renovate the work of the police, the work against crime. There are also many other important issues to discuss in the budget proposal, on which other of our representatives will address. But I just want to say that in the case of criminal justice, as the committee chairman mentioned, when this government took over, it was a line for reconciliation that was up to 3,000. By establishing 870 new places, including the electronic forms of reconciliation, the queue was reduced to almost zero. Then the police's efforts increased, the percentage of information, strongly last year, so that we got more people into prison, got more convicted, which is good. Then it's true that the queue increased to 1,200 –1,300 from almost zero. But you also have to say that the queue is now on its way down. According to the last numbers we've got, it's probably 900 that's now in the queue. So there's a good job in these fields. New measures are also being introduced. There should be more compensation transfers to the rest of the world. You get up to approx. 50 this year. At least that is a big step forward in relation to previous years. As these settlement transfer agreements are under way, the volume of this will increase sharply. We'll get back to more questions along the way. But we are satisfied with a budget that brings us on the offensive.
ParlaMint-NO_2011-12-02.ana.ud1812e174	It's going to be access to line change.
ParlaMint-NO_2011-12-02.ana.ud1812e177	I just want to give credit to the representative Jan Bøhler, the Legal Spokesman of the Labour Party, because he's honest. So he says in his post that he can't guarantee all newly trained police students jobs. It is a bit of a declaration to come from the prime justice politician for the government parties here in the Stortinget. You're the world for a signal to send to those who believe they're going to have a professional career in the police post-Police College! So Jan Bøhler has to find room for these on the social security budget before he can then hopefully hire them in the police. Can the representative Jan Bøhler guarantee that in 2020 we have two per 1 000 inhabitants in operational positions?
ParlaMint-NO_2011-12-02.ana.ud1812e184	I think it was an uplifting start on the post to the line edge, but it fell very slowly! I'm saying 94-95 pst. by all those who have graduated from the Police College from 2006 to 2010, have got a job in the police department. A guarantee of a job right away is no education group in Norway. There is no educational group in which there is similar pressure, similar efforts to get everyone into the job as soon as possible, as we have towards political students. We're doing everything we can to achieve this. In the strategy towards 2020 that Kielland Asmyhr and also the case rapporteur talk positively about, it is of course that with those who go out of the Police College, we also have to fill out natural departures. It has nothing to do with being dependent on social security funds. But everyone knows that policemen are gradually getting so old that they're going to end up in the police. Then we also have to train people who are ready to take their jobs. So I really don't understand the problem. The new thing is that the Progress Party will provide a guarantee that there will be 720 jobs clear every year after the students leave the Police College. I can't give that guarantee. But we've achieved 94-95 pst. every year. That is a good result – we still have to do that.
ParlaMint-NO_2011-12-02.ana.ud1812e193	When the representative of Bohemia refers to 95 p.m., he does not talk about those who have not completed in normal time. And he should also take that into account. Can the representative, Mr Bøhler, say anything about how much police coverage is going to increase on the basis of this budget, and guarantee that we will at least reach the target of police coverage of at least two per 1000 inhabitants by 2020? It's set at 140 million. kr for new jobs, but ICT investment will cost between 250 million. NOK 350 and SEK 350 million. kr. So you're left with negative 200 million. kr on the operating budget for the recruitment of people. Can the representative Boehler say what the police coverage is going to be during 2012, and can he guarantee that we will get two per 1000 inhabitants by 2020, when we are now so strong in deficits?
ParlaMint-NO_2011-12-02.ana.ud1812e202	I said that the real, powerful, increase in police coverage per 1,000 people is going to start when we train 720 per year – which is based on the Police College. It will be from 2013. Over the next eight years, Stortinget has supported the 2020 strategy that is there and that builds it gradually towards 2020. After all, governments are going to have to face up to 2020 – each and every one of them. I also hope the Storting will put up with it. I cannot stand here and give any guarantee on behalf of all the governments. I can't now calculate the population development to next year and what the 522 high school police students going out to next year will exactly give in police coverage. But the real increase, even as it is in the 2020 strategy, will occur from the beginning of 720 students from the Police College.
ParlaMint-NO_2011-12-02.ana.ud1812e207	I'm glad we're inside an honest corner, it always makes the debates much better. I am not so happy with guarantees, because I agree with the representative of Bohemia that there is a lot to be done by 2020 before we know whether we are actually achieving the goals that we have set ourselves. But I have to admit that I have the sense of representative Bohemian, because he is a good representative, but also because he is always willing to think a little new and often think loudly. I want to challenge you a little bit further, because we see that there is a decrease in the police force. We were up to 1.8, now we're down to 1.5 and 1.6 per 1,000 people, and at least we're not going the way we want to go. That's why I want to challenge the fractional leader from the Workers' Party a little bit on what we really want. Do we want to reach two per 1,000? Is there something that the representative believes is realistic? Or will the representative begin to think that maybe one has to change that goal, based on where we are today?
ParlaMint-NO_2011-12-02.ana.ud1812e216	720 per year from 2013 to 2020 gives 5,760 newly trained police officers access to the police. We have to combine it to work better with, among other things. The pension schemes — which means that more people are left behind after 57 years, so that more people are left in the police — with other measures that can keep us in the resources, keep people in the police. Of course, we need more civilians into the police – there is another part of this package in terms of increased police efforts – but two per 1,000 are police officers. I believe that the objective is clear that we are following the plan set for it. I think it would be much more reassuring if the Stortinge put it up for it and said that this we think we should do. It's going to be a big promise to get budgets in the years to come that can achieve that goal. I don't think we should create any doubt towards each other about that. I think that the approach of the Stortinget in crime policy, that we should agree to solve the problems, should also apply here.
ParlaMint-NO_2011-12-02.ana.ud1812e223	So the chord change is over.
ParlaMint-NO_2011-12-02.ana.ud1812e226	The treatment of the 2012 state budget is marked by 22 July, of course. The right joins in what has been said, both here today and before, related to the enormous efforts of the police, health professionals, volunteers, weights, firemen, military and others put down on and after the worst day of our country since World War II. Not least, every member of staff in the Ministry of Justice deserves enormous thanks and support. The load that must have been subjected to this cannot be described. The more impressive it is to see the high professional quality it has been on the answers we have received during the budgetary process, and on the issues that have been presented. On behalf of the Right, I would like to thank all the staff of the Ministry of Justice. I know that someone was a little white in the eye when our whole ‘speak’ came with questions, but it has to be interpreted as a tribute to the staff of the Ministry of Justice. To the extent that it is possible to say something positive about what happened because of July 22, it must be to see how we nordics stood together and cared about each other. Parties threw the ego aside and acted together, and not least we saw how especially young people called about democracy. That gives hope. We are now discussing many questions that we need to discuss more and better, both the more principled and the more operational. The July 22 Commission will clarify responsibilities, while its own July 22 Committee will point the way forward in the short term and hopefully bring together some concrete measures which, together with this budget, can make society safer and better prepared. At the same time, there is reason to say that a number of the measures taken, which make the Ministry of Justice a so-called budget winner this year, are an indirect recognition of failure in several areas. The fact that the police helicopter was on the ground for periods more than it was in the air is a political responsibility that has been tried to cover by claiming that the Stortinge has joined it. It's doing something about it, and it's not a second too early. For six years we've had a red-green majority government, with more money to distribute than ever. The fasitator when we write December 2011 is that the police coverage goes down, the settlement queues are likely to go up in the future, and society's preparedness has weakened in several areas. I'm not saying that because it's some particular pleasure to criticise, but because it's the real situation in our sector, and it worries the Right. Over the course of six years, the government has not increased the police coverage in the pact with the Stortingen assumptions — and at a time when public budgets are larger than ever. We are strongly in favour, and it was finally counterproductively recognized by the recently resigned State Council of Storberget. Even though we've had several years of police work, it hasn't become more police with the population. When the police coverage is 1.6 per 1 000 when we write in 2011, we are in line with the objectives of the crew report, and we are in line with the objectives all in this room have joined. Then I think we should admit that we have a common problem. Now there's a new state council in the chair. The budget of this Council of State will be governed by, most likely, we will be able to make even more indebtedness in relation to the target. The right is proposing 400 million needed. kr extra for us to be able to ‘boost’ police operating budgets, so that we can achieve the goals the government itself says it still has. This can help us to employ up to 450 more police officers. For several years, the Right has proposed money to compensate for ICT, so that it does not age against the employment of police. For several years we have called for a cross-political settlement, so that the objectives we have can be achieved, but the government's response has been no. In the meantime, people gradually lose faith that the police are able to do their job, even though they have confidence that the police are trying as hard as they can. Money does not solve everything, but along with better use of civil servants, better purchasing practices, reorganization of police districts, own case to the ICT bet, voluntary police, opening up for private use for prisoner transport, use of other analysis institutes for DNA analyses, police studies and a powerful strategy against one percent of MC environments, Right will contribute to a safer society. With regard to the continued resistance to DNA analysis, other than the Forensic Institute, it is still impossible to understand why the government will not, when the so-called ‘principal’ arguments are principles that seem to be available for sale in other areas. The critical reports of the National Audit Office in recent years show the need for a police study. The size is almost without information on how much the ICT bet in the police will cost, how much time it takes, and what has been received for the hundreds of millions spent after the Killenger spent years for the nearest deaf ears pointed out the need in the governance dialogue with the department. It's still little satisfactory that the Stortinge has the mark of participating in some kind of quiz, where we have to guess what's going on, and I therefore refer to the proposal on our own case on the ICT bet that Right has promoted, and that we again propose our own police study. We also want an answer to when the promised external review of the PST is completed, and how you see it working. It's even more important than how long the Council of State sees itself served to keep the seated PST manager. The right is open to structural debate, but changes will help bring more police, and not less. It doesn't hold that watchlists don't match the real crime scene, and that agreements about an extra hour's job don't have clear leads for what it's going to contribute to by increasing police force. In addition, new thinking is needed to achieve the goal of more visible police officers. It had e.g. have been fooled by the use of more arrest warrants, with good basic training in limited police authorities, that they could assist the police and create more police force when, for example, this is the case. are not meetings in Oslo district. It can increase security by making more efficient use of money. The proportion of unskilled people in criminal services is high, while the challenges are growing, not least in view of the increasing number of foreign criminals in Norwegian prisons. In 2008, twelve settlements were transferred, while in 2010 41 settlements were transferred. It is positive in itself, but when the average number of foreign prisoners has increased from 553 in 2006 to 1,178 in 2011, it helps little. So it's strange that you're reducing the number of places at KRUS. The right therefore proposed that at least 45 additional places be established. We also call for answers when we intend to establish our own prisons for prisoners who are not to be returned to Norway, and when we intend to buy places abroad, so that capacity is not used as an indirect argument for not accepting our own citizens. Everyone also agrees that voluntary organisations are doing a huge job to prevent crime and to ensure that criminals become crime-free. Right will have a stronger bet on them, as they just get a lot out of each krona because their experience is based on real life, which you don't necessarily get just through literal learning. It is not just in relation to the ICT effort and the reduction of police helicopter preparedness that we see how a majority informs little, or almost does not inform at all. The Control Committee is now examining a matter concerning the follow-up of St.meld by the Government. No 22 for 2007-2008, on Civil defense. The concerns received from civil defence employees, from the civil defence authorities themselves and from the DSB do not appear to have been taken sufficiently seriously. In cases where the former Council of State is aware that the Storing's clear assumptions are not met, the Government should have informed the Storing specifically about that and the relationship between the Storing's assumptions and the actual situation. The representative, Mr. Bøhler, said that the percentage of clarification was good. Everyone knows that statistics are statistics. If you talk to the weight company, they say that they feel that the police are coming later and later, which means that they have to release the prisoners. Then you don't get to register them, and the numbers of darkness are increasing. If you talk to private investigators, they tell you how much they spend because the police don't have the capacity to investigate. And then you also get increased numbers of darkness. It is a discussion we must have in the picture – almost no matter who is in the government – when discussing crime statistics. The fact that it's set at 80 million. kr to ICT, is a start, after several years we have had to guess how much to spend on ICT. But when the cost is up to 250-350 million. So let's start with 270 million in 2012. kr i minus to hire people. 140 million. SEK for new jobs corresponds to one third of the likely cost of ICT investment. The new council does not start with blank sheets. Lower police coverage, longer rescue cows and weakened preparedness in several fields are the blackbook of the previous Council of State. I refer to the Right's Alternative Budget, the Minority Proposals and a number of Document 8 proposals that the Right has promoted in the Stortinget, and I think it would have been a good idea for the government parties to inspire something.
ParlaMint-NO_2011-12-02.ana.ud1812e264	It's going to be line change.
ParlaMint-NO_2011-12-02.ana.ud1812e268	There is a consensus that we will try out prison departments for criminal foreigners. The aim is to enable prisoners to leave the country as soon as possible. I have come to understand that the Right Party, like the government parties, is concerned that the content of the settlement should be adapted to the needs of the prisoners, including, among other things, the prisoners. appropriate activities, interpreting services, staff with competence in different cultures, etc. The Progress Party believes that these prison departments should have lower standards and that foreigners should have lower rights than the Nordics have. Norsk Fengsels- und Freiorgensförbund says that the proposal is a poor criminal welfare policy and that it will promote crime. The NFF also uses expressions such as ‘backlash’ and ‘racist’. Do you share the right NFF's vision?
ParlaMint-NO_2011-12-02.ana.ud1812e277	I'm very proud of the Right Policy, which is that we want to bring prisoners back to Norwegian society, and those who are not going back to Norwegian society are going back to society in another country. Then we have to adapt the amount of compensation within the framework required by human rights and the proper functioning of a prison. I record that we in the Right have received a lot of support from the NFF for our approach. If the NFF has problems with the Progress Party, I suggest asking the question to the Progress Party, and looking at what might be the policy of the new government, which is going to be very good, based on the Right Policy.
ParlaMint-NO_2011-12-02.ana.ud1812e284	The representative, Oktay Dahl, must have my and SV's praise for being active and committed to the ongoing debate on women's security – and other groups too – in the country. In the so-called rape debate, he has been ahead of us, and it is affordable. There are many citizens in Oslo – and also in other cities – who have done a fantastic job. People have gone away at night, people have been awake, people have been more concerned about this and have given the city commitment and security. Yesterday, Mr Dahl's colleague here in Stortinget described this commitment as a symbolism policy. He placed all the responsibility on the police and on the Minister of Justice. I ask whether the representative, Oktay Dahl, agrees that people's commitment is symbolism.
ParlaMint-NO_2011-12-02.ana.ud1812e293	At first I must say that it is incredibly delicious to get praise from the representative Akhtar Chaudhry. It belongs to the units of the rares, so I really take that to myself. It must probably bear the mark that the Right Policy is good. When it comes to combating rape, I registered that Akhtar Chaudhry took part in the debate yesterday. I also expect you to get what the representative Michael Tetzschner said. You can read the minutes afterwards. So he started by saying that we all agree on what needs to be done on a broad front to combat rape, but that his theme of yesterday's interpellation was about what the government can do. And there's the representative Tetzschner quite right: the police coverage has gone down. Private analysis institutes are not used to analyse DNA as quickly as possible, which would have been an important contribution to getting more perpetrators and preventing rape. So what's symbolism here is that you don't actually admit that more police are also a prerequisite for combating rape.
