ParlaMint-NO_2017-01-18.ana.ud525e28	The representative, Jenny Klinge, will put forward a proposal for a representative.
ParlaMint-NO_2017-01-18.ana.ud525e110	The Ministry of Finance provides the best estimates they think they can provide, also based on the fact that there is more uncertainty now than it has been. There is less uncertainty about how we assess developments in the Norwegian economy, but there is more uncertainty in the world around us. It also affects Norway. As a small, open economy that is completely dependent on trading abroad, it means something to us how it goes in the markets we traditionally deal with. So yes, I'm concerned that we're going to get exports back up again, and the prerequisites for that are now right – low interest rates, enhanced competitiveness, moderate wage fixing, and not least all the instruments that the government has used in the budgets. We have now said over three years that we need to stimulate what facilitates growth. That is why we have invested in infrastructure, so we have invested in research, that is why we have invested in knowledge, and that is why we have invested in a competitive tax system. The sum of these instruments will work, and we already see it shining.
ParlaMint-NO_2017-01-18.ana.ud525e115	Hans Olav Syversen – for follow-up questions.
ParlaMint-NO_2017-01-18.ana.ud525e121	My impression is that the Workers' Party is a supporter of brighter times, but they do not get too fast in 2017. It could have some consequences. I want to go back to what was some of the introduction to the main question, and it was trade. As we know, there's a big forum going on in another country right now. There are probably some of these eight billionaires who are said to own more than half the world. But there is no doubt that globalisation also serves Norway. I understand that the Progress Party is, until further notice, also a member of the EEA Agreement. At the same time, there is much evidence that globalisation has had a good impact in different countries, but that individual countries have not had the power to distribute to the population. How does the Minister of Finance view this aspect?
ParlaMint-NO_2017-01-18.ana.ud525e130	I fully agree with that. One of Norway's successes is that we have a good time having an open economy and significant trade agreements with the world around us, which means that we get a reserve on our markets. We have also had a broad political agreement that we should have a good policy of distribution that contributes to small differences. We are one of the countries in the world with the least differences. However, developments have been different in, for example: The U.S., is one of the reasons why the residents say so. I believe that we politicians have a responsibility to listen to the citizens and take them seriously. I think that's one of the things that many politicians in other countries now notice, that you haven't been sufficiently concerned about taking into account the entire population. And then you finally get people who say from.
ParlaMint-NO_2017-01-18.ana.ud525e137	Live Signe Navarsete – for follow-up questions.
ParlaMint-NO_2017-01-18.ana.ud525e142	Of the measures that the Progress Party and the government have taken against unemployment, there are not so many who seem to have worked so far – so we will be glad if there is a new time from today. But after Siv Jensen took over as Minister of Finance, she has increased the fuel taxes, tolls and parking fees – just to name a few. That's not the worst thing for me anyway. The Progress Party has prioritised, is tax-free, but for the richest – without a lot of it having been working on it. When the Centerpartiet was in government, we created 44 000 jobs every year, 75–76 pst. in the private sector. That image has been flipped on the header with Progress Party rule. Now growth has been in the public sector, especially in bureaucracy. The evening post last autumn wrote that the growth in state bureaucracy has escalated – over 1,500, they wrote. Through all reforms, the government centralises state jobs away from the districts. Is the growth of state bureaucracy in the Oslo government and the response of the Progress Party to unemployment, to reduce unemployment in the South West and in Norway else?
ParlaMint-NO_2017-01-18.ana.ud525e149	Here it was a lot at once, but it would have been an advantage if the representative Navarsete listened to the numbers I just presented. There have thus been 80,000 new jobs created – the large majority of them in the private sector, not in the public sector. With regard to the development of the public sector, the biggest growth has come in the police, hospitals and schools, i.e. in areas where this government opted for us to have more hands at work. We've delivered on that. It is also the case that some taxes have gone up, but overall, this government has reduced taxes by 21 billion. kr. Only in the case of a car, which was occupied by Navarsette, have the total net benefits for the drivers now reached 1.5 billion. kr. So I have nothing to be ashamed of when it comes to caring for the interests of the drivers. It also has a district perspective, recognizing that there are many people in our country who do not have a collective offer to resort to. I believe Navarsete is wrong when she claims that this government centralises. We are committed to managing taxpayers' money in a good way, and I believe that the reforms we have carried out so far... [[The President cut off]]
ParlaMint-NO_2017-01-18.ana.ud525e154	Terje Breivik – for follow-up questions.
ParlaMint-NO_2017-01-18.ana.ud525e159	There has never been more in the direction of growth and government in order to provide the best incentives for Norwegian industry and industry than in this period: lower taxes on business and jobs, record access to risk capital, historical investment in knowledge, research and technology development. The Left and Cooperation Party did not exactly come to table table when we got power three and a half years ago. We inherited an eight-year industrial policy with red-green rule, which swirled quite unilaterally at the adventurous activity of the oil sector. I would like the Labour Party, the largest party in the previous government, to be somewhat more humble and constructive in view of the challenges posed by the crisis in the oil sector. I believe that this house, and not least Norwegian business and Norwegian jobs, had stood by. The question is, is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is
ParlaMint-NO_2017-01-18.ana.ud525e166	Yes, I agree.
ParlaMint-NO_2017-01-18.ana.ud525e171	Snorre Serigstad Valen – for follow-up questions.
ParlaMint-NO_2017-01-18.ana.ud525e176	And people wonder why it's called: A voice to the left is a voice to the Progress Party. A feature of economic policy to the government over the last three years has been a profile of fiscal policy that has benefited the richest and few others. While people with normal income and low income have received small amounts of money, the richest in the country have received millions. The Minister of Finance has at no time listened to the advice of neither the overwhelming majority of economists in the Norwegian social debate nor the Scheel Committee, who have recommended reducing the tax on income and increasing it accordingly on property in order to gain control of the housing crisis. It could also stimulate more investment in business. Now billions are being tied that could help create new jobs, up in overpriced urban farms in Oslo. Why hasn't the Minister of Finance and the government taken any steps to get control of the housing market and stop gambling with ordinary people's mortgages?
ParlaMint-NO_2017-01-18.ana.ud525e185	Yes, but this government has. But first let me refute a statement. It is not that the tax relief that this government has given has mainly gone to the rich – that is not right. There is only a small proportion of the tax cuts that have been made to reduce taxes on wealth, the rest have gone to tax reliefs to ordinary people and to business. Some of this I thought SV agreed. As far as housing is concerned, the most important thing we can do is to correct the imbalance between supply and demand in the housing market. It has been built too little, and it has the government SV put in, a significant responsibility that they did not do anything about. Now it's turned around, and that's good. But house taxes are not on my agenda. What we've done, on the other hand, is tightening up parts of the tax system in the case of secondary housing, because we want to get alive some of the speculation that we, among other things, are. has seen developments in Oslo. That was part of what we presented in the new housing loan regulation that was adopted before Christmas.
ParlaMint-NO_2017-01-18.ana.ud525e195	Let's move on to the next main question.
ParlaMint-NO_2017-01-18.ana.ud525e200	My question goes to the Minister of Labour and Social Affairs. Just before Christmas came Nav-report 1-2016 «Fatdom and Living Conditions in Norway», which shows that there are increasing differences and more poor people in Norway. The report shows a strong growth in the proportion of low income among lone dependants and also in families with children. The proportion of children in households with persistently low incomes has increased in the last 10 years and now accounts for a total of 92 000 children. We know that there is a lot more unemployment, and we know that over half of these children have immigrant backgrounds. Both integration and work are demanding to succeed in the short term. We all agree that work is the most important measure and the safest way out of poverty. But we also need to provide alternative measures against child poverty for those who are unable to get into work and for those who are temporarily out of work. In the cooperation agreement between the government, the Christian People's Party and the Left, we agreed to draw up a package of measures aimed at children in poor families. The 'Children living in poverty' strategy is the first of its kind. It contains many good measures, which are largely about limiting the experience of being outside, namely giving these children the opportunity to take leisure activities, etc. Then we also know that the central transfer arrangements for families with children – cash support, child welfare, parental leave, support for adoption, etc. – is essential for these families. It is very important for families with low incomes. As a KrF, I am used to many people wanting to remove the cash support, but now it is also a debate – at least discussing and wanting many parties – to remove the child benefit. My experience is that it's in free play. At least the important thing is that a person has different measures that can take different groups of people living in poverty. My question to the Council of State is: What action does she want to take to ensure that we fight poverty, and especially poverty among children?
ParlaMint-NO_2017-01-18.ana.ud525e213	There is hardly any area where it is more important to have a high level of attention than to ensure that children and young people grow up safely. Although few children in Norway are living in absolute poverty, which means that there is a complete lack of basic – such as the roof over their heads, food and clothing – we still know that there are too many children and young people growing up under conditions that we do not want them to do. Most of the children — including the representative — grow up in immigrant families. The biggest difference between those who live in poverty and those who don't is whether you're at work or not. Education and health records. Children of low-educated parents who are outside the labour market are more likely to end up there themselves. In other words, social differences are reproduced, and we have to prevent that. At that time, good schooling for the children, early work, free health services and targeted poverty measures are important, and we need to ensure that we include as much as possible in work. As the representative was present, we have put forward our own strategy against child poverty. In order to mention some of the measures: the national grant schemes have been strengthened, more children and young people are now participating in holiday and leisure arrangements, more reasonable childcare facilities and free core time for children in low-income families, important services such as family protection, health centre and school health services have been strengthened. These are good lowthreshold measures, which are just reaching vulnerable children and young people. The follow-up scheme for children of mentally ill and children of drug users has been strengthened. Here the four bourgeois parties stand together. In addition, the government has presented a stepping-up plan for the drug field and a national strategy for housing-social work, including: support for large families of children has been strengthened. In other words, it is not a simple measure that solves this problem, but – on the contrary – the sum of all that we do to include parents in work, give a good school to the children, but also that we have good welfare arrangements that make a good decision.
ParlaMint-NO_2017-01-18.ana.ud525e224	Thank you for your thorough reply. As I said, I agree that qualification, education and work are the most important and safest out-of-poverty action, but I would nevertheless claim that the workline has been the main strategy of all governments in recent years. Nevertheless, we see that the number of children growing up in poor families has increased. Therefore, as I pointed out, general arrangements are such as: child welfare is important for many, and especially important for the poorest. I have seen that half of the Right Programme Committee has recommended that child welfare be removed and replaced with support for kindergarten and SFO. It will be most demanding for those who have the least. And then you also know that kindergarten and SFO are not something you get for a very many years, while child-rescue is something you get up to 18 years. Former Prime Minister Kåre Willoch has had excellent quotes about the importance of child welfare, and that is also because more children need to be born in order to cope with future welfare. But what does the Council of State mean? Does she agree with that part of the Programme Committee that wants to eliminate child rights? Or does she want to continue child-responsiveness as a universal system?
ParlaMint-NO_2017-01-18.ana.ud525e229	I will not foreshadow what the Right National Assembly will adopt in this context. Even I'm a hot defender of child-responsiveness. We'll see what the national meeting will finally adopt. As I was in my main answer, the majority of the children who grow up in low-income families are immigrant children. It shows how important it is to be able to include several of your parents in the job. Norwegian training is important here, and job qualification is important. Among other things, in cooperation with the parties, we have taken an initiative to put in place a fast track for those who are close to the labour market of those who come to our country now. Among other things, we need to: increase the use of wage subsidies. The parties have undertaken to accept those who are coming now and to include them in the job. We have started vocational guidance on reception. It is vital now that those who come to our country get sufficient qualifications and get to work, so that we help more people manage to stand on their own feet and take care of themselves and their families. And once again, that's the sum of what we're doing now to include more in the job and provide qualifications for more, that's going to show that we're going to succeed.
ParlaMint-NO_2017-01-18.ana.ud525e236	It opens for follow-up questions – first Olaug V. Bollestad.
ParlaMint-NO_2017-01-18.ana.ud525e241	I agree with the Council of State that there are many reasons why families live in poverty. That's not a simple answer. In the newspaper today, it's a great story about a mother and a ME-sick boy who's been given a care allowance. It's great, and we're supporting this with care money and the expansion of it. Nevertheless, many treatments last longer than a year. In very many treatments, we know it's best if the kids are allowed to be at home. That's why we've invested together in home hospitals, because we know it's best for the kids. The government's proposal is that wages should go down to 66 pst. after one year. What does the council think of a lone mother who wants to follow her child for longer than the one year, and gets 66 pst. pay, and what does she think the kids will think about being responsible for getting less to walk with, because they want to have mom home in a serious situation?
ParlaMint-NO_2017-01-18.ana.ud525e250	There is no doubt that reforming the care scheme is a system that the four parties have put together, both in opposition and now. It is absolutely right that we are now proposing a change where you go down to 66 pst. In other words, this system of sick leave and sick pay is being sidelined. What was important for us to get in place was that much more should be included in the scheme by reducing the disease requirement, we have made it less bureaucratic, more enter the scheme, and the age limit has been extended to 18 years. What we are doing now means that twice as many children enter the scheme, and that the budget also doubles. The matter is now being dealt with in Stortinget, and I hope that it will be widely discussed. The most important thing for us has just been to reform the system, so that more people come in and get it help to be able to care for their sick children at home, than what was possible before.
ParlaMint-NO_2017-01-18.ana.ud525e255	Lise Christoffersen – to follow-up questions.
ParlaMint-NO_2017-01-18.ana.ud525e260	Action packages to address poverty are good and good, but unemployment is and will be the main cause of poverty, and so are children with unemployed parents. The vacancy is the highest of more than 20 years. The employment rate has fallen. The social differences have increased. There's too little job creation in the private sector. Many now leave the day-care period and the AAP, with social assistance as their only option. Many disabled people are involuntarily out of work. Youth unemployment is high. The same applies to immigrants. New arrivals must be integrated. When the Labour Party in this situation asked the government what new measures against unemployment are planned in the budget for 2017, the written response from the government was: none. Obviously, the government has no other advice for the poor who need a job than that they have to be more forward-looking. My question then is: is the Government satisfied with the government's results in the fight against poverty and against unemployment during the current ageing period?
ParlaMint-NO_2017-01-18.ana.ud525e267	The most important thing is whether or not the policy produces results. The Minister of Finance has already informed Stortinget in his reply that we are now seeing more jobs created, 80,000 more jobs created. We need to be aware of the situation we have now had in the oil and gas sector – 50 000 jobs have disappeared in two to three years. It is a demanding situation to be able to cope with that decline, but the results now show that jobs are created in the private sector as well. With the package of measures we have adopted in the State budget, and with the state budget as a whole, even more jobs will be created, more companies will have contracts. All the forecasts now show that we're on the right track, but we're not going to lean back in any way. On the contrary, we must also continue to work hard to create even more jobs, because, as the representative also says, there is work that is the main difference between those who live in income poverty and those who do not. Now we also see that the unemployment rate was flat, falling in 14 of the country's counties. I'm glad, even if we're still going to work more.
ParlaMint-NO_2017-01-18.ana.ud525e273	Per Olaf Lundtigen – for follow-up questions.
ParlaMint-NO_2017-01-18.ana.ud525e278	Increased child poverty — it concerns the most vulnerable among us. The council says she understands these people's situation, but what's happening is that it's tightening up financially. The transitional support for single parents with children under three years of age has been tightened up, and the government has received support from the Christian People's Party and the Left to put a roof for disabled and need-tested children's supplement of 95 p.m. income before disability. It affects families with many children – that is, those with many children, and how parents had low income before they were pregnant. In the view of the Centre Party, all families must have a minimum income for a decent living, and my question is, Why does the Central Party Council not support the basic view of the need-tested child allowance without thanking people who are disabled and have many children?
ParlaMint-NO_2017-01-18.ana.ud525e285	There were several questions at once. – The transitional benefit has been changed on several occasions and by changing governments. The main reason for the changes you have made is that you want to strengthen your work line and help your lone mothers get to work. The education requirement has now also been tightened up, but it is still fully possible to take training even while going on transitional assistance. It has been important for this government and the majority of the population to maintain the line of work, that it should pay off to work. That is why the Storting decided that the sum of disability benefits and child allowances should not exceed 95 pst. of previous income. Then there's a three-year transitional arrangement. That transitional arrangement has now been extended for a further two years as part of the budgetary agreement, in order to enable the families concerned to adapt financially. But I stand firm – and I defend – that working will pay off. This means that the sum of social security and social security benefits shall not exceed the income you had in the past.
ParlaMint-NO_2017-01-18.ana.ud525e292	Sveinung Rotevatern – for follow-up questions.
ParlaMint-NO_2017-01-18.ana.ud525e297	Reducing child poverty is not an easy job – well illustrated by the previous government that was going to remove him with a pen stroke, while the fasitite was that the number of poor kids went up by 25 pst. But it does not exempt this government from responsibility. In its first response, the Council of State mentioned some good and very targeted actions that have been carried out. Most of them are free core hours for three-female children in kindergarten, which means that tens of thousands of young people now have cheaper kindergartens. It also includes the strengthening of school services and the strengthening of family protection offices. I guess that's good. What these measures have in common is that they have not been proposed by the government. They have come into place after budgetary conciliation with the Left and Christian People's Party in the Storting. My question is short and good: When does the government itself intend to take initiatives to target measures to reduce child poverty?
ParlaMint-NO_2017-01-18.ana.ud525e304	As I was in my main response, many of the measures that I mentioned are, as the four bourgeois parties stand together. There is no doubt that budgetary conciliation has also contributed to strengthening the work of the government. So it's by no means an attempt to undermine the efforts of the cooperation parties. On the contrary, I mentioned it in my main answer. The government is concerned, as I also mentioned, that the main difference between those who live in income poverty and those who do not is whether you have a job or not. It is again influenced by whether you have competence and education or not, and the health situation in which you are. This is why the government has a number of measures to get people to work – of course by contributing to the creation of more jobs and to the increased qualification for jobs. That's why we're so concerned about school, that we're going to have a good school and good education for the kids. It is the main measure to prevent the reproduction of social differences. That is why we are concerned that we should provide better health care for those who are struggling. In this context, the escalation plan for the drug field in particular is important.
ParlaMint-NO_2017-01-18.ana.ud525e311	Snorre Serigstad Valen – for follow-up questions.
ParlaMint-NO_2017-01-18.ana.ud525e316	It's pretty interesting to hear the government defend grossly unsocial cuts with the line of work, that it should always pay to work, while they spend almost 300 million dollars. NOK to pay healthy parents for not working. One of the major priorities of this government has been to strengthen cash support, which is a very poor policy both in terms of gender equality and in terms of integration. If you're concerned about what the council talked about instead, getting more parents into work, and then especially parents with immigrant background, it's an advantage not to pay them money to stop using kindergarten. Then not everyone has the luxury that they get paid not to work, because the uninhabited caregivers get cut. Last year, 367 of the poorest families in Norway were deducted from the average of 29 000 kroner — in cuts. It's a completely insane cut that creates poverty and social distress. Why is the government talking with two tongues when they constantly mess around the workline?
ParlaMint-NO_2017-01-18.ana.ud525e323	As I mentioned in my previous answer, the way in which the child supplement was to be handled was adopted by a majority in Stortinget. The decision was that you should not let the sum of child supplements and disability benefits exceed 95 pst. of previous income. Then a transitional arrangement has been adopted, first by three years, then by two years. There are more than one government that has been concerned about how the child supplements affect social security lock-in, among others. a number of expert committees, which were also set up by the previous government. With regard to the cash support, there is no doubt that lifting it was primarily not the main priority of this government, but through conciliation in the Stortingen, you have chosen to increase it, and I think that is quite right. You talk about the cash support as if it's something you get forever. It is a relatively short period of the child's first year of life that you can receive cash support, and I think it is to live with the fact that some families who then want to choose differently are able to do so by receiving cash support.
ParlaMint-NO_2017-01-18.ana.ud525e330	Let's move on to the next main question.
ParlaMint-NO_2017-01-18.ana.ud525e335	My question goes to the Minister of Agriculture. Ulvesaka is about people's security in everyday life. Ulvesaka is about people's ability to use natural resources to create values and jobs, among others. by allowing animals to use grazing resources. But wolfesaka is also about a matter where people around the country now stand up in protest against what they experience as a interlocutory of bureaucracy, legal vocabulary, lacquer shoes, state arrogance and the lack of respect the government has for the wolf decision of the Storting. It went so far that the representatives of the government party, the Right Party and the Advance Party, this winter have demonstrated against their own government in front of the Stortinget. President, there were a lot of good people in the lawn that day! The issue is whether the decisions of the Storting have been taken to follow up the two-part objective: should they be followed up by the government, or not? It would mean having room for both predators and grazing animals. Yesterday, the government, at the Minister for Climate and Environment, gave its say to the Stortinget. It was a little concrete. That was twelve points, but there were twelve points that didn't give any sign that the government would follow up on the big decision. So my question to the Dale Council is, is it that the protection interests have won the internal struggle of the government, and that the Minister of Agriculture has lost?
ParlaMint-NO_2017-01-18.ana.ud525e349	Robbery policy is undoubtedly one of the main challenges for Norwegian agriculture, for it is quite right as the Centre Party describes it, that many people feel that they cannot exploit natural resources as they have done before. I know farmers who have gone on carnival hunting. It's about looking up their own carcass, taken by predators. It is not just about replacing the economic losses, as is often the case in the political debate. It's the life's work for people who go overboard. I have great respect for the situation that people feel it gives. This means that it is crucial that we actually manage predatory policies in line with the Storting decision. That makes sense to this government, and we've also tried to do that in terms of the licensing of the wolf now. But it's demanding when one of the Law Departments thinks something different than the Ministry of Agriculture and I originally thought: that there was enough room for killing. We're forced to have the law houses we need if we're going to make decisions, and we can't go against it. At the same time, it is crucial, both for the grazing industry and for the interests they are supposed to hold, for people in the districts and not least for those whom the representative Pollestad refers to as the ‘protection interests’, that we actually intend to manage the zone divisions clearly. The Minister for Climate and Environment warned very clearly yesterday: lower threshold for withdrawals, in order to reduce the risk to grazing industries. And then both I and the Minister for Climate Change and the Environment are working on looking at what action spaces we have for quickly, in the short term, and possibly in the longer term, to manage the stock target for wolves that Stortinget has set. The representative Pollestad can feel absolutely certain that I am doing my best to achieve it.
ParlaMint-NO_2017-01-18.ana.ud525e358	I note that the answer is rather defensive, that it is quite similar to the government council that Helgesen gave yesterday, and that the government has made this an issue of legal judgement – legal considerations that there are doubts and that open up to a room. The Ministry of Agriculture has concluded that: ‘After the assessment by the LMD, the conditions laid down in the Nature Diversity Act are fulfilled in order to allow the felling of the wolf in the wolf zone.’; [[and Berne Convention]] This was the conclusion of the Ministry of Agriculture and Food. It's something other than government. Then is my question to the Minister of Agriculture: Does the Minister of Agriculture still believe that the conclusion of the LMD when it comes to legal matters is the right one, or has he now bowed to the government and behind what is the interpretation of the Helgesen Council?
ParlaMint-NO_2017-01-18.ana.ud525e370	The representative Pollestad is trying to give the impression that this is something other than what it is. The Ministry of Agriculture's professional assessment was and is that when the damage potential is high enough, there is a potential for killing. It also means this Minister for Agriculture, as the Minister for Climate and Environment thinks so. The Ministry of Climate and Environment’s professional assessment was that there was insufficient potential for killing to be given. This means that there are two different assessments of the extent of the damage potential. It means how one can use the home as the country's legislative assembly, the Stortinget, has agreed. In this situation, we have asked the Law Department how to understand this law, when there are actually two different assessments of the damage potential and of the interpretation of the law in the specific cases. The law departments, which are our foremost legal experts, have concluded what they have done. Then the government must follow this up until one changes the law, so that one can follow the decision of the Storting.
ParlaMint-NO_2017-01-18.ana.ud525e375	There will be follow-up questions – first Per Olaf Lundtigen.
ParlaMint-NO_2017-01-18.ana.ud525e380	The Minister of Agriculture sees him as wanting more than six wolves a year. It is necessary to implement government policies. What has been the reason for having so many wolves in the year is that we have a genetically unique southern Scandinavian wolf population. Already in the 1990s, World Wolf Organization – I think they're hot – canceled that some of these genetic special wolf populations we didn't have in South Scandinavia. The next reason was the Berne Convention. My question is very simple and precise: What paragraph of the Berne Convention obliges Norway to have breeding wolves in Norway?
ParlaMint-NO_2017-01-18.ana.ud525e387	One point: I'm not sure about every representative from Lundtigen, I'm too much of a six-dollar wolf in Norway. The government proposed for Stortinget an interval of five to eight. Five is as far as I know less than six, but we can probably have a discussion about that. The important thing is that the Stortinget has decided that we're going to have a wolf population in Norway. He will be administered after the Berne Convention. That means that the Berne Convention commits us to a management, given the decision to have a wolf population. That's the main background that we have in this case come to what I want to mention as a demanding situation. Because it was the government's ambition to manage the stock target that the Stortinget has set, with the legal assessment that we do not now have sufficient legal basis for it, given the assessment of the damage potential that the Law Department has done. It's demanding, but we're trying to find solutions that make us come more in harmony with the goal Stortinget has set.
ParlaMint-NO_2017-01-18.ana.ud525e394	Knut Storberget – for follow-up questions.
ParlaMint-NO_2017-01-18.ana.ud525e399	In fact, I am committed to being a follower of the Minister of Agriculture's arrangements for this. He has – as has been said – concluded that, according to the Ministry of Agriculture’s assessment, the conditions of the Nature Diversity Act and the Berne Convention are met in order to allow the felling of wolves in revir within the wolf zone. I understood the answer that you stand by it in the Ministry of Agriculture. The Ministry of Agriculture, which knows the industry well, must be the most professional department to assess the potential for damage. And I'll give you credit for standing by it. My question is then: does the Minister of Agriculture have ambitions that the licence agreement recently adopted in the field of wild game can actually be implemented in winter, and will he take initiative in the government to do so?
ParlaMint-NO_2017-01-18.ana.ud525e408	I have a lot of clear ambitions. The one thing is as fast as possible to manage the wolf population in line with the stock target Stortinget has set. It is correct, as the representative Storberget says, that the professional assessment given by the Ministry of Agriculture is on my side. It's a purely professional assessment, it's not influenced by me, but I still think she's a good reason. At the same time, our leading lawyers in the Law Department, who are probably well aware of the representative of Storberget, assess the importance of this change. If we recognize it – as the State Councillor Helgesen was in yesterday – we also know that there are several holding points that indicate that if it were to be given birthrights now, on a licence agreement, the court would probably have given the postponement effect. So the question is, what is it that we're actually achieving? I'm not sure if that's possible. But both I and the State Council Helgesen work closely to see what room we have for action we have in this matter.
ParlaMint-NO_2017-01-18.ana.ud525e415	Kjell Ingolf Roppstad – for follow-up questions.
