ParlaMint-NO_2013-11-27.ana.ud280e26	The representative, Gunvor Eldegard, who has been licensed, has once again taken the seat.
ParlaMint-NO_2013-11-27.ana.ud280e122	Social violence Vedum – for follow-up questions.
ParlaMint-NO_2013-11-27.ana.ud280e125	The great success in the Norwegian labour market is that both sexes are active participants, and that we are almost equal. It has come thanks to a very active policy, not least the policy of young children. The parental leave has been a major success. Kindergarten development has been a major success, which has made both sexes active professionals. In recent years, we have improved parental leave, especially for fathers. At least I've been very happy about that. So everyone who is here knows that party leader Siv Jensen has been concerned with equality – at least in speeches. How is it for Minister of Finance Siv Jensen when one in her first budget cuts the parental leave and balances that it gives a saving because fewer fathers want to share time with their children, because of the policy that you now choose to pursue?
ParlaMint-NO_2013-11-27.ana.ud280e132	The main rationale of the government for making changes to the federal system is freedom of choice. I think it's a little easy to say that the government's motivation to do this is to balance other tasks out of the budget. No, the government's main motivation for doing this is because, unlike the red-green parties, we believe that the families themselves can make wise choices. We will therefore facilitate greater freedom of choice for families with children. We mean that in itself is a value. I fully agree that it is important that, through a wide range of measures and instruments, we facilitate women to be active participants in the labour market, but it must also be possible for families with children to choose differently for a limited period of time. I don't think it's our job as politicians to control it. We're going to facilitate real freedom of choice.
ParlaMint-NO_2013-11-27.ana.ud280e139	Let's go to the next main question.
ParlaMint-NO_2013-11-27.ana.ud280e142	My question goes to the Minister of Health. Last year Bent Höie said in this hall: ‘An overall opposition requires an independent review of the capital process. Patients, relatives and employees are entitled to know about the lack of planning and the framework for the merger has compromised patient safety.» Out in Health-Norway, it's pretty common when we've had big things, that we have debrifing. Then we go through it to look at: what did we do well? What did we do bad? What can we learn for the next time? Hospitals and health are something that concerns everyone. We live in a society that spends an incredible amount of money in hospitals. Then it's also incredibly important to learn from history. What can we do better? We're going to build more hospitals. We might have to combine services. Then we have to learn from what we once did. Since the merger here in Oslo, everyday life has consisted of long queues, stress, mistreatment, frustrated employees and a bunch of complaints. So we've had different revisions. The National Audit Board looked at how we spend the money. So, health oversight on individual matters — what has happened? No one's ever looked at the whole causal relationship. We've seen pieces and pieces, not all over the pile. I think a comprehensive overview would have been better to learn from this process. Therefore, I would like to ask the Council of State: on what basis does the Council of State no longer see the need to have an independent investigation, despite all the calls from people who feel that hospital life in the capital is something quite different from what we would like to read in the newspapers?
ParlaMint-NO_2013-11-27.ana.ud280e158	As I answered this question the first time I got it after I had become Minister of Health and Care, I am concerned that if you are going to have an independent study of the capital process, there should be something pointing forward, and from which we can learn for the future. I therefore fully agree with the representative's input to this issue. That's why I was also very busy going in and looking at what work is going on, to get answers to the questions that not least the Right Party, the Advance Party, the Christian People's Party and the Left had last year. It was very much about the unnatural deaths that had happened at Oslo University Hospital. It was about how this process affected the relationships of employees, and what we could learn from it for future processes. It is important for me to say that I see nowhere else in Norway in the foreseeable future will face dramatic changes similar to what was started when it came to the capital process. Until one goes in and looks at the work going on: we will soon have an investigation of all the adverse events and infections in patients who died at Oslo University Hospital in 2011. There is a study on the review of all patient deaths in 2012. It is also an accompanying research project from SINTEF on an ongoing evaluation of the merger process itself, presented in 2015. We get a national audit report on some of these issues, which is likely to be presented tomorrow. I believe that many of these questions will hopefully be answered. Then I think it is unnecessary to start a double job. If it turns out that these studies do not provide adequate answers, I believe that a person should reconsider the question raised by the representative.
ParlaMint-NO_2013-11-27.ana.ud280e169	I'm glad someone at least opens up the possibility. It's now that if we're not going to have the big expansions elsewhere in the country in the future, planning, capacity, patient mobility means that employees are involved, that information goes out to them, and how we use the heads, something. This together, I think it's important to evaluate. That is why I wonder: does the Council of State see it so that the situation here in Oslo is no longer serious? Does that mean that you have nothing to learn from this? One says it's taken care of, there's coming new reports. So we can kind of settle down. Or are we willing to look in the card deck and say that this wasn't good enough, we're not going to take individuals, but we want to learn to get better in small and large sized development?
ParlaMint-NO_2013-11-27.ana.ud280e178	The previous national audit report, as well as the consultation of the Committee on Control and Constitution of the United Kingdom on this process, which has already been carried out — and the Stortinget has dealt with those reports — show that what made it extremely difficult to deal with the mission given to Health South-East, was that one started by merging several major hospitals, while a large part of the patient base was lifted into a completely new hospital. I think everyone agrees that is extremely complex and very difficult to implement. I do not see now that we are facing similar processes elsewhere in Norway, and therefore that particular issue is unlikely to have great transfer value to others. Of course, we need to learn from the lack of follow-up that was in that process, and also the importance of this for a future governance model, but that's exactly what the government is now working on.
ParlaMint-NO_2013-11-27.ana.ud280e185	Four follow-up questions are raised – first Line Henriette Hemdal.
ParlaMint-NO_2013-11-27.ana.ud280e188	A study on the review of adverse events and infections is soon to be available in patients who died in Oslo University Hospital in 2011. A review of all patient deaths is now being established in 2012, and perhaps we will receive a national audit report – perhaps tomorrow or another day. The challenge facing me and the Christian People's Party is: these investigations have not been established in the last few weeks, at least not the national audit report that is now on the stairs, nor the report on deaths due to adverse events and infections in Oslo University Hospital. What, then, is it that the Council of State Höie has now turned around in relation to the commitment he had to have an independent review earlier this fall?
ParlaMint-NO_2013-11-27.ana.ud280e195	I'm a little uncertain about what a referee to when a believe I had an commitment to an independent scrutiny earlier this fall. When this was mentioned – as the representative of Bollestad referred to in the previous article – it was in the context of the budget debate in December 2012. At that time, at least I was not aware that this investigation work related to the unnatural deaths was being carried out at Oslo University Hospital for 2011 and 2012. In addition, a follow-up report from SINTEF has also been initiated related to the migration process itself. I believe that it was the questions that these parties were concerned about getting an answer at the time. Hopefully, we will now get a good answer to this, but if the answers are not good enough, there is a chance at any time to launch new studies, either internally or externally.
ParlaMint-NO_2013-11-27.ana.ud280e201	Karianne O. Heavy – for follow-up questions.
ParlaMint-NO_2013-11-27.ana.ud280e204	In an post in Aftenposten 29 November 2012, the Stable Representative, Bent Höie, refers to the board and management of Health South-East as ‘faceless bureaucrats’. He goes on to say: ‘The Minister of Health has done nothing but assure the Storting that she had full confidence that Health South-East had full control.’ Furthermore, Bent Höie also promoted a claim for Health Minister Jonas Gahr Støre on the Spring Party for an independent review of Oslo University Hospital. However, a few days ago, 25 November 2013, the Ministry of Health’s website stated: ‘I trust that the many processes initiated and planned by hospitals and health care establishments are sufficient to ensure a good health service for the capital area.’ Höie thus adheres to former health minister Jonas Gahr Støre's plan and now rejects the need for an examination of Oslo University Hospital. It is positive that Bent Höie has now turned 180 degrees, but what has changed in the last year, which means that Höie now rejects such an investigation and joins Gahr Støre's plan and not least the proposed measures?
ParlaMint-NO_2013-11-27.ana.ud280e221	Questions relating to the proposal by the opposition parties at the time, in December, about an independent investigation I answered in the previous submissions. The representative refers to the interpellation debate I had with Jonas Gahr Støre on this question in February this year. My main conclusion in the interpellation debate was that the health minister had to sit down at the same table as Health South-East and discuss the concrete challenges associated with the situation in the capital area, both at Oslo University Hospital and Health South-East. That's exactly what I've done in the last few weeks – on several occasions – and the summary of that work was presented at the beginning of this week. This means that there is now a concrete work on how to increase capacity both in the area of Oslo University Hospital and in the area of Aarhus. A concrete effort has been made to investigate the unnatural deaths.
ParlaMint-NO_2013-11-27.ana.ud280e228	Kjersti Top – for follow-up questions.
ParlaMint-NO_2013-11-27.ana.ud280e231	OUS is a fact. The merge process has failed. The question is what state council thinks we should learn from what has happened, against investment and processes elsewhere. We know that healthcare professionals now plan major hospitals in several other regions, including the United Kingdom. in the West Viken, where they plan a major hospital in the Drammen area. After what I've heard, it's going to be bigger than Ahus. In Hedmark and Uppland, they also plan a large hospital for the benefit of more people, as it is today. We know about research from Sweden on hospital mergers that have shown that three out of four hospital mergers have failed. My questions to the Council of State are how he will ensure that other draft terms of merger in Norway are made on a professional and politically correct basis, how much hospital we are going to have in Norway, and how the Council of State will ensure that it is made on the right basis of decision.
ParlaMint-NO_2013-11-27.ana.ud280e238	I'm a little unsure if I can take the problem description of the representative Toppe, if it has any connection with the challenges that have been in the capital area. I don't realize that a major challenge is that Aarhus is too big – on the contrary, the main challenge is that Aarhus is too little. One of our answers to this is precisely the establishment of a national health and hospital plan that promises much more discussion about the development of needs and how our healthcare system is to meet changes in the population structure, disease development and also the division of tasks between municipalities and specialist health services. This must be done in such a way that we actually ensure that the large expansions we are facing are dimensioned in such a way that they correspond to the need. It also has to make sure that we do not get into the situation we've been in regarding Ahus, that one of our latest and most modern hospitals is too small on the day it opens, and one has to start improvising solutions immediately.
ParlaMint-NO_2013-11-27.ana.ud280e245	Audun Lighthouse – to the last follow-up question.
ParlaMint-NO_2013-11-27.ana.ud280e248	It wasn't just in the budget debate last year that Bent Höie demanded scrutiny. I saw there was a media census yesterday, where it was found that Bent Höie had demanded a review 13 times, and that he had now had the opportunity to demand it for the fourteenth time – and this time get a hit. I am not going to drill on what is Bent Höie now has become aware of, which he was not aware of the 13 other times this question was being assessed, but rather raise a related issue. The structural issues that may have been most problematic in recent years in Hospital-Norway have been the capital process and the collection of Health South-East. One of the choices from the Right that we in SV have had a little sense of is that you want to look critically at the health regions and how they work. I notice that the government has discovered that some things take time, and therefore I would like to hear when we can expect a matter of reorganization of what is today Health South-East.
ParlaMint-NO_2013-11-27.ana.ud280e255	First, I have to thank you for the opportunity to respond to this claim that I have required independent review 13 times. It's completely wrong. The 13 times referred to the fact that even in the Great Britain 13 times the previous government has addressed the challenges posed by the capital processes. It is quite interesting that in the hearing of the Control and Constitutional Committee with the previous government on this process, the references made by the previous government were that the Stortinget was informed of the most demanding migration process in Norwegian health care, almost exclusively initiatives taken by the undersigned or others in opposition to the Stortinget. Had it not been for those initiatives, Stortinget had almost no information about this. It says a lot about how closely the previous government was involved in the demanding process. With regard to the question raised by the representative, we will now work on drawing up a national health and hospital plan. When we know the time perspective for it, we will also be able to indicate to a greater extent when we are going to start with the reorganisation and follow up the government platform with regard to regional health businesses.
ParlaMint-NO_2013-11-27.ana.ud280e264	Then we go to the next main question.
ParlaMint-NO_2013-11-27.ana.ud280e267	We have several discussions going on with our friends in the EU. One is about a differentiated employer's fee, another is about the bank deposit guarantee scheme. Last week, state councillor Helgesen was here in Stortinget. He made a lot of unclear signals, and several of those signals we disagreed with. But he made a clear signal, which we agreed with, and it was that the government would at least stand up in one area for Norwegian interests, for Norwegian small savers, for Norwegian companies, for Norwegian banks. Helgesen was quite clear that the government was going to fight actively to maintain the Norwegian bank deposit guarantee scheme, which has been the focus of a total collapse. At the same time, in Berlin, Prime Minister Erna Solberg was on his first big trip abroad and was going to have a meeting with the German Minister of Finance. And what signals did we get after that meeting? The signals were that this is difficult. It's hard to get through. And the headlines of the largest Norwegian newspapers were that Erna Solberg has given up the fight for the Norwegian bank deposit guarantee scheme. So in one day, the State Council had a clear signal here in Stortinget, while Prime Minister Solberg had a clear signal in Berlin. The government had two visions. My question to Minister of Finance Siv Jensen is: Does she have a third view? Or she can clarify what is actually the government's view in the fight for a lasting arrangement where we can take care of the Norwegian bank deposit guarantee scheme.
ParlaMint-NO_2013-11-27.ana.ud280e279	I can assure the Norwegian Government that this government is also following up the work done by the previous government in connection with the deposit guarantee scheme. There has been a unanimous increase that has repeatedly expressed its support for the continuation of the Norwegian bank deposit guarantee. I am going to Strasbourg to meet Commissioner Barnier at the beginning of December just to further strengthen the Norwegian position related to this. Then it's not right that Battle Violence Vedum claims that the Prime Minister has said something other than what I have said and the State Council Vidar Helgesen has said. We have said the exact same thing, namely that the Norwegian position is fixed. But we have also underlined all three that we cannot close our eyes to the trialogue negotiations that are currently taking place in the European Union. Neither did the then Minister of Finance Johnsen, who also made clear to our counterparts in the EU what kind of transitional arrangements we can then imagine, given that we are not allowed to continue the system of which a unanimous increase is involved. The present government prepared an alternative position. It hasn't changed, it's also stuck on the side of this government. This is about trying to put in place broad, sustainable transitional arrangements as a subsidiary position. But again – our starting point is to do what we can to ensure that the current Norwegian scheme is continued. That's why I'm also going to Strasbourg to answer the question.
ParlaMint-NO_2013-11-27.ana.ud280e288	At least it is gratifying that the government has the same view when they are in the staging room. This is a step forward from what we could hear in the debate yesterday. Now I expect that the Council of State Jensen is clear and clear also when she comes out of the staging room, when she meets her European colleagues, and that the minutes of these meetings are not going to be no, we are not going to make it. We must have a five-year transitional arrangement. The battle is lost, as in the minutes of Erna Solberg's meetings. If Norway is to be implemented, the government must dry out to have a clear tone both here and in meetings with its European colleagues. You lose negotiating power, you lose strength if you don't dare stand the line all the way out. The reports from last week gave a clear signal that Prime Minister Solberg had already given up. Then I would like to ask Minister of Finance Siv Jensen at the end: Does Minister of Finance Siv Jensen think it is wise for the government to appear with a clear force, or does she think it is still wise to have one tone in Norway and one tone abroad?
ParlaMint-NO_2013-11-27.ana.ud280e297	The government is talking to one tongue in this matter, and it will help the government if also the Storting did so. I have problems understanding why Battle Violence Vedum is trying to create the impression that the government does not have the same view, depending on whether we are talking about this matter in the Stortinget or on the outside of Stortinget – that is simply not true. We have followed this up in all possible ways through correspondence with the EU's counterparts, through the meetings we have with our respective counterparts when we travel. It will be well cared for. I just want to encourage the representatives of big business to join in the view that the government is continuing from the previous one. This will at least help to ensure that the need to provide the Norwegian deposit guarantee scheme is understood by our counterparties.
ParlaMint-NO_2013-11-27.ana.ud280e308	It opens for three follow-up questions – first Liv Signe Navarsette.
ParlaMint-NO_2013-11-27.ana.ud280e311	The background to the question that was asked is that the representative, Mr. Schlagsvold Vedum, is an outstanding representative who reads newspapers, and I assume that those who write there have spoken to the Prime Minister. But it's very good that you get to prepare it the way you've done here today. There are a number of issues, such as the representative Schlagsvold Vedum so introductoryly, which are important in the future. Some of the first centre party and the red-green government did in 2005, were to get hold of the negotiations and reintroduce the differentiated employer fee, which was also mentioned. The inconclusive attitude of the government now shows towards the EU gives cause for concern about the outcome of the renegotiations that are now facing the door due to a differentiated pay for employers. When we negotiated, there was close cooperation between the Ministry of Finance and the Ministry of Local and Regional Affairs, which was entirely decisive, and of course a stop where one did not bend, but stood up for Norwegian interests. Can the Minister of Finance confirm that the government will offensively stand firm on the negotiating basis that the red-green government sent the EU earlier this year?
ParlaMint-NO_2013-11-27.ana.ud280e324	I simply disagree with the statement made by the representative of Mr Navarsete that this government has an inconvenient attitude towards the European Union. I do not agree with that. In the government platform, it is clear that the work we are going to do is primarily about safeguarding Norwegian interests. There are many good reasons for this – precisely because the EU is our top trading partner. It is then important to have good dialogue, good trade mechanisms, while at the same time ensuring Norwegian interests in all areas where it is important. In the case of the differentiated employer fee, it has been the subject of many and demanding negotiations by the Norwegian side. But also that question has had a unanimous staging behind it. The last time there were challenges to the differentiated employer’s fee, extensive dialogue also took place with the Stortinget to ensure the broadest possible agreement on the scheme we ended up with. It ensures the best possible care for this government.
ParlaMint-NO_2013-11-27.ana.ud280e331	Hans Olav Syversen – for follow-up questions.
ParlaMint-NO_2013-11-27.ana.ud280e334	The representative, Mr Slagsvold Vedum, spoke of ‘our friends in the EU’. I think I need to talk to the representative afterwards about what friends he's looking for, because I haven't heard so much about those friendships before. [[Laughter]] Let me say that right here we fully support the government. In fact, there are those in the opposition who are trying to give the impression of confusion. On the other hand, the cheese duty is a different matter, but in this particular case we certainly believe that the government has followed up a unanimous decision. Then the Minister of Finance spoke about permanent transitional arrangements. Then it might be interesting how long they're going to last. This means, for example: do you imagine a position where the old rules will apply to deposits outstanding at the time, while the general rules will apply to any new deposits?
ParlaMint-NO_2013-11-27.ana.ud280e343	I am very pleased that the Christian People's Party so clearly supports the government on this issue. It is important that Norway speak with one tongue to our counterparts in the EU about this. So I just want to repeat: our starting point is to do what we can to secure the arrangement we already have. That is what the government believes will be the very best thing for Norwegian depositors in Norwegian banks. But then we cannot close our eyes because the negotiations that are currently taking place are in a different direction – or at least we have to say that it is a counter-ground, with Norwegian eyes. That is why former Finance Minister Sigbjørn Johnsen took a position that I am following up, which is that we must ensure that all deposits in a future scheme are treated equally, and that any transition period will last for many years. That's one of the starting points for the discussion that's going on, but once again, our starting point is to secure the arrangement we have.
ParlaMint-NO_2013-11-27.ana.ud280e350	I notice that the main contribution of the Christian People's Party in this questionnaire is to keep support for the sitting government, without having to comment on it further. I think the Minister of Finance should understand that when there are so many different signals coming from different governments, we get a little worried. Erna Solberg said on 21 November: ‘The best thing we can hope for is limited exceptions and good transitional arrangements.’ It is with respect to report something quite different than the line Sigbjørn Johnsen, SV, the Center Party and the Workers’ Party in the previous government. So you've started to talk about plan B in public -- about what happens if you don't get a pass. It is not a good bargaining strategy, and therefore I would like to give the Minister of Finance the opportunity to strengthen his negotiating position with the EU by asking: Will the Minister of Finance allow Norway to exercise the right of reservation in order to secure the Norwegian guarantee amount?
ParlaMint-NO_2013-11-27.ana.ud280e357	Actually, the representative Serigstad Valen should also make a contribution to the work that the government is now doing towards the EU. We follow up on absolutely all points the positions of the red-green government regarding the deposit guarantee scheme – all positions. So it's about – point 1 – doing what we can to ensure the system that Norway has today, which we think is the best system. It is also – paragraph 2 – about not being naive and not closing your eyes because there are negotiations that are not necessarily in line with the Norwegian position. We then need to ensure that the best possible outcome of what is best for the Norwegian position is achieved.
ParlaMint-NO_2013-11-27.ana.ud280e363	We're going to the next main question, which is from Iselin Nybø.
ParlaMint-NO_2013-11-27.ana.ud280e366	My question is to the Minister of Knowledge. There has long been a broad political majority who want the study support to be extended to eleven months, and many have therefore been critical of the previous government because they did not implement it, even though they were put on a majority in the UK. When they finally took hold and put this into the budget, it was after they had lost a choice and when they knew they didn't have to take the bill. I am sure that the Council of State agrees with me that it is somewhat inexorable for a disfellowshipping government to do so – that is, to try to take credit for a good and important measure while sending the bill to the next government. But I can also understand the disappointment of the students when the sitting government presented the supplementary proposal, and eleven months of study support had been removed. Eleven months of student support has long been a matter for the students, and it is an important matter for realising the full-time student and the knowledge society. As I said, there is also a majority in the United Kingdom for this to be done. A budgetary agreement has now been reached between the government parties, the Christian People's Party and the Left, which clearly shows that the student's living conditions are to be investigated, and that this investigation will include a plan to increase student support and, in particular, the length of the study support. So I want to ask the Council of State: what kind of progress does he see that this investigation is going to have, and what ambitions do the Council of State have about the size and length of the study aid in four years – seen in the light of this budget agreement that has now been concluded?
ParlaMint-NO_2013-11-27.ana.ud280e381	Thank you for the question. I just want to talk a little bit about the background. In the budget we took over in 2014, there was a further zero SEK in student support in addition to the increase in price, and that has been in itself the situation since 2006, if I do not remember errors, and it has caused the students to slow down compared to e.g. Norwegian employees. So what we put in the budget for next year was an increase of about. NOK 3 500. It's an increase that's not just as large an increase as expected wage growth, but a little bit more. I understand that the students wanted even more. It's not hard to understand. I have also said that I understand that the students were disappointed, without having to go into the whole reason and the whole story behind it. However, this is the greatest increase and the greatest promise for study funding over ten years. The last time it was such a big promise, it was actually also with a bourgeois government. It is true that the budget settlement parties in Stortinget did not agree that they would have 11 months of study support from 2015, as it was within the budget. That's what the majority of the Biggest has decided now. But what we also agreed on was going through the financial situation for the students and looking at both the increase in the monthly amount and the length. These are good arguments that you should be able to increase your length slightly. For example, with the Quality Reform, several students received the exam later in the year. If an eleven-month plan is the right one, I'm a little bit more unsure, because if you were to literally interpret it, it would mean that you got a payment from June 15th to July 15th, and in July, very few people have an exam. It is also the case – with today’s legislation – that if you have a study year longer than 10 months, you have an opportunity to apply for study support for a longer period of time, so you can increase your study support. But we'll come back with this as soon as we can, and we've already started dialogue, among other things. with student organisations.
ParlaMint-NO_2013-11-27.ana.ud280e388	I would like to thank the Council of State for its response so far. I'm glad that the Council of State says that you want to do this work a little quickly, and it's important enough for a student to get the student support up as such, but it's not important to increase the length. As the Council of State also had in mind, there has been a development in the situation of the students when it comes to exams etc. What I'm concerned about is that we don't do the same thing as the previous government -- that is, we talk all the way about increasing the length of the study support, but we don't put it in until the end, and then we're really as far as we are today. So the Council of State is already willing to start to increase the length of the study aid right now – if you don't say eleven months, you say ten months and one week, ten months and two weeks, etc. – the start of a phase in the increase in the length of the aid?
ParlaMint-NO_2013-11-27.ana.ud280e395	We will come back to the specific arrangement in the annual budgets, and I do not dare now to make any real promises. The starting point is the government platform. It says that study aid should be increased by more than price increases – up towards wage increases. I think that's a reasonable starting point. So there are fore and counter-arguments against using any future increase in length. If the purpose is e.g. The fact that students are going to have greater financial space and have to work a little less is a little difficult to understand that having the same payment as today, just for a longer period, is the most important thing instead of lifting the other ten months. But I have a pragmatic relationship with it. Whether you use a possible increase, which we'll then come back to in future budgets, to escalate the length or increase the payments in the ten months, I have a pragmatic relationship with, and I'm more than happy to have a dialogue with the Left about it.
ParlaMint-NO_2013-11-27.ana.ud280e400	It opens for five follow-up questions – first Trine Skei Grande.
ParlaMint-NO_2013-11-27.ana.ud280e403	Yes, there is a danger that the Council of State will have to do this in dialogue with the Left, and then I really have a very simple question based on the answers given by the Council of State to Nybø: If the Left manages to get through the budget negotiations for 11 months of study support, will the Council of State oppose this?
ParlaMint-NO_2013-11-27.ana.ud280e408	The question is: if the Left would potentially get through on a later budget, would the Council be against it? I am absolutely sure that the representative Skei Grande as party leader has occasionally been confronted with speculations about eventualities. Then we politicians have a very good answer to that, and that's that kind of speculation we don't do. I'm sure the party leader in the left sometimes has answered that.
ParlaMint-NO_2013-11-27.ana.ud280e415	Trond Giske – for follow-up questions.
ParlaMint-NO_2013-11-27.ana.ud280e418	I think it is rather daring that the Minister of Knowledge shows that the previous study initiative took place under a civil government, because it happened in the autumn of 2001. Then the Stoltenberg I government proposed NOK 10000 in increased scholarships. The new Bondevik government went against – Right, Christian People’s Party and Left voted against in the Stortinget. It was the red-green parties together with the Progress Party that secured a majority for that promise – at that time also against the Right, Christian People's Party and the Left. That's why my supplementary question goes to the Minister of Finance, because in a blog just before the elections, Tord Lien, who was then the educational spokesperson of the Advance Party, writes: ‘... increasing study aid by 10% would be self-financing even if the implementation rate increased only by one point from 42 to 43.’ And then he has an attack on then Minister of Finance Sigbjørn Johnsen when he writes: «... Sigbjørn Johnsen would like to argue against increased student support, but to say that it becomes too expensive they might as well end up with first and last.» Tord Lien is now in government. Will the Minister of Finance listen to the advice of Tord Lien regarding the study funding, or does she agree with the Minister of Knowledge that this is too expensive?
ParlaMint-NO_2013-11-27.ana.ud280e435	The Minister of Finance listens to a lot of advice from many sides when we make our budgets. I just want to repeat what the Minister of Knowledge just said, that in the state budget for next year, student support increases by – is it – 3.65 pst., which is a considerable rise after many years of standstill.
ParlaMint-NO_2013-11-27.ana.ud280e441	Anders Tyvand – for follow-up questions.
