ParlaMint-HR_2018-04-25-0.u78151	The next will be an independent representative of the respected Hrvoje Zekanovic. Here you go.
ParlaMint-HR_2018-04-25-0.u78166	Dear Vice President of the Parliament, dear colleagues. I believe we're all proud after last night's game, after our team showed the whole nation how to fight for their country. And I wish that in the same way that our representatives yesterday brought us a great victory, that Croatian politicians would play the game the same way. That they don't play for themselves, they play for their country. Let them play with their hearts, let them play honestly, and not let them play calculatedly as they often do. We've been fighting one battle that unfortunately, one game that I'm afraid we've been losing for 30 years. It's a demographic game. We, regardless of the declarative effort we are making, are systematically losing this battle, or have received many goals, and every time we receive another goal, here from today we will turn the board, today we will begin to solve this problem. However, the problem is not solved. I'd like you from this place a little while while we're all celebrating in familiarity with the situation in our home country that we're talking about, and actually no one has told us what's next and when it comes to us. What you may not know, Croatia had in 1991 4 million, 784 thousand inhabitants. 20 years later, the census lists half a million less, exactly half a million or 4 million, 284 thousand. Today, Croatia loses about 100,000 inhabitants per year according to demographics. It is 80,000 people who have evicted both the Republic of Croatia and the 20,000 inhabitants we lose thanks to negative natural growth. These numbers of people can hardly be understood and perceived, but here I will try to explain a little for example. My Sibenik, which had 41 thousand inhabitants, and today there are only 28 thousand. If this trend continues, my Sibenik will not be able to function in about three decades, and so will our homeland. And no matter how many times we hold the council meetings for demographic restoration and how many times our president will warn us about it and how much we will talk like today. We don't give those goals. Croatia simply disappears. I often say that all living things on earth are shared taking food from the environment and reproduction, except for the Croatian man. The Croatian man's reproduction, or continuation of the species, is obviously no longer important and the Croatian nation disappears in this way. And we care about everything but this. Well, no matter what our budget is, 120 billion kuna, and the prominent demographics claim that 5 billion kunas of direct investment in demographic politics can make a leap, we only give crumbs from the table. So we're going to increase a few thousand more children's extras, and then we're going to extend the maternity leave a little bit, and we're not going to do the right thing. Because obviously every government I think, well, that's one problem that's inherited and I can't solve it. But this government shocks us with the news that there's no money for pensions. So he says, we're going to develop economically, so maybe we'll have pensions. The only way that we can have pensions is for demographic policy or demographic recovery. Without that, my generation and generation of my children will have no pension. It is still very important to mention migration as such here. We have entered the EU because they have given us this economic integration. Unfortunately, we appear to be in the EU exclusively as a labour tank for developed countries of the world. So yearly, we're paying 80,000 people less, with 80,000 educated people leaving, for example. Germany. This is not only a Croatian problem, this is the problem of the whole transition Eastern Europe, but my people are my favorites. I'll repeat, we pay the membership with 80,000 evicted a year.
ParlaMint-HR_2018-04-25-0.u78167	I thank my esteemed colleague, Hrvoje Zekanovic.
ParlaMint-HR_2018-04-25-0.u78168	The next will be the HDZ Representatives' Club on behalf of which the respected representative Grozdana Peric will speak.
ParlaMint-HR_2018-04-25-0.u78169	Dear Vice President, dear colleagues and colleagues. Well, here we are often in life, in fact, faced with the fact that we will always talk about problems sooner than the good that has happened or what is happening. So here's the previous colleagues mentioned something in that sense, and I think we should let the public know what we're doing, what has been done, and in any case we should be critical of what needs to be done. I'll look back briefly, although in my speech I didn't mean to look back, and here's the problem, for example. But I have to say, it's actually amazing how some of the shops are interpreted. The state invested significantly in both Rijeka and Split, as well as in Zadar and other ports, and did not expect a return from a concessionary. What should be said is that this happens in Gaženica, that only activities are given in the concession, and not entirely, and that 24m euros are invested in the terminal building itself, while, for the purpose of concession fees and port fees, more than 42m euros of revenue will be made. It is therefore not good to speak incomplete and incorrect figures and to say that the whole procedure has been very transparent towards the public for three months, so it is necessary to find a concessionaire who will succeed in encouraging and leading to a high level. What I wanted to talk about and this is about the report and the State Statistics Institute's statement on the state of our public finances and what happened in the last quarter, that is, the end of 2017. In fact, the obligation of the State Statistics Institute to provide a April report from 2014 to 2017, and according to the ESA methodology, it was in fact found that the surplus of the consolidated general government was 2 billion and 754 million kuna, which is 0.8% of GDP. When we remember that in 2014 the deficit was over 17 billion kuna, it tells us how much effort was made to achieve these results. Although the nominally consolidated debt is larger, we must say that the impact of the surplus generation itself has been primarily reflected in tax reform and changes in the tax system and what should certainly be noted is that a significant improvement in the financial performance of extra- budget users and public revenues during this period has been extremely favourable. In addition, the generation of surpluses has also been affected by the reduction of interest, the cost of interest, and we have witnessed that the reduction of interest occurred primarily in the restructuring of the road debt. What is certainly, with all these successes that should always be highlighted because this is the first surplus since 2002, so it is not insignificant and should be especially commendable to the government's work and its efforts to achieve but in all of this it should take account of citizens and entrepreneurs to think about how to actually tax and administratively relieve both natural persons, the population and entrepreneurs. So, it is very important to highlight what has been achieved in this respect, to do a detailed analysis of what we can do even better and how to encourage GDP growth to be what it is and in no way should we be distracted from the idea that public debt is actually reduced in terms of GDP, that it is 78%. So we aim at those objectives set before us by the European Commission. Thank you very much.
ParlaMint-HR_2018-04-25-0.u78170	Thank you very much.
ParlaMint-HR_2018-04-25-0.u78171	Let's move on, Club of HDZ Representatives, respected counterpart Branko Bacic. Here you go.
ParlaMint-HR_2018-04-25-0.u78172	Thank you, Mr. President. Dear colleagues and colleagues. You say we look at the polls, so right now I've looked at the poll, HDZ is far the strongest than the Bridge and the SDP combined. So much for Croatian citizens thinking of HDZ and what they think of the Bridge and what they think of the SDP. You want to know what kind of government we have? We have a government that runs a state whose economy has been growing steadily year after year for the last year 2.8%, and we have a government that's taken care of public finances, which you didn't even know about. For the first time, the state budget records a surplus of 0.8% last year, we have a government that has reduced the public debt that is now 78% of GDP, we have a government if you are asking what kind of government we have that is instead of selling the Croatian highways that you gentlemen have proposed and intended, which retains Croatian highways owned by Croatian citizens, saving 50m euros annually to the Croatian budget. We have a further government that has been able to deal with the biggest economic challenge since 1990, which was able to find the law and prepare the law passed by this House, a law that passed the Constitutional Court verification, a law that was confirmed by the British judiciary not to enter the right of ownership, a law that became part of EU insolvency law, a law that allowed dear gentlemen dearly to preserve the Croatian economy and the Croatian financial system, a law that further allowed the public debt to be 78%. If it hadn't been for that law, that Agrokor was left to the street, that Agrokor was left to its owner alone, that Agrokor was left to the bankruptcy law, that Agrokor was left to a pre-fashion settlement, we would have been left to a public debt of 78% today, given the 6.2 billion euros of the Agrokor debt in Croatia, 94% and that speaks of what kind of government we have. We have a government that knows how to deal with problems. And what do we have on the other side? We have an opposition that forgets that the law has written in that government, that the law has voted, we have an opposition whose head of opposition from his press is causing jail without charge and without court, is that a solution for Croatia, is that offered as a solution? Do not respect even the division of executive, legislative and judicial authority. The head of the opposition at his press says prison immediately, and that's what we're offered as a solution in the state. We have a government that respects Croatian citizens, we have a government that knows how to deal with responsibility, which is why the Deputy Prime Minister also resigned, which is why the Deputy Prime Minister resigned. And our assessment that it was a non-serious act when her resignation was sought was based on an act the opposition had directed, and we've talked about it many times already. Therefore, it is good that Croatia has such a government, and about what the Government is, I will end up with it, speaking exactly the ratings of those who support this government and those who are against this government. Thank you.
ParlaMint-HR_2018-04-25-0.u78173	It is now up to the HDZ Representatives' Club and respected counterpart Boris. Here you go.
ParlaMint-HR_2018-04-25-0.u78174	Thank you very much. Dear President, colleagues and colleagues. So I want to say something like that, maybe I'll say it honestly, since when I come to this assembly, we politicians sometimes give ourselves the task of thinking that everyone in Croatia alone is thinking about us and what we're doing here. I come from an island, tourism in progress, people are doing their job preparing themselves and their facilities and everything they have to live on in which services are not a meaningless branch, i.e. They're not something we can just leave to the case. After this we have a discussion about mines, 20 years after peaceful reintegration we are still talking about mines and demining, but neatly as politicians here we act in a way that in this Croatia everything is either normal or perfectly complex and that we are almost and have no problems. We've got gentlemen and we're trying to deal with them as responsible people, at least I know at the level of this government and these parliamentary majority. What's being offered on the other side? Choices. When we go to elections and choose each other every six months so that some, who are constantly causing it, have the opportunity to constantly choose and check their status among the people. What does it mark these years and a half of this government? Something we did not promise in the pre-election programme, nor in the government programme that we adopted here at the beginning of this parliamentary majority's term, Agrokor, we did not promise, but we are dealing exclusively with this very intensively, so that perhaps one of the biggest economic problems we have faced over the past 28 years will bring a peaceful end. With a result that would satisfy us, first the economy and the economy, and the politicians aside. But we do know that there are those who want a settlement and are doing everything to make it happen with the businessmen, but also among the politicians. But there are also those who don't want it either in the economy or in the politicians. Let's be realistic and say why? Because for 20 and a few years someone's been digging a hole or a hole that weighs 57 billion, where are you today? And someone has offered us a solution to still look like a society that has opportunities and can move on. What's going on? Heavy pressure now when it's due to come to an end. Someone wants to overcome those who want it to end properly and have been finding ways to make it impossible for a year. Always something about the law. Let's remember how it was all moving, so first it was a slow roll up, and then it was over, and then it was slow to change or can we change an extraordinary commissioner at all, and so it went. So then the rest of the stories started to end today on some e-mails, counselors, etc. Not a word about those who've been digging a hole for years. Someone had to take care of it. How did the SDP solve a slightly smaller hole than 42 billion of all economic systems or legal entities in 2012 when it was seen how much was owed, within all? A law on pre-nuptial settlements. No one asked who wrote the law, we all know how it was voted, we all know what it was in the first six months, how pre-fashion agreements were made, about some court-free halls, without anything, everything was perfect, so the regulation was fixed, by the government regulation of 50 articles, we fix it with 45 regulations, and no one is interested in it. Councillors, monetization, agreed 50 million, paid about 20 for business, nothing happened. HPB 15 million, 10 pardons, nothing happened. Tax taxpayers' money, we're talking here, we see that the SDP is always trying to push through these are taxpayers' funds, citizens, not gentlemen, you're manipulating again. I think it's time to say gentlemen, elections are not a solution, and you have so many problems in the opposition, especially in the SDP, so look at your poll, so the president is the worst in your opposition, the worst.
ParlaMint-HR_2018-04-25-0.u78175	Thank you. Here you go, fellow Falcon.
ParlaMint-HR_2018-04-25-0.u78177	Thank you very much, Mr. President, fellow MPs. I'm going to say something here today about public encouragement to hate in the Croatian public sphere. This way I'd quote article 325. Penal Code: Who, by means of press, radio, television, computer system or network, which I stress, in a public meeting or in other way, publicly encourages or makes available flyers, images or other materials that are called for by violence or hatred directed towards a group of people or a member of a group for their racial, religious, national or ethnic origin, origin, skin color, sex, sexual commitment, birth identity, disability or other characteristics, will be punished by a prison sentence of up to 3 years. Unfortunately, what we have had the opportunity to hear and see in the public space of the Republic of Croatia, through social networks, is not one violation of this law by the representatives of the SDP, but even two. So we had the first situation where he called on, I guess the persecution and banishment of Croatian defenders from the Republic of Croatia to Ireland and afterwards mentioning '45. that the work is not finished, which I suppose should mean that some people should end up again, or some new people, the descendants of those who ended up in Hudu Jama should also end up in some new Bad Jama, it's not good for Mr. Stazic, it's not good because you, although you claim it's senism, that you didn't think so, etc., you're a state official, you're a parliamentary representative and your word in public discourse has weight, your word can be interpreted in different ways and you're responsible, like all of us MPs should be aware and that's what's dangerous here and that's what's the problem here. Unfortunately, however, this is not the first time that members, let's say the left political options, including the SDP, are thus dehumanizing their opponents and declaring them probably worthless lives. So we've had many opportunities to see in the media, on social networks, etc. the declaration of political insinuation to catatibanes, primitives, law-abiding, fascists, here's what we heard today, etc. What happens here, however, and what I see, I don't see any re-emergence of some imaginary fascism, but I see that some use of antifascism as a kind of professional anti-fascist to exploit some of their political goals, and that's the easiest thing to do is to declare a political opponent a fascist, a Ustasha, etc., because then you can dehumanize him, you can take away his civil rights and everything that follows. Unfortunately, we had the opportunity to see this in the debate on the education system, meaning in some colleges where some people have lost their jobs, just because they're not political options that should lead march through left-wing institutions and that's what's not good, that's where some people put themselves as if they have a monopoly on human rights, a monopoly on non-hate, a monopoly on love, etc., and in fact they're the ones that most widely hate, most lead to exclusion, the most lead to division in this society. And when we call on Ireland, Mr. Stazic, your speeches like this today in Parliament will guarantee you that hundreds and hundreds of young people will go to Ireland because of this because people are not interested in '45, people don't care who was then on which side. It is not the most important thing today, but people are interested in whether they will have a job, whether they will be able to live in Croatia and whether they will be able to advance in the system because of their work. What you do, however, and your contemplators, is that those people who think differently from you, marginalize, throw on social periphery, take away their rights, take away their ability to fight in the public sector for their rights and their views in a way that you actually retain that monopoly on some human rights and some fundamental social values you call upon. Unfortunately, that is what is very present in the media, that is what we could often see but I guarantee you that it will not succeed, I guarantee you that the Croatian public sees what you are, see who spreads hate, who calls for violence and sees who is spreading division in this society and this Republic. And that is why I call on all parties, especially the SDP, to stop speaking hate, to stop spreading impatience, to respect political opponents and to continue to fight correctly in the political arena in the Republic of Croatia.
ParlaMint-HR_2018-04-25-0.u78178	Comrade Pernar, we can't do this, no, please sit down. You have no right to speak.
ParlaMint-HR_2018-04-25-0.u78179	But I wanted to tell you that the stream didn't work, so everything we talked about actually couldn't be seen by the public. Turns out we spoke empty, Mr. President. [[Invader President: Comrade Pernar, do not, please, sit down.]]
ParlaMint-HR_2018-04-25-0.u78180	In accordance with Article 238, I give you a reminder, please sit down. Have a seat because you'll get a second warning and you'll lose your right to speak. [[But sir, I'd like to ask you to repeat what we said after the breaks because the stream didn't work.]]
ParlaMint-HR_2018-04-25-0.u78181	Mr. Jandrokovic, the stream didn't work. So just what I was saying and what's important is the subject, no one could see, so what's the point of my break? It's like some representative speaking for the club and that video doesn't exist, so I think we should be given. It's a technical error. It's not ours. Thank you.
ParlaMint-HR_2018-04-25-0.u78182	Comrade Pernar, please sit down. We're moving on to the agenda, so...
ParlaMint-HR_2018-04-25-0.u78183	Mr. Jandrokovic, we cannot move to the agenda until we resolve this issue, this is a very important issue. So those MPs who spoke and didn't broadcast their speech, they have the right to speak to the public and they're denied the right to do so.
ParlaMint-HR_2018-04-25-0.u78184	Comrade Pernar, if you don't sit down, I'll give you another warning, you will lose your right to speak. It's not my responsibility that he didn't do the stream or I don't know if it was a transmission or not.
ParlaMint-HR_2018-04-25-0.u78185	Sir, you are the President of the Parliament, you are responsible for how the Croatian Parliament works.
ParlaMint-HR_2018-04-25-0.u78186	Comrade Pernar, you're getting a second warning and today you can't speak anymore, please sit down.
ParlaMint-HR_2018-04-25-0.u78187	But Mr. Jandrokovic, not only has my speech not been conveyed, but you are now taking away my full word to speak, it is not democratic, Mr. Jandrokovic It's not democracy, Mr. Jandrokovic, it's dictatorship. [[Intruder President: Please sit down.]] That's the way... [[The speaker is not enabled.]]
ParlaMint-HR_2018-04-25-0.u78188	Here you go, colleague Zekanovic.
ParlaMint-HR_2018-04-25-0.u78189	Don't mind me, Honorable President of the Parliament, but I must point to the same problem as my colleague Pernar pointed out. These breaks are intended for the Croatian public to hear and see, however, we were not disabled or there was no transfer from the Croatian Parliament and here is a way to solve this problem.
ParlaMint-HR_2018-04-25-0.u78190	Okay, I'm asking you to be serious and let's not say things like that right now in the assembly because they don't make any sense. A colleague, Josip Križanić, on behalf of the HDZ Representatives Club, please.
ParlaMint-HR_2018-04-25-0.u78192	Thank you, Mr. President. I'd like to talk about the state of pork and what we eat. Croatian pig farming is collapsing, I have been talking to cattlemen daily, African swine fever has emerged in the environment and has disrupted meat traffic, and from neighbouring Hungary and the Czech trade chains of foreign owners importing single quantities of subsidized meat of questionable and poor quality without any control at low prices and thus destroy domestic production until the end. Even live pigs from Hungary from 7 kuna are imported to disrupt the domestic market. Between Poland and the Czech Republic, borders rise, fences at the borders to protect national pigs, as vectors are carriers of feral pigs. Other EU Member States protect their national pigs each day in every way by means of various subsidies and support because the price for domestic goods in those countries is significantly different than for imports. Furthermore, in Austria, their regulatory agency very clearly regulates the market by an unwritten rule that there are no imports if there are enough domestic pigs in that week. What's going on with us? Importers of live pigs and meat subsidized by export subsidies and destroy the price now in June at 7 kn. 30 years ago, ladies and gentlemen, the pigs were 10 kn and the oil was 3 kn. Now the price of the pig is 7 kn, and the oil is 10 kn. That's 2 kn below the manufacturer's price. Now in the season, the collapse threatens because at such low prices, domestic pigs will not even be bought. Now listen to this. So we have to export our pigs excellent quality environment by 8.5 kn and in Croatia from Hungary pigs enter 7 kn for surpluses and for African swine fever. In addition to what subsidy, consider yourself and how much then is the export subsidy of meat entering the Republic of Croatia from those countries to which we export. So they're worth buying from us pigs and then selling us meat, so who's crazy about it? And what does the Competition Protection Agency do to prevent the law on unfair commercial practices? Nothing, calmly watching commercials on TV about daily meat price actions is already offered at 18 kn, twice as much as salad and pepper. It's a price far below the manufacturer's anywhere in the world. So do they need a report for that, or should they, directly after the commercial, lift a five-million-dollar dragon penalty so that no one can ever think of importing meat of this quality again? What are you wondering? Look at this. Two days ago in a shopping chain in Pula, a man bought 3 kilos of stove doors when he was cut he had something to see. He's been draining shit out of him. Yes, such meat ladies and gentlemen for 18 kn of Croatian citizens, we feed our children while we export pigs at 8 kn. Pigs are desperate because now in the summer season they lose 200 kn per pig. Once we've destroyed everything, then we'll be importing twice as expensive and twice as bad. There are also major problems in the dairy sector. With sugar and other sectors, but I don't get to talk about it right now. Instead of finding a way to find a way out of the countries where the African swine fever appeared on the smart mechanism of import restrictions, we can't do anything again. Orban can do anything. It first solves its farmers' problem, subsidise exports and then, after solving the problem, deals with the European Commission's applications for 2 years. That is why I appeal from this place and ask Minister Tolusic to protect Croatian citizens from the outside threat. But also from imports of such meat by increased inspection of import meat, and it is therefore important that the food safety inspection is controlled by one minister from field to table because it is doing well here on the protection of human health, and that it does everything to prevent the collapse of the country's livestock industry, because it is a Croatian minister and not an EU minister, and it will have the support of all of us as it has so far. On the other hand, I'm asking the Competition Protection Agency to start doing its job, and it has all the tools for that. All I care about is asking them a question about who they work for and who they protect? Finally, I call on all citizens of the Republic of Croatia to buy quality domestic healthy Croatian food. At the age of 5, Professor Zivkovic of Knin told me, don't let other people eat what you wouldn't give yours when you control the meat. Ladies and gentlemen, let's not let our children eat meat like this. Thank you.
ParlaMint-HR_2018-04-25-0.u78193	The next club of MPs is the HDZ on behalf of which the respected representative Ante Babic will speak. Here you go.
