ParlaMint-ES_2015-06-17-CD150617.u1	The meeting was resumed.
ParlaMint-ES_2015-06-17-CD150617.u14	Thank you for informing me that I am going to reshape the government, it is good to know every day of news, even by Mr Lara's mouth. [[Laughter]] Thank you very much. I also thank you for asking the question about the International Monetary Fund because it is a question about a matter that is certainly important to our country. I would say to you, to complete what I have told your colleague Mrs Díez, that we must distinguish between good economic policies, which are the ones that produce economic growth and generate employment, and others that do not. We have made an economic policy based on important structural reforms, such as labour reform, reform of the Budget Stability Act, reform of the financial system, energy reform, administration reform, market unit, the Entrepreneurs Act and Second Opportunity Act. There are many reforms and you know them well. And, secondly, a fiscal consolidation plan because it makes no sense or is possible, as is currently proving the history we are living, that it is spent above what is entered into a country. Those reforms that had been implemented had produced results, imbalances had been corrected, competitiveness in Spain had been improved, and the most important thing was that jobs were growing and being created at a very good pace. As I said to Mrs Díez, we must continue to work, we must continue to strive to maintain that policy, and what the International Monetary Fund is asking us to do is to maintain the reformist spirit. Then there are some concrete measures that, as I said to Mrs Díez, I can share and others I cannot. The important thing is that Spain, unlike other countries that made very wrong policies, maintains its economic sovereignty and can therefore make its own decisions. Thank you very much. [[Applauds]]
ParlaMint-ES_2015-06-17-CD150617.u15	Thank you very much, Mr President. Mr. Lara.
ParlaMint-ES_2015-06-17-CD150617.u16	Mr Rajoy, we have two different views on the reforms. It seems that the International Monetary Fund has come to cable it in the electoral campaign, supporting precisely its reforms, reforms that, in our view, have only benefited capital at the cost of destroying quality jobs, lowering wages and increasing poverty. The International Monetary Fund recommends establishing a single contract, adjusting wages and working hours, facilitating the disengagement of agreements and raising excise duties and VAT, among others. These measures have once again been joined by the Bank of Spain in a servile and shameful manner, which also calls for a twist in labour reform, trade liberalization, transport and professional services. That is, they abound in the recipes that sink our economy, deteriorate workers' lives and increase inequality. The single contract with increasing compensation is an invitation to increase redundancies and does not resolve the high turnover of employment. He asks us for salary adjustment, when half the wages are less than 900 euros and one third of them are less than 648 euros, the minimum wage you have frozen. I asked him one day and I repeat today: could you live with 648 euros of salary? The disengagement of the agreements leaves the workers unprotected and breaks the collective bargaining. Increasing excise duties and VAT will only accentuate the tax injustice that is already among the highest in Europe. Mr Rajoy, the democratic and social way out of this crisis is not through the recommendations of the International Monetary Fund or the recommendations of a Bank of Spain at the service of the CEOE. Those are failed policies that have led us to the greatest economic and social disaster we have ever known in the history of our democracy. It is clear that the International Monetary Fund only seeks to raise the profits of capital and guarantee the payment of the debt to the international creditors it represents. There is a social exit to the crisis, a model with fair taxes, which avoids dismissal, generates stable employment and decent wages. That is the way, not the way, of the International Monetary Fund. Mr Rajoy, now that we are talking about radicalism, get off the mountain of the radicalism of the International Monetary Fund and govern the time left for the social majority of our country. Thank you very much. [[Applauds]]
ParlaMint-ES_2015-06-17-CD150617.u17	Thank you very much, Mr. Lara. Mr. President.
ParlaMint-ES_2015-06-17-CD150617.u18	I believe that these statements could be addressed to the International Monetary Fund, but not to the Government of Spain. The Government has an economic policy whose main objective was to overcome the crisis and now it is to grow and create jobs. Today I can say, and I think the whole House can be very pleased, that there are already more people in employment, less people in unemployment and more people affiliated with Social Security than when we arrived at the government, and that we are living in a very difficult situation in the years 2012 and 2013. But in 2014 and 2015, as a result of the policies we have implemented, it is already growing. This year - as we recalled before, we are going to be the fastest growing European Union country -, jobs are already being created - a million Spaniards will find a job between 2014 and 2015 - and, if we continue to persevere, in the coming years we can come to see how 20 million Spanish citizens can work. That is the policy we have pursued. On one occasion we agree with the International Monetary Fund, as we agree with you, and on other occasions we do not. Thank you very much. [[Applauds]]
ParlaMint-ES_2015-06-17-CD150617.u19	Thank you, Mr. President. - OF THE PEREZ-CASTEJON PEDRO SANCHEZ, OF THE SOCIALIST PARLIAMENTARY GROUP, WHO FORMULATES THE PRESIDENT OF THE GOVERNMENT: DOES HE CONSIDER THAT THE STATEMENTS OF THE PRESIDENT OF THE DO THE PP'S INDEPENDENT INDEPENDENCE EXERCISE CONSTITUTION? [[File number 180/001349]]
ParlaMint-ES_2015-06-17-CD150617.u20	Question to the President of the Government by Mr Pedro Sánchez, Member of the Socialist Group.
ParlaMint-ES_2015-06-17-CD150617.u21	Thank you, Mr. President. Mr Rajoy, I would like to know whether you consider the statements made by the President of Spanish Radio Television in this parliamentary seat to be appropriate, stating that you are a voter of the People's Party and will always remain a voter of the People's Party. [[Rumors]]
ParlaMint-ES_2015-06-17-CD150617.u22	Quiet, please. Mr. President.
ParlaMint-ES_2015-06-17-CD150617.u23	In Spain, as you know, there is ideological freedom, there is freedom of vote and there is freedom of expression and I suppose you will not pretend to take it from anyone, whoever that person is. And of course, referring to what the text of the question says, the opinions expressed by the Director-General do not affect at all the independence of the Spanish Television officials. [[Several Members: No, what's going on!]] [[Applauds]]
ParlaMint-ES_2015-06-17-CD150617.u24	Mr. Sanchez.
ParlaMint-ES_2015-06-17-CD150617.u25	Thank you, Mr. President. Mr Rajoy, do not insult the intelligence of Members of this House. You have ruled alone and against everyone. [[Several Members: No!]] Yes, your Government has ruled against the Spanish Radio-television workers and the Spanish Radio-television information councils by liquidated the independence of that public body, Mr Rajoy. They have done the same with the educational community by legislating against it and imposing the Lomce, as they have done against women by cutting their freedoms in the last second of the leg of the legislature by amending the Law on Voluntary Interruption of Pregnancy, as they have done with the workers by imposing a labor reform that has devalued their labour rights, and as they have done also, ladies and gentlemen, with all the Spaniards, at least against most of them, who, as they watched their taxes go up, adopted shameful amnestyes that could be welcomed by fellow members of the People's Party such as Mr. Rato or Mr. Bárcenas. Mr Rajoy, you have gained momentum by moving from the absolute majority to absolute loneliness, because you confuse institutional stability with putting at the service of your party the interests of each and every one of the institutions: of the Tax Agency before yesterday and of Spanish Broadcasting before yesterday. [[Rumors]] But we should not be surprised, Mr Rajoy, because you are the president who refuses to be accountable in this Parliament for the political corruption of your party, which directly affects you. [[Rumors]] And at the height of electoral rivalry, what you have done has been to threaten with the unilateral amendment of the Electoral Law to make a suit tailored to your electoral interests, Mr Rajoy. I mean, you're testing once again the exhaustion of your political project. Ladies and gentlemen of the Government, I do not know whether you this afternoon, Mr Rajoy, are going to change the government, if you are going to change it, if you are going to advance the elections or you are going to do both, to advance the elections and change the government, but I will say one thing: the Spaniards do not care or care because at this stage of the legislature the only change they are waiting for is theirs at the head of the government presidency following the general elections. [[Several Members: Very well!-Applause.- Rumours]]
ParlaMint-ES_2015-06-17-CD150617.u26	Thank you, Mr. Sanchez. I beg you all to remain silent, please. [[A honourable Member: There! Over there!]] Mr. President of the Government.
ParlaMint-ES_2015-06-17-CD150617.u27	I do not know what change the Spaniards expect, but I have to say that the only change they do not expect is to return to the Government who generated 3,400,000 unemployed in Spain; the only change they do not expect is to return to the Government who left this country on the verge of bankruptcy; the only change they do not expect is to return once again to the Government; the only change they do not expect is to return to the Government those who made an economic policy that generated six years of negative growth and continued increase in unemployment in our country and that created the biggest economic crisis we have experienced in Spain since the return of democracy in 1977. [[Several Members: Very well!-Applause]] [[Several Members: Come on, man!]] And, of course, the only change they do not expect in any way is that it can provoke a person who, after having said in all the forums to which he attended in the last months that he was never going to ally himself with extremist parties, radicals or at the orders of Venezuela has allyed himself with them throughout Spain and, jumping the democratic will of the Spaniards who in the big cities voted for the Popular Party, has given power to extremist groups that are already giving the spectacle that we are seeing at the City Hall of Madrid. [[Protests.-Applause.]] [[Several Members: There, there!-Other Members: Hala, man!-Rumors]] The responsible are not those councillors; the responsible is you, who have turned the Socialist Party into a radical, extremist, and far-flung left party. [[Several Members: Very well!]] You. [[Ladies and gentlemen of the Group of the European People's Party, applause, stood up.-Protests.-Mr. Elorza González shakes a white handkerchief]]
ParlaMint-ES_2015-06-17-CD150617.u28	Thank you very much, Mr President of the Government. Mr. Elorza, I beg you to moderate yourself in your gestures. - OF THE DEPUTATE OF ANTONIO HERNANDO VERA, OF THE SOCIALIST PARLIAMENTARY GROUP, WHO FORMULATES THE Honourable Vice-President OF THE GOVERNMENT AND MINISTRY OF THE PRESIDENCY: DOES THE MEASURES THAT THE GOVERNMENT intends to adopt IN THE FINAL OF LEGISLATION CONSIDERABLE? [[File number 180/001350]]
ParlaMint-ES_2015-06-17-CD150617.u29	Questions to the Vice-President of the Government and Minister for the Presidency. Mr Hernando, Member of the Socialist Parliamentary Group, asked.
ParlaMint-ES_2015-06-17-CD150617.u30	Thank you, Mr. President. Ladies and gentlemen, Madam Vice-President, I would like to ask you about the latest measures taken by the Government at this end of the parliamentary term and in particular the invitation to tender for six TDT licences, which the Government has called for with a six-month time limit. The final resolution coincides with the call for elections, four to eleven days just before the elections. I ask you whether such a broad resolution period has to do with the theory of the President of the Government that his party's election results are linked to the informational treatment that some televisions have made of the corruption that affects the People's Party. Thank you. [[Several Members: Very well!-Applause]]
ParlaMint-ES_2015-06-17-CD150617.u31	Thank you, Mr. Hernando. Madam Vice-President.
ParlaMint-ES_2015-06-17-CD150617.u32	Mr Hernando, of course it is reasonable to convene competitions in this country in accordance with the principles of transparency and free competition, especially when your Government approved them by royal decree and were annulled by the Supreme Court. [[Applauds]] Mr Hernando, we respect information plurality, free competition and transparency. [[Several Members: Well, well...]] We're taking reasonable steps, Mr. Hernando. What is not reasonable is what you ask and what your colleagues and your boss decide in this last leg of the legislature, as you have just seen. Thank you very much. [[Applauds]]
ParlaMint-ES_2015-06-17-CD150617.u33	Thank you, Madam Vice President. Mr. Hernando.
ParlaMint-ES_2015-06-17-CD150617.u34	Madam Vice-President, in the Economic Circle, the President of the Government recently said: 'The corruption and the continued hammering of all cases, especially on television' has hurt us. Mr Rajoy's reflection demonstrates his aversion to freedom of information, because with this contest you have put a gun to the chest of televisions. [[Several Members: Hala!-Protests]] , especially those televisions that have policy information programmes and programmes that criticize the People's Party or talk about the corruption of the People's Party. [[Rumors.-Mrs Fabra Fernández utters words that are not perceived]]
ParlaMint-ES_2015-06-17-CD150617.u35	Mrs. Fabra, I beg your silence.
ParlaMint-ES_2015-06-17-CD150617.u36	You have told the televisions that, if from here to the general elections you behave well and do not criticize the People's Party, you may have one or two television channels. You have an obsession with the media and freedoms. Mr Montoro recently recalled the debt of the media and the Ministry of Justice threatened television if they broadcast images of accused persons. Solve this contest, do it soon and do it without sectarianism. I assure you that the poor results of the People's Party are not due to the information hammering on corruption in the People's Party, but to the very existence of corruption in the People's Party and, above all, to the hammering that its policies have brought on workers, families, women, pensioners or students. Those are the keys to their electoral debacle and not freedom of information. Just find out. [[Several Members: Very well!-Applause]]
ParlaMint-ES_2015-06-17-CD150617.u37	Thank you very much, Mr Hernando. Madam Vice-President.
ParlaMint-ES_2015-06-17-CD150617.u38	Thank you very much, Mr President. Mr Hernando, one thing is that you deal with radicals and another thing is that you copy the language in this House, that is intolerable, Mr Hernando. I ask you as a spokesman to review the expressions you use, because you are looking more and more like those councillors who are supporting the municipalities, Mr Hernando. [[Several Members: Oh!-Applause]] Secondly, this Government is in compliance with the law and you cannot tell me that we do not respect information pluralism and freedom when we are in compliance with the law. We have not been overturned by a direct channel award from the Supreme Court, you have been overturned; you have made the worst audiovisual policy that has existed in this country. That's why, Mr. Hernando, I'm asking you to have a little more memory. And let him have a little more memory also when he talks about corruption, because as long as some gentlemen are still sitting in that seat, you have a problem, a problem that you are not willing to tackle more than by responsibilities to everyone else, Mr Hernando. By the way, you talk to your former boss to see what he thinks of that issue; he wouldn't mind if he cools off the conversations he had with me at some point. Finally, Mr Hernando, they left this country in ruin, this government has brought it forward; this country is going bankrupt, this government has brought it forward. In this country, two things will always be respected as long as it governs the People's Party: freedom of the press and free competition; legality. [[A Member of the Commission: You have very little left.]] Thank you very much, Mr Hernando. [[Applauds]]
ParlaMint-ES_2015-06-17-CD150617.u39	Thank you very much, Madam Vice-President.
ParlaMint-ES_2015-06-17-CD150617.u40	Heritage is the Reserve Fund! [[Rumors]]
ParlaMint-ES_2015-06-17-CD150617.u41	Mrs López i Chamosa, to speak, that you should not, do so when you finish one question and before you start the other; that is the time. [[Laughter]] - OF THE DEPUTY DON JOSEBA ANDONI AGIRRETXEA URRRESTI, OF THE VASCO Parliamentary Group, WHICH FORMS TO THE LORD MINISTER OF JUSTICE: WHEN THE GOVERNMENT IS TO RETURN THE DIFFERENT BANDERAS AND TEACHINGS TO DEMOCRATIC POLITICAL ORGANIZATIONS [[EAJ-PNV]] Like their battles in the civil war and what happens to different museums and archives? [[File number 180/001331]]
ParlaMint-ES_2015-06-17-CD150617.u42	Question to the Minister for Justice. Question posed by Mr Joseba Agirretxea, from the Basque Group, PNV.
ParlaMint-ES_2015-06-17-CD150617.u43	Thank you, Mr. President. In the Civil War, following the uprising of the army under the orders of General Franco, there were murders, torture, looting, expolios, expropriations, thefts and another series of violations of individual and collective rights. The Spanish army was the army that would eventually be established as the army of the State, so all those symbols, flags, belongings, etc., snatched from the side that defended the existing republican legality of political parties and trade unions of the time, including their battalions, were automatically incorporated as a booty of war to the Spanish heritage. You know that all this is an offense to your legitimate owners and shows a zero respect for memory. In order to remedy this unjust situation, Minister, I ask you when the government will return to its legitimate owners the different flags and teachings taken from democratic political organizations, as well as their battalions in the Civil War, which are found in different museums and state archives. I'd like you to give me a political response, a government-wide response and not just from your department. Thank you.
ParlaMint-ES_2015-06-17-CD150617.u44	Thank you very much, Mr Agirretxea. Minister.
ParlaMint-ES_2015-06-17-CD150617.u45	Thank you, President. Mr Agirretxea, as Minister of Justice and also responsible for matters relating to historical memory and as a representative of this government, I reply to you that there is no political reason to prevent the return of the historical pieces to which you refer. It is not a problem of a political nature, Your Honor, it is a problem of a legal nature, it is a problem of respect for the rules we have. In this legislature, my colleagues from the Ministry of Defence and the Ministry of Education have already responded to your honor by telling him that we are not talking about simple objects, we are talking about historical assets, we are talking about assets that make up the museum funds of the state of ownership either of the Ministry of Culture or of the Ministry of Defence. Therefore, these funds have the same treatment, deserve the same value and consideration as many other flags and badges originating either from the Civil War or from any of the conflicts that have existed throughout our history in Spain. Access to these funds is generally guaranteed, they are available to all Spaniards. Ladies and gentlemen, the Historical Heritage Act tells us in its preamble that in a democratic State cultural property must be adequately protected, it must be properly placed at the service of all citizens, and this is ultimately the road to the freedom of peoples. That law was not made by a Government of the People's Party, but by a Government of the Socialist Party, and I very much agree with that preamble, Your Honor. [[Applauds]]
ParlaMint-ES_2015-06-17-CD150617.u46	Thank you very much, Minister of Justice. Mr. Agirretxea.
ParlaMint-ES_2015-06-17-CD150617.u47	Thank you, Mr. President. There are injustices that will never be repaired, Minister, but at least have the dignity of having a minimally democratic behaviour. No legislation is necessary for the Government to return the seized. This ikurriña is in the Archive of Salamanca, its owner is the Basque Nationalist Party, and it is not donated, is not sold, nor is it left in usufruct; it is snatched in one of our headquarters, exactly that of Gautegiz de Arteaga; it puts it here, it is of the Batzoki of Gautegiz de Arteaga. [[Show an ikurriña]] What is the ikurriña of Gautegiz de Arteaga's batzoki doing in Salamanca? We have never known of its location until we have carried out a great investigation and learned of its existence and its location. How many more will you have in your power, and not only of the PNV, but of the UGT or the CNT, etc.? A lot more. It's ours and you have no right to hold it. Why is he there? How did you get there? Or is the Spanish State and its institutions, including the army, the legitimate heir of the one who snatched it? Can you imagine that in Germany or in an Italian museum the flags taken by the fascists were displayed? It's not the property of all Spaniards, as you say, it's the property of some... [[Applauds]]
ParlaMint-ES_2015-06-17-CD150617.u48	Thank you, Mr. Congressman. Minister.
ParlaMint-ES_2015-06-17-CD150617.u49	Thank you, Mr. President. Your Honor, very particularly with this flag of the Batzoki of Gautegiz de Arteaga, which you mentioned, in 2008, the Government adopted a royal decree proposing a procedure for restitution or return. What happened, why didn't you ask? [[Protests.-Mr. Esteban Bravo: We told him we didn't know where he was. How are we going to order it?]] There's the procedure to get her back, and she didn't get it back.
ParlaMint-ES_2015-06-17-CD150617.u50	Mr. Esteban, I'm calling you to order.
ParlaMint-ES_2015-06-17-CD150617.u51	Your Honor, I understand your legitimate and reasonable interest in flags and other objects, which assured you that you receive no treatment other than the rest of the elements that make up the historical memory of this country, the collective memory of all Spaniards, who are available to all Spaniards. There have been possibilities, as was done with the return of the papers and documents of the lehendakari Aguirre, for their return in collaboration with the Ministry of Education. [[Mr. Esteban Bravo: What a charade! Applauds.- Mr. Count Bassen: A little respect, please.]] - It is possible the transfer of goods from the various national museums...
ParlaMint-ES_2015-06-17-CD150617.u52	Thank you very much, Minister. Mr. Esteban, I'm calling your attention because you're behaving amazingly. [[Mr. Esteban Bravo: It will be for something!]] - OF THE DEPARTMENTAL GARZÓN SPINOSA ALBERTO, OF THE Parliamentary GROUP OF IU, ICV-EUIA, CHA: THE PLURAL KEY, WHO FORMULATES THE LORD MINISTER OF DEFENCE: WHAT EFFECTS MAY THE NEW AGREEMENT WITH THE US HAVE IN OUR COUNTRY? ON THE BASIS OF DEATH? [[File number 180/001330]]
ParlaMint-ES_2015-06-17-CD150617.u53	Question to the Minister for Defence, by Mr Alberto Garzón, Member of the Plural Left.
ParlaMint-ES_2015-06-17-CD150617.u54	Minister, what effect can the new agreement to be signed with the United States on the basis of Moron have on our country?
ParlaMint-ES_2015-06-17-CD150617.u55	Thank you, Mr. Garzón. Minister.
ParlaMint-ES_2015-06-17-CD150617.u56	Thank you, Mr. President. Your Honor, in the bilateral order, the most important relationship for Spain in security and defence is, of course, the one we maintain with the United States of America. Therefore, and given that the new protocol amending the Convention on Cooperation in Defence between Spain and the United States updates, strengthens and narrows this relationship, its effects will undoubtedly be very positive for the security and defence of our country, of the United States and, above all, of the international community, of those countries with which we share values, interests and also, of course, threats. Thank you very much.
ParlaMint-ES_2015-06-17-CD150617.u57	Thank you, Minister. Mr. Garzón.
ParlaMint-ES_2015-06-17-CD150617.u58	Minister, this agreement does not meet the interests of Spain or Andalusia, the place where the base of Morón is located. For a long time, these bases have been and continue to be a deployment of large American companies that allow the rotating doors of former U.S. rulers and politicians and that precarious the labor relations there. There are more than 2,500 workers of Spanish nationality who have suffered from precariousness, the ERE, while his Government has done absolutely nothing in defense of those workers because it has been subject to the interests of the United States. That is what this convention represents, this new signature. You exercise what we might call pacotilla patriotism, because it is the People's Party that, when it rules in certain cities, places the largest flags; it is the People's Party that, many times, has Spanish bracelets, and it is the People's Party that is outraged when the hymn of Spain is painted. But it is also the People's Party that gives way to an imperialist power like the United States, which is spilling blood all over the country by committing torture, making illegal arrests and all kinds of actions against the international community outside the United Nations Convention, and to which you are making full follow-up, submission and continued genuineness. We believe that this is a profoundly wrong path, and it has also been proved. It was demonstrated when the previous government of President José María Aznar followed the United States government into an illegal and unjust war; when his government allowed illegal arrests, the flights of those detained illegally; when you also amended, in this very legislature, the laws so that the murderers of the Spanish journalist José Couso could not be tried. In other words, they make an exercise of full submission to an imperialist army that sheds blood, not a national security exercise, because from there they are being complicit in terror, massacre, drama. Security is a civil, not a military concept. We must cooperate, we must disarm, we must work within the United Nations and not cooperate solely and exclusively with the United States, which already knows what it is doing. The lands of Andalusia, the lands of Spain do not want to be accomplices to the murders that are committed six hours from the base of Morón with the industry and technology of the United States. It is outrageous that this agreement should be signed. [[Applauds]]
ParlaMint-ES_2015-06-17-CD150617.u59	Thank you, Mr. Garzón. Mr. Minister of Defense.
ParlaMint-ES_2015-06-17-CD150617.u60	Your Honor, for the record, your speech, frankly. The Government, whose priority is the security of Spain and the Spanish, does not remain alien to the situation we are living in in the North African region and which directly threatens us. We share this concern with our partners and allies and, obviously, with the United States, which requested us in 2013, as you know, the deployment of a crisis response force, which we approve in exercise of the powers that the Government has for this particular one. And now, in view of the worsening of this situation in areas even closer to our territory and following a new American request, we have reached an agreement to amend this agreement so that the United States can expand the capabilities of this offer and make it permanent. The agreement involves strengthening bilateral defence cooperation, increasing the capacity to protect the citizens and facilities of the United States and Spain and our allies in danger areas, and effective support for regional stability and common peace mechanisms in Africa, Europe, the Mediterranean and the Middle East. It has no doubt that the terms of the agreement also safeguard the exercise of our national sovereignty under any circumstances. Finally, we have been very mindful of the strengthening of employment and investment at the base of Morón, reaching commitments on this issue that allow us to look at the future of the base and its area of influence with all optimism. Therefore, Your Honor, the effects of the new amendment protocol on the areas concerned are and will be fully satisfactory for national defence and other related activities. Thank you. [[Applauds]]
ParlaMint-ES_2015-06-17-CD150617.u61	Thank you very much, Minister. - OF THE DEPUTY DONATOR ESTEBAN BRAVO, OF THE VASCO PARLIAMENTARY GROUP, WHICH FORMS TO THE LORD MINISTER OF AFFAIRS AND PUBLIC ADMINISTRATIONS: WHY IS YOUR GOVERNMENT IMPLEMENTING THE NORMAL DEVELOPMENT OF ERTZAINTZA, INSTITUTION FOUNDED IN THE ADDITIONAL PROVISIONS FIRST OF THE CONSTITUTION, INSISTENTLY RECALLING THE PUBLIC OFFER CONSTITUTIONS OF EMPLOYMENT? [[EAJ-PNV]] [[File number 180/001346]]
ParlaMint-ES_2015-06-17-CD150617.u62	Questions to the Minister for Finance and Public Administration. He asked, first of all, Mr Aitor Esteban, Member of the Basque Group, PNV.
ParlaMint-ES_2015-06-17-CD150617.u63	Thank you, Mr. President. Minister, why does the Government intend to prevent the normal development of Ertzaintza, an institution based on the first additional provision of the Constitution, by insisting on its calls for public offers of employment, for which it has already sent a request prior to the appeal?
ParlaMint-ES_2015-06-17-CD150617.u64	Thank you, Mr. Esteban. Minister.
ParlaMint-ES_2015-06-17-CD150617.u65	Thank you, Mr. President. As far as I know, this is not the case; no requirement has been sent concerning a specific body, that of the Basque Autonomous Police, and there is only one requirement for information. I would remind you, Mr Esteban, that last year 100 % of the Ertzaintza's troops were replaced, and therefore the disposition of this government has always been that the Basque Autonomous Police has the disposition of those troops and the compliance with the basic regulatory rules that concern us all citizens, all Spaniards and all Basques, who are the ones who are approved in this House, which is why I am sure that your lordship will share, once he has calmed down with previous speeches he has made this morning and that I, as a member of the government, did not seem to me to be the most relevant or the most moderate. Thank you, Mr. President.
ParlaMint-ES_2015-06-17-CD150617.u66	Thank you, Minister. Mr. Esteban.
