ParlaMint-NL_2018-12-06-tweedekamer-5.u1	We now proceed to the VAO Climate and Energy. I see the first speaker isn't ready yet. We'll wait.
ParlaMint-NL_2018-12-06-tweedekamer-5.u12	Thank you.
ParlaMint-NL_2018-12-06-tweedekamer-5.u13	Thank you, Mr. Van der Lee. I now turn to Mr Sienot on behalf of D66.
ParlaMint-NL_2018-12-06-tweedekamer-5.u14	Madam President. Today is an important day for the climate. Now we have the VAO and soon we have the treatment of the Climate Act. During the AO I asked for attention for the subsidy error in the SDE+, which means that solar panels, which have an even greater potential than ordinary solar panels, receive less subsidy. The PBL has a proposal for this. Will the Minister accept this proposal and quickly seize the opportunities for solar panels that follow the sun? We also want the energy bill to be affordable for everyone. We need to pay attention to that. Each year, when switching to another energy supplier, there is an opportunity to reduce cheaper and greener energy. The Ministry is already campaigning through energysavingdoenu.nl. Does the Minister see D66 as an opportunity to point out to households through these kinds of campaigns the opportunities to make their energy bill greener and cheaper? Then I have one more motion, Madam President. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the Netherlands committed to a 14% renewable energy target by 2020;]] [[noting that in 2018 we remain at 7% renewable energy generation in the Netherlands and are therefore about halfway through the target;]] [[Whereas this situation could not be foreseen in 2014 in the provisions on the SDE+ Instrumentary;]] [[noting that cooperation with other Member States can be achieved at European level through the Joint Project Mechanism to produce more renewable energy, which is included in the Dutch target;]] [[Calls on the Government to explore how the Joint Project Mechanism can be used to achieve the sustainable energy generation objective;]] [[invites the Government to inform the House of Representatives of this matter before the summer recess,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Sienot and Mr Agnes Mulder. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32813-256]]
ParlaMint-NL_2018-12-06-tweedekamer-5.u15	Thank you.
ParlaMint-NL_2018-12-06-tweedekamer-5.u16	Thank you. Mrs Agnes Mulder on behalf of the CDA.
ParlaMint-NL_2018-12-06-tweedekamer-5.u17	Mr President, thank you. Let me begin with the subject that was most troubling me and on which the Minister made a very nice commitment during the debate we had on damage in Limburg and the consequences of mining. The minister's gonna do what the CDA wants. After all, he is going to compensate the damage from the guarantee fund. The last minister didn't want that. That's why there was a temporary emergency fund in Limburg. That's what helped the victims. I think that's a good thing. But I still don't think it's right. That was a bad political choice from the previous minister. If the Minister thinks he should appeal, it is up to him, but I have also been promised in the last debate that he will stand up for these people. That's what the CDA's about. That is why I have just supported the motion by Mr Beckerman and Mr Wassenberg. I think it is really essential that we take care of this properly and that that guarantee fund is ultimately the place where people with mining damage can go, even after limitation period, after 30 years, if the mining company no longer exists. The mining companies will therefore have to fill that guarantee fund, because it cannot be that everyone has the benefits and that a limited number of people are left with the disadvantages. This is extremely important for the CDA. That is why I am very pleased with the commitment made by the Minister during the debate. I will not support Mrs Beckerman's motion on appeal, because for me it is important that the people are helped and the problem is resolved. I also received that commitment from the Minister, and I am extremely pleased with it. The fact that we can now take this step as a Chamber is historic. Thank you.
ParlaMint-NL_2018-12-06-tweedekamer-5.u18	Thank you. Mr. Van der Lee, a short question, because in general consultation has already been widely spoken.
ParlaMint-NL_2018-12-06-tweedekamer-5.u19	Let me put it very briefly: where is your proposal to invite the yellow hoes to the climate tables?
ParlaMint-NL_2018-12-06-tweedekamer-5.u20	Oh, that's a new point.
ParlaMint-NL_2018-12-06-tweedekamer-5.u21	Yes, this was not a subject of discussion in the debate either, but I would like to answer the question. I have tabled motions for support in this Chamber many times before and about ensuring that people can express their ideas. I think even Mr Van der Lee supported those motions on support at the time. So I don't really know where Mr Van der Lee is going with this.
ParlaMint-NL_2018-12-06-tweedekamer-5.u22	What I want to go to is that your group chairman made this call this week. At the first debate in which we are discussing the climate agreement and the negotiations on it, I expect the CDA to implement it. I find it strange that I constantly hear that the public should be spared where possible, and I agree with that, but I do not hear from the CDA that you will then have to put additional pressure on industry and on the energy sector to get that 49%, which you yourself put in the coalition agreement.
ParlaMint-NL_2018-12-06-tweedekamer-5.u23	Yes, but Mr. Van der Lee makes as many assumptions in one question. He really doesn't do the whole process that's going on at the climate tables. He walks far ahead of the troops and the music. That's a choice of GroenLinks...
ParlaMint-NL_2018-12-06-tweedekamer-5.u24	Thank you.
ParlaMint-NL_2018-12-06-tweedekamer-5.u25	... so it really doesn't make any sense that Mr Van der Lee is doing that right now.
ParlaMint-NL_2018-12-06-tweedekamer-5.u26	Thank you.
ParlaMint-NL_2018-12-06-tweedekamer-5.u27	Let him just give the people at the tables the peace to come to a good result and...
ParlaMint-NL_2018-12-06-tweedekamer-5.u28	We're just getting started!
ParlaMint-NL_2018-12-06-tweedekamer-5.u29	...we'll back that up. Thank you.
ParlaMint-NL_2018-12-06-tweedekamer-5.u30	We're gonna keep going all day. Be a little nice to each other. Finally, Mr Moorlag on behalf of the PvdA.
ParlaMint-NL_2018-12-06-tweedekamer-5.u31	Mr. Chairman. Being a little nice to each other does appeal to me. The same applies to being kind to those workers who are concerned about the continued existence of their jobs. Because the energy transition will generate an incredible amount of new jobs, with new green jobs. There's just opportunities. But there are also industries in which jobs are lost. That can be quite sudden and shocking. I would like to underline this point with the next motion. I want to make sure we don't give these people a cold shoulder. The Chamber, heard the debate, Whereas the energy transition will lead to the disappearance of employment in the fossil economy and related industries; Whereas this may lead to harmful effects on employment and the legal position of workers, particularly in the coal chain; Whereas the Economic and Social Committee has stated that dealing with these harmful effects exceeds the responsibility of the social partners and should also be the responsibility of the public authorities; calls on the Government to take responsibility and to reflect on the impact of the proposed ban on coal-fired power production on the position of workers, in particular in the coal chain, and to take additional measures and measures, in conjunction with the social partners, to cope with the social consequences; and goes to the order of the day. The President shall: This motion has been proposed by Mr Moorlag. It seems to me that their submission is sufficiently supported. She's getting No. 257 ().
ParlaMint-NL_2018-12-06-tweedekamer-5.u32	Thank you.
ParlaMint-NL_2018-12-06-tweedekamer-5.u33	Thank you, Mr Moorlag. I'm just gonna take a look at the Minister. Five minutes? Yes. I'll suspend for five minutes.
ParlaMint-NL_2018-12-06-tweedekamer-5.u34	I'll give the Minister the floor.
ParlaMint-NL_2018-12-06-tweedekamer-5.u35	Mr. Chairman. Let me begin with the two questions put by Mr Sienot. He encouraged me to follow the advice of the PBL on the sun-next systems in the next round of the SDE. I see that as an incentive. The answer to that comes before the recess. Then I'll let the Chamber know how we handle the next round. Secondly, he pointed out that campaigns should offer people opportunities to reduce their energy bill. The campaign will, of course, be expanded. We want them to be used as much as possible at natural moments of choice, such as a new kitchen or whatever. I will honestly confess to Mr Sienot that I do not intend to make a strong commitment to switching between energy suppliers, because I think that is really up to the market. Private companies are advertising. The government doesn't have to do that for them. Mr. Chairman. I shall then come to the motions, first of all to the motion in part No. 250. I have clearly explained in the debate to Mrs Beckerman why I really think that an appeal should be made. It is not that I believe that we should leave people in the cold, but I think we should have clarity. So I'm gonna advise against that motion. The judgment on the motion in part No. 251 I leave to the Chamber. The motion in part No. 252 by Mrs Akerboom does not concern me. That's something the Chamber itself needs to think about. The motions on the documents Nos. 253 and 254, I advise. I would point out, however, that there will be an evaluation of the ISDE. Who knows what's gonna come out of that? The motion in part No. Mr Van der Lee (Commission); Mr Van der Lee; Mr Van der Lee; Mr Van der Lee; Mr Van der Lee; Mr Van der Lee; Mr Van der Lee; Mr Van der Lee; Mr Van der Lee; Mr Van der Lee; What in the motion to part No. Two hundred and twenty-six states have already been discussed in the debate. I think I agree with Mr Sienot, so I leave that motion to the House. Mr Moorlag (S). - (DE) Mr President, ladies and gentlemen. 257. That's actually the motion that's really about the yellow shirts. I'd like to leave it to the judge room. We must ensure that people do not feel unsafe in their orbit as a result of the energy transition. Mr President, so far.
ParlaMint-NL_2018-12-06-tweedekamer-5.u36	Thank you. This brings us to the end of this VAO.
ParlaMint-NL_2018-12-06-tweedekamer-5.u37	We are going to vote on the motions tabled next Tuesday.
