ParlaMint-NL_2019-11-28-tweedekamer-8.u1	We will continue with the discussion of the budget for external trade and development cooperation.
ParlaMint-NL_2019-11-28-tweedekamer-8.u59	Short question, Mrs Ouwehand, and no discussion, because we have had this debate. I'm afraid that even if we go two hours further, you won't get together. I understand there are differences of opinion. That's what we're dealing with. You are free to put your motions to the vote. In the end, the Chamber decides whether or not to vote in favour of your motion.
ParlaMint-NL_2019-11-28-tweedekamer-8.u60	That's right, Mr. Chairman. You have clearly noted that we are not going to find each other on many points, but perhaps we are going to find each other on the development budget, which is what my motion is about. We see that the Chamber wants to return to 0.7. I put forward a number of proposals for this in the motion, but the Minister is actually only responding to the first request. I was curious to see how she looks at the second request, because that is very concrete, to reverse three structural cuts in the forthcoming Spring paper. Can the Minister comment on that for a moment? 'Cause I'm really curious if she's willing to do that or if she's willing to say, "two out of three." I would very much like us to take a step further than just the ambition to go to 0.7 without making any concrete arrangements.
ParlaMint-NL_2019-11-28-tweedekamer-8.u61	I've already advised against that motion. The examples are not feasible. I'll have the political talk about OS.
ParlaMint-NL_2019-11-28-tweedekamer-8.u62	Sorry, Mrs. Old Hand, but we're moving on. You're just putting your motion to the vote, as usual.
ParlaMint-NL_2019-11-28-tweedekamer-8.u63	But there are two requests in the motion. The Minister responds to one request and says on that basis that the motion has been dissuaded. I ask what she thinks of the second request.
ParlaMint-NL_2019-11-28-tweedekamer-8.u64	I dissuade the motion and she continues to be dissuaded.
ParlaMint-NL_2019-11-28-tweedekamer-8.u65	Please continue.
ParlaMint-NL_2019-11-28-tweedekamer-8.u66	Then there was a request for an explanation of the letter on deforestation. That letter will be coming to you soon. Hopefully that'll be a better time. There's four tracks. The first is policy influence within the EU, through international fora, dialogues and the Amsterdam Declarations Partnership. The second is support for multi-stakeholder initiatives. You are well known for being the Tropical Forest Alliance under the World Economic Forum. The third theme is the strengthening of governance by creating the right framework conditions, for example support for EU commitment under a whole programme. In addition, there is a programme for land scaling up and improved land and forest management, which has also often been requested by Mrs Diks. It is also about protecting and supporting environmental and land rights defenders. The fourth theme is the financing of innovative programmes to be scaled up, as well as four contributions to multilateral funds. This brings us a little bit to the climate fund, but it also involves other channels. So that's a lead in the right direction. Then I would like to ask Mr Stoffer of the SGP whether I can do more in my policy for people with disabilities and whether we are thinking about developing criteria. The commitment is already made through the funds and the programmes. Within the education programme, we are now also calling for structural attention to be paid to inclusion of people with disabilities. We do this as part of a broader policy. That is extremely important in refugee camps but also outside. We also talk to NGOs and UN partners to apply standards and guidelines in the assessment, planning and implementation of their programmes. We are using new published guidelines from an international committee, a partnership committee, which is based in Geneva and to which everyone has to abide. Mrs Kuik was also promised that I would come back to that in due course. We'll stay sharp, because there's more work to be done. Mr Stoffer has tabled a motion for a resolution on this subject. (Parliament adopted the legislative resolution) He asked for special criteria. We stick to Leaving no one behind, but we do not want to have separate criteria, because there are directives. On the basis of a technical assessment, I do not recommend the motion, but I will give you the commitment, because there are already directives. But we are not looking for new criteria; we need to apply the directives properly. Then there is a motion from Mr Stoffer.
ParlaMint-NL_2019-11-28-tweedekamer-8.u67	Mrs Ouwehand, you are still standing, but I think the Minister has already assessed your motions.
ParlaMint-NL_2019-11-28-tweedekamer-8.u68	Mr President, that is correct, but the Minister has moved my question on forests to the second term. She has just answered that and I wanted to ask a question about that.
ParlaMint-NL_2019-11-28-tweedekamer-8.u69	A quick question.
ParlaMint-NL_2019-11-28-tweedekamer-8.u70	The Minister quotes from the letter that is still coming to the Chamber about how we are going to better protect the forests. But do I understand that the government does not opt for the removal of subsidies for biomass plants, does it not opt for an end to aid for Mercosur and does it not opt for a restriction on imports of feed and palm oil to protect forests worldwide?
ParlaMint-NL_2019-11-28-tweedekamer-8.u71	You know, I'll just come back to this in the letter. Those are a number of suggestive questions. Mercosur still has to go all the way. It has just been negotiated by the EU, so there is no final and formal cabinet weighing up. It's signed. Then you have the phasing-out when it comes to palm oil or soy. There's a lot of trajectories for that, too. I do not have all the information available to reply to it in a substantively responsible manner. That'll come back in the letter.
ParlaMint-NL_2019-11-28-tweedekamer-8.u72	Then I'm going to see Mr. Stoffer.
ParlaMint-NL_2019-11-28-tweedekamer-8.u73	I'm gonna take a shot anyway. Suppose, when I tabled a motion on people with disabilities, I would remove the words "add special criteria" and say instead...
ParlaMint-NL_2019-11-28-tweedekamer-8.u74	The motion in part No. 44, Mr. Stoffer?
ParlaMint-NL_2019-11-28-tweedekamer-8.u75	Yeah, that one. If I were to replace those words with "to apply the existing directives," would the Minister's opinion on the motion be changed?
ParlaMint-NL_2019-11-28-tweedekamer-8.u76	Yeah, well, then the judgment's gonna be different. Then the motion is simply enforceable and we can get on with it.
ParlaMint-NL_2019-11-28-tweedekamer-8.u77	Then I'll change the motion in a minute.
ParlaMint-NL_2019-11-28-tweedekamer-8.u78	Mr Stoffer also has the motion in part No. 45, requesting that, in the event of a permanent freezing of the contribution to UNRWA, it be examined, for example, whether it is possible to provide direct support to Augusta Victoria. I do not recommend this motion, because we are not exchanging a contribution to UNRWA, on the basis of a cabinet weighting granted under the MOVP, against the funding of a hospital. A contribution to the hospital is very noble, because the hospital provides a very important service. I suggest to Mr Stoffer that we consider whether Augusta Victoria can somehow get some kind of support. It is also about oncology for people who otherwise have no access. That, I think, is our shared objective. Mr Van Haga asked which Dutch organisations received programme funding from the BHOS budget for contradiction in the Netherlands. A letter has already been issued on collusion and contradiction with existing organisations. That's Room 336-25, No. 150. That's where we can get that information. But it is not good to keep track of whether or not people are critical at some point. We know the letters and, as you know, we still think they belong. Mr Van Haga has the motion in part No. 46 concerning the increase in the shipping costs of e-commerce packages. I would ask Mr Haga to hold this motion because the cabinet is already taking stock of the inter-departmental situation and will inform the Chamber accordingly. The leading role here lies with EZK. If Mr Van Haga can continue the motion, that would be very nice.
ParlaMint-NL_2019-11-28-tweedekamer-8.u79	And if not?
ParlaMint-NL_2019-11-28-tweedekamer-8.u80	Then the motion cannot be carried out at this time and I must advise against her. But I cannot imagine that this is Mr Van Haga's approach.
ParlaMint-NL_2019-11-28-tweedekamer-8.u81	Mr Van Haga is now walking to the interrupting microphone.
ParlaMint-NL_2019-11-28-tweedekamer-8.u82	I must now look at the co-author of the motion, Mrs Ouwehand. I see she's okay. We'll hold the motion.
ParlaMint-NL_2019-11-28-tweedekamer-8.u83	At the request of Mr Van Haga, I propose his motion (35300-XVII, No. 46). That is what is decided.
ParlaMint-NL_2019-11-28-tweedekamer-8.u84	In the motion in part No. 47 the government is invited to work with all responsible ministries to harmonise rules, directives and standards within the EU. That's about all every ministry does. For purely practical reasons, I advise against this motion. It's really far beyond the BHOS budget, but I'm taking the point. We will do all that on every theme that lives and plays. In the motion in part No. 48 the government is asked to draw up a plan of action and to use its ministerial powers to get out of the steel gap. Mr Van Haga has rightly referred to all the efforts we have already made. The motion is in line with the existing commitment of the cabinet. The motion is unnecessary. And all learning is done. So I have to discourage the motion. But it is work in progress and we will continue to do so. And that's the point.
ParlaMint-NL_2019-11-28-tweedekamer-8.u85	This is somewhat inconsistent, because so far it has been said every time: if it is an existing policy and the Minister is already doing it, I have even complimented her for that, then we ask...
ParlaMint-NL_2019-11-28-tweedekamer-8.u86	Yeah, that was the problem. I saw that coming.
ParlaMint-NL_2019-11-28-tweedekamer-8.u87	So I suggest we be consistent and give the motion judgment Chamber.
ParlaMint-NL_2019-11-28-tweedekamer-8.u88	I saw that coming. That's what I meant to say. I almost agree with Mr Van Haga.
ParlaMint-NL_2019-11-28-tweedekamer-8.u89	Then let's go with the consequence. That's correct.
ParlaMint-NL_2019-11-28-tweedekamer-8.u90	But we're gonna get it right next time. I'd be fine with that.
ParlaMint-NL_2019-11-28-tweedekamer-8.u91	Yeah, I totally agree. The motion in part No. 49 calls on the government to stop subsidies to institutions suing against the government. We finance organizations primarily for their work abroad. We also do not know cases of organisations financed by BHOS funds, but it remains the right of any social organisation to take the step to court. So I'm deceiving the motion.
ParlaMint-NL_2019-11-28-tweedekamer-8.u92	Very briefly.
ParlaMint-NL_2019-11-28-tweedekamer-8.u93	I had another question open, namely when exactly we can look forward to the commitment on Gavi.
ParlaMint-NL_2019-11-28-tweedekamer-8.u94	The commitment? We're gonna keep following it, but we're gonna... There's just been a funding conference. We've already announced the Gavi amounts. We're not gonna put that on again.
ParlaMint-NL_2019-11-28-tweedekamer-8.u95	I understand that, but Mr Stoffer has asked if you see in the next round room. You were supposed to look at that. So what's the first time we can make money for that?
ParlaMint-NL_2019-11-28-tweedekamer-8.u96	In the spring. Thank you for coming back, because this also gives me the opportunity to say that this was not a firm commitment. It was a bet.
ParlaMint-NL_2019-11-28-tweedekamer-8.u97	Please continue.
ParlaMint-NL_2019-11-28-tweedekamer-8.u98	Let me see how to number this, because there are no numbers on my amendments. Could it be because of the amendment to item No. 12 go?
ParlaMint-NL_2019-11-28-tweedekamer-8.u99	Yeah, that's right.
ParlaMint-NL_2019-11-28-tweedekamer-8.u100	Then I'll do it right. I understand the principle of humanitarian aid. Unfortunately, it's never enough. We also do not want to undermine the long-term objectives of this article by shifting more money. On that basis, therefore, I would advise against this amendment, but the cabinet is always looking at ways of increasing humanitarian aid, depending on developments. But that is not specific within this budget article. Then there is the amendment to item No. 14 by Mrs Ouwehand and Mrs Diks. I fully agree that female genital mutilation and cutting must be combated both in the Netherlands and abroad. It's a violation of women's and girls' rights, but there's a framework coming up. It's called the SRGR partnership. Organisations can sign up for this. We're not setting up separate funding lines. On that basis, I advise against this amendment. Then there is the amendment to item No. 15 by Mrs Diks on 5 million extra for forest management, with coverage from Article 4. We share the concerns about deforestation. You know the letter is coming, but we are always looking at the mix of good interventions. I also find the coverage from this article worrying. For these reasons, I would advise against the amendment.
ParlaMint-NL_2019-11-28-tweedekamer-8.u101	Very briefly, Mrs. Diks.
