ParlaMint-NL_2019-02-13-tweedekamer-8.u1	The next item is the debate on dealing with the consequences of the continuing drought.
ParlaMint-NL_2019-02-13-tweedekamer-8.u12	If I understand correctly, Mr... Sorry.
ParlaMint-NL_2019-02-13-tweedekamer-8.u13	The Great.
ParlaMint-NL_2019-02-13-tweedekamer-8.u14	Mr De Groot of D66 says that he does not doubt the quality of the people in the waterboards. There is a lot of expertise and they also lend each other experts, many engineers. So we all have no doubt about that. So he says: our point is the secure seats and that we should actually get rid of them. If that's the conclusion, I'll totally share it.
ParlaMint-NL_2019-02-13-tweedekamer-8.u15	That's a question you have to ask, the one about the secure seats. To do it from today to tomorrow, I do have a question mark. I will come back to that in the second term, with a proposal to take a closer look at it. Because in the Netherlands we also deal with each other carefully and also with the board. But D66 is no secret, it is also in our electoral programme, which is not in favour of the secure seat. Mr President, I shall continue my speech. Number two is that the waterboards in the peat meadows have actually maintained too low a groundwater level for many years. I told you. Every year they have adapted the groundwater level to the decline of the soil, to the sound of it. D66 actually wants the Minister of IenW to discuss this policy from her wider responsibility with the water boards. Are there no alternatives? Can we not, for example, see if we can save those areas? Because if we do that right, we can even grow peat meadows again. That means that there aren't any climate gases going up, but that they're picking them up. Of course we should do that together with the farmers. Mr. Chairman. Number three, we channeled the rivers heavily a century ago. As a result, the bottom of these rivers has fallen enormously, up to 2 meters. We can use channels or other smart solutions with nature. Then we can prevent erosion and keep ships sailing. Thank you to the Minister for getting on with my motion, which calls for, in addition to water safety, the spatial integration of the river 2.0, so to speak, 'Space for the river 2.0', to be integrated into the high-water programme. But D66 believes it is important that there is sufficient expertise for this. I'd like a response from the Minister. Mr President, I will conclude. If we want to win the battle against the water, nature is our friend. The alternative is that our children learn German and we move east, but D66 does not prefer that. What we do want is for us to prepare for the future. Nature has a central place in it. Thank you.
ParlaMint-NL_2019-02-13-tweedekamer-8.u16	Thank you. Then I would like to give the floor to Mr Geurts of the CDA.
ParlaMint-NL_2019-02-13-tweedekamer-8.u17	Mr. Chairman. On 20 December last, the government wrote to the Chamber that the drought in the Netherlands was officially over. There was no longer any threat of water shortage. There was a lot of rain in the weeks and months before both the Netherlands and Germany and France. As a result, the water levels in the Rhine and the Meuse are back on track. So this debate also has characteristics of the proverbial mustard after the meal, but we do not realize the value of the water until the source has dried up. Fortunately, it has not yet come to that, but the effects of the drought period are still visible. The groundwater level is still too low. That is being worked on, but to get the level back to normal it has to start raining for a while. 2018 was an extremely dry year. We're gonna have to learn from that. The experience of this drought period shall be evaluated. Water managers are in the process of drawing up scenarios in case of a further drought in spring. The question I have to the Minister of IenW is: what about it? Are these scenarios going to be discussed in this Chamber? What aspects are involved in such evaluation and scenarios? Will the position of agriculture and inland waterway transport be adequately addressed? And is dependence on abroad discussed? A lot of river water comes from neighbouring countries.
ParlaMint-NL_2019-02-13-tweedekamer-8.u18	I think the beginning of Mr Geurts' speech is fantastic, because he is actually asking if these droughts will occur more often. The same KNMI, which you just quoted, has indeed started with scenarios. That says that it is very likely that the kind of droughts we saw last summer will occur more frequently. Wouldn't that be because of climate change?
ParlaMint-NL_2019-02-13-tweedekamer-8.u19	First of all, thank you for the compliments for the start of my speech. You haven't even heard the end. I wonder what you might say about getting over that "fantastic." What you say about the KNMI is true, but the full answer is: in two of the four climate scenarios from 2014 it appears that the Netherlands is getting drier. The other two scenarios indicate that there will be no extreme droughts, so fifty-fifty. It is also said that more research is needed. In any case, it is certain that southern Europe will be drier and northern Europe will be wetter. The Netherlands is right in between. So it can still go either way.
ParlaMint-NL_2019-02-13-tweedekamer-8.u20	It's not exactly fifty-fifty, because the KNMI thinks that drought scenario is going to happen more often. I repeat the question to Mr Geurts: would that not be due to climate change?
ParlaMint-NL_2019-02-13-tweedekamer-8.u21	That's what I've been talking to you about in my interruption. You must not hang the drought of the past period on climate change. At least that was the outcome of the KNMI; I will not repeat the quote. The story that goes with it is also that it is fifty-fifty: of the four scenarios two are and two are not. I just indicated that, so I can neither confirm nor deny what you're saying. Let's see what the future will bring.
ParlaMint-NL_2019-02-13-tweedekamer-8.u22	I was also enthusiastic about Mr Geurts' first sentences. My question is about the coming summer. He says that the waterboards are busy re-establishing the groundwater. Does Mr Geurts perhaps think it is a good idea to be prepared for the next summer, in case it gets dry again? According to Mr Geurts, does this include building a buffer to keep the drought under control?
ParlaMint-NL_2019-02-13-tweedekamer-8.u23	There's more than one question in here. I'll just get two out. The waterboards work together with the landowners. I also see in the surrounding area that the waterboard distributes balls that you can blow up in the divers so that as landowner you can hold the water next to your plot instead of it pouring away. So yes, the waterboards are working to get as much water into the ground as possible in the places where it is needed. The other question is whether we should not build that further. We can go very far and flood the whole of the Netherlands. We'll have plenty of supplies, but I don't think that's quite the point. You should also look at the land use. I am curious to see what Members of Parliament will say about my speech at the end of my speech. I'll come back to that and give you a few more things.
ParlaMint-NL_2019-02-13-tweedekamer-8.u24	I am going to listen with interest to the rest of the speech. I am very curious to see how the balance of interests and the impact falls, towards water storage or towards agricultural use.
ParlaMint-NL_2019-02-13-tweedekamer-8.u25	You're talking to a real middle party, so it'll be right in the middle. I have just mentioned a number of questions on which the CDA Group asks the Minister to reflect. Several waterboards in the east of the country think there will be drought problems again next spring. The new drought will result from an extremely low groundwater level over the past year and probably this year, according to the waterboards. Do the Ministers share this idea and if so, what is their answer to it? Several waterboards with provinces, municipalities, nature organisations, farmers and drinking water companies are looking for temporary measures to increase groundwater levels. They're trying to boost the groundwater level. For example, the thruster is put up to hold and distribute water, so that it can sink into the soil which is now soil dry. Does the Minister of IenW have an overall picture of the problem in this case? Can the Minister provide insight into the latest calculations of the Dutch Hydrological Instrumentarium, the so-called NHI? This is a new calculation program of the joint Dutch water managers. Is it true that this spring farmers and nature reserves will again have a period in which the water disadvantage of 2018 has not been eliminated? The NHI predicts that. The NHI also predicts that, no matter how wet this winter, deficits are unlikely to be filled in parts of Limburg, Brabant, Gelderland and Drenthe. Mr President, another important aspect in the event of drought is the impact on CO emissions. In the event of extreme drought, the peat bottom drop is accelerated and this results in additional CO emissions. I still see D66 and GroenLinks nodding. Well, I guess I'll just have to start thinking. Veen oxidizes faster and releases CO. At the climate tables, it has been proposed that peat meadow areas should reduce CO by 2030. The provinces must now join with the farmers and water boards. As far as the CDA is concerned, the so-called level-controlled drainage is the route. Farmers can then precisely determine the groundwater level per plot because a drainage is built in the meadow. Do the ministers of LNV and IenW share this view of the CDA? Rounding up. The CDA has great respect for the farmers and their families who are working day and night to grow food for us. The Chamber supported by a large majority the motion of Van der Staaij and Buma on broad weather insurance. How far is the notification in Brussels?
ParlaMint-NL_2019-02-13-tweedekamer-8.u26	Thank you. There is another interruption by Mr De Groot. Let's meet two interruptions in total.
ParlaMint-NL_2019-02-13-tweedekamer-8.u27	I am still enthusiastic about Mr Geurts' speech. It is good to revisit the problem of peat meadows here. Mr Geurts mentions one solution, and that is the level drainage. It is known that this is a rather expensive solution and the effect is not yet fully known. Would it not be appropriate for us now to explore in broad terms what alternatives there are, alternative farming methods in peat meadows, where with a higher level of groundwater you can still give a function to those areas, either for nature or for extensive dairy farming, sometimes with underwater drainage? Then we fly it a bit wider than straight away from one solution, which is also quite expensive.
ParlaMint-NL_2019-02-13-tweedekamer-8.u28	There are a lot of answers to that, because many things are mentioned in this interruption. Is this the only way? No. The climate tables have also indicated that there is still a need for innovations. But with your permission, Mr President, I think I'll also pass on this question to the cabinet. I wonder how it looks at that. Peil-controlled drainage is a really nice innovation. I hope it will be supported by the D66 Group. Anyway, maybe we'll talk about that later while we're enjoying a stuffed cake.
ParlaMint-NL_2019-02-13-tweedekamer-8.u29	Well, well, well. Beautiful things are happening tonight. I would like to give the floor to Mrs Bromet van GroenLinks.
ParlaMint-NL_2019-02-13-tweedekamer-8.u30	Mr. Chairman. It was a very nice summer. I don't think I've ever eaten outside this many times. But it got drier and drier. I would like to touch on two aspects of this drought today: drinking water supply and water storage. Drinking water is extracted from groundwater or surface water, and both of us were short last summer and autumn. Additional groundwater abstraction caused dryness of the land and surface water became more and more mixed with salt water from the sea locally. The only way to stop the salt is sufficient supply of river water, but draining too much water through the rivers causes the land to dry again. A devil's dilemma. The old ways of water management do not seem sufficient to meet the challenges of drought. I ask the Minister of IenW: does she think that new ways of managing water are needed to safeguard drinking water supply? And if so, what ways does she think of? Our drinking water consumption is growing every year. Less consumption also reduces scarcity. Does the Minister know what causes the ever-increasing demand for drinking water? And does she have any ideas on how to promote less drinking water? The Netherlands has a number of strategic drinking water reserves. We must be able to fall back on this when the need is high, but this cabinet refuses to protect national drinking water reserves with a safeguard zone where there is no polluting industry or mining. Shouldn't this drought also be a wake-up call to at least protect our reserves better? I'd like a response from the Minister. GroenLinks thinks that much more needs to be done to save water in times of abundance, so that we can use it in times of scarcity. The Netherlands was once a swamp, a natural sponge that could best save the water. More sponge and less pumps are needed. That brings me to the subject of water storage. My colleague, Mr De Groot, has just spoken about our own initiative papers, which we presented yesterday. I am very pleased that the first two speakers in this debate both speak about peat. I visited the peat meadow landscape with the Minister this autumn. That's where we got to know the problem. I hope that this spring the subject will be discussed with my colleagues in a note-taking meeting, but I would like to mention the conclusions of my note. Because the Dutch landscape, with meadows and locks, we're famous for it all over the world.................................................................................................................................... By lowering the water level for agriculture each time, the peat dries and burns the plant residues stored in peat for centuries. This will release a lot of CO. You can compare it to 2 million cars, but you can also say that it's as much as two coal plants, and then every year. The solution seems simple: raise the water level, so that much and much less CO is released. The three main conclusions from my peat note are as follows. One: the Empire has been absent for far too long in the discussion about soil decline in peat meadow areas, and that needs to change. Two: we still don't know a lot about bottom descent, and much more and long-term research is needed into bottom descent in the peat and the way to combat it. That is not just underwater drainage, I say to Mr Geurts, because that is business as usual for farmers. Other solutions will have to be found. Three: for the land users in the peat meadow landscape, the farmers, there really must be alternative earning models, because it is difficult to say to a farmer: too bad, we are going to raise the water level; go away again. Mr. Chairman. It is very tempting to make motions today to implement our whole stack of proposals on peat. I am going to resist this temptation, because the subject deserves attention in a deeper debate rather than on the sidelines of today's drought debate. But the fact that we are discussing this in the light of climate change, the preservation of the landscape, meadow birds and the supply of drinking water is certain.
ParlaMint-NL_2019-02-13-tweedekamer-8.u31	Thank you. I would like to give the floor to Mr Dijkstra of the VVD. Go ahead.
ParlaMint-NL_2019-02-13-tweedekamer-8.u32	Mr. Chairman. Netherlands. Netherlands: low land. We've lived in this beautiful delta since time immemorial. This delta has brought us much: transport via rivers, trade, raw materials, easy connections with other cities and protection against the enemy, but also nuisance and flooding. The Bataviers already knew. And later the Dutch made our country safe and provided dikes and dry feet. We've always adapted to live here. So many of our ancestors were already fighting against that water or profiting from it. For example, the surnames in this Chamber also extend. A lot of people like me have "dijk" in their last name. When we vote jointly and severally here you always hear: Van Dijk, Dijksma, Dijkhoff et cetera. Water management is in our genes, I'm saying. We protect what we have built together, sometimes polding, but always realizing what the power and vulnerability of the water is. That relationship with the water, that's one that's very exciting. We have to defend ourselves against that, too. So we've become really good at that over the last few centuries. It is now one of our finest export products. Polders, dikes, lakes, artificial islands: we build them all over the world and make a good living. I'm proud of that. Last summer we saw that too little water can really be a big problem. This summer was characterized by high temperatures and a long period of drought. Lack of precipitation therefore also resulted in a water shortage. The drought crisis team took action. Which country has a drought crisis team at all, you'd think. The government can't let it rain, of course, but we can arm ourselves against the consequences of that drought. Drought can be particularly annoying. On the one hand you did have a beautiful summer, but if your garden plants are completely scorched after your holiday, then there is not much to it. If you can't wash your car on the street anymore, you'll notice. But, worse yet, if you're hit as a farmer and your harvest fails, that's not good. Agriculture suffered visible damage due to the drought: dry fields with corn, failed harvests, a financial noose. I would like to ask the Minister who is now present: when will the measures be taken to prevent, in the aftermath of last year's droughts, that these droughts might accumulate more quickly in the new year? What lessons do you draw from this as a minister? The rivers were less wide. There were also problems with the locks, especially for inland waterway bargeers who are trapped by the low water levels. The drought hit them directly in their wallet. The inland waterway freighters were difficult and could not be optimally loaded. The volume decreased significantly and the supply stopped. The channels became narrower and narrower. I think you could jump over the IJssel, which I saw this summer, with a wrist stick. The congestion in the port did not help inland waterway transport either. If all these problems have been solved now, I ask the other minister. There was also salinisation because rivers simply drained less water, allowing the salty seawater to enter and gain the upper hand. In short, there was something going on and there had to be intervention. The water boards, Rijkswaterstaat and others involved deserve a plume in this. I do have long-term concerns. Earlier, I asked questions about the financial position of the waterboards, especially the bodies that have to protect us from the whims of nature, in this case a shortage of water. How does the Minister see the role of the water boards in this? How does she look back on that? I also ask the Minister to what extent there was control and to what extent it could have been or should have been adjusted. What have we learned from recent experiences? What is to be expected in the future? Were all the measures implemented the right ones? Because if you're gonna do something, it doesn't mean everything's gonna work out. However, it is important that we remain alert at all times to the level of water and intervene when necessary. So what are the learning points? Thank you.
ParlaMint-NL_2019-02-13-tweedekamer-8.u33	Thank you. Mr. De Groot, you were already through your interruptions, but you just had a very short half, so let's move on, one question.
ParlaMint-NL_2019-02-13-tweedekamer-8.u34	Thank you, Chairman, for your coulance. I am well aware that Mr Dijkstra is also concerned about the future. I know he even had a skylight built. Maybe he can explain that. One of his questions was whether the water boards are ready for the future. Could you explain your own views on this? They now have a more general administration. Is the way decisions are taken still of this time?
ParlaMint-NL_2019-02-13-tweedekamer-8.u35	I think so. I believe that the waterboards will or should be able to meet all the challenges. At least that's what they've shown in the past. They will also have to show that in the future. If there are new challenges coming towards them, I want to know if they are sufficiently equipped to deal with them. I still have concerns. We have enormous ambitions in terms of water safety. We see that the market is attracted and that tenders are more expensive. And resources are limited. Soon there will be waterboard elections. I do not want projects to be postponed or the burden on citizens to rise enormously. We will always have to find a balance in that. I am very curious to see how the Minister looks at the waterboards and what lessons have been learned from last year's dossier.
ParlaMint-NL_2019-02-13-tweedekamer-8.u36	I have one more point, one which I know Mr Dijkstra has been concerned about and has asked questions about: the financial position of the waterboards. We understand that not every waterboard has a general chamber of account, a critical club that takes a look at the finances. Do we have the VVD on our side when we actually think that every waterboard should have such a beautiful controlling club, looking or being neatly dealt with?
ParlaMint-NL_2019-02-13-tweedekamer-8.u37	I think it would be very useful for a waterboard, which spends a lot of money, to be critical about millions of tonnes and to assess whether what it does is legitimate and effective. If there's any way a math room can help with that, I'd be happy to. I'm surprised they wouldn't all do that already.
ParlaMint-NL_2019-02-13-tweedekamer-8.u38	There's another afterburner from Mrs. Bromet.
ParlaMint-NL_2019-02-13-tweedekamer-8.u39	That skylight. I was very curious about that.
ParlaMint-NL_2019-02-13-tweedekamer-8.u40	All of us, I think. But you dare to ask.
ParlaMint-NL_2019-02-13-tweedekamer-8.u41	I went to live in the Betuwe 20 years ago, in Rivierenland, between the rivers, right between the Waal and the Rhine. I had a house built and thought, "If it ever gets high, how high does it get here?" In my case, it turned out to be six meters. I said, you gotta get out of here. So I had a skylight, a Velux window, placed in the attic to escape if there was ever a high tide. In fact, I placed a flagpole and attached a boat to it. Fortunately, this has never happened before. By the way, my house will wash away at high tide, because it is wood skeleton construction. So, in retrospect, it was all unnecessary.
ParlaMint-NL_2019-02-13-tweedekamer-8.u42	Mrs. Bromet, finalizing.
ParlaMint-NL_2019-02-13-tweedekamer-8.u43	I like this extra, because fifteen years ago I made a movie with my dad called "The Water Coming." In that movie, my mom suggests putting a boat in the attic. So I thought, "Nice that other people have that thought, too."
ParlaMint-NL_2019-02-13-tweedekamer-8.u44	This is a funny story, but of course there is a serious thought behind it. With me on the Betuwe, in Rivierenland, 200,000 people live. We saw how critical it was about ten kilometers away from Ochten Ochten Ochten Ochten Ochten Ochten Ochten Ochten Ochten Ochten Ochten Ochten Ochten Ochten Ochten Ochten Ochten Ochten Ochten Ochten Ochten Ochten Ochten Ochten Ochten Ochten Okten Okten Okten Okten Okten Okten Okten Okten Okten Okten Okten Okten Okten Okten Okten Okten Okten Okten Okten Since then, we have also learned a lot of things and dealt with a lot of things. We have done all kinds of projects to strengthen dike and in the framework of Space for the River. We can never rule out risks. We really need to be aware of the power of the water and also, as in last summer, of the faults when you have too little water. This is how we must continue. In that everyone has their own responsibility. We also take the responsibility we feel here in the House of Representatives. Thank you.
ParlaMint-NL_2019-02-13-tweedekamer-8.u45	Thank you. I give the floor to Mr Futselaar of the SP for his contribution.
ParlaMint-NL_2019-02-13-tweedekamer-8.u46	Thank you, Mr. Chairman. For someone who has been soaked several times in the past rather wet February weekend, it was time to swallow to think back to the very dry summer, which we are talking about. However, the persistent high temperatures and the absence of the rain in the Netherlands, which is often self-evident, have spooked the country. That raises the question: how drought proof are we? We are very good at handling too much water, but a shortage is by nature perhaps sometimes a little more difficult for us. There are two sectors which have clearly suffered a great deal from the drought: shipping and agriculture. Apart from that, at first sight the drought seems to be largely manageable. The Netherlands was a bit more in the shade or ate a bit more outside, like Mrs Bromet, and that went on. But we have to ask ourselves the following questions. Is this a one-time exception? Is this gonna be the new normal? And above all: how well prepared are we for this kind of thing and perhaps even longer periods of drought? How should we prepare ourselves for this? The shipping had trouble with the low water level. That has been referred to before. Full loading was not possible for a long time. What is the time when we have to find that there are supply problems that are really putting the Dutch economy and perhaps even things like fuel and food supplies at risk? How close did we get to that critical border and to what extent should we now prepare ourselves for it? We see that agriculture has had quite a hard time. At what point do we say that it is no longer acceptable for our food production and that we need to take additional measures? We saw that the groundwater level was too low and that salinisation became a problem. Fortunately we can say that we have not been short of drinking water, but we did see here and there that the pressure was starting to drop. Shows we've been shaving along the edge. How much longer should the drought have lasted before we said: now we must also reduce drinking water for households? So the key question is: do we have our infrastructure in order to be able to take the hit in such cases, or worse cases, in future in extreme situations? Has, for example, been identified at which periods of drought what effects will occur and is there a plan to act in different scenarios? What is the situation in the different regions of the Netherlands, which are also very different? Then there are the specific questions. Can we say that our national groundwater reserve is still adequate? Do we need additional strategic stocks? If you find that it's restless in the world with oil and you think it might be good to build some oil reserves, you should do it most of all. If you find that it may be starting to get a little restless with water, you might need to build up groundwater reserves. To what extent is there permanent damage due to this summer's drought? I am thinking mainly of nature and I am looking at the minister concerned. And to what extent should it be restored? Have certain species been affected? What effect has the summer had on subsidence and the problem of soil decline? Several people have already referred to the peatlands. A number of measures have been taken specifically for agriculture, including the longer run-off of manure. I find that reasonable in times of extreme weather, but how often do you have to have a dry summer before you can say: this is not an extreme weather anymore? We will have to think about that. From what point can you no longer insist that it is an exception? Because then it is no longer justified to take additional measures. Mr. Chairman. There was some discussion here about whether or not you can blame climate change. I want to be honest. If this had been the most average summer ever and for example Mr. Geurts had said "where are you with your climate change?', I would have said yes, but you can't use one summer as a benchmark. But if you look at the trend, you will see that things are coming towards us in the Netherlands. Weather patterns are hard to predict, but we know it's probably getting more extreme. This means that we will have to be prepared both for drought and for wetness. Thank you.
ParlaMint-NL_2019-02-13-tweedekamer-8.u47	Thank you. Then I would like to give the floor to Mrs Van Brenn, who is 50PLUS. Go ahead.
ParlaMint-NL_2019-02-13-tweedekamer-8.u48	Thank you, Mr. Chairman. Last summer we got a taste of what can happen to us during prolonged drought. We have already anticipated this by including climate adaptation in the Delta programme and investing in it. The heat stress in cities must not be underestimated. We have seen the plan of the city of The Hague, and it is good that all municipalities are going to do stress tests. Then we clearly have what needs to be done. Can the Minister indicate if everything is still going according to plan? Mr. Chairman. Possibly last summer's heat has also made people more aware of life in that heat for 365 days a year. What does that do to you and what does it do to nature and agriculture? That is why, as ambassador to SDG 6, I am proud of the Blue Deal: safe and sufficient water in 40 river basins in the world, that is what we, the Netherlands, are going to achieve. Can the Minister tell us the state of play on the Blue Deal? It was a nice summer; the colleagues said it too. People enjoyed the beach and took a fresh dip, nice. But the downside was mentioned as well. Suddenly we were no longer allowed to spray gardens and the skippers were seriously disturbed by the low water levels in the Rhine basin. The drought can affect dams by reducing groundwater levels. The salination in the IJsselmeer was also mentioned. These are all effects that we paid far too little attention to, until last summer everything suddenly became urgent. The urgency of climate adaptation is thus unmistakable. Can we make further efforts to store water and reduce the heat sensitivity of cities with unabated efforts? More green helps. Think of Operation Stonebreaking: rock out, plant in. Planting more trees and storing water after a heavy rain shower are increasingly important. I have seen beautiful examples in Rotterdam, where under the floor of the square of the central station is an ingenious system to store and gradually drain water. This approach therefore deserves broad follow-up. Mr. Chairman. I have questions for the Minister. What were the learning points of last summer? Have there been any critical moments? Can we even better prepare for another persistent drought? Where are the odds? What's the damage to nature? Mr Schouten's letter of 23 November states that the extent of the permanent damage cannot be determined until spring. Can you say anything about that already? What damage has shipping suffered? What damage has been caused to agriculture and horticulture by the drought? What are we going to do about this in concrete terms? We are pleased that the drinking water supply has been maintained, with some reduced water pressure here and there. That has already been mentioned. For next time, a number of things are important. One of them has not yet been mentioned: the role of drinking water companies in crisis-shuffling. It has not yet been secured and it should be, given the importance of the availability of sufficient drinking water. It is also important to consult with neighbouring countries, particularly Germany and Belgium, because of the supply via Meuse and Rhine. It is also appropriate to consider making discharge permits flow-dependent to ensure water quality. 50PLUS has mentioned this before. I would like a response from the Minister on these points. Mr. Chairman. Finally, I am proud of our waterboards, which managed everything well. Despite drought, clean, clear drinking water came out of the tap every day. No quay was torn or collapsed despite the low groundwater level. On March 20th we choose our people in the waterboards. It's about something. I hope that the turnout is high, in the interests of the waterboards, and that it reflects that interest.
ParlaMint-NL_2019-02-13-tweedekamer-8.u49	I certainly agree with that last remark about a high turnout. I would like to comment on the following. In the event of interruption, Mrs Van Brenn, on behalf of 50PLUS, just referred to the accounting committees. I thought she'd come back to that in her contribution, but I missed that. Is Mrs Van Brenk aware that more than half of the waterboards I think we have 21 of them have an accounting committee?
ParlaMint-NL_2019-02-13-tweedekamer-8.u50	Sure. I also know that some have none and that 50PLUS members are seriously lobbying for them to get to all waterboards.
ParlaMint-NL_2019-02-13-tweedekamer-8.u51	In view of the interruption, I thought Mrs Van Brenk would come back to that in her contribution, or come forward with a motion. Is it not wise to leave this to the waterboards and not dictate it from The Hague?
ParlaMint-NL_2019-02-13-tweedekamer-8.u52	I know that Mr Dijkstra had a problem with the financial situation of water boards and that he asked questions about them. That's why I thought I'd bring it up here. This is definitely a point of all our people in the waterboards. I do not dictate anything from The Hague, but from 50PLUS members all over the country we will certainly argue that.
ParlaMint-NL_2019-02-13-tweedekamer-8.u53	Mr Geurts for a brief question.
ParlaMint-NL_2019-02-13-tweedekamer-8.u54	Just one more small point. The waterboard that Mr Dijkstra has asked questions about has a Court of Auditors.
ParlaMint-NL_2019-02-13-tweedekamer-8.u55	At least that's good, but they're a lot of money short.
ParlaMint-NL_2019-02-13-tweedekamer-8.u56	I give the floor to Mr Van Aalst of the PVV for his contribution.
ParlaMint-NL_2019-02-13-tweedekamer-8.u57	Thank you, Mr. Chairman. The debate we are having here today is characterised by one great lie. This is because climate change has led to a dry summer. Before the gospel prophecies of the green religion rush back to the interrupting microphone to preach one by one their politically correct dogmas, I would like to remind them first of all of the facts. Mr. Chairman. 2018 was not the driest year in the Netherlands. In fact, 2018 isn't even in the top five. The five driest summers in our country took place between 1911 and 1976, on the basis of the precipitation deficit measured by the KNMI over the months April to September. The KNMI itself notes that the drought we experienced in 2018 is not a result of climate change. This drought is the result of a high air pressure area over southern Scandinavia, as just happened. In the last century there has been no increase in the occurrence of this air pressure pattern. In fact, the KNMI speaks of a decrease. There is also no trend to observe that there has been less rain in the last 112 years. So, chairman, what the left church is doing, with the hypocritical virtue liberals of D66 first, is creating doom scenarios for legitimizing their own political agenda. The legitimate concern about the impact of dry summers on our population and our economy is falsely hijacked by the climate fetishists. The PVV therefore calls for a debate on this drought without using it as an argument for the insane climate plans of this cabinet.
