ParlaMint-NL_2021-11-23-tweedekamer-17.u1	In this two-minute debate on building regulations, the first speaker is Mrs Beckerman, SP.
ParlaMint-NL_2021-11-23-tweedekamer-17.u12	That's something new. Thank you, Mrs Bromet. There is a question from Mr Koerhuis.
ParlaMint-NL_2021-11-23-tweedekamer-17.u13	We have indeed debated this in the committee debate. My question to Mrs Bromet concerns the following. We see the new building costs of homes rise sharply. Does Mrs Bromet propose to include this in the research into even stricter requirements for new buildings?
ParlaMint-NL_2021-11-23-tweedekamer-17.u14	The beauty of it is that it is often even cheaper. Mr Koerhuis knows that, because he has also spoken to Ballast Nedam's director. He said, "Including nature, you just have to do it." The beauty is that it is often even cheaper. The whole argument that we don't do it, because it's more expensive, doesn't apply here. I would like to ask Mr Koerhuis: how much will it cost to solve the nitrogen crisis? Is this included in the construction of new buildings?
ParlaMint-NL_2021-11-23-tweedekamer-17.u15	Mr Koerhuis, briefly.
ParlaMint-NL_2021-11-23-tweedekamer-17.u16	I hear Mrs Bromet say that it is often cheaper. I do hear a little bit in it that it needs to be included in the investigation. I would also like to see specifically when it is more expensive. Maybe we shouldn't always want that, given the high house prices.
ParlaMint-NL_2021-11-23-tweedekamer-17.u17	I don't have to, because biodiversity is on the brink of collapse in the Netherlands. Even if it costs a little more, it's something you just have to want to do. We're not looking at how much it costs to raise a door post 10 centimeters.
ParlaMint-NL_2021-11-23-tweedekamer-17.u18	With these words, I would like to thank Mrs Bromet. Mr Nijboer of the PvdA has the floor. Go ahead.
ParlaMint-NL_2021-11-23-tweedekamer-17.u19	Mr. Chairman. I saw you look at building-dependent animals and doorposts raised by 10 centimeters.
ParlaMint-NL_2021-11-23-tweedekamer-17.u20	It's a whole new world.
ParlaMint-NL_2021-11-23-tweedekamer-17.u21	Where did we end up? But that's what the Chamber is obviously about, Mr. President. Mr President, I have two motions for resolutions on the foundation problems that many people have. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that many residents suffer from sagging houses due to foundation problems;]] [[considers that public authorities should play a role in finding a solution as the damage is often high for individual households;]] [[calls on the government to present a short-term plan for strengthening foundations in the major problem areas and to analyse what measures can be taken to ensure that the foundations do not deteriorate,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Nijboer.]] [[She's getting No. kst-28325-230]]
ParlaMint-NL_2021-11-23-tweedekamer-17.u22	Then I have the same kind of motion, but specifically aimed at the Frisian peat meadows. It's been going on for years. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that residents run into walls when repairing the foundation problems in the Frisian peat meadows;]] [[believes that residents should be helped as soon as possible;]] [[calls on the Cabinet to facilitate the recovery of damage by broadening the scheme and to deal favourably with compensation on a case-by-case basis,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Nijboer.]] [[She's getting No. kst-28325-231]]
ParlaMint-NL_2021-11-23-tweedekamer-17.u23	Thank you, Mr. Chairman.
ParlaMint-NL_2021-11-23-tweedekamer-17.u24	Thank you to Mr Nijboer. I'm gonna suspend for a few minutes and then we're gonna listen to the Minister's response.
ParlaMint-NL_2021-11-23-tweedekamer-17.u25	I'll give the Minister the floor.
ParlaMint-NL_2021-11-23-tweedekamer-17.u26	The motions aren't there yet? Sorry, Mr. Chairman, I'm obviously not interfering with the order. I'm just gonna start quietly. I think everyone has the motions. The first motion by Mrs Beckerman and Mr Koerhuis, which was tabled in part no. 225, is about performance agreements and the approach of mold houses. For this, it is in the people's housing priorities. That is for the period 2021-2025. In it, the approach to moisture and fungus is explicitly included. The aim is to improve quality in combination with sustainability. Actually, it's already been done. In the performance agreements that are now being made, I expect these priorities to be implemented. I can make that commitment here. I can also say that the motion sees that, so I would like to give the motion a ruling Chamber. In any case, we agree that this must be done. The motion in part No. 226 by Mrs Beckerman asks for a national apk for rentals. We have debated this very carefully, but I insist that it is not the right way forward. It would be a huge operation and a great burden for owners. I think we should do it much more focused. I'm dissuading the motion. I'll come to the motion in part No. 227 by Mrs Beckerman. It's policy, that minimum mandatory two-hour absence.
ParlaMint-NL_2021-11-23-tweedekamer-17.u27	It's policy support.
ParlaMint-NL_2021-11-23-tweedekamer-17.u28	Yeah, it's policy support. The President has just said: then you must be discouraged, because it is support for the policy.
ParlaMint-NL_2021-11-23-tweedekamer-17.u29	Yeah, we're consistent. I still see Mrs Beckerman having doubts: is it really support for the policy?
ParlaMint-NL_2021-11-23-tweedekamer-17.u30	That would be nice, if we did not know that this does not always happen and that people have enormous health problems because of it. That's why I filed this motion and the next one.
ParlaMint-NL_2021-11-23-tweedekamer-17.u31	It's part of the building regulations. This needs to be known to stakeholders, industry and everyone. It just needs to be done. So I'm sticking to the verdict, Mr. Chairman.
ParlaMint-NL_2021-11-23-tweedekamer-17.u32	The motion in part No. 227 is not recommended.
ParlaMint-NL_2021-11-23-tweedekamer-17.u33	On the motion in part No. 228 I need to have a word with SZW's colleague. So I do not want to judge now, but I will make sure that a ruling has been made with the Chamber before the votes. Mr Koerhuis has not tabled a motion, but has asked a number of questions. Of course you can. The questions saw at the stadiums and how to deal with them. He called it provincial control and a nationwide authority. I have already said in the debate that I am not really in favour of changing supervision now. I want to improve the factual situation. The supervisory task is invested with mayor and aldermen, at the college. I am working on improving the legal obligations of a periodic review. This should involve independent and expert companies and individuals. I think that's very important. In my view, that is the essence of the approach we need. Then the municipality, as competent authority, can supervise that. So I do not intend to give the provinces a greater role in that, nor do I intend to create a national authority. Those were the questions put by Mr Koerhuis, at least, the first two. His last question was on the overview of the facades. Mr Koerhuis has asked for this before. I am in the process of making sure that before the end of this year I can send the Chamber the results of the repeat investigation, i.e. the study with a representative sample of 80 municipalities and further information from the provinces. Hopefully this will give the national picture of the progress of the inventory. I would also like to make a point about a motion that Mr Koerhuis has tabled earlier on.
ParlaMint-NL_2021-11-23-tweedekamer-17.u34	Mr Koerhuis, briefly.
ParlaMint-NL_2021-11-23-tweedekamer-17.u35	I specifically asked for the list of municipalities, for the names of the municipalities.
ParlaMint-NL_2021-11-23-tweedekamer-17.u36	Okay. The Minister.
ParlaMint-NL_2021-11-23-tweedekamer-17.u37	I'll have to check it out. I think I've already informed the Chamber about that before. It's a representative sample. I'll see if I can publish the names of the municipalities. I'll have to check it out.
ParlaMint-NL_2021-11-23-tweedekamer-17.u38	Okay. Then we'll proceed with the motions.
ParlaMint-NL_2021-11-23-tweedekamer-17.u39	Then I'll be with Mrs. Bromet and the bats, the vulture and the house sparrows. The motion in part No. 229, I like it. It is also in line with the actions taken by the department and with the note-to-note discussions we have had on this subject. I promised the Chamber that I would inform it before the summer whether additional building regulations would be desirable and necessary. I am also working on the implementation of the Valstar motion: identifying existing examples of the promotion of nature and biodiversity around building, and how we can make that part of the normal way of working. The Chamber will be informed about this next summer. I'd be happy to pass the verdict on the motion to the Chamber. The motion in part No. Mr Nijboer's 230 is actually something I am already working on. I think that the direction fits well with the so-called attack plan and the development of the national approach to the foundation problem, in cooperation with other departments, etc. So I'd like to give the verdict to the Chamber. The last motion, the motion in part No. 231, including Mr Nijboer, also requires consultation, in this case with LNV's colleague. If the Chamber would like to wait a little longer for that, I will make sure that appreciation is there for the vote.
ParlaMint-NL_2021-11-23-tweedekamer-17.u40	Many thanks to the Minister for her prompt response.
ParlaMint-NL_2021-11-23-tweedekamer-17.u41	All the motions tabled in these two-minute debates will be put to the vote next Tuesday. I thank the Minister for coming to the Chamber.
