ParlaMint-NO_2020-05-13.ana.ud324e28	The representative of Mr Åsunn Lyngedal will present a proposal for a representative.
ParlaMint-NO_2020-05-13.ana.ud324e111	It's quite right that Keynes said this as a comment on the general theory of equivalency, that it will be equivalised in the economy over time of supply and demand. It's never been this government's policy. We have a policy to actively contribute to the development of Norwegian society, where the state and authorities have an important role to play. Many of the measures that the representative Jonas Gahr is now asking for are, of course, the measures we are working on, and we have asked the Holden Committee, which has now been working to analyse whether the costs associated with the measures before, now provide us with a basis for returning to the Stortinget. That's also why I came to Stortinget and asked if we should postpone the revised national budget, in order to have a better basis. So I have to say that I think it is a little unreasonable after that round to be asked for measures that would be announced at the time of the month change in May/June. With regard to the issue of salary subsidies, there is something we are open to discuss, but I have not yet heard about a model or a system for what can be implemented overnight. That's why you have to work on it a little bit.
ParlaMint-NO_2020-05-13.ana.ud324e118	There will be follow-up questions – first Jonas Gahr Støre.
ParlaMint-NO_2020-05-13.ana.ud324e123	This shows the need for revision as revised — it is a mid-year revision of the budget. Then there is a wide range of measures in this budget that affect people related to being inside or outside work. Phase 3 has been presented by the government as a proposal for counter-cyclical measures, to initiate new activity. We're going to treat it with great commitment to the Storting. Maybe there's a package we also have to do better than what comes from the government, to be focused. These are projects that will come in the course of the autumn, in the new year, in the longer term. And then we're back to Røe Isaksen, who says we know little about the labour market and the Norwegian economy and how it's going to be in the harvest. I'm worried that it's passivity considering those who're out of work. The revised budget provides Nav with appropriations to be able to operate Nav, but there are no attempts at action places. Compensation payments could be tested in the context of training, continuing training related to the labour market. So I want to emphasize again, there's going to be a gap between what's in the RNB and the Phase 3 package. What in the revised budget does the Prime Minister really think helps to give hope to those who are now out of the labour market?
ParlaMint-NO_2020-05-13.ana.ud324e136	We now get a discussion that was what I predicted that we would get if we delivered a revised one before we had a good basis to make exactly the assessments that were made. This was openly informed in Stortinget to the parliamentary leaders. It is not that there are only counter-cyclical measures that come in phase 3, that is the way out of the coronary crisis, there are measures that are concerned with filling skills. These are issues we are considering, and also measures such as: wages and salaries subsidies. But it is not that we can today say that a wage subsidy is easy to implement. For whom should we choose to do that? Other countries have wage subsidies, but they don't have our permitting rules, so they use it as a way of ensuring people that they're at work and getting a grant. The biggest salary subsidy we actually pay is given to all Norwegian companies in May and June, by reducing the employer's fee by 4 pst. It can be seen as a purely cash benefit to all those who have employees in these two months. In addition, this is given to those who had employees last year, simply because employers’ fees are also calculated on holiday pay.
ParlaMint-NO_2020-05-13.ana.ud324e145	Jonas Gahr Støre – for follow-up questions.
ParlaMint-NO_2020-05-13.ana.ud324e150	Let me shift the focus. We're going to treat phase 3 with great seriousness. The unemployed pay a high price. It also does our first line defense in the municipalities. There have been employees on it. They've made sure that people get into the nursing homes, they've provided home school for our students, they've been running clean, and all of Norway's clapping. But now history can be that many of these that we call the heroes, are the next ones that will notice the economic scarcity. Our rapporteur in Rälingen, whom I met on 1 May in front of a nursing home, where we spoke to the employees and to the residents, clearly said that those we now applaud can end up paying the bill for the coronary crisis. The municipality after the municipality tells them that what they were told about, namely compensation for the measures against the infection, it will not come. Many of them have received half of what they have paid out – a few less. These, say the prime minister, get a little calm down. I don't think there's any reason to calm down when you don't follow up on vulnerable children, when you don't get ready for more infection, when you don't get to start new measures that can give you work. Does the Prime Minister think that the municipalities are fully compensated for what they have set up with?
ParlaMint-NO_2020-05-13.ana.ud324e164	I believe that the municipalities need to calm down a little on welfare protection now, because we have agreed, quite broadly politically in Stortinget, that the municipal sector should be compensated. Then we have a discussion about how that compensation is, and how big it is. We have a sample with KS going through this. Based on the estimates contained in the revised national budget on the development of the municipal deflator, i.e. the rise in prices and wages in the municipal sector, it becomes 1.4pst. insteadfor 3.5 pst. So that means 2.1 pst. increase in the municipal space of action in relation to what we included in the budget. It's formidable money for all the municipalities. It doesn't have any of the people who do the maths today added to their calculations. This means, for example: 1 billion. kr for the Municipality of Oslo. That means 10 million. kr for Sel kommune, who was on TV yesterday. There's a lot of money that contributes. We have to look at the totality of the municipal economy. But I don't think any municipalities should cut welfare offers now, when they hear a clear message that we are actually going to make sure that the level we said should be within the budget of the year.
ParlaMint-NO_2020-05-13.ana.ud324e173	Jonas Gahr Støre – for follow-up questions.
ParlaMint-NO_2020-05-13.ana.ud324e178	Then it's okay to get a confirmation here, and my question now is pretty short. I heard yesterday that many municipalities said that it really is not an amount they need to hear, they need an assurance that they will be compensated during 2020 for the expenses they have. If they know this, they can plan — well-being, important measures and important measures to prevent infection. Can the Prime Minister here confirm that this is the government's intention? The sample she has set up will work far beyond the New Year in 2021, and now we are living in 2020. It's not a long term, but at least it's such a long term that it doesn't help very much in the planning of the budgets now. Can the Prime Minister confirm that, on the part of the government, compensation is provided for the costs incurred by municipalities in connection with the Korona?
ParlaMint-NO_2020-05-13.ana.ud324e185	I can guarantee that we will maintain the level of income, because a large part of this uncertainty comes from tax failure. The level of revenue and the economy to which it was committed for the current year are to be maintained during this year. We have said that we should cover the necessary measures, but it is not a blank mandate to cover everything called coronary action in the municipalities. Then we will come back to how we can cover in a fine mask enough, because there are big differences: some municipalities get a lot. Therefore, the discretionary grant was one of the measures we used early in this phase. There were some municipalities, such as Frostand and Sel, that had large expenses at an early stage. It is also important to say that we have discussions about whether we are well compensated, because we have compensated the municipal sector as a whole and not necessarily clearly to compensate each municipality. This isn't a blank authorization to do everything you want to do this year, but we're going to cover the necessary expenses.
ParlaMint-NO_2020-05-13.ana.ud324e194	Jonas Gahr Støre – for follow-up questions.
ParlaMint-NO_2020-05-13.ana.ud324e199	I want to follow up with one more question about infection. The finance minister said yesterday that we could have the infection here for one to two years, some might think three years. The municipalities are still the first line defense. As I read the budget, the costs of infectious diseases are covered for three months. It is a little unclear when the starting date for it is, but I interpret it so that it is three months from 12 March, when the measures were implemented. So it will apply until 12 June. But this is a situation that can last for both one and two years. After 12 June, desks will still have to be washed and equipment purchased. Many municipalities continue to report concerns about the stocks of their infectious equipment. So the question is pretty simple: Can the Prime Minister assure us that the municipalities have the economy and the equipment needed to protect us if there is going to be a new wave of infection?
ParlaMint-NO_2020-05-13.ana.ud324e206	Yes, we're going to compensate the municipal sector for the necessary costs that come from the coronary crisis and infection prevention measures. I just answered that. Right between 12 June and 18 August, there is little need to wash desks in Norwegian schools, since it's a school vacation, but we're going to make sure that we have that framework for the local economy. But, as I said, there is no blank authority for every thing municipalities do. Priorities must be set in the municipalities, as must be done in the state. Our main challenge now is all those in the private sector who are out of work. We need to focus on that. We need action spaces, economics and measures that can help many of these to get into work in the future. But we have to make sure that the municipal sector is covered by the expenditure necessary to deal with this crisis.
ParlaMint-NO_2020-05-13.ana.ud324e213	Sylvi Listhaug - for follow-up questions.
ParlaMint-NO_2020-05-13.ana.ud324e218	There is an impression that money is being spent in addition to private enterprises, but the truth is that so far the arrangements that have been adopted have been used to a small extent. Both the State Bond Fund and the Loan Guarantee Facility report that access to money is difficult for many. From the compensation scheme, which is set at 50 billion. NOK another, it has been paid so far, the last time I saw, less than 1 billion. kr. So there is no doubt about the need. Every day, everyone in this room receives desperate e-mails from people who are afraid that life's work will be lost, and from business owners who are simply in a very difficult situation. The seasonal companies now know that we are waiting very impatiently for an explanation of what the government is putting up with, but my question is simply: does this not mean that there is something wrong with the scheme when the need is there, but the money is so much still not going to be paid out?
ParlaMint-NO_2020-05-13.ana.ud324e223	There may be different reasons why there won't be such a large payout. For example, from the cash support scheme, it is initially 14 days in the month of March for which it was actually paid. But applications are made further out. This means that there are quite a number of large and medium-sized enterprises that have not applied for under that scheme, so the large amounts may not have been paid yet because they have had a spine and may want to look at how the scheme develops and what to do. It's very important not to make up the final sum of what this is going to cost us. And it's very good if many companies have equity and backbone not to borrow through the crisis, but actually manage through the crisis without using those arrangements. There are some arrangements in which changes have been made. On Friday it became, among other things, changes to the bond lending scheme by slightly reducing the rating, as some have lost their rating due to the crisis itself. We will constantly adjust these measures to make the best possible use of them.
ParlaMint-NO_2020-05-13.ana.ud324e230	Sylvi Listhaug - for follow-up questions.
ParlaMint-NO_2020-05-13.ana.ud324e236	It is also the case that the oil industry and the oil industry are in crisis. It is undoubtedly Norway’s main industry. There are 225 000 jobs, either directly or indirectly, in that industry. The feedback from an overall industry – not just the oil companies, but the entire supply industry – is that the measures proposed by the government far from responding to the needs of the industry. Nor will it trigger investments that will employ tens of thousands of people. The father is simply that a lot of businesses are going to end and that a lot of people can lose their jobs. In the shipyards both in Verdal and in Stord they are now breathing for what Stortingen will decide in that case. My question is simply: does it not make sense when the Prime Minister receives feedback from a single industry that the proposals made by the government are not sufficient, and that this can simply lead to thousands of people losing their jobs?
ParlaMint-NO_2020-05-13.ana.ud324e241	It has made an impression on us, the challenge facing the oil and gas industry and the supplier industry. This is precisely why we have promoted changes in the core of what has been the challenge of liquidity in the past, by spending investment expenditures not over six years but over one year. It was the main wish of the industry. At the same time, we have said that part of the compensation received by the industry in the past for drawing out these expenditures over six years, where the industry has previously argued that it has a cost in present value, and therefore they have had a free income – has been the basis for reducing that income somewhat. Of course, it's up to discussion how much you want to go beyond what's kind of a neutral system, and follow what were the arguments before. That's what we get when we discuss it in Stortinget. But it's important to remember that one of the things we get complaints about is that we've done this in the short-term Korona perspective. If we're going to do this as a system that lasts far, far beyond future investments, yes, then we've changed the oil tax system too well.
ParlaMint-NO_2020-05-13.ana.ud324e248	Marit Arnstad – for follow-up questions.
ParlaMint-NO_2020-05-13.ana.ud324e253	I'm going back to the municipalities, because the municipalities and the employees in the municipalities have made a formidable effort through this period. They have done the government's job of protecting our elderly, in terms of infectious diseases, in reopening kindergartens and schools. It doesn't help much to say that the municipalities should calm down, because the uncertainty in the municipalities is a fact. They're uncertain, they see they've had high costs, they see that the tax revenue is going to fail. The result of such uncertainty may be that they tighten up, and at a time of high unemployment it would be very unfortunate. Why won't the government instead use the municipalities as an engine to get more people to work? Why won't they use the municipalities to implement the maintenance project, investments and infrastructure and get the wheels back on track? It could have been used by the municipalities, but it is clear that resources are needed to make it.
ParlaMint-NO_2020-05-13.ana.ud324e258	I fully agree that it would be wrong to implement welfare protection today based on uncertainty. That is why we have said that the municipalities should be compensated for the loss of income. But the income base for the year is going to be maintained at the bottom. This is also the case in the revised national budget and in the municipalproposition. Then we have said that we should compensate for the necessary infectious diseases and related expenditure. I am concerned that there is no basis for Norwegian municipalities to start well-being, but we are all living under uncertainty in all of these areas. When it comes to the question of maintenance tasks and other things, it's a typical phase 3-bit that we come back to. Then it'll be in earmarked money used for exactly that, as we've done in other crises. What we're doing now is, of course, we're looking at what development is like. related to the whole construction industry and to the construction industry, to see if it is one of the important instruments to initiate.
ParlaMint-NO_2020-05-13.ana.ud324e265	Let's move on to the next main question.
ParlaMint-NO_2020-05-13.ana.ud324e270	The closure of the corona-restricted society has had many tragic outcomes. Many have been left to themselves, and sorely sought help has been missed. TV2 told about Geir in 77 years, who is both deaf and blind and dependent on interpreters to communicate and do all the everyday necessary things. He was sitting for days without any information as to why no one came to help. It should have been texted, and information has been posted on Nav's website, but it helps very little for a man who is both deaf and blind. Monica at 49 years of age depends on the assistant to go to the bathroom, dress up and on, get up in the morning and get some food. The assistants were missing. The family had to take over the job, and again it went beyond their jobs. The answer from the municipality was that the family could get care assistance, but then it would go beyond the decision on user-controlled personal assistant. In the VG yesterday we could read about an older couple who both died of corona. The man was admitted, the wife was left to herself without supervision despite the fact that she had symptoms. Nobody checked her state of health in this phase. In other words, we hear many heartbreaking stories about totally unworthy conditions for people who are in a very vulnerable situation. Then it is natural for me to ask the Prime Minister the following question: What does the Prime Minister and the government now do to quickly follow up other people who need help in a situation where our society is still not fully open?
ParlaMint-NO_2020-05-13.ana.ud324e285	I think this is the experience we have to learn from, because it shouldn't be like that. The main routine for home coronary disease is that the caller calls every day. A lot of people can probably confirm that their permanent staff have been in contact with them to find out what the development is like. It is an important tool for the follow-up of those who are at home, especially those who are at home alone, that they are able to report what they need, if they may get worse, and that they can then be forwarded on. So to the question of missing assistants and other arrangements. These are examples that we just have to go through and ask why you get that answer. Clearly, in a situation we now have, practical solutions need to be found without creating major changes in the measures. That's the way, and I said that when we started the measures, that it's going to be done wrong. It's doing the wrong thing. I'm sure we've made decisions that haven't been right in retrospect. Afternoon is an interesting exercise in these days. But this is also how it will be done wrong in all parts around because in a stressful situation you ignore something. What needs to be done is to have better quality assurance of how to do the individual measures. That will be among the things we will learn from in the future: how do we guarantee quality, not least for the most vulnerable groups? Disabled persons, especially those with hearing and speech impairment, have a particular challenge in communication in these days. That's also one of the reasons why we're now, for example, has a widespread use of sign language on television. But of course it doesn't help someone who's deaf and blind at the same time.
ParlaMint-NO_2020-05-13.ana.ud324e296	I fully agree with the Prime Minister that after-school is an interesting exercise, and this was no attempt at that either. I agree that this needs to be evaluated, but my question was not. My question concerns a situation where there are still a lot of vulnerable people out there who need help to master their everyday life, to do as natural things for most of us as going to the bathroom, which can be in a situation where they still don't get the help they need, because for the sake of infection you haven't got all the people back to work. What I'm asking is, what does the government do now to make sure that the municipalities, which are essentially responsible for these services, ensure that the help comes to all those who need it in their everyday life?
ParlaMint-NO_2020-05-13.ana.ud324e301	The County Council is the intermediate point of work with much of the follow-up of the vulnerable. There are weekly reviews between the Health Directorate, the county councillors – and therefore also the municipalities – of the follow-up to both infectious and relief measures, and, of course, there is a need to take good care of people and to provide help. It is clear that it is not so easy to get an assistant overnight, and then it may be that the family has to set up because you don't necessarily have another one that can come, but that it should have some consequence for what kind of assistance you get in the future should be completely unnecessary. And we're going to make sure that this is flexible.
ParlaMint-NO_2020-05-13.ana.ud324e306	There will be follow-up questions – first Siv Jensen.
ParlaMint-NO_2020-05-13.ana.ud324e312	I'm very happy about that, but let me go a little further. In the cold water of this pandemic we have also had a rather powerful flowering of health cows. Checks, investigations and operations have been postponed, and many report that people have made less contact with the prescriber, so we have an increasing lag and long queues that need to be resumed. The Cancer Association reports 50000 screening studies that have been exposed. The estimate is that there are 250,000 patient agreements that are postponed. The Minister of Health has invited to work in connection with the coronary apathy, and it has proved to be an enormous will in society, among other things. from private health professionals to help. The LHL hospital at Gardermoen made itself available and invested 20 million. kr to get ready to remedy the situation, but they never heard anything from Health South-East. It's a real scandal. My question is: Will the Prime Minister now take the initiative that we use all available capacity in the healthcare system to get rid of the emerging health cows?
ParlaMint-NO_2020-05-13.ana.ud324e323	Yeah, we'll work on using the capacity we have around to get a lift. We have increased the appropriations for the hospital sector by 5.5 billion. kr. It has been calculated both to cover the costs we have, and to get something done with the queues we have. Then every healthcare company needs to see what capacity they have and what capacity others have, but it may well be possible now to make sure that we also use the capacity elsewhere. Especially in the case of the LHL hospital, as far as I can remember, it is among those who are now also working on the rehabilitation of former coronary patients, as a separate assignment, because there are some patients who have been on the intensive care for so long that they need that kind of help. Private rehabilitation institutions have been shut down since mid-March, but they've started reopening now, and it also makes us get back more of that activity.
ParlaMint-NO_2020-05-13.ana.ud324e328	Siv Jensen – for follow-up questions.
ParlaMint-NO_2020-05-13.ana.ud324e333	I initially thought that it was a principle Right and the Progress Party has always agreed, namely that we should use all available capacity even at the private sector. It appears strange that Bent Höie has not taken more steps in this period to facilitate the use of private treatment capacities — operations and other health services. I may not feel that the government here is forward in the shoes to do this. When you keep talking about life and health coming first, I think that life and health must come first with other serious diseases in society, and not just one-sided focus on coronary disease patients. There are many who are now experiencing severe suffering and a lot of pain, many who have not been treated badly. Then it is about taking advantage of all the available capacity, and I do not feel that the government is facilitating it.
ParlaMint-NO_2020-05-13.ana.ud324e338	It's part of the not-necessary life that was set aside also in public hospitals during the period we had very high preparedness. We are very pleased that this is the discussion we have now, and not the discussion we could have – about blasting intensive wards, that people who have other health challenges where life or death are being discussed are not getting help. It's the most important thing. So it is that in a whole series of measures that have been related to non-short-term life and health, private hospitals have disposed of their employees to work for public health during this period because there has been a shortage of labour. There has been good cooperation between private institutions and the public health sector. Now we're going back to a greater degree of normality, and we're going to make sure that the queues come down as quickly as possible, and then we're going to use all the capacity we have.
ParlaMint-NO_2020-05-13.ana.ud324e347	Siv Jensen – for follow-up questions.
ParlaMint-NO_2020-05-13.ana.ud324e352	Then I have just a brief supplementary question: does the Prime Minister think that the appropriations for the hospitals that came into the revised budget yesterday are sufficient to begin to reduce the delay that has accumulated in the last two months?
ParlaMint-NO_2020-05-13.ana.ud324e357	We've granted $5.5. SEK in addition to half a billion in health benefits for lower employers’ fees in May and June. So it's a net increase of 6 billion. kr. It's a formidable situation. I think our biggest challenge in the future is to lack staff capacity, not money.
ParlaMint-NO_2020-05-13.ana.ud324e362	Let's move on to the next main question.
ParlaMint-NO_2020-05-13.ana.ud324e367	Unemployment in Norway is alarmingly high, and it has to go down. Families and businesses throughout Norway are uncertain about their own future, about their own economy. We can all contribute: The government can contribute, the Storting can contribute, each of us can contribute. For everyone – no matter what role we have – can help save jobs in Norway by buying Norwegian, and we should act locally. By buying Norwegian and shopping locally, we guarantee local jobs and Norwegian industry. If you are in the choice between buying a Norwegian cheese or a foreign cheese, you should buy Norwegian cheese. Then you secure jobs in the food industry. If you are in the election – that you have to replace your armchair because it is getting a little tired – between buying a Norwegian armchair from Sunnmøre or buying a foreign one, you should buy a Norwegian one from Sunnmøre and secure jobs, secure value creation, secure activity. When you're going to buy shoes and clothes, it might be a little bit difficult to get Norwegian, but you're in the choice between buying clothes and shoes at the local store, or buying it at Amazon or in a online store, where you create jobs abroad. Then you should buy shoes and clothes at the local local local store and through the safe workplaces in your community. And on May 17 you can buy Norwegian ice instead of foreign ice, buy Norwegian candy instead of foreign candy, buy Norwegian food – to create jobs and create value creation. This is a positive and pleasant effort we can all participate in: buying Norwegian, buying local, creating jobs, creating value creation. Then is my question to Prime Minister Erna Solberg: Will the Prime Minister encourage the Norwegian people to act Norwegian and through the secure workplaces?
ParlaMint-NO_2020-05-13.ana.ud324e374	I think it is very important that we think through how we can contribute to the good functioning of our local business. I fully agree with the representative that it is fine if people go to the store locally and they maintain it. The merchandise has suffered a fall, except for the grocery industry. Then I don't put myself up in which cheese people eat, but I know there's an incredible number of good Norwegian oysters. Last Sunday I even found myself in a tiny shop – in Oslo – Fanaost, i.e. from my local irony, so I was very happy with it. It was localized at a distance. I hope it still holds for the Center Party, that when you're in Oslo, you buy something that's from Fana in Bergen. But I agree that it is important that we get the wheels going, and therefore I am concerned that if you plan to do something, to spend money, for example. on refurbishment, on measures in the house, so do it now, for there are many who are going to need it. But I'm not busy encouraging people to spend money they don't have, because I know there are a lot of people who are in a difficult economic situation, and who have to count the money a little in the future and don't know if the job is there. Then we can not just say that everyone should go out and spend money, because it is not certain that everyone has the opportunity and the space for action. But if you do, I'm sure it's very wise to spend money locally to get the jobs back. And then you have to choose which sofa you want, and which design you want in the living room. I think as Prime Minister I've gone a long way in many meddlings in people's lives lately, and I don't think I'm taking on the sofa choice for them.
ParlaMint-NO_2020-05-13.ana.ud324e388	There's so much beautiful Norwegian furniture, that it's quite possible to encourage the Norwegian people to buy Norwegian, and you get a lot of great design, and it creates a lot of jobs. But I notice that the Prime Minister does not want to be so clear. The leader of the centre party is very clear: buy Norwegian, buy locally, build your country. That's wise. We had a debate in Stortinget on 19 March, where the majority of the population with the Central Party, the Workers' Party and the Advance Party decided to secure national ownership of important companies, and that the state had to prepare to act if Norwegian companies were to go into play. We had a debate in Stortinget on 31 March, where the majority of the population decided to split up large public tenders to help create more jobs for small Norwegian entrepreneurs and Norwegian construction companies, precisely because we, the majority of the population, wanted to use tax money to build jobs and value creation in Norway. The right was – finally – with the last, but voted against the first. What has the Prime Minister done to follow up these decisions, and what will she do in the future?
ParlaMint-NO_2020-05-13.ana.ud324e395	We're working on looking through all of the assignments we have, to see if it's natural to split them up more. We still believe that one bridge should be built in one round, for example. a nice bridge to Bergen from Sotra, which we are working on, which is a OPS project. We're still concerned that it might be built in a whole and not have different contractors. But we also have a lesson from the last time the Center Party put in government, that the cost of construction projects was very high by dividing the projects into very small ones. One of the things we did at the beginning was to make sure that we got more money. And that was, among other things, making more functional lengths in the development, so that we actually reduced the costs of administration – we just got more money. So it's important to find the balance between the mistakes that were made during the financial crisis, which gave us significantly higher road construction costs, and that projects can become too large for Norwegians to be able to live at all. Then we also have to work with cooperation between suppliers.
ParlaMint-NO_2020-05-13.ana.ud324e402	There will be follow-up questions – first Tryful Battle Violence Vedum.
ParlaMint-NO_2020-05-13.ana.ud324e407	In the Centre Party, we are more concerned that Norwegian entrepreneurs should build Norwegian roads than that of Chinese entrepreneurs – that is quite right. I want to go into one of the flagships in Norway. The Hurtigruten has been sailing along the Norwegian coast for 127 years and has transported people and goods and has been an important lifeblood for the amazing coast we have. Now, in the crisis that we are now facing, two out of 16 ships are at port. They're not sailing. That's about. 3,000 employees who are on leave and do not have a job. We know how crucial the Hurtigruten is for coastal communities, for tourism, for thousands of jobs also on land, and Hurtigruten has not been able to participate in the loan arrangements adopted by the Stortinget, because there have been such high returns on this money that the state will make money on it. Does the Prime Minister think it is right that a solid Norwegian company that has been sailing along the coast for over a hundred years cannot get help in the crisis we are now facing?
ParlaMint-NO_2020-05-13.ana.ud324e416	Just for the first comment, it's important to remember that if we spend more money than we need to build a road, you can either get less money, or you can get less care for the money. There is no argument to drive inefficiently in the public sector just to work, because then it could be chosen to employ in other areas for perhaps greater welfare gains overall in our society. When it comes to the question of Hurtigruten, I just have to say that we cannot control every single company and every single arrangement under this. But I understand that one of the challenges Hurtigruten has faced is the bond fund scheme, that they fell into credit rating because of the coronary crisis. One of the things we've done is we've changed it, because we've seen that it's a measure that didn't happen completely, because there's also a change in the rating of a lot of companies. Then we'll see if that arrangement helps the Hurtigruten, maybe come back to other things. Because I agree that Hurtigruten is an action and offer we should have in Norway in the future. It is an important service for Norwegian society.
ParlaMint-NO_2020-05-13.ana.ud324e423	Marit Arnstad – for follow-up questions.
ParlaMint-NO_2020-05-13.ana.ud324e428	As I said, unemployment is record high, and the Prime Minister highlights maritime transport in particular in the private sector. We have a significant shipbuilding industry along the whole coast, both in Egersund and Stord and Verdal, and there are hundreds of small businesses supplying them. They're doing thousands of jobs together. Now they're being permissive, and it's a word-dark thing. The next summer, Aker Solution may have gone from 10,000 workers to 3,000, and Kværner may have gone from 7 000 to 1000. Why does the government choose to risk these jobs with an oil proposal that no one in the industry believes is good enough and that will not ensure that activity is maintained?
ParlaMint-NO_2020-05-13.ana.ud324e433	It's often that when we make suggestions, the industry doesn't think it's good enough because they would like more. The question is, have we done anything about the main short-term liquidity challenges facing the industry? Yes, we do. Have we done anything to stimulate building more? Yes, we do. Maybe not enough – we'll have a discussion about that in Stortinget. But I have been on KonKraft's campaign in 2000–2003 against Stortinget that time. If we had completed what was proposed at the time with much more, the Norwegian state might have lost up to 2000 billion. kr. It is important to remember that we have an independent responsibility to assess how far we should go in all these matters. Then we are in a situation where there was a decline in activity for the yard industry anyway, because there are fewer projects in the future. It was an investment fall before the coronary crisis that also lay there on the table. We must not forget that not everything can be attributed to this, but that there is in fact a future development that provides a gradually lower activity in the oil and gas industry, in the new construction activity.
ParlaMint-NO_2020-05-13.ana.ud324e440	Marit Arnstad – for follow-up questions.
