ParlaMint-BE_2016-07-06-54-commissie-ic468x.u1	Questions Nos 12619 and 12627 by Mr Pivin are transformed into written questions.
ParlaMint-BE_2016-07-06-54-commissie-ic468x.u12	Thank you, Minister, for your different answers. With regard to all acts that cannot be represented and your return to the justices of the peace, I mean that you acknowledge that it would not be pointless to look at procedural simplification. This is all the more true, Minister, for people who are totally unable to express themselves and completely abandoned by their families. These are, of course, those that I was particularly interested in, for which the problem is much more acute than for others. In addition, on the second part, this project that you are going to launch on the framework for the function of administrator is, in my opinion, surely an important element for the future, especially for family administrators. With the explosion of the number of insane people, there is a large burden borne by families, with additional difficulties and responsibilities. It seems to me important to be attentive to those who exercise the function of manager, even if they are not family, and to consider with the field how one can give a framework, including on the human side and not only on the one of property management. Particular attention should be paid to the work and support provided by family administrators. It's not easy and it often generates rather sensitive issues within families.
ParlaMint-BE_2016-07-06-54-commissie-ic468x.u13	Questions Nos 12799 and 12800 by Mrs Uyttersprot have been converted into written questions.
ParlaMint-BE_2016-07-06-54-commissie-ic468x.u14	Mr President, Minister, as you probably know and with great certainty, the coalition agreement requires a measurement of the workload of the courts and courts and, of course, the consequences of these results. It was, among other things, your predecessor, I think, because this story about the workload measurement has of course been going along for a long time, who was present and who had instructed the Standing Bureau for Statistics and Workload Measurement to carry out a workload measurement at the various courts of profession. It was then, I believe, also your predecessor who, after carrying out the workload measurement, contacted the Supreme Court of Justice to carry out a study which could provide an answer to the question of why there are such large differences between the different courts of appeal regarding the elimination of the stock of pending cases and the number of judgments handed down per counsellor. If I am not mistaken, the Supreme Court of Justice is currently conducting this study. According to the provisions of the Court of Justice, the Supreme Court is obliged to comply with the Minister's request to carry out an investigation, but can also make adjustments to the subject matter of the investigation, for example in the light of available figures. I have the following questions for you, Minister. Have any changes been made to the research question in the study carried out by the Supreme Court of Justice? Has the Hoge Raad called on the Permanent Bureau for Statistics and Workload Measurement? If so, in what way? If not, why was the expertise of the Vast Bureau of Statistics and Workload Measurement available not used in making comparisons between different courts? Has the results of the workload measurement of the courts of appeal been included in this study? If not, why not? How has research in particular taken into account the specific way in which each court operates and the specific way in which each court records all such data? In what way are the differences between courts, in terms of efficiency gains, taken into account in this particular investigation? In what way were the absences due to the illness of the magistrates calculated and precise and reliable figures existed? What are the results of the research, what value is attached to that research and what consequences can be attached to it? So many questions for you, Minister.
ParlaMint-BE_2016-07-06-54-commissie-ic468x.u15	Mrs Van Vaerenbergh, I received the report of the Supreme Court of Justice, to which you refer, last week. It can be found on the website of the Supreme Court. Most of your questions are about the methodology and this is explained in detail in the report. The previous Minister of Justice's initial question was to analyse the annual reports of the five courts of appeal and the causes of the differences in the figures between the courts of appeal regarding the elimination of the stock of pending cases and the number of judgments handed down per counsellor. After finding that the comparability of the figures between the courts is limited, the Supreme Court re-defined the subject matter of the investigation from a pragmatic point of view. The Council therefore collected data for each court over six years from 2008 to 2013 and examined trends that could be identified. This approach does not compare a court with another court, but makes sure that the court improves its functioning. The Supreme Court has used the data made available by the Standing Bureau for Statistics and Load Measurement for the data relating to the incoming, outgoing and pending files of the courts because the information is much more detailed than that given in the operational reports. The Supreme Court has used the figures it has verified, together with the first Presidents, for the analysis. Wherever necessary, he corrected it. The Hoge Raad therefore did not use the workload measurement carried out by the Standing Office for Labour Measurement and Statistics. The report does not make a comparison between the courts, but examines the evolution of its operation per court for six years. Thus, the court is analysed from its specific way of working. As I said, the report contains no analysis of the differences between the courts of appeal, only the evolution and trends within the same court of appeal. These trends are the result of measures taken by the court in its way of working. Since the analysis was based on the effective average occupancy, the absences for medical reasons were also included in the analysis. This shows that the registration of the medical absences is not uniform and that there is no unambiguous notification to the central personnel department of the FPS Justice Department. There is a disease registration system for the judicial staff, such as referees and clerks, in particular Medex, but it is not used for magistrates. The Supreme Court recommends that the computer system which allows the central registration and follow-up of personnel records of magistrates, referees, lawyers, clerks and administrative staff should also include a uniform record of absences for medical reasons. On the one hand, the Supreme Court has drawn several conclusions and made recommendations concerning the recording of personnel data and the registration and comparability of cases. The report, on the other hand, also formulated conclusions per court of appeal. From an initial analysis of the report, it seems that the Supreme Court, on the basis of an in-depth analysis of the first part, has put the finger on the wound. I believe that the recommendations are very valuable and call for the necessary attention. For the sake of sound management, it would seem useful for all actors involved to cooperate with the FPS, colleges, courts and tribunals in order to improve the reliability and uniformity of statistical data. On the conclusions concerning the individual courts of appeal, I do not wish to express too much opinion, as this calls for a thorough analysis of the report. However, there is no doubt that such an analysis of the functioning of the courts of appeal is a useful tool for the Minister of Justice. I will therefore take the report very much to heart.
ParlaMint-BE_2016-07-06-54-commissie-ic468x.u16	Thank you, Minister. Since the report is also on the website, I will also analyse it. It seems clear to me that the courts of appeal work in a different way and thus record their data in a different way. This makes it very difficult to draw conclusions and turn them into a policy. Therefore, my suggestion to you is to give the various courts and courts of appeal a form of standard form, so that each court and every court records all data in the same way. In this way comparisons can be made and conclusions drawn on everyone's working methods.
ParlaMint-BE_2016-07-06-54-commissie-ic468x.u17	Questions Nos 12819 by Mrs Kattrin Jadin and 12821 by Mr Dirk Janssens are transformed into written questions.
ParlaMint-BE_2016-07-06-54-commissie-ic468x.u18	Mr President, Minister, last February I asked you because, at the time, a gestation fair for others was to be held in Brussels, which had already been organised earlier. I will not go back to the various Belgian laws, namely the Law of 6 July 2007 on the LDC and the donation of gametes which must be free of charge, the Law of 13 June 1986 on the removal and transplantation of organs, and the Civil Code according to which all or part of the body cannot be used for commercial purposes. So there is a clear ban on lucrative marketing of the body. If I come back to you, it's because a new show is announced for the month of September with exactly the same setting, namely a purely commercial show with a purely lucrative business. Indeed, the possibility is offered to choose a mother from a catalogue, according to a whole series of physical and even intellectual characteristics. It is clearly a question of catalogue shopping. Mr Minister, last February you told me that you were looking for a legal basis on which you could prohibit the holding of a fair inviting the violation of Belgian bioethics standards. At the time, you also informed me that you were going to apply to the College of Attorneys General. Since then, a few months have passed and a new show is scheduled for September, which is why I would like to take stock with you of this issue. Indeed, the holding of this kind of fair in Belgium is unacceptable.
ParlaMint-BE_2016-07-06-54-commissie-ic468x.u19	Mr President, Mrs Fonck, according to the results of an investigation carried out by my administration, there is currently no legal basis in criminal law to prohibit the holding of such a fair. As I said in my reply to your question in this committee in February, I am not at all opposed to a parliamentary initiative to address this issue. In parliament, several proposals have already been tabled at the end of 2014. To be more precise, the Law of 6 July 2007 on Medically Assisted Procreation and the Destination of Supernumerary Embryos and Gametes, known as the "LDC Law", currently provides nothing on the subject. In particular, a provision similar to Article 4(3) of the Act of 13 June 1986 on the removal and transplantation of organs is missing. This article provides that any measure making public the need or availability of organs for the purpose of offering or seeking a financial gain or a comparable benefit is prohibited. This legislation is the responsibility of the Minister of Public Health. A draft amendment to that legislation was therefore within its competence. With regard to your request for information, the College of Attorneys General has informed me that the relevant networks of expertise are working on this issue. Unfortunately, the information requested is not yet available.
ParlaMint-BE_2016-07-06-54-commissie-ic468x.u20	Minister, thank you for these answers. First, I note that the FPS Justice does not see a legal basis. This is an analysis that is contradictory to that carried out by the Bioethics Advisory Committee, which is clear on the capacity and legal bases that do not allow this type of fair to be held in any way. I'm not a lawyer. I have already found that the lawyers between them do not always have the same version, including in the analysis of both laws and case law. I take note of what you're telling me. This obviously raises questions with regard to interpretation. Either, I'm not going into this debate. What concerns me is that I have the impression that everyone agrees, in any case those who hold the grips of this country, that this type of living room cannot be held. Although it is eminently understandable that some couples are in personal need of children, it is totally unacceptable that associations, often American, use the distress of these parents to make this lucrative market in the sight and knowledge of all, in the sight and knowledge of the State and of justice. However, we have a fairly clear framework for a general ban on the lucrative marketing of the body. These children are reduced and, basically, these women are reduced to a beast produced by a uterus rental and a gamete purchase. That's deplorable. I find it interesting to say, despite our existing legislation, that we are just going to watch this show be held without any intervention from the state. I'm particularly sorry that in the end, this show might be held.
ParlaMint-BE_2016-07-06-54-commissie-ic468x.u21	Mr President, Minister, my question concerns a follow-up question to my previous oral question on aggressive advertising of gambling. First of all, I would like to congratulate you on your decisive policy on advertising gambling; you want to tackle this through an RB. In your reply to my parliamentary question at the beginning of June, you indicated that it was not possible at that time to comment on the contents of the Royal Decree on which you were working. Meanwhile, we have learned through the media what the pillars of this KB are. Firstly, blacklisted problem players are no longer allowed to receive intrusive e-mails. Secondly, there can be no more gambling advertising during family shows on TV. Thirdly, there will be a restriction on advertising during frequently watched sports competitions. The Association for Alcohol and other Drug Problems has expressed itself reasonably positive about the KB in this area and considers this to be a first step in the right direction. I would like to put the following questions to you on this point. The first anchor point is that no more intrusive e-mails should be sent to problem players who have been placed on the blacklist of gamblers. How many people are we talking about over the years from 2011? What should be understood among problematic players? From when does anyone become a problematic player? How is it tracked down? Who defines when someone is a problematic player? What do you mean by intrusive e-mails? How is intrusive defined in the relevant KB? Does the KB only report mails? What does the KB say about mail or text messages, for example? So will there also be a ban prohibiting any contact with problematic players? What is being done about contacting people who are not yet considered to be a problem player? The second anchor point no longer concerns gambling advertising during family programs on TV and a restriction on advertising during frequently watched sports competitions What do you mean by family programs? Is there a determination of the time or the hour? When is a sports game a lot watched? Is this only about advertising that is temporarily digitally displayed via LED signs or is this also about the signs that are behind the player during interviews? What exactly does this limitation entail? Is it also about shirtsponsoring? Is the limitation expressed in, for example, the time period during which advertising is allowed to appear or in any other way?
ParlaMint-BE_2016-07-06-54-commissie-ic468x.u22	Mrs Van Hoof, the number of excluded players continues to rise. In 2012 there were 134 761 and at the end of 2013 235 321. In 2014 it was 285 921 and in 2015 309 055. If you want details of the categories of excluded players, I will gladly make them available. I would like to point out that they are not necessarily problem players. Some persons are excluded by the nature of their profession or by collective debt regulation, which is not necessarily the result of excessive gambling behaviour. In the course of 2015, 4 303 people applied for voluntary exclusion, while 1 966 people submitted a request to the Gaming Commission to lift a voluntary entry ban. This means in concrete terms that in 2015 additional 2 337 persons were voluntarily excluded compared to the year before. In 2015, 91 exclusions were approved by the Gaming Commission at the request of an interested third party, such as the partner, the child or the parent. One request for the removal of the exclusion at the request of an interested third party was granted. An important criterion taken into account by the Gaming Commission in eliminating exclusion is the presence of adequate social and psychological guidance. The KB that wants to restrict advertising has been discussed for the second time in the Gaming Commission this morning. Next Thursday, 14 July, the Gaming Commission will give an opinion on the royal decision at a special meeting that will only deal with gambling advertising. In this sense, I do not think it is appropriate to make specific statements on the content of the proposal. Your comments are very much appreciated and will be taken into account in the discussions on KB being held in the Gaming Commission.
ParlaMint-BE_2016-07-06-54-commissie-ic468x.u23	Mr President, Minister, thank you for your reply. The figures are indeed impressive. We also note that as advertising has increased, the number of problematic players has also increased. Accessibility, of course, has a trigger effect, even among the people who want to gamble. The more available and the more accessible, the more people gamble. The Internet is a very accessible source. I can only applaud your continuing with the royal decision. I hope you'll get as far as you can to shut down that commercial as much as you can. Gambling advertising has become far too accessible, especially when it comes to football matches. It is visible to everyone that a guess can be risked. The number of problematic players indicates that urgent work needs to be done on the Royal Decree.
ParlaMint-BE_2016-07-06-54-commissie-ic468x.u24	Mr President, Minister, the potpourri II is behind us and many of the things that were previously advocated before the Court of Assists can now be dealt with before the Court of Justice by means of the general correction. You may recall debates in which, among other things, our group's question was raised in order to obtain the assurance that sufficient time would be allocated to witnesses during debates before a proper court if necessary. It was then decided not to put this into legislation. It was assumed that courts were wise enough and wise enough to organise themselves in such a way as to make this possible. Last week we read in the newspapers that criminal attorney Jef Vermassen called the alarm bell. Before that, however, several people called on me to inform me that they will have one day at a murder trial that comes before the correctional court and that it is therefore still difficult to call witnesses. Courts are not obliged to answer the question and may refuse. This also applies, for example, to a law doctor, whose input may be interesting. If they want to hear someone as a party, they have to subpoena them themselves. For next of kin, of course, this is an extra big cost. Moreover, there is also a risk that the decision on the day of trial itself will not be heard because there is not enough time. That worries me, Minister. We know very well that the correction is useful, provided, however, that adequate attention can be paid to these matters, as was said during the debates. It is not a question of futility; it is a question of serious matters. Hence my specific question. If it turns out that, in practice, it is more of a case for the correctional court, would it not be appropriate to take a legislative initiative to ensure that a minimum of essential witnesses can be heard before the correctional court? It is specifically a criminal chamber within the correctional court and I think it would be useful to settle something more than just to leave it to the organisation of the court itself.
ParlaMint-BE_2016-07-06-54-commissie-ic468x.u25	Mr President, Mrs De Wit, the great difference between a correctional court and a court of assistants is the absolute oral nature of the hearing on the substance. To the People's Jury, all elements of the judicial investigation must be explained orally by the researchers, the experts and the witnesses. This is a repetition of the elements of charge and charge already contained in the judicial file. The members of the jury will be in contact with the case to be dealt with for the first time after their drawdown. Appeals, on the other hand, are expected to have been thoroughly informed in advance of the entire investigation written down in the minutes, expert reports, claims and so on. If an element is not clear to the court or prosecutor, they will order an additional investigation for the truth finding or call upon a witness to provide clarifications. I have every confidence in the assessment of the magistrates of the seat and of the courthouse about the time a case should take in concrete terms, whether it is about the assessment of a life crime in 2015 there were about 75 assist cases or of other crimes. There have been and will be hearings in ordinary courts on non-life crimes that take days or weeks, depending on the complexity, for example in organized drug trafficking, fraud or major banditism. For example, there were also assistive processes that were settled on three or four days. In the case you mentioned, you express the opinion of an attorney of one of the parties who, on 30 June, made statements on the course of proceedings in a case concerning a corrupted crime that is still pending. The case was opened on 29 June before the Court of Justice in Turnhout and will continue to be dealt with on 5 and 6 October 2016. Each party will, of course, put forward its position in the manner it deems appropriate and, if it considers it necessary, the court may at any time address the questions raised by the parties and, if appropriate, extend the treatment days. I would also like to point out that in such cases it is now possible to appeal, allowing the Court of Appeal to re-examine the case on the substance, while in assistes an appeal procedure was excluded. I am planning both a reform of criminal law and criminal procedural law, in which the concerns you have raised will be the subject of a parliamentary discussion. I have not forgotten, Mrs De Wit, what we said about this during the debate on potpourri I, nor have I forgotten what I said about the evaluation of the possibility of correcting all crimes.
ParlaMint-BE_2016-07-06-54-commissie-ic468x.u26	Mr Minister, the evaluation will indeed be a very interesting exercise. I don't doubt that. The case that was raised in the press last week gave rise to my question. However, it is not the first time that I have been called upon to do so. It's not like I don't have faith in the courts. I'm not saying that. Nor is it intended that the whole investigation should be repeated orally before a correctional court. I know clearly the difference between the two procedures. However, I remember very well the words of John Maes, if I am not mistaken, who said that we should not throw the child away with the bath water and that we should try to achieve the fundamental good of an assistive procedure in the correct procedure. I await the evaluation and I am very curious how it has been experienced in practice, what conclusions one will make and what solutions one will ultimately offer.
ParlaMint-BE_2016-07-06-54-commissie-ic468x.u27	Prime Minister, I would like to say that my question, which was combined with another question from myself and Mr Degroote, was addressed to Minister Jambon. Let me give an example from the Kortrijk section, but I am convinced that several zones are facing the problem. Until November 2015, a police officer from the district of Kortrijk, who does not have his own prison, was able to retrieve a file from the registry of the investigation and bring it to the place of detention, where an inmate who is to appear before the council chamber could consult his file. In order to avoid the unnecessary deployment of local police personnel, a pragmatic solution was devised from mid-November 2015, whereby the detainees who wished to access their files and who were to appear before the council chamber on Tuesday or Friday were transferred from the security corps to the court of Kortrijk, where they could look into their files in front of the actual council chamber. The local police then had to register with the Registry of the investigation with two staff for inspection of the file. At the ARO of 2 May 2016, the current investigating judge reported that some problems appeared in the file, in the sense that it has already happened that several detainees wished to see their file and that they were only given a short period of time to do so. The investigating judge proposed that the inspection be carried out one or two working days before the meeting of the council chamber. This raises the problem of transport to court, while they used to be involved in the transport of the security corps, since they had to appear before the relevant council chamber. That decision was introduced unilaterally and has the effect that on one day up to 56 man-hours can be performed to meet, for example, three requests. In times of absolute scarcity of operational police capacity, any deployment should be considered, efficient and effective. Are you aware of the problem? What steps can be taken? On 22 June, you reached an agreement that provides for better cooperation between Justice, lawyers, notaries and bailiffs to further digitize their work. Documents will be sent electronically via an e-box. Is the criminal record included in this? If such a file from the Registry could be delivered in this way at the place of detention, it would result in a huge saving which would not be at the expense of the service. I have the following questions, which I had addressed to Minister Jambon. Should the Security Corps be used as much as possible to carry out the transfer of detainees? What's the status of the security force reform? Can the federal police intervention force be used for this? Is there a possibility to deliver files digitally at the place of detention? Is there any possibility of establishing a uniform regime throughout the territory?
