ParlaMint-BE_2017-02-14-54-commissie-ic590x.u1	Question No 15425 by Mrs Fonck is transformed into a written question.
ParlaMint-BE_2017-02-14-54-commissie-ic590x.u12	Mr President, Mrs Winckel, I have a problem, because the NIS has never said that.
ParlaMint-BE_2017-02-14-54-commissie-ic590x.u13	[[...]]
ParlaMint-BE_2017-02-14-54-commissie-ic590x.u14	We're talking about something else, then. Your written question refers to the NIS.
ParlaMint-BE_2017-02-14-54-commissie-ic590x.u15	In time for me. It is the SDI, the Syndicat des indépendants et des SMEs. Excuse me!
ParlaMint-BE_2017-02-14-54-commissie-ic590x.u16	Then we understand each other better. As you know, the SNI awarded me the title of "Minister most favourable to entrepreneurship" last year. Other parliamentarians from different political groups have also been distinguished. So I didn't understand at all. You know the SDI, compared to the SNI. SDI is no longer a recognized organization, unlike UNIZO, UCM, SNI, and a number of other organizations. Very convivially, I urge you to be very cautious about these statements. You have observed that these statements are also completely isolated and contradicted by all the other organisations representing the self-employed and SMEs, as well as by the organisations representing the largest companies. For example, the FEB stated on February 10, 2017 that: "The figures show that tax shift mainly favours employment in the private sector. Employers keep their word: after the tax shift, place at the job lift." I simply think that the SDI has completely screwed up in its analysis. I want to have a live debate with them. In my view, this debate would really not be easy for them. Indeed, like me, you follow the news, you follow the indications of the National Bank, the Institute of National Accounts (ICN), Europe, the successive declarations of the UCM, the SNI, the UNIZO, the FEB. In fact, all the indications go exactly the opposite way. I want proof of the very recent evidence. For example, it is known that last December the National Accounts Institute estimated that 104,000 additional jobs had been created since 2014, including for the self-employed. The number of starters has never been so high. The number of bankruptcies has never been so low. More recent statistics are available on the number of jobs in the private sector. In the third quarter of 2016, it was 2,869,500 positions, an increase of 46,400 units compared to the same quarter of 2015. And all the statistics go in the same direction. I'll keep them at your disposal. Last night, I was still with entrepreneurs. I can assure you that I measure, feel and feel how important something is happening in our economic world, in the activities of our companies and in the self-employed. I can quote you the memory numbers. I love numbers. I read the statistics. I'm decorating them in every way. From 1 January 2015 to 30 September 2016, the number of self-employed increased by 18,400 units. I'm only talking about the self-employed in my main capacity. This represents more than 800 new self-employed persons on a principal basis per month. Some may tell me that it was already the case before. I took back the 2013 figures. Be aware, dear lady, that from January 1, 2014 to September 30, 2016, there were, on average, 5.4 times more independents per month than in 2013, and this is only about the additional independents in their main role. On the other hand, there have never been so many independents on a complementary basis. You're gonna tell me this is an extra job. Be aware, ma'am, that 8% of the complementary self-employed become, within a year, primarily self-employed! After five years, 18.8 per cent of the supplementary self-employed became self-employed in their main capacity. I have lots of numbers. They're all in the same direction. The only thing you can tell me is that the magnitude of these numbers is different. Analysis of the growth rate is important. We've tapped 1.2 growth into our budget. You have read the latest publication of the FEB whose study service is serious and expects a growth of 1.7. The Walloon Union of Enterprises is based on 1.5 and the latest indications are 1.4. These indications are very important because, behind them, there is activity and employment, well-being for our citizens, revenue for the State and the food of social solidarity. If I can, solemnly in this Marie Popelin Hall and under the watchful eye of all the political parties, make a solemn appeal to the opposition that you represent today, it is the one which consists of inviting you to stress also what is well. Act the numbers when they are so uncontested! We can discuss their magnitude and in this I agree with you but deny them is as if – allow me a football comparison – the results of the football championship are there but the Socialist Party does not recognize them saying that they are not the results of the football championship, nor tennis matches, that these figures are not good and that they are not about real jobs! All this, Madam, is contradicted by such serious institutions as the National Bank, the Institute of National Accounts, the European institutions, etc. I am at the disposal of Parliament and do not hesitate to compare all these studies! You'll come back to me and tell me I was probably right.
ParlaMint-BE_2017-02-14-54-commissie-ic590x.u17	Minister, thank you and we heard your appeal on February 14, this Valentine's Day. Mrs. Winckel, are you convinced by the minister's call for Valentine's Day?
ParlaMint-BE_2017-02-14-54-commissie-ic590x.u18	[[I heard the call for rapprochement on this date.]] I heard his answer. This is not the first time we have discussed these figures; we have already done so in plenary. There is one view of the numbers among others. Some are opposed. I invite you, in particular, to read, if not already done, the indicators complementary to GDP that the Federal Office of the Plan has just published. Even if we see an increase in the number of self-employed, what are these figures hiding? To what type of job quality and compensation do we lead? Precarization of the population can be observed. Instead of conducting a sterile majority-opposition analysis, after two years, an assessment and interpretation of these figures could be carried out by an independent body. In Belgium, there is a widening gap between a precarised population and another richer one, which is worrying. Eight hundred and thirty thousand women live below the poverty line. It's also a figure. I support independent status. I would like people to get a job, I advocate all the policies in this area, but the day-to-day reality of these people needs to be examined. A battle of numbers would be useless, but an analysis by an independent body would be very useful. Minister, you are making a solemn appeal to me to reach an agreement and I am sending you a solemn call for an organization to carry out this study.
ParlaMint-BE_2017-02-14-54-commissie-ic590x.u19	Minister, if I were to allow myself a little anecdote, I would say that I will pass on your solemn call to Mr Cucke to tell us what positive actions are being taken in Wallonia.
ParlaMint-BE_2017-02-14-54-commissie-ic590x.u20	Minister, you recently commissioned an investigation into possible discriminatory practices of the company currently in charge of managing the kilometric tax. This decision would follow complaints lodged by the Union professionnel du Transport et de la Logistique (UPTR) concerning alleged differentiations between operators, depending on whether they would be charged for their vehicle or fleet in full. According to UPTR, the current system would penalize self-employed and small businesses. With due respect for the investigation, I would like to ask you the following questions. Minister, can you provide us with an outline of the elements that have been brought to your attention and that have led to the initiation of this investigation? What services have been designated to carry it out? When do you expect results? Finally, did you have the opportunity to meet with the various parties on the file?
ParlaMint-BE_2017-02-14-54-commissie-ic590x.u21	Mr President, on the basis of a communication from the company Satellite, which states that fleet billing would now be only available to carriers who pay the kilometric tax in the post-payment system, I have been alerted by a situation which could be discriminatory. Indeed, invoicing per fleet would be refused to carriers who pay by other means: prepayment by transfer or credit card. This practice would therefore be harmful for smaller companies. On the other hand, some carriers reportedly complained that, despite their repeated requests, the invoices drawn up by the company Satellite would be based on a period of ten working days, not on the basis of a full month - as recommended by the accounting logic. This is obviously not without consequence. Secondly, since this issue is related to the regulation of market practices - which is under federal authority - I asked the SPF Economy, SMEs, Middle Classes & Energy for an analysis. This will be handled by the Economic Regulation Branch. I'm waiting for the results. I cannot tell you any timing, since it has not yet been announced to me. Thirdly, the criticisms made against the company Satellite are part of the broader problem, which you know, of the kilometric tax, which is of regional competence. I would leave my role if I had direct contact or prior contact with the company Satellite. However, as Minister for the Middle Classes, Independents and SMEs and Agriculture, I have received many players, many SMEs, many independents and many professional groups from the transport, agricultural, trade and travelling sectors in relation to this taxation, in relation to their concerns, in relation to its practical implementation and in relation to the consequences for the purchasing power of our citizens. At the end of the chain, as far as Belgian carriers are concerned, this tax is, for the most part, passed on to the consumer or to the final customer. If I say "for the most part," that doesn't mean "completely." One part is responsible for transport intermediaries and this situation also impacts their economic activity and creates real difficulties in a number of situations. I have read with caution that in the south of the country it was envisaged to extend the kilometric tax further to a number of other roads, with a complementary impact for the transport sector, for the sectors concerned and for the final customer or the consumer.
ParlaMint-BE_2017-02-14-54-commissie-ic590x.u22	Minister, thank you for your answers. The investigation is under way and you do not yet have the results, but we will remain attentive to them. As you said, even if the tax is a regional one, a lot of stakeholders have been concerned about it. You are referring to the possibility of extending this tax to other roads. That is a cause for concern and I am pleased that you can relay it to a number of stakeholders. It is with great care that we will be aware of the results of this investigation.
ParlaMint-BE_2017-02-14-54-commissie-ic590x.u23	Minister, the Horeca Federation has announced its intention to present to you the outlines of its project called Just-Horeca. In practical terms, it would be a matter of creating a web platform, supported by a specific application, on which workers could offer their services directly to employers. The particular feature of this system is that the employment relationship will be based on an independent contract in a clear place of service, with a precise duration of time and a rate adapted to the type of work performed and the worker's experience. This relationship can be managed by an independent social secretariat. The Horeca Federation would like to launch this new scheme by taking advantage of the upcoming entry into force of student-entrepreneur status. I would also like to ask you the following questions. How do you look at this project? What possible avenues of support could be provided to raise awareness and promote this platform among the different parties? Finally, do you possibly have data on the proportion of self-employed workers in the horeca sector to date? What are the trends observed in recent years? Thank you for all your answers.
ParlaMint-BE_2017-02-14-54-commissie-ic590x.u24	Minister, I will not repeat the presentation of the draft platform. It is clearly a concept of self-employed workers, and the horeca federation calls it so. This project consists of the creation of a platform on which workers will offer hours of service as self-employed. I read in the press that the sector was to present this project to you during the second week of January this year. This is a matter of concern. Have you been able to meet with the representatives of the sector? What came out of the meeting? What is your opinion, as Minister of the Independents, but also of the Middle Classes, on this idea? Does the federal government intend to generalize, or at least value, self-employment through such platforms? Is a minimum wage system on the agenda? I think that without that, all the workers in the sector could pay the price. What would be the impact of such a measure on the financing of social security? This is a bit of a continuation of the first question. We are on the possibility of creating jobs, but what kind of jobs, what type of wages, what type of remuneration, what kind of benefits for the worker?
ParlaMint-BE_2017-02-14-54-commissie-ic590x.u25	Colleagues, in relation to your various questions, I will complete by transmitting to you a figure and a detailed evolutionary table by year and by Region, of the number of taxable persons working in the horeca sector. With regard to the Just-Horeca project, I had the opportunity to read about the project of the Just-Horeca platform which the representatives of the Horeca federation came to present to me - so I answer your question - on January 12. The platform would allow certain function profiles of the horeca sector to be proposed and organized as independents. According to my information, however, this platform is still in the project and analysis stage prior to its operationalization. In this regard, it should be noted that the assessment of this concept of self-employment, as defined and understood by the Horeca Federation, will have to be part of the overall revision of the Act on the Nature of Labour Relations. It is a law that has been adapted in the context of the programme law of 27 December 2006, if I recall correctly. This announcement of the comprehensive revision of the Act on the Nature of Labour Relations - in particular the one which defines what it means to be independent and the criteria for doing so and how it is distinguished from wage-earning activity - is part of the plan to combat social dumping as approved by the government last year. What support can be provided to raise awareness and promote the platform among the different parties? At present, it is known that this platform is at the project stage, a think-tank. It is therefore somewhat premature to imagine what could be done to support, raise awareness or promote this platform, since there are issues of operationalisation or the legal framework I have just mentioned. What about the evolution of self-employment in the horeca sector in our country and the trends observed? As of December 31, 2015, INASTI had 42,678 self-employed persons, of whom 24,538 were male and 18,140 were female, working in the horeca sector. What is the trend compared to 2011? In 2011, there were 39,486 subject persons. Thus, there is an increase of 3,192 units, or 8.08 per cent between 2011 and 2015. Until 2014, there has been a steady increase in the number of taxable persons in the sector. However, the increase is declining in 2015, as the number of taxable persons declines from 43,138 in 2014 to 42,678 in 2015, a decrease of 1.07 per cent. In a few weeks, the 2016 figures will be communicated to us. I'll keep them at your disposal. In short: I am listening and I am looking at this platform hypothesis with great interest; of course, all aspects of the project, including its legal framework, must be clearly measured; its promoters can propose the operationalization of the project; and finally, I have all the figures you have asked for - I will ask my collaborator to give them to you.
ParlaMint-BE_2017-02-14-54-commissie-ic590x.u26	Minister, thank you for your answer. I think it is essential that you be involved from the outset in this reflection. It is important that public authorities be able to secure the legal framework. We will be attentive to the evolution of the case. I understand, of course, that it is somewhat premature to define the avenues to be explored, since we have not yet considered the operationalization of the project. Finally, I would like to thank you for the figures you have given us, which show that there has been a significant increase of about 10% in recent years, despite a decline in the last year. So I'll take a look at the picture.
ParlaMint-BE_2017-02-14-54-commissie-ic590x.u27	Minister, thank you for your answer. I understand that this is a new project. It is therefore appropriate to allow time to analyse the consequences. This project may be a good idea, but the effects on social security or the worker must be properly measured. One of the objectives of this platform could be that employers would no longer bear certain social security charges relating to invalidity benefits, the thirteenth month, holiday pay, etc. This is why quality in terms of employment must be maintained - both for employees and for self-employed people. I would like to draw your attention to this. The excessive flexibility of jobs has negative effects which are not sufficiently measured.
ParlaMint-BE_2017-02-14-54-commissie-ic590x.u28	Mr President, Minister, at the end of December, you conducted an electronic survey to enable consumers and traders to comment on the current legislation governing sales. Eighty-five people participated in the survey, and the results vary from consumer or trader point of view. Although a very large majority of respondents want to keep the balances, the three-quarters still want to move them. Consumers prefer it to take place in December, while traders advance the February date. In addition, the almost unanimous wish of traders to retain the waiting period preceding the balances. Minister, what analysis does your department make of this investigation? What solution could result from this? Do you think that this survey has obtained a sufficient number of participants to be representative? Is it possible to give the profile of the participants? In addition to this survey, what is your department's view the most appropriate solution to the European and Belgian legislative framework, which would, I dare say, favour consumption? What are the next steps and meetings to reach an agreement?
ParlaMint-BE_2017-02-14-54-commissie-ic590x.u29	Mr President, Minister, companies are allowed to sell their goods at reduced prices twice a year. They may organise solders. In order to ensure fair market practices, companies should only do so during the two selling periods laid down by law, namely in January and July. However, the climate is changing and some shopkeepers vote to move the solder periods. They propose to allow this to continue a month later. This is also happening in a number of neighbouring countries and other European countries. Minister Peeters, to whom I asked the question at the end of last year, replied that he would have it investigated. He would also have it examined whether the proposal was widely accepted. For example, a previous survey at UNIZO showed that 63 percent of fashion stores were in favour of a shift. The question is, of course, how shopkeepers in other sectors and in the south of the country see this possible adjustment of the solder periods. That's why Minister Peeters felt that a more extensive inquiry was needed. In addition to UNIZO, Test-Achats, Comeos and NSZ were asked about their position on this matter. In order to give everyone the opportunity to express their views, both shopkeepers and citizens, as Minister for Small and Medium-sized Enterprises, Self-employed and SMEs, you have made a call to ask for opinions and receive contributions from everyone. A specific email address was created to which comments could be given. In November, the High Council for the Self-employed and SMEs and the Consumer Council were asked to give an opinion on this matter. Their opinions were expected at the end of February. Minister, since when has the e-mail address been in use? How many emails have you received in the meantime? Are they e-mails from retailers and consumers? Whose are these mostly from? What is your preliminary conclusion based on the e-mails submitted? Have you received the advice of the High Council for Self-employed and SMEs and the Council for Consumption? If so, what is their advice? If not, when do you expect these advice? Minister Peeters is also competent in this matter. He indicated at the end of last year that he would like to investigate further a change in the solder periods. Did you, as Minister of Small and Medium-sized Enterprises and Self-employed persons, contact Minister Peeters to look at the file together? If so, what is the result?
ParlaMint-BE_2017-02-14-54-commissie-ic590x.u30	Mr President, ladies and gentlemen, as you know, several associations have recently expressed their views in favour of a transfer of the solder periods. To hear everyone, I have created a specific e-mail address to receive the opinions, questions and contributions of everyone. It was my intention to give everyone the floor indefinitely. Following the call I received almost 850 mails, of which 39 % of shopkeepers and 59 % of consumers; 2 % of mails came from others, schools and so on. Although it is not a question of scientifically verifying the representativeness of the sample, the balanced distribution reinforces the importance of the answers, knowing that we have also analysed the content of the opinions on the basis of the profiles. I was impressed by the commitment and concerns of the citizens and the shopkeepers. The desire of 76% of respondents is to maintain the balances. This is the key lesson of this consultation. Respondents are therefore committed to the balances and to the principle of maintaining them. A majority of consumers want the period of sales to be maintained and an overwhelming majority of traders follow this trend. However, both groups remain concerned about a number of phenomena, such as the impact of e-commerce on business and the importance of cross-border trade competition. I told you that 76% of the people consulted were in favour of maintaining the balances, with 24% arguing for total freedom in this area: no period of pay, reductions – balances or other forms of reduction – at any time of the year. Of the 590 people who want to maintain balances, 76% want the dates to be displaced. This trend is very marked among traders but is also present among customers. Thus, 84% of the traders who responded wanted the period of the balances to be moved, as did 67% of the customers. I repeat to make it clear: 76% of respondents want to maintain periods of pay.
ParlaMint-BE_2017-02-14-54-commissie-ic590x.u31	A period?
ParlaMint-BE_2017-02-14-54-commissie-ic590x.u32	A period! Here we are talking about the phenomenon, the mechanism of balances. And 24% are in favour of abandoning the balances and putting in place a system of reduction when desired during the year and in all forms. Among the 76% of respondents who were in favour of maintaining balances, there were different expressions. 76% of them want the balances to be displaced (84% of traders and 67% of consumers). But the movement is not in the same direction. Customers want to advance the period of sales, mainly to take advantage of the discounts for winter purchases, for end-of-year purchases and to avoid purchases abroad. Merchants, on the other hand, are very much in favour of postponing the dates of the sale, with the aim of better "pasting" to the climatic conditions and thus better respecting the needs in terms of the season. They would also like to see a laying planned between the end-of-year holidays and the beginning of the sale, etc. However, traders in the regions closest to the borders indicated that they were less favourable to carry forward balances because they feared that purchases would be made across the border. That's for the winter sale! As far as summer balances are concerned, only 18% of consumers have expressed their views on this matter. Traders were more likely to express themselves (65%). On the other hand, the movement of balances seems to be less of a concern to respondents, perhaps because it is referred to as a more distant deadline or because it concerns other parameters. 38% of respondents did not comment on the barrier period. As a reminder, during the barrier period, shopkeepers active in the clothing sector, leather goods and shoes may not announce price reductions or distribute vouchers giving entitlement to a price reduction during the barrier period, except joint offers, grouped articles, etc. We see that opinions are divided between customers and shopkeepers: 91 per cent of shopkeepers do not want to abolish the barrier period, while 67 per cent of consumers favour abolition. In addition, 64% of traders want this waiting period to be strengthened. This is no surprise, consumers and traders have a different vision here. The content of the responses also demonstrated the many facets of this file. It expresses serious concerns on the part of local traders, particularly in their relations with large areas and chains. Other considerations have been raised concerning, of course, compliance with European rules, the growing development of e-commerce, the evolution of consumer purchasing behaviour and the evolution of certain commercial practices in or supposed to emanate from large chains. I'll give you all these numbers so you can look at them head-rested. As far as the future is concerned, this is a competence that I share with my colleague Kris Peeters. So we need to work together to choose the policy directions of the legislation, and then they need to be endorsed by all of the government's colleagues. We have sought the advice of the Consumer Council and the Higher Council of Independents and SMEs. I have just received the opinion of the Consumer Council. The Higher Council of Self-Employed and SMEs is expected by the end of February. As soon as we are in possession of all these opinions, Kris Peeters and I will not fail to come back with proposals. It is too early to communicate them, since we are still awaiting the opinion of an important body. This is a summary of the lessons learned from these 850 expressions. I must confess to you, to have read them all meticulously, that their set is indicative of a certain feeling, of a certain atmosphere and of certain expectations, whether they emanate from consumers, traders or professionals in their diversity.
ParlaMint-BE_2017-02-14-54-commissie-ic590x.u33	Minister, with you, a summary is quite consistent.
ParlaMint-BE_2017-02-14-54-commissie-ic590x.u34	First of all, I think your Dutch is excellent too, Minister. Mr Minister, thank you for your answers, which are much more precise than the information we received in the press. I can only congratulate you on the initiative you have taken, because this is an important subject. Consumption patterns change due to digital change and by region. I come from a border area and I can observe the differences in consumer behaviour, whether in periods of sales or pre-balances. I am pleased that, together with your colleague Kris Peeters, you are considering concrete proposals with a view to taking into account the considerations expressed in this survey as best as possible. I'm looking forward to the continuation.
ParlaMint-BE_2017-02-14-54-commissie-ic590x.u35	Thank you, Minister, for your very comprehensive reply; this cannot be said of all ministers. I am glad that you have put what you already have on the table and that you have already partially analysed the reactions. Of course, the reactions do not surprise me at all. As a consumer I would also prefer to buy my winter clothes a month earlier with a serious discount than to have to wait until spring. That makes sense. In this way one could benefit even more from clothing that one should still buy for winter. Of course, if we were to be able to make purchases in December instead of January, this would be better. As a trader, I would, of course, also like the solders to be shifted until after winter. I do not know when you will expect the advice of the Supreme Court for the Self-employed and SMEs. Then you will consult with your colleague, Minister Peeters. Since opinions are going to advance and leave in the two directions, it may well be that the system is being kept as it is. I look forward to the advice and any changes to the solder periods. Can I also ask you to receive the documents with all the figures, because I have not been able to write down everything? Thanks for that.
ParlaMint-BE_2017-02-14-54-commissie-ic590x.u36	Mr. Secretary, the booking.com website provides a third of all bookings of a hotel room. Apparently, the Belgian hotel chains or hotel operators are not really satisfied with booking platforms such as booking.com and expeditia.com. What's the problem now? Hotels have to pay a substantial commission to them. The problem there is that the hotels themselves should not be allowed to apply a lower rate than the rates indicated on the booking sites. The Belgian hoteliers claim that they are held hostage by online providers and no longer master their prices. The odd thing is that both in France and Germany, prices can be lower than what booking.com actually prescribes. My questions on this matter are threefold. Firstly, Minister, are you aware of the complaints or disagreements that exist with regard to hoteliers? Secondly, do you take action? Thirdly, what measures would these be?
ParlaMint-BE_2017-02-14-54-commissie-ic590x.u37	Mr President, Minister, on 2 February, the three horeca federations in Belgium sent a letter to your cabinet asking for the end of the so-called "close parity" clause. This clause obliges hotel operators not to charge lower rates than those on the websites of the online reservation centres, including Booking.com, one of the largest players in the sector, is an emblematic example. This situation has a negative impact on workers in the sector. In particular, hoteliers depend on prices set on the internet. This situation is all the more penalising for hoteliers as they already pay these online platforms an important commission (up to 23%). The game of competition is thus biased. Germany, France and Italy have cancelled this clause. You confirmed receipt of the mail. You also indicated that you were waiting to see if Booking.com would adapt its terms and conditions. Otherwise, you talked about the possibility of legislating, like the Macron law in France. Minister, how did Booking.com react? Will the site adapt its terms and conditions? Have you contacted any other online booking sites? What is your intention to legislate? Is the government following you in this direction? Is a bill under development? If so, what would this law consist of? Can you give us some background?
