ParlaMint-NO_2012-10-11.ana.ud366e63	The representative Ivar Kristiansen, who has been licensed, has once again taken his seat.
ParlaMint-NO_2012-10-11.ana.ud366e259	I think the representative Ørsal Johansen drew what I said a little far in his conclusions. Nor is it the case that our government does not listen to what comes from the international community. On the contrary, it is – and I would say often in contrast to what the representative’s own party emphasizes – so that we place great emphasis on what comes from an international team. But then it is also important that we explain why we have the policy we have. We explain this, among other things: based on the practical reasons I have stated, while this is not about us not wanting to know which language is spoken, but that it is a question of how a person wants to use the statistics and whether it is possible to obtain good enough statistics that it can actually be used for something reasonable. What we've been very concerned about, at least, is that we both need to ensure the care of the mother tongue and the first language, that we need to make sure that students learn Norwegian well, that we take as a starting point what we know about, among other things. the importance of mastering the mother tongue, e.g. to have interpreting services available — it is also about planning — to have multilingual assistants in kindergartens that provide better services for children and make children feel safer and also learn Norwegian faster and make friends etc. So it is not least important that we have a good policy for minorities and for indigenous peoples in Norway, and there we have, as I mentioned, conducted surveys such as, among other things. The Ministry of Renewal, Administration and Church Affairs and also the Sameting have been behind it. It has given us some insight, and among other things. I think it's a pleasure to see a positive development among some of these language groups. But it is not easy to obtain these statistics, and at least you have to believe that it is so important that it defends a resource use at the other end. With the contribution made here by the representative Ørsal Johansen, I expect that the Progress Party in its alternative budget will promote the means to carry out such language mapping, and that the reasons for doing so will also be the correct use and prioritisation of resources. It is not that we are not interested, but I explained in detail what assessments we have taken when we have reached the conclusion we have made.
ParlaMint-NO_2012-10-11.ana.ud366e270	The interpellation that has traveled today is about some of the most important resources for our society. I think the Council's response was good, but I also think that the interpellation theme provides a basis for raising some perspectives, because the theme languages and minorities are important. I would therefore like to add something. We're not just going to live off the oil for the future, it's people who are the most important resource we have. Those with a minority background and those from other countries form an important part of Norway’s value creation. Statistics from the Central Bureau indicate that about 60 pst. of the new employees from 2004 to 2011 were immigrants, and from the fourth quarter of 2010 to the fourth quarter of 2011 immigrants stood for 70 pst. employment growth. The largest growth takes place in the private sector. This shows that there are clear links between growth and immigration. Immigration provides a basis for growth, in the sense that it meets the needs of labour created by growth. In Hedmark we want to be many more, 220,000 inhabitants in 2020 are the ambition. Without immigration, this objective becomes difficult to achieve. Several people create more activity, it provides a basis for growth, and figures from the Statistical Centre show that this is not least true for immigration. It is important, of course, that language should be given priority. Both to create good lives for those involved and to enable them to participate in the construction of society, good language training is essential. Now, like the Council of State, I'm a little bit uncertain about what such statistics are being asked for. But what any statistics would have done was, as the Council of State said, to show what enormous language resources exist around our country. We know well that having access to such language resources among us will be an advantage in a globalised world. We know that learning more languages from one is a small force for general language skills, while good language learning helps support the process of learning new languages. As I said, we have many linguistic resources in Norway, but some resources are scarcer than others. It is extremely important that debates on mother tongues, minority languages and Norwegian are not just about strengthening Norwegian education, but also about taking care of, preserving and strengthening other linguistic resources. In Hedmark we have a southern Sami settlement in Engerdal – in Elgang reinbeite district. We are therefore well aware of the importance of an active policy to preserve language and culture. Here it is essential that the state, county, municipality and community work well together to ensure the preservation of precisely this resource. We know today what needs are around, for example. the southern Sami environment in Engerdal. We know what is needed to ensure the further preservation of the language in the Sámi region. It is important that we continue to work systematically to take care of the important cultural and language environment that exists there. It is my wish that, in the future, we can see languages, immigration and minorities as resources in the work on population growth and growth, and that, to the best of our ability, we try to take care of and exploit these resources.
ParlaMint-NO_2012-10-11.ana.ud366e287	I want to thank Morten Ørsal Johansen for the interpellation, although I may not think it is the most central theme to discuss in Stortinget. We have three official languages in Norway: Sami, female and Norwegian. We have four minority languages related to the national minorities, and we have all the immigrant groups bringing their languages into the country. It is important to stress that Sami and female, but in particular Sami, are also the administrative languages of the Sami language areas. We in the committee have been around different municipalities that have Sami as official language. We have met kindergarten children who sing in Sami – and in female – and the important thing is that we really care that those who want to take advantage of the possibility of training in this mother tongue will have that opportunity. There's been a focus in the committee in recent years, and I think it's a proper focus. There are rather scarce resources in these areas, and then I don't see the point of starting a large-scale survey of the entire Norwegian population and what kind of language they really think is their native language. The most important thing is that those who want training in Sami — whether it is northern Sami, southern Sami or lulesamic — receive that training and that the training is good and adapted to the time we live in. That's why I don't see this as a big problem. I'm a little uncertain about when Ørsal Johansen spent so much time fulfilling Norway's international obligations, international conventions. I have in mind other debates in which we have discussed, among other things. The ILO Convention, where I have not felt that the Progress Party has been equally committed to fulfilling our international obligations. So I'm sorry, I don't really see the need for this, and I'm a little surprised that the Progress Party wants to spend x million dollars on a project that I don't see the full benefit of.
ParlaMint-NO_2012-10-11.ana.ud366e296	I almost don't know where to start. First to Lasse Juliussen: we are not criticized just once, but several times by international organizations, and I know that we have a Southern settlement in Engerdal. Then it's interesting to hear if the representative Julius knows how many people in Engerdal speak Southern Sami, and who have it as their mother tongue. I think the municipality of Engerdal had benefited from knowing that when they were planning language training for students at school. That's what's the whole point here, and that's why we want such a statistic. That Trond Helleland has been around the country, and especially in North Norway, and met kids singing in Sami – yes, that's great. He also wants those who want training to get it. Yes, so does the Advance Party, but it requires planning. It requires municipalities to say little in advance about who speaks the language and who needs to be trained so that they can plan for the future. It actually saves on resources. That's what they do in Finland. They use this to plan the future training for school students. That Norway should not do that, I think it's amazing. The representative of Greece was in the ILO Convention, that we are not so concerned about following it. Well, we're dedicated to following the obligations that lie there, but we believe we're going out of the ILO. It is a completely different matter, because we have concluded the ILO Convention on a completely wrong basis – without taking that discussion now. But the point is that we can have statistics available, and that it's easy to have them available. Other countries have, there is not much use of resources with it, and they see a great benefit in doing so because of social planning. I think that Norway should not be interested in planning for the future. And I thought that the representative of Greece, who comes from a party that is reasonably concerned with resource use and economics, was more interested in the fact that the municipalities were given the opportunity to plan in a good way, so that they could save resources on it. But I thank you for the small part of the debate that has been. The Progress Party still believes that this is interesting. Of course, we will come back with more suggestions. Of course, if the Council of State so wishes, she will have the background material we have, not least from Finland, to see how they do it there. It may help the Council of State to review this, if appropriate, and to see if there are possibilities to keep such statistics in Norway as well.
ParlaMint-NO_2012-10-11.ana.ud366e311	I want to underline some things that I think are important. One is that multilingualism is a resource. It is necessary to facilitate the pride of learning more languages, to facilitate the ability to master more languages – when you have a different native language, a different first language – and, not least, to facilitate children and young people who grow up with a Sami background, to feel pride in being a commoner and having a cultural background with deep traditions. This should be linked to pride, but still today we see the intensity of discrimination. Of course, it's made an impression on all of us, the story of the cohabitants who were attacked. I just want to mention it since we have the Sami theme here. It was a very serious matter and shows the need for us to continue to work systematically at all levels of discrimination – combating it and promoting equality and equality in our society. We should not take it for granted that kind of attitudes are passé. Unfortunately, this is still confirmed in settings in Norway. I also need to mention meetings with immigrant youth, who are Norwegian, first-generation nords, but with parents from other countries, who tell how they have always thought of it as a disadvantage to be bilingual – to have a leg in two different cultures – rather than to think of it as a resource. It's also a little bit important that we reflect around, if we want to create a society that's inclusive of everyone. I think it is important then to be clear on the resource as it is, that more and more people in our country master more languages. It provides opportunities for business. It provides a completely different opportunity for international contact, and it also provides opportunities to be interpretative resources for other newcomers, etc. It's a great potential that lies within it. Perhaps the most important thing is to discuss how we can facilitate the spread of pride over discriminatory attitudes, suspicions, that initially it seems to be a disadvantage and simply focuses on the disadvantages associated with being multicultural. I could say a lot about it in a discussion with the Progress Party, but I'm leaving it now. I still think it is worth noting the words that come from the representative of Greece related to the international commitment and the importance of following up, among other things. such a central convention as the ILO Convention.
ParlaMint-NO_2012-10-11.ana.ud366e322	The debate on substance is closed. So 3 is over.
ParlaMint-NO_2012-10-11.ana.ud366e338	In February 2012, the Ministry of Renewal, Administrative and Church Affairs received the assessments and recommendations of the Competition Authority relating to the prohibition of a bonus programme in domestic aviation. This was first adopted by the Bondevik II Government and the State Council Victor Norman in 2002. It was then repeated by the Stoltenberg II government in 2007, but now it is again a consultation process around the same issues. We know that in July this year ESA sent letters to the government and suggested as a preliminary conclusion that the ban could be contrary to the EEA Agreement. The case has been in consultation until 16 May. Now it's almost six months, and I have reason to believe that the decision-making process is approaching. The main tasks of the Competition Surveillance Authority are to enforce the Competition Act. It prohibits cooperation which restricts competition and abuse of a dominant position. I want to start the interpellation by boasting a bit of both SAS and Norwegian, which in the last ten years has led to a significant, well-functioning aviation market in Norway, characterised by good regular services, reasonably good competition, significantly lower prices and high stability. There are fewer angry air passengers now, and to the extent that passengers are angry, it's because of the air traffic controllers and not the companies. It's a huge improvement, because the North is a flying people. Aeroplanes are very important for business traffic in Norway, it is important for travel life, and it is important for a long-term country to have routes that provide regular, stable connections to the country. The proposal of the Competition Authority involves opening up what they consider to be a robust air market between Stavanger-Oslo, Bergen-Oslo, Trondheim-Oslo tur-return. What has been one of my main criticisms about the proposal, and I hope that the Council of State has noticed, when she is about to make the regulation, is that the Competition Authority does not mention two side-effects that have a competitive impact, and that are also within the field of the Competition Authority. One concerns competition between airports in Norway, because there are actually award points for airports. Those airports which are currently the best are further enhanced by State intervention at the expense of all other airports in Norway, whether it be a regular airport or the others. The consultation process has revealed that the nearest aerodromes — e.g.: Rygge, Torp, who is not only privately owned, but also made to be a competitor of the Gardermo – has fallen away. For example, the nearest airports to Flesland are: Stord and Haugesund. The nearest airports to Stavanger Airport are Haugesund and Kjevik in Kristiansand, while Flesland may not have so many close neighbours north of it, compared to the main road network. This means that many in the consultation process have wanted to be added to the exemption or bonus list. But the more exceptions or additions you add, the worse it will be for those who are not on the list, especially the North West, the entire North Norway and perhaps the South. The second critical moment that I believe the Competition Authority has ignored, but which has also been in part of the debates, is that the course and conference market in District Norway will lose even more, because conferences and events will be even more placed near the major airports, close to the large hotels being built up. At that time, prices will be higher, the routes will be worse for the other regions – in North Norway, in the North West and in the West – than they are at the major airports. Employees will earn award credits to attend conferences, and therefore employees will be more positive that those who organise conferences for businesses will arrange them where they will receive award credits that they can travel to. It's not necessarily the same thing. Competition surveillance reveals that the number of competition routes in Norway since the introduction of the bonus ban in 2002 has increased from four routes in 2002 to 23 routes in 2010. In addition, we must remember that there has been a huge increase in charter traffic and routes out of Norway. The supervisory report shows that the average prices of air travel have fallen significantly. The Transport Economic Institute has presented an analysis showing that competition on a route led to about 17 pst. lower average prices from 2003 to 2011. It is interesting to see which routes and which type of passengers will benefit from it. Is it you and me when we travel on a private trip, or is it when others pay the flights? Business travellers have paid 21 pst. lower ticket price, while household customers have had a reduction of 6 pst. Business travelers between North and South Norway today pay 40 pst. less than in 2003. It is important for business throughout Norway. The most interesting statistics come from the Central Statistical Office, which shows a sharp price reduction immediately after the decision of the Right in 2002, when prices fell. Like me, the Ministry of Finance has said the following: ‘The Ministry of Finance will stress that the bonus programme provides for weaker competition between established companies, increased prices, reduced route offers, increased barriers to the creation of new airlines and may affect competition in neighbouring markets.’ The impact on competition between airports has not been discussed in the Competition Authority’s report. This has been criticised by both the Ministry of Transport and the Ministry of Finance, as well as by a whole bunch of hearing bodies. I therefore assume that the government will take the initiative to do this before changing the regulation, if you want to change the regulation. In my view, a bonus program will reduce the customer's motivation to search the market for alternatives. Comparing the alternatives is more difficult; it is not easy to take the earned award credits from one airline to another; the loyalty programmes increase the cost of switching airlines and reduce the customer's price sensitivity, with the effect that customers are more likely to accept higher prices, more delays, reduced service and more cancellations from ‘sit’ airlines without necessarily using it by choosing a new airline in the next round. In addition, we know that the bonus programs cost money. What costs money, of course, needs to be reflected in the prices. The incentive problem involves a not insignificant waste of resources. It has been important for the Right and others who want to reduce government travel budgets in order to save money, to help ensure that the extra costs of business by being established in Norway do not increase further. Think of what it would mean for the state that is a major consumer of air travel. If, for example, a bonus ban: Includes 5 pst. increase in prices, just to take a cautious increase, perhaps the figures in the Ministry of Finance can calculate that there is a need for an increase in the operational budgets in the departments. The Consumer Council believes that the usual consumer who pays for his flight and who travels on average between one and five times a year will receive minimal benefits. The usual consumer will not take advantage, but will in practice pay for the schemes in the form of increased prices and fewer routes, because the companies of course prioritise business traffic, which is the most profitable and stable – and not least: they travel on behalf of others, and then it is good to have high-price tickets, flexible tickets that give the highest award points. The Competition Authority itself states that the aviation bonus programme has anti-competitive effects. Furthermore, competition supervision believes that bonus programmes can create barriers to the creation of new players, just as we did after the ban came, so the introduction of Norwegian and a revolution in prices. It may well be that on some of the routes on which the Competition Authority now wants to open up traffic, there are precisely those on which it is possible to find room for new players, but which will in practice be locked between the major cities. So also for the big cities there can be higher prices than you can assume, because it gets worse to establish on those routes as well. My recommendation to the government is to think of Norwegian consumers, Norwegian travel industry, non-discrimination between airports and competition in the market, and to keep the success of the ban on air travel not only in the decision to be made by the Council of State around a new regulation, but also in the dialogue that is now to be conducted with ESA.
ParlaMint-NO_2012-10-11.ana.ud366e381	Thank you for the initiative taken by the representative Kambe on a debate on the ban on award credits on domestic air routes. As the representative said, it was introduced for the first time in 2002. The Competition Authority prohibited SAS/Braathens from having such arrangements. This prohibition, together with other measures, contributed to the establishment of Norwegian in the Norwegian domestic market. The duration of the SAS/Braathens bonus system intervention was five years. When the ban expired in 2007, Norwegian had established itself with a solid market share on the domestic market. However, the Ministry found it necessary to continue a ban on domestic bonus earnings. This prohibition was generally applicable to all airlines, not only to SAS. The prohibition was justified by the fact that the awarding of bonuses binds customers to individual companies, so that they less consider alternative operators when ordering travel. This makes it more difficult to establish itself on the Norwegian market and reduces competition between airlines. The regulation does not have an expiry date. However, the supervision of competition has carried out an assessment of whether the prohibition should be continued, repealed or, where appropriate, extended. The ministry received the supervisory review in February this year. The investigation was carried out at the mid-May hearing. The hearing bodies were both in favour of and against lifting the ban on award credits for domestic aviation. Norwegian, consumer authorities and others argued that the ban should be extended in its entirety. SAS, LO, the Association of Lawyers and others believed that the ban should be lifted. Some pointed to issues that the Competition Authority had not particularly affected in its investigation. This was the case, on which the representative Kambe has been involved, the airport problem and relations with some other economic areas such as the course and conference market. I now have the matter to assess. It is useful to get opinions on these questions here in this interpellant debate. Of course, I'm not going to conclude here and now. The Ministry’s decision will be exchange-sensitive. However, we can discuss points and considerations that speak for and against a continued ban. Competition supervision refers to theoretical assessments made in Norway and internationally. These speak for the competitive effect of bonus making. Customers are more tied up to the airline where they have a bonus card. The strength of this effect depends on the design of the bonus system. Specific thresholds where additional benefits are obtained will, for example: bind customers to the company in question more strongly than a flat bonus earner. Silver and gold cards in the EuroBonus system for SAS are an example of bonus schemes with such thresholds. In the case of business trips, the competitive effects may be enhanced if the employee enjoys a high degree of freedom in ordering air tickets, retaining earned award credits on work trips for his own use, and that the employer lacks systems that contribute to the employee’s ordering out of the employer’s interests over his own. Competition supervision places great emphasis on what can happen in the supervision term ‘diluted routes’. It's routes with a small traffic base. The lifting of such routes may create particular competition problems between SAS and Norwegian. The company with the least favourable bonus programme could lose business customers to the other company. On marginally profitable routes, this may result in a restriction of the offer, possibly withdrawing one of the companies from the route. On the other hand, the Norwegian domestic market has changed significantly since 2002 and since 2007. Norwegian has had a strong growth and is now almost as large as SAS domestically. Due to lower flight prices, the value of a bonus trip is significantly lower than before. Many employers have, since the adoption of the ban, put in place ordering systems that reduce the ability of employees to have their private interest in earning award credits decide which company to choose. No other country has a ban on bonus earnings. The supervision has carried out empirical studies to identify the competitive effects of bonus systems. The studies have not provided any clear answers. This may be due to the fact that data and method problems do not allow such effects to be identified. But it can also be because the effects are not so big. There is considerable uncertainty as to the strength of the anti-competitive effects of awarding. What we need to assess is whether the effects are strong enough to defend a continued ban. The Competition Authority concluded that the prohibition of bonus earnings should be maintained, but that bonus earnings can be opened on the three main routes, between Gardermoen and Bergen, Trondheim and Stavanger respectively. Questions have been raised about this affecting competition between aerodromes. The representative of Storting Arve Kambe believes that the proposal of the Competition Authority may have implications for competition between airports other than those in the East. I'm aware of that. The Ministry therefore asked in the letter of consultation for views as to whether the recommendations of the Competition Authority affect competition between airports in general and in the east. I wanted to understand the situation in the East because the situation here is different. Here is competition between an Avinor-Eid airport and two private airports. For other aerodromes in the country, a possible influence between two or more Avinor-Eide aerodromes may be applicable. The consultation round showed that these are issues that affect and engage many. I therefore asked the Competition Authority to carry out an additional investigation to clarify these questions. We got it on August 31st. Bonus programs work differently in the leisure segment and business segment. Business travelers travel the most. In the business segment, the employer covers travel expenses while the benefits of a bonus programme often belong to the employee. In the leisure segment, the individual travels less and has to cover his or her travel expenses. Therefore, the effect of the bonus programme applies primarily to the business segment. The Competition Authority finds that the competition between Gardermoen and the other airports in the Oslo region is marginal for travellers in the business segment. Similarly, supervision finds a small competition between airports in the West. Competition surveillance concludes that allowing bonus programmes for the three main routes would not distort competition for airports in the Oslo region or in the West. The routes to and from these smaller airports are largely thin routes. Competition supervision considers that the performance of bonuses at these aerodromes may have the same effect as for other thin routes. It poses a risk of fewer departures and closed routes from these aerodromes. The Competition Authority believes that this effect will be stronger than that which occurs if only the three routes from Gardermoen to Bergen, Trondheim and Stavanger are allowed to earn bonuses. The Competition Authority considers that the issue of awarding will not affect the assessment by airlines of the aerodrome at which they intend to operate. I have not concluded whether or not the bonus generation ban should be continued. I agree with the representative of Kambe that the issue of introducing a partial ban is an important issue, also for competition between airports. I therefore carefully assess whether the solution proposed by the Competition Authority is appropriate. If the ban is removed in its entirety, these issues are eliminated. The prohibition on the award of bonus programmes in domestic aviation is laid down in a regulation in which the regulatory competence has been conferred on the ministry. However, I am pleased that the representative Kambe has made it possible to get a recording and discuss the matter with the staging representatives before the government concludes. I look forward to the recordings that come here in the debate.
ParlaMint-NO_2012-10-11.ana.ud366e436	Thank you very much for a good answer. I understand that the Council of State has not entirely decided – it is right before. That is why I think it is good that the Council of State has now postponed the consultation period to respond to ESA until 18 October after what I understand, a week after the interpellation debate in Stortinget. It testifies to good respect for the Storting, I think, to the extent that the interpellation debate has had an impact on the Council's request for a postponement. I have experienced in other interviews that the Councils have sent out press releases or had a press conference the day before the interpellation debate. We now see a Council of States that seems sincere – it seems – is interested in hearing the opinions of the Storting and the various parties. That's very good. With regard to the airport problem, which I believe is a significant weakness in the consultation proposal, I am not reassured when I hear that the Competition Authority has had some sort of pause after the hearing opinions based on the report, when they conclude that their conclusions were the right ones. Things may suggest that there were others who would pass that assessment, because it may not have been a bomb that the Competition Authority agreed with the Competition Authority. At least none of the hearing bodies — none of the hearing bodies — support the model that comes from the Competition Surveillance Authority, nor SAS. That being said, I feel that this is a real decision-making process. I see that the Council of State sees that it is not just Rygge and Torp that have problems, even if the Competition Authority rejects it. I find it interesting to hear what Torp and Rygge say, what the Consumer Council says, what the municipalities, the county councils, the business organisations and the travel organisations say, and not only there, but also in the North West and also in the case of Haugesund airport and Stord Lufthamn, because the exact same arguments apply there. Norwegian tourism is genuinely concerned, and together with destinations, the NHO Travel Life has protested against this from a to a north to south along the coast. There is a saying in the United States that says, ‘If it ain’t broken, don’t fix it.’ This may be a very good example of it — a system that works great. Why, then, should one change such a scheme in all days? It's going to be interesting to hear in the further debate what the other parties are saying about this, because this is an interesting debate that has social significance. The Ministry of Finance has criticised the Competition Authority’s investigation in order not to assess the socio-economic impact. It's also interesting to get along with it.
ParlaMint-NO_2012-10-11.ana.ud366e447	I am pleased that the representative, Mr Kambe, has noticed that we have requested a deadline for ESA, precisely because I think it was right that we should bring this debate first. The interpellation of the representative, Mr. Kambe, was taken before the holiday. For practical reasons both here in the house and in others, it was not possible to carry out this debate at a time before the Stortinget broke up. I think it was right that we had the opportunity to get opinions in the main hall before the government concludes on a matter that I have also recorded that there are many who have views both in one direction and the other. As Mr. Kambe says, there are several aspects that must be included in the overall assessment that the government is going to make when we make our decision. The input of the Competition Authority is an important argument there, but also all the consultation input that comes will be important when the government makes its decision. We asked for an additional investigation into the competitive situation between airports from the Competition Authority – especially in the case of Rygge and Torp, but also related to issues such as: at Haugesund Airport. Competitive supervision has its methods that they use when making these types of calculations. The Transport Economics Institute has been used to look at travel habits and population data. Traffic data from Avinor has been used, and the conclusion is reached, but when a final decision is taken on such a matter, there will be far more than just the input of the Competition Authority on which it will be based. I also want to remind you that the situation is somewhat different in aviation now than it was in 2002 and 2007. It's not just in Norway that we have experienced a price drop on air travel, but it's only in Norway that we have a bonus ban. I'm not going to draw those comparisons too clearly. Norwegian has also established itself with a loyalty program. There is something different from the EuroBonus programme that SAS has, but it is also a factor that needs to be emphasised in the further debate and in the decision to be taken where programmes exist. I also believe that many employers now have schemes to ensure that employers manage travel orders to a greater extent than before, and that employers are involved in purchasing air travel where it is the cheapest and most appropriate, and not so much related to the loyalty programmes. The threshold values of the loyalty programmes may also be reached without the use of aeroplanes. You can buy into those programs in a different way than before.
ParlaMint-NO_2012-10-11.ana.ud366e460	It is commendable that there is an inter-pelling debate about competition in the Stortinget. Competition may be something we in Stortinget discuss too little. In this sense, it's very important. What is our approach to this matter, of course, is that we have to do what serves the Norwegian market and Norwegian consumers in the long term. I guess that's an important entry. And then, in the competition segment, you are sometimes put in a situation where you might let national romanticism control a little of the conclusions you make, and so on, creates a special system within the competitive segment that is adapted to the national image. The government has done this, for example: as regards the percentage duty on certain agricultural products, and I hear that the representative Kambe argues quite well to do something similar in the aviation sector. It is necessary to take into account the considerations of Kambe's interpellation with regard to travel, business, etc. How will this work out over time? I will admit that I have not – like the Council of State, which I believe has a good approach to a difficult issue – concluded either. I have probably been a little bit to lift the ban, and I have been a little opposed to lifting the ban, and now I am in a dubious phase. As you can see, this discussion is very good. But there is no doubt that what we might choose to do, if we maintain the ban, is to prevent competition and the competitive elements of the aviation market. That's one ratio. The other relationship, which I think we can agree on in such an interpellation debate, is that the mechanism, which is curious, will over time make the Norwegian market more difficult to conquer for a greater competitive surface from the outside world. You get a little more tighter competition by maintaining the ban. That, of course, makes it hard to think forward in time. I am concerned that we get a good and long-term solution to the matter, and then there is one conclusion that I think I have drawn, for my part – without perhaps having to express too much what the Council of State might have to do in this matter: having partial prohibition as a system will be a bad system, I think. That's where I'm aligned with what Kambe's pulling up. I think we need to have an overall approach to this matter. Either we have to choose to maintain the ban, or we have to cancel it and make sure that those who compete can compete with the elements that it is natural to compete with in the rest of the aviation market. That's where we stand. I think the debate is important and thank the interpellant for having traveled it.
ParlaMint-NO_2012-10-11.ana.ud366e477	As a representative from a state that can be severely affected by the possible lifting of the bonus ban, I would like to thank the representative Arve Kambe for bringing the matter up for debate. I have been reminded how the flight offer worked to and from Vigra Ålesund Airport and the other airports in the county, before Right Victor Norman introduced a regulation prohibiting the bonus program in domestic aviation in 2002, when Right was in government. We lived with sky-high prices, few departures and staggering planes with waiting lists. This was a huge problem for an internationally oriented business and for most people in More and Romesdal. The alternative was to shake through the night, down through the Gudbrand valley to Oslo, on the so-called night bus, as it went both two and three off for the night. Today we have two airlines offering domestic scheduled flights to and from Vigra Ålesund airport. We have SAS and Norwegian. Despite the fact that much can still be better, we now have more departures, and the prices are to live with. It is therefore very alarming that the government is at all considering removing the ban on award credits, which was essential for us today to have two airlines at Vigra that operate domestic services. There is no doubt that the ban imposed by Right Victor Norman has led to more competition, increased offers, better quality and lower prices for air passengers – not only in More and Romesdal, but also other places in our long-term country. The Norwegian management has stated correctly that without the bonus ban, the company had not been established or further developed into what it is today. For the business community in Sunnmaere and the rest of the county, this development has had an enormous impact. If the government takes steps to remove the ban on award credits, it means, without a doubt, poorer solutions for people, businesses in general and travel. According to the hearing opinions, both the NHO and the NHO Travel Life are clear opponents of changing today’s system. They refer in their opinions to the strong competition for today’s course and conference guests throughout Norway. There are small margins and high price sensitivity, and therefore it is important for several routes, with good route connections. They also indicate that the North-West and North-Norway in particular will be the losers in the fight against the big cities. On the right, consumers, businesses and the public sector will ensure good quality with low prices, good offers and good competition in the aviation market. I believe that the best way to do this is to keep the legislation in force today, a legislation that has worked well well on the way – not only for the big cities, but also for the people and businesses of District Norway. Should the government join in the proposal of the Competition Authority to reintroduce award points on the three routes between Oslo Airport Gardermoen and Trondheim, Bergen and Stavanger, I fear that this will result in further strengthening of the four airports that are currently the best today, at the expense of smaller airports, for example. Vigra at Ålesund. For the county's export-oriented business, the travel industry and for most people this could have dramatic consequences. Then we no longer talk about using the whole country. Then, on the contrary, it's about shutting down business engines in District Norway. I want to add, since I have time, that when I was in the County Committee in More and Romesdal, we sent letters by letter to the then airline Braathens, and asked them nicely to set up additional routes, because the business didn't have access to routes. We had, as I said, the night buses, with which they had to drive. It's not to live with at all. I sincerely hope that the Council of State will think very carefully before she does anything with the offer that we have now managed to renovate in the export-oriented business community of More and Romsdal. We know how values are created, and we know how fast it is to rage what has taken years to build up.
ParlaMint-NO_2012-10-11.ana.ud366e503	The establishment of the carrier Norwegian took place immediately after the government introduced a ban on domestic aviation bonus programmes in 2002. The reason for the prohibition was that the bonus scheme prevented competition. The result of this ban we see today: Norwegian is established as a large company in Norway and Europe, and flight prices have fallen. Most people, with a regular wallet, can travel by plane, and in North Norway, where I come from, this has given very good results. Flight prices have been significantly reduced, and the route offer has improved considerably. The situation today is different in that we have two competing companies on most of the tribal routes. However, the Competition Authority report, which is intended to address the issue of reintroduction, strongly warns against doing so. The scheme can contribute to the weakening of competition, it can contribute to the deterioration of route provision, and it can contribute to the return of ticket prices. I allow myself to quote a little from the report about exactly this: ‘The Authority considers that on the small and medium-sized routes there is a risk of significant deterioration in competition. Even on several of the major domestic routes, some companies have relatively few departures with limited opportunities to reduce the number of departures while maintaining a satisfactory offer. If a company withdraws entirely from a section, the bonus programmes will increase the establishment barrier and make it difficult for that company or other company to re-enter the section.» And that's exactly what I want to encourage the Council of States to pay particular attention to, because that's the long-term effects of reintroducing the system we have to be concerned about -- the long-term effects for the whole country. The Competition Authority has opened up that the bonus scheme can be reintroduced on a few routes, the most trafficked, from Oslo to Bergen, Trondheim and Stavanger respectively. I would say that is the worst solution. It will only increase competition and traffic on these few routes. The other grid will, of course, be a balancing item, and it could also have effects on other industries, not least the tourism industry and the course and conference market, which will be even stronger than today against the larger cities at the expense of the rest of the country. I also notice that the NHO Travel Life in its hearing opinion is opposed to the reintroduction of the bonus scheme. My recommendation to the Council of State – and that is, of course, marked by my stand in North Norway – is therefore that we should not reintroduce the scheme. The long-term effects could lead to a weakening of the air supply. Nevertheless, the reintroduction of the scheme must take place throughout the country. Introducing it on just a few distances will be the worst solution.
ParlaMint-NO_2012-10-11.ana.ud366e523	The ban on bonus ignition on domestic air routes, together with other measures, has contributed to a major change in the domestic air supply. The change is of a positive nature for travellers, with more routes and lower prices. As a matter of fact, everyone has had a share in that bonus. Internal aviation is an important trajectory for the transport of both goods and people and is involved in bringing the country closer together. If we are to achieve the objective of establishing and diversifying business across the country, air communications must also be good. The centre party is very busy that we are also going to secure a real competition in aviation and a good deal also on the so-called thin routes. We are therefore very concerned that the assessments that are made must be thorough, so that we do not make any changes that would compromise the route offer, which may result in fewer routes and higher prices. The Competition Authority has therefore concluded that the ban on bonus ignition should be maintained, but that it can be opened for bonus ignition on the three main routes between Gardermoen and Bergen, Trondheim and Stavanger respectively. The Competition Authority concludes that the granting of bonus programmes on the three main routes will not distort competition for aviation in the Oslo region or in the West. Routes to and from smaller airports in the West are largely thin routes. The centre party has noticed that the Competition Authority believes that bonus ignition at these airports can have the same effect as for other thin routes. It poses a risk of fewer departures and route closures at these aerodromes. The Competition Authority believes that this effect will be stronger than the one that occurs if only the three routes from Gardermoen to Bergen, Trondheim and Stavanger are allowed to ignite the bonus. This gives reason to be on the watch for the effects you get with the ban. Even with the suspension of the ban on only a few selected routes, this could have negative consequences for route provision in District Norway. The Central Party therefore welcomes the fact that the Council of State will go thoroughly through the solutions proposed by the Competition Authority and see their purpose. The centre party is coming forward to work strongly to secure an aircraft structure and a route offering that ensures a good transport offer throughout the country. We are therefore concerned that any suspension should not compromise the route provision at the other aerodromes. I would otherwise like to thank you for a good tone in the debate. I was part of the throne debate, and I felt that any shields and restrictions from the right-hand side were very harmful. Here we have a good tone in relation to the fact that there is also a need to regulate competition.
