ParlaMint-BE_2019-01-17-54-plenair-ip266x.u1	The meeting is open. The meeting was opened.
ParlaMint-BE_2019-01-17-54-plenair-ip266x.u12	Mr President, ladies and gentlemen, Mr Prime Minister, the resurrection, the resurrection of Theresa May, is indeed a fact, but despite the fact that the sword of Damocles, the Brexit, is hanging over our heads. Of course, we would have preferred not to see Brexit, that is clear. Rather we had chosen another way, or at least a trade-friendly Brexit, where a longer transition was possible. Until now, this hard Brexit is not a fact, but after the vote earlier this week in the British Parliament where the trade agreement was voted down, we must prepare for the worst. There's no other way. We must make sure that we are ready, because in the case of a hard Brexit there will be no transitional arrangement, no backstop, and then international relations will simply disappear from 29 March. The United Kingdom is no more than a third country. It's an island; it won't drift away, it'll stay there. For Belgium and especially for Flanders, the United Kingdom is also an important trading partner. Mr Prime Minister, in view of this Brexit, I would like to put forward three priorities. In the first instance, we will look with great interest at the federal Brexit Act, an emergency law that you will submit. This law is needed for several cases that have already been listed, such as customs control, the Federal Food Chain Safety Agency, the right of residence and work cards. Basically, every Brit here is a migrant. Secondly, the Brexit is a priority not only for the government but also for Parliament. Ladies and gentlemen, I am addressing you. In our opinion, the full Parliament is best involved in the discussion of this Brexit Act. That is why we are proposing a Brexit week, a period during which all the departments involved in the committee meetings will carefully examine the measures to be taken. It is a complex straitjacket with a lot of rules and applications. Finally, the Brexit must be given all priority because the Länder must and must remain involved, which is an absolute must for us. Many initiatives have already been taken at Flemish level. Mr President-in-Office of the Council, to what extent do you wish to involve Parliament with the committees in the discussion of your announced large-scale Brexit Act?
ParlaMint-BE_2019-01-17-54-plenair-ip266x.u13	Mr President, ladies and gentlemen, the Brexit is indeed the choice of the British people, who made it more than two years ago. I do not need to remind you that we regret the choice of the UK. We want to do everything in our power to ensure a strong relationship in the future with the UK, which must remain a strong partner for us. In November 2018, we, the 27 Member States, reached an agreement with the UK Prime Minister on the first phase. In the case of this first phase, this withdrawal agreement was discussed in November. The British Parliament, two days ago, expressed its rejection of this withdrawal agreement. Through this message, the British Parliament says what it does not want but does not say what it wants. This is probably the reason why the Prime Minister has taken the initiative to engage, at this very moment, in discussions with the various parliamentary groups in an attempt to clarify the British position. Secondly, I confirm that, in November and December 2018, we, the 27 European Member States, decided, just like Theresa May, that the agreement reached is the best possible agreement. That is an important point and an important signal. This means that, in our view and in my view, it is not the responsibility of the 27 European countries to pay a political price for political difficulties in the UK on the back of our citizens and our businesses. This means, therefore, that in the coming days there will be several theoretical possibilities in Britain. The ball is first in the camp of Great Britain. This may be the activation of Article 50, the early elections, a referendum mentioned by some in Britain. We'll see about it. Still it is that even if a hard Brexit can still be avoided, which is of course our preference, it remains that we must prepare. We haven't waited the last few days to do it. It has been months since we started the work discreetly because we did not want to disrupt the negotiations led by Michel Barnier. It is certain that if with drums and trumpets we had announced preparations, we would have rightly been criticized. This would have shown that we did not believe in the success of these negotiations on this first phase and on the withdrawal agreement. I would like to try to be as concrete as possible in this respect. Is it a difficult situation now that the Belgian government is in current business? Yeah, that's definitely the case. Those who have chosen to do so must also accept the consequences and the invoice in the current difficult circumstances. There are indeed jobs and investments at risk and serious difficulties are coming to us, both for SMEs and for large companies, including a lot of administrative burdens. That is the reality today. That is why we must remain alert and work hard today. As a result, the decision was immediately made, within the framework of the Select Ministerial Committee, to propose legislation to the government this Friday, hoping to bring it to Parliament. This text has long been prepared by our experts and provides for adaptations of our regulations on the various very concrete subjects. I give some examples. It is a technical, detailed and important text. Let me give you a few examples. Firstly, the text deals with citizens' rights. Everyone understands that the Brexit for families, people here in Belgium and Europe as well as in the United Kingdom, is a new situation. The UK is becoming a third country and that is another legal situation. It is therefore essential to adapt our regulations to determine provisional periods, within a framework of maximum reciprocity, in order to ensure that rights that would be given to British citizens here are also granted to Belgian or European citizens in Great Britain. It is therefore a question of citizens' rights. Secondly, the importance of our companies. We have worked hard, not only in recent days but also in recent months. In the context of the summer agreements, for example, we have already taken the basic budgetary decision to recruit additional staff for customs and the food agency. We have decided to reform the way in which customs work to try, in case of hard Brexit, to facilitate the lives of businesses to the maximum, or rather to reduce the difficulties that will be facing them tomorrow. To this end, we would like to organise maximum communication with small, medium and large enterprises so that they can prepare themselves. With the Employment FPS and the Minister, we are working on the macro-economic impacts and the consequences in terms of social inspection I take another example: employment contracts. These are governed by rules. Today we belong to the customs union, to the internal market. These contracts will be affected by the potential impact of this situation. Companies that work daily through parent companies or subsidiaries will be impacted. They will wonder how they will now be treated legally. Here too, answers must be given. Another example concerns climate and energy policy, given the interconnection with the UK for the sake of security of supply. In the last few weeks and months, we have realised important investments in this area. Take, for example, the Nemo project. We need to adapt our legislation so that we can legally guarantee continuity and limit as much as possible the collateral effects. As some have mentioned, food security is also a very important element. Many agri-food companies are directly involved in Britain and Belgium. More inspectors will be required, probably 300 more employees according to the analyses carried out, in the same way as we proposed to increase customs staff for food security at the Employment FPS. Perhaps this will also be necessary for the police because of the checks that will have to be carried out. As you can see, there are a lot of issues that need to engage us. We count on Parliament's responsibility, given the political situation, to ensure that these pieces of legislation can be debated and voted on as soon as possible. This will give a maximum signal of stability on this subject. One final important point at European level is the European budget. I remember the fascinating discussions that have taken place over the last few months on the financial future of the European Union. Concrete responses to this challenge are a signal of the credibility of the European Union. In this regard, we have been mobilizing with the ministers concerned for many months on two points in particular. Firstly, the Commission's budget proposals aim to reduce our financing capacity in relation to customs duties. We plead for the maintenance of the 20% rule for customs duties. It's very important to us. The battle is not won but a fortiori, with the impacts of Brexit, there are additional arguments to fight politically. Secondly, we believe that the countries and regions most affected by Brexit must be able, tomorrow or the day after tomorrow, to benefit from European solidarity through the Globalisation Fund or the Cohesion Fund. There are points in this area that we need to discuss. Finally, I want to be clear. We will remain vigilant, we will accept our responsibility, even now that the government is in current affairs after a choice that has put us, businesses and citizens in a more difficult situation. But the Länder also have an important responsibility in this respect. The division of powers in our country means that the Länder must also be ready. That is why I asked the Länder in the Conciliation Committee to play their part. I intend to organise a new meeting of the Consultative Committee as soon as possible, hopefully in the course of next week, in order to ensure that the Länder not only make speeches, but also take action and take concrete decisions.
ParlaMint-BE_2019-01-17-54-plenair-ip266x.u14	Prime Minister, thank you for your answer. My group will obviously be constructive when it comes to defending Belgian and European interests. We will therefore pay close attention to the texts that you will be submitting very soon. As you said, Brexit is not our choice. However, it is only if Europe questions itself in depth, in particular through a genuine social policy of recovery and the fight against dumping, that no other Brexit will happen. It is not a question of declaring war on Britain, as a result of its sovereign choice. Nor is it a matter of granting him privileges. This would create an extremely attractive dangerous precedent for all those who would like a European project for the best but never for solidarity or to guarantee our common values. If, like the statements made by Michel Barnier, you think that a Brexit soft would be the best solution, perhaps you could proactively contact your British colleague to tell him that if she deviated from that line she called "red", Europe could perhaps reconsider her positions.
ParlaMint-BE_2019-01-17-54-plenair-ip266x.u15	Thank you, Prime Minister, for your reply. I think it's a good idea for the government to take matters into its hands. I am thinking, among other things, of the recruitment of customs officers and additional auditors for the BFSA. It is important, for example, that progress is made for the port of Zeebrugge and that controls are possible. Of course, we all have to take responsibility. You must do that with your government, we must do that with Parliament, and so must the Länder. We must all do this together in the general interest. We must secure our future and our prosperity. In addition, it is important that we can act decisively. I heard Mr Luykx's proposal to organise a Brexit week here, but we've had so many Brexit weeks here. At the moment when there is a hard Brexit, we need to be able to act quickly, in the interests of our country and our companies, so that we can ensure our competitiveness. I hope our government will.
ParlaMint-BE_2019-01-17-54-plenair-ip266x.u16	Thank you, Prime Minister, for your reply. My group has every confidence in your government. It will do what it can to help our companies so that they can continue trading with the United Kingdom. We cannot influence the decisions of the British Parliament and the British Government, but your government can take measures to enable our companies to continue trading. Moreover, I am very pleased that today we have a government in current affairs and a Parliament that can fully function. If some people in the hemisphere had had their way, Parliament would have been dissolved today for early elections. It would have been even harder for the government to take measures for our companies. Prime Minister, you take responsibility with your ministers and the three parties and you show responsibility, unlike other parties. I trust that the entire Parliament will also assume its responsibilities and support your emergency law.
ParlaMint-BE_2019-01-17-54-plenair-ip266x.u17	Thank you, Prime Minister, for your reply, although I must say that it does not reassure me. I have not heard from you any commitment to the protection of the European continental social model, a model based on social protection and fair taxation. I drew your attention to the danger posed by Singapore to the North Sea. I haven't heard from you about that. We have received Baron Buysse, President of the Brexit High Level Group. Two years ago, Belgium came to the Chamber to warn about the possibility of a hard Brexit. I'm fixing two cases today. Firstly, as far as additional staff are concerned, I refer to Van Overtveldt's mess: 71 of the customs officers have been recruited, they are currently in training, but they will not be finished on 29 March. How quickly will you recruit and train the 70 missing customs officers? Then there's Ducarme's mess. You didn't say anything about that. I have the impression that no additional veterinarian has yet been recruited to carry out checks on animal products. Prime Minister, we want to be constructive. If you come to the Chamber with your emergency bill, give your ministers concrete information about what you have already done. For two years you have been aware of the problem and now you are asking us again: this is the illustration of the government's malgovernmentalo to adopt next week's emergency legislation.
ParlaMint-BE_2019-01-17-54-plenair-ip266x.u18	Prime Minister, thank you for the additional information you have provided on how the British government and parliament work. There may still be a possibility to find a solution for Brexit at this level. I also hear that the government will take the necessary steps in favour of our businesses, which create jobs and growth. Our group will support you in the coming weeks.
ParlaMint-BE_2019-01-17-54-plenair-ip266x.u19	Mr Prime Minister, the Brexit Week, which we are proposing, must not be a new round of palaves. It should serve to discuss the Brexit with Parliament and the government in current cases. The fact that the government is in current affairs does not prevent the government or Parliament from dealing with the matter. Mr Van der Maelen referred to the government's mess for the second time. Well, I can say one thing: over the past four years, the government has done nothing but clean up the mess of decades of PS and sp.a. Prime Minister, you say that you did not wish for a government in current affairs. In that connection, I would like to point out that you did have a choice. You went to Marrakesh, not us. Now we have to row with the belts we have. We will be constructive, as we have always done in the past four and a half years. You can count on our group when it comes to constructive work!
ParlaMint-BE_2019-01-17-54-plenair-ip266x.u20	Madam Secretary of State, when you were Secretary of State for Asylum and Migration in the previous legislature, you admitted around 200 people on humanitarian visas every year. Your successor, and in the meantime your predecessor, has developed that exception procedure into a common channel. He increased the number of humanitarian visas granted to more than two thousand per year in recent years. The idea was to break illegal trafficking in human beings by bringing migrants here by legal means and a prior selection, but in practice a system of trustless confidants was developed, a system that makes malicious practices possible. Due to a lack of transparency and control, the state acts almost itself as a human smuggler. The judicial investigation will show whether Melikan Kucam abused vulnerable people and, for payment, passed on lists of names to the cabinet of his party colleague Francken, who left the hemisphere for a while. If that is true, then the absent Francken bears the full political responsibility. The role of the victim in which he is wallowing today, I therefore find misplaced. I am trying to imagine his reaction if he had been in the opposition and if he had issued visas in similar circumstances, on Unkelinx or Milquet. Prime Minister, Minister, there is a need for clarity in all areas. In the meantime, you have requested and granted the number of visas, to whom and in what way, but my question is what the consequences will be. If you have that information, will you check those requests again? Will these applications and awards be reviewed if it appears that fraud has been committed and that the award was unfair and unjustified? Perhaps the most important question is whether this government will place the emphasis on transparency and control rather than laying down criteria. They ensure that this is enforced and that humanitarian visas become a right, rather than a favour. Humanitarian visas must once again become an exception.
ParlaMint-BE_2019-01-17-54-plenair-ip266x.u21	Colleagues, I forgot to tell you that the government's answers will be given by the Prime Minister and then by Mrs De Block, since the questions were addressed to the Prime Minister and the Minister for Asylum and Migration.
ParlaMint-BE_2019-01-17-54-plenair-ip266x.u22	Prime Minister, Minister and Minister, my questions relate to a particularly sordid and disgusting case of human trafficking. For months, a municipal councillor in Malines paid a high price - up to 14,000 euros, according to my information - for visas to people in extreme distress. He chose them, not according to their degree of distress, but their ability to pay. In particular, he had contacts with a city that I know well for having visited: Derik, in northern Syria, where a Syriac community lives. He traded at a high price, without the possibility of discounts - for months. He was in constant contact with the cabinet of former Secretary of State Theo Francken, through one of his collaborators: Lies Verlinden. Moreover, he does not hide it, since this information is on his Facebook account. He went to Beirut to supervise these people. At that time, according to my information, he had received an official warrant from the Office of Foreigners to receive them. As a result, he carried out an absolutely heinous trafficking, the target of which was people seeking to flee the war and the Islamic State. It lasted months, thanks to extensive complicity. The European Syriac community based in Brussels, outraged by this situation, launched an alert on 11 October, quoting amounts, referring to what was happening, speaking of a "gang in contact with a Belgian parliamentarian". This signal was sent to European parliamentarians. However, this traffic continued. In the end, Belgium is involved in a heinous trafficking of human beings, targeting a population whose distress is extreme. Mr Prime Minister, that, in my view, deserves a parliamentary committee of inquiry. I weigh my words. I ask for full clarity on this matter. I ask what the government knew. Why did it last so long? Why, after an alert had been issued, was nothing done by the Secretary of State and your government? How was it possible to do so, even though the new Secretary of State had been able to modify the procedures and criteria for granting in 24 hours? How is it possible that our diplomacy - through our representation in Beirut - and the Foreign Office could have been involved in such trafficking?
ParlaMint-BE_2019-01-17-54-plenair-ip266x.u23	Prime Minister, Minister, ladies and gentlemen, but what irony! Only a few months ago, Theo Francken, at the time Secretary of State for Asylum and Migration, did not hesitate to assimilate NGOs such as Médecins Sans Frontières to human traffickers, whereas, obviously, it was in his own entourage that they could be found. Trafficking in human beings, criminal organisation, passive corruption and extortion: it is indeed all this, and nothing less, that is suspected and accused of an elected N-VA who allegedly traded humanitarian visas. Making money on human despair, taking advantage of the need for human beings' asylum, is what traffickers and smugglers do. Ladies and gentlemen, that is what we have denounced on many occasions, and rightly so, in this House. The facts are obviously serious and shocking; they require a few questions. The first question that arises concerns the practical plan: how is this possible? Today it is said that whole lists were deposited in the office of the Secretary of State by the communal elected N-VA, since the issue was of its sole competence. The question of the existence of filters can legitimately be asked. While we have been pooled for months with the need to strengthen controls and limit access to the territory, is it only at Mr Franken that there were no filters or controls? On the political side, what do we think when we hear Mr Franken himself saying that he has heard rumours of such trafficking? Has he initiated an internal investigation? Did he have these rumors checked? If not, why? Did he only think about reviewing the procedures? I imagine that neither the Prime Minister nor the Minister will be able to answer my next question, but it seems essential to me. Since when was Mr. Franken aware of these suspicions? We can dare to ask ourselves the question: why did he not, as he is obliged to do, himself warn the authorities of the existence of these rumours? Colleagues, remember that here, both he and the minister of the interior at the time explained to us that prosecuting traffickers and smugglers was a priority. I come to my questions, Mr. President. An investigation is under way and justice must indeed be allowed to do its job. But Parliament must also do its own. That is why yesterday we asked for hearings in the Committee on the Interior, without closing the door, as my colleague said, to a parliamentary committee of inquiry. I have a few questions for the minister who is exercising this jurisdiction today and who inherits this issue. Can you, Madam, explain to us what procedures have been put in place? What did you do to change them? Have you, yourself, possibly granted humanitarian visas. If so, how many? Above all, we learned that we needed intermediaries. You're talking yourself about having reliable intermediaries. Can you tell us how you will assess their reliability?
ParlaMint-BE_2019-01-17-54-plenair-ip266x.u24	Prime Minister, for months, what have we not heard, in an attempt to counterbalance the disastrous effects of an immigration policy that involved collaboration, for example with a Sudanese dictatorial regime, that the policy of humanitarian visas was the human dimension of your government's migration and asylum policy. All this to realize that there were, no doubt – justice will tell us – occult influences, or even directly assumed within the office of the Secretary of State responsible for this competence. When Myria's 2017 reports were reread, it was noted that the centre was already pointing a finger at the disproportionate, unjustified discretion of the Secretary of State in this matter and warned the government about this. Mr. Peeters recently stated in the press how much Mr. Francken believed in this discretionary power and clearly refused to submit to any control whatsoever. I hope that the explanation of this power so much appreciated by Mr Franken will not come from justice rather than from our parliamentary control. But no matter what happens in this scandalous affair, it has been a long time since several voices in this Parliament - and we are now - called for legislation to set the criteria and conditions for the issuance of humanitarian visas. There is no justification for discretion in this area. On the contrary: because they are humanitarian, they must meet strict conditions and selective criteria. Prime Minister, I ask that there be, during the short period between us and the elections, a common will to develop legislation urgently to put an end to any discretion in this matter. This is the worthy answer that citizens are entitled to expect in the face of the upcoming scandal.
ParlaMint-BE_2019-01-17-54-plenair-ip266x.u25	Prime Minister, ladies and gentlemen, the fact that the N-VA left the government in December is the only reason why Theo Francken should not resign today. Every day new objectionable elements do appear. On Facebook there are videos of an N-VA municipality council member handing out documents in the streets of Beirut. With what mandate? Nobody knows. Theo Francken has had to admit today that he has been aware of the rumors about visa fraud since September/October. He didn't do anything with those rumors. He did not go to the police, something one might expect from a normal citizen and certainly from a secretary of state. He did not order his administration to investigate this immediately, whatever one might expect from a member of the government. That's incomprehensible. A person who so much likes to accuse NGOs of trafficking in human beings must now recognise that the traffickers are in his own party. That is a very sad observation and completely unacceptable. You are politically responsible for this scandal, Mr Francken. You have made the choice to work with these kind of shadowy intermediates. You have admitted that you have worked with no less than seven subcontractors. Who they are, no one in this house knows. Green has warned you about this since 2015. We have called for cooperation with the UN official bodies, with clear criteria. To all these questions about greater transparency and control, you have never wanted to answer us in Parliament. Is it normal for me to look around, ladies and gentlemen, that until recently nobody had heard of Melikan Kucam in this house and of the crucial role it has played in issuing official documents such as humanitarian visas? Mr. Prime Minister, had you heard of Melikan Kucam until recently? If you had known what role your former Secretary of State had assigned to that man, you would have acted, should we hope? Isn't this an agreement within the government? Apparently, colleagues, the freedom of action on humanitarian visas was too great for this Secretary of State. The abuse we are seeing today is the logical consequence of that. The abuse and arbitrariness must be done, that must stop.
ParlaMint-BE_2019-01-17-54-plenair-ip266x.u26	Mr President, first of all I would like to say something about the instrument of humanitarian visas in itself. I believe that this is a very valuable and precise instrument which must be handled with care and care, precisely in the interests of the most vulnerable. So careful and careful means that we must also take account of the fact that the Minister has so-called discretionary powers. So he can make those decisions on his own. Indeed, there are no clear criteria in the law. Allow me, among other things, to disagree with Mr Maingain. I was responsible for that jurisdiction for six years. Regularisations were also on the agenda at the time. The fact that there are no clear criteria in the law has a reason: no matter how precise one tries to define certain criteria, there will always be residual categories. It is therefore a discretionary power, but that does not mean that Parliament cannot be given a number of directives. However, it remains an individual consideration. I would like to make a second point. Precisely because it is so important, there is the rule of caution, Prime Minister. Caution means that a Secretary of State or Minister must surround himself with the necessary advice. These opinions may come from NGOs, from the United Nations or from the administration, but they are not emperor-kosters. The use of intermediaries to whom one subcontracts and delegates the power for a piece is very dangerous in itself. Those intermediaries, without any title, come to issue lists which give some people a visa and others not. That's basically the system's negation in itself. We have seen horrible images of this in Pano. It has been a system or a method, Madam Minister, because there is evidence in Pano that the system has been stopped. If the system is stopped, then there has been a method. We saw terrible images of the market in Beirut, Mr De Vriendt, where visas are sold and distributed. Party soldiers may sell tickets for a mussel soup, but they do not sell visas on the market in Beirut. So there's a criminal responsibility. That's the job of the public prosecutor and of the investigation. However, we need to know who knew what happened at what time and what happened to it. There is also a matter of political responsibility. The Secretary of State in question has resigned and is no longer a State Secretary. However, Madam Secretary, I would like to know how that system worked. Hearings in the Committee on the Interior certainly seem to me to be on the agenda. Then we know how the DVZ dealt with this method, what exactly happened and how those instructions were given to the administration. Mr President, a Parliament with full powers must urgently address these questions in the coming days and weeks.
ParlaMint-BE_2019-01-17-54-plenair-ip266x.u27	Prime Minister, the reason for my questions was the communication about Pano's investigation and the Antwerp public prosecutor's office. This revealed human trafficking but also the sale of humanitarian visas at market prices. The parquet has to deal with the guilt question. The government has set itself up as a bourgeois party, and that is a good thing because the bottom stone must emerge. I would say never washed a good crisis to improve business. However, we must consider political responsibility, strict but just. It concerns the humanitarian visa files and the system in which the Secretary of State was able to decide autonomously and entirely on his own. In that system, he could draw all by himself. With this system, in exceptional cases, extremely vulnerable people can be given legal access to our country. So we shouldn't throw the kid away with the bathwater. When this procedure starts to be used to distribute and sign thousands of visas, we need to start thinking about criteria, control, supervision and, if necessary, an ex post audit. To whom have we all granted humanitarian visas, from what regions and from what background? It's the least one can do. I'm very collegial. Several members of the committee, both from the majority and from the opposition, have asked questions and asked the Secretary of State to change the N-VA sheet on humanitarian visas. The worst part of this story is that we do not know now whether the humanitarian visas that were issued were indeed extremely vulnerable people, or whether they were people with a thick wallet or with the right political relations. At the same time, and that is the cynical thing about the story, the Secretary of State has decided to introduce a quota of 50 asylum applications a day, which means that extremely vulnerable people have to sleep on the streets of Brussels. Strict but just is far to be desired. Madam Secretary, I have a few questions. How was the granting of humanitarian visas in the past? How do you intend to do that in the future? What is the guarantee that vulnerability will continue to play an important role? I have just seen the Prime Minister communicate with you with his eyes, Madam Secretary. What control will you now exercise on the humanitarian visas issued over the last three years? What will you do with that?
