ParlaMint-FR_2021-12-01-O1080.u1	The next item is the debate on the bill to combat school harassment (No. 4658, 4712).
ParlaMint-FR_2021-12-01-O1080.u12	In the general debate, Mrs Emmanuelle Anthoine spoke.
ParlaMint-FR_2021-12-01-O1080.u13	School harassment is a scourge that we must fight. The statistics are particularly worrying: more than one in ten young French people would suffer a form of school harassment, or more than 750,000 children each year. It is therefore the duty of the legislator to react and seize this subject. Too many young people put an end to their lives because of a situation of school harassment. These horrific facts must cease. School harassment is characterized by violence, regular, verbal, physical or psychological assault by an aggressor or a group of aggressors. Children are insulted, insulted, threatened, shook or beaten. This untenable reality has no place in the school of the Republic.
ParlaMint-FR_2021-12-01-O1080.u14	That's right!
ParlaMint-FR_2021-12-01-O1080.u15	The text we are studying is therefore welcome and expected. Now a little over three years ago, I introduced a bill that was already aimed at fighting this scourge better. Its purpose was to draw attention to the worrying phenomenon of school harassment, to propose a legal definition of it and to create an autonomous offence in the Criminal Code. This was the first time in this Parliament that the issue of school harassment was addressed. In this regard, I would like to welcome the involvement of the HUGO! association, with which I worked at the time. Since then, four other legislative initiatives have emerged on the subject, coming from different parliamentary groups, illustrating a consensus within national representation on the need for legislation. I would like to welcome the fact that the bill we are studying today provides for the inclusion in the penal code of a specific article dedicated to school harassment. This measure, which I have long supported, represents a particularly anticipated development. It is by being identified as a specific criminal offence that school harassment will be fully recognized and appointed by society and that consciences will awaken. In addition, I fully endorse the creation of an awareness training course, a measure that I also proposed in my bill. I am concerned, however, that they are not systematically prescribed for the perpetrators of school harassment. I therefore proposed an appeal amendment on this point. The training course is based on those related to road safety. Proposed as an educational sanction, it would serve to recall the essential rules and improve the behaviour of offenders. In order for the fight against school harassment to be fully effective, an educational measure must accompany the sanction. The fight against school harassment also requires the mobilization of all actors. In addition to schools and their teaching teams, staff working in schools, local authorities, associations, social networks, parents of pupils and pupils must also be involved. The prevention of school harassment must be everyone's business. In this context, school medicine has its full role to play. It should be given new means, in addition to the training which will now be offered to doctors, nurses and school psychologists, to enable them to provide first-hand care for students subjected to school harassment and the participation of these personnel in the development of guidelines and procedures for prevention. As we know, school medicine is in a worrying situation. This was revealed in 2017 by a report from the Academy of Medicine signed by Professor Bégué. The lack of qualified personnel does not allow school medicine to respond effectively to the imperatives of prevention among students. In order to ensure the effectiveness of the fight against school harassment, we must also ensure that our resources are strengthened, Minister. [[Applause on the benches of the LR group and on some benches of the LaREM, Dem and UDI-I groups]] Even if this text remains perfect, the Republican Group will vote for it. Given the importance of the issues involved in combating school harassment, such a bill can only be unanimously adopted.
ParlaMint-FR_2021-12-01-O1080.u16	Mr Michel Castellani has the floor.
ParlaMint-FR_2021-12-01-O1080.u17	Finally, we have the words to describe what we have long sought to denounce without being able to avoid: repeated ridicule, unjustified bullying, physical violence. It's school harassment. The repeated and widespread nature of this phenomenon must not justify its trivialization. School harassment is not trivial, it is not a small violence without consequence. It cannot be accepted that thousands of students go to school with fear in their stomachs, that the victims have as the only way out of school, that thousands of students are permanently traumatized to the point that some can no longer bear to live. With this bill, Mr rapporteur, you are continuing to work on your parliamentary mission, and you are giving us the opportunity to address this phenomenon, an insidious phenomenon, like all forms of harassment, because it places the victim in a position of isolation and extreme fragility that prevents him from getting out of this infernal cycle of violence. Defining school harassment, understanding its jurisdiction to better identify and combat it is obviously the prerequisite for any action. The text proposed by the Commission at the end is interesting in that it also targets students and adults, who may be affected as victims as well as as as executioners. At the same time, a right to protection against school harassment in the Education Code is a symbol, but it is still necessary, especially since it is extended to private schools. However, this right to protection will remain a pious wish if it is not accompanied by binding obligations and, above all, by means of facilities. As we say again, the fight against school harassment must first and foremost be through prevention. This requires that schools be better equipped to prevent, detect, report and stop such behaviour. This means creating the conditions for listening and collecting the words of the harassed student. Too often, unfortunately, the educational community does not have the tools or the means to understand and combat this harassment, which sometimes worsens already difficult situations. Awareness-raising and training are therefore the two main levers on which we must act. The bill is ambitious on these issues, but we still need to build the capacity to invest in this direction. However, the situation of school medicine, and in particular psychologists, is not to reassure the institutions of their ability to play their role of listening, prevention and accompaniment. Minister, perhaps you could tell us how this bill will fit into the PHARE programme that has been widespread since the beginning of the year. School harassment is now continuing beyond school, on the Internet, through social networks. The latter represent an immense body of resonance for acts of intimidation and violence. We regret that the draft law contains only one article on this subject, dealing with moderation of content, even though it seems to us to be a major focus on which to act. This text does not allow us to see how platforms could be forced to do more in this area. Finally, we must break with the belief that the student victim would bear in him the source and explanation of his harassment. Therefore, it was important not to list its causes in the law. It would take the problem backwards and ignore the different forms that it can take. It must be repeatedly reiterated that the reason for the harassment originates in the author, in the depersonalization and feeling of impunity and of any power conferred by the effects of groups; The reason for the harassment is never in the victim's home. This justifies the creation of a specific offence of school harassment. However, be careful not to focus solely on individual criminal sanctions. These should be primarily educational, and actually applied, even if certain criminal sanctions would have the advantage of clarifying responsibilities and would certainly have preventive value. In other words, the intensity of the deterrent must be measured, especially since the perpetrators of harassment are, in the vast majority, minors. In any event, the Libertés et Territoires Group welcomes the objective of this bill by recalling the priority that must always be ours: prevention, awareness-raising and long-term support for the student victims. (The rapporteur applauds.)
ParlaMint-FR_2021-12-01-O1080.u18	Mrs Sabine Rubin has the floor.
ParlaMint-FR_2021-12-01-O1080.u19	The fight against school harassment is, of course, a national cause that transcends partisan divisions. That the young people, whom we entrust to the school institution, may be victims in its midst of repeated vexations, violence of all kinds, we all worry and revulse. It is a phenomenon that cannot be minimized. According to a 2015 DEPP survey, 5.8% of students are reported to be harassed, or nearly 700000 young people each year. And while harassment affects all age groups, it must be noted that it affects the smallest, from primary school onwards, for a rate that stands at 12%, more than one in ten schoolgirls. Harassment is therefore a major issue that national representation is right to address. However,...
ParlaMint-FR_2021-12-01-O1080.u20	Ah!
ParlaMint-FR_2021-12-01-O1080.u21	... I do not hide from you that this proposal for a law is, in our view, part of more of a communication plan, especially since there are already effective tools that should be put in place and evaluated: the PHARE project, the educational committee in high schools and the national protocol to combat harassment. It is enough to convince one another that he will listen to the first concerned, and in particular to the associations committed against this scourge. Nora Fraisse, president of the Marion-la-hand association, says: "We don't need a bill, these people are out of the ground. »
ParlaMint-FR_2021-12-01-O1080.u22	She's the only one who says it!
ParlaMint-FR_2021-12-01-O1080.u23	Thus, the choice, in article 4 of this bill, to create a new offence of school harassment is part of a real criminal auction. He took the opposite of the excellent information report published last September by two honourable senators, who felt that "the current legal system is a tool to combat harassment." This overbidding is illusory and demagogic. It is illusory, because most of the harassment in school is done by minors, very often by classmates. However, since the law in force explicitly refers to the concept of discernment, and since it is inter alia correlated with the age of the aggressor, the excuse of a minority will render any criminal sanction void. Demagogic then, since harassment has never been proven to have a deterrent effect as a result of the harshening of sentences. On this subject, I am not far from sharing the opinion of Jean-Pierre Bellon, director of the Centre de ressources et d'études systèmes contre les intimidations scolaires (RESIS), auditioned by our colleague Balanant: "Punish the students, as if that were what we needed! » So of course, our "children clearly need clear references, rules and penalties applied consistently by adults," to use the words of sociologist Benjamin Moignard, whom I make mine. And here I join my comrade Elsa Faucillon: prevention in schools is obviously not enough; Educational sanctions must also be used to ensure that the perpetrator of acts of harassment is punished proportionately. »
ParlaMint-FR_2021-12-01-O1080.u24	That's how our criminal justice is designed!
ParlaMint-FR_2021-12-01-O1080.u25	Similarly, I am surprised that section 1 of this bill introduces a serious indistinction to characterize acts of harassment: they are not only students, but also major personnel working in schools. This is a profound change in the very concept of school harassment, which has not been the subject of any prior discussion with the educational community, teachers' unions, staff or parents of students. Of course, there are positive measures in this text. I am thinking in particular of article 6 of the Code of Criminal Justice for Minors, which establishes provisions for a course of responsibility for school life. Is it necessary for this to be a new offence?
ParlaMint-FR_2021-12-01-O1080.u26	Yes!
ParlaMint-FR_2021-12-01-O1080.u27	But the main flaw in this text, and I will say it unambiguously, is that it never raises the question of the human and financial means to prevent, detect or punish harassment in institutions. Thus, according to Marion's president, the hand stretched, rather than passing an umpteenth law, it is first of all to seek money, to train people. This parliamentary majority has consistently refused to increase the number of adults in institutions. The number of school doctors continues to collapse and nurses are hardly better off. And I am not talking about the directors, who are overwhelmed by their administrative work, the education assistants (EDAs) who are understaffed, the senior education advisors (CPEs) who are unable to do so. [[Mr Bruno Millienne exclaimed]] Then, in your article 3 on initial training, you have a good game of involving these same staff in the school or school project. What hypocrisy! How to do it, when to do it? It is also a mistake not to include harassment as an indicator of the performance objective of the 230 Student Life program, as we proposed by amendment, which is very different than accounting for offences that mix minors and adults in the same package. In conclusion, I will repeat the correct words in the Senate report I have already quoted: "Tools exist, yet the texts must be known and applied." And for that, we need human and financial resources. Thus, the vote of the unsolicited La France group will depend on whether or not Article 4 is maintained.
ParlaMint-FR_2021-12-01-O1080.u28	Don't worry, I'll explain it to you!
ParlaMint-FR_2021-12-01-O1080.u29	Mrs Elsa Faucillon has the floor.
ParlaMint-FR_2021-12-01-O1080.u30	The extent of school harassment sheds light on the impact of violence in our society on the well-being and safety of our children. We are obviously responsible for them and we must protect them, because, as we have seen recently, harassment kills. And when it does not kill, it is at the root of suffering among the harassed children, so much so that for some of them, the only way out of this cycle of violence is to become themselves harassers. These sufferings are also those of their friends, and of course those of the families who all too often feel destitute and unsupported. This bill puts this issue at the centre of our debate, which I believe was necessary. Article 1 of the Education Code enshrines a right to protection against harassment. Adfirming that we must protect our children in schools is obviously not nothing, but it may only be symbolic if we do not provide resources for multidisciplinary care. This, I believe, is what you are trying to do, Mr rapporteur, in Article 3, which provides for the care of harassed children in school medicine. Of course, we believe that this is a good signal. Again, however, it may be feared that this will be a pious wish if the means do not follow. The new missions given to the educational community as well as to doctors, nurses, psychologists and social workers must be accompanied by important human and, above all, financial resources. Sufficient reports have shown that school medicine is in disinherence, a situation that we see everywhere in our territories.
ParlaMint-FR_2021-12-01-O1080.u31	That's right!
ParlaMint-FR_2021-12-01-O1080.u32	This is not acceptable. How, moreover, could school doctors carry out the tasks entrusted to them when each has to take care of an average of 12,500 students? The same applies to school nurses, the only representatives of school medicine in schools. Repeated attacks on this profession, notably through the departmentalization of school medicine provided for in Bill 3DS – bill on differentiation, decentralization, deconcentration and various measures to simplify local public action – weaken the identification and support of child victims or perpetrators of harassment. It should be added that the health crisis has more highlighted the lack of resources. We therefore ask the minister for a clear commitment: if this bill is passed, will it be accompanied by a plan and means dedicated to school medicine? As I have already said in committee, in the absence of firm commitments on the financial and human resources to be devoted to multidisciplinary management, our response to school harassment through this text will be highly unbalanced: with the new offence created by Article 4 in the Penal Code, it will be based mainly on a repressive reflex.
ParlaMint-FR_2021-12-01-O1080.u33	At the very heart of the education system!
ParlaMint-FR_2021-12-01-O1080.u34	Articles 222-33-2 et seq. may apply to school harassment; They already provide an indispensable basis for the fight against this phenomenon. Creating a new offence also carries the risk of further externalizing the treatment of school harassment by referring it to the courts. Worse still, the penalty provided for does not take into account the group dynamics behind most cases of harassment, even though you mention it in the explanatory memorandum to your proposal, rapporteur. According to many associations, prevention with means is more effective than criminal punishment.
ParlaMint-FR_2021-12-01-O1080.u35	According to one association!
ParlaMint-FR_2021-12-01-O1080.u36	I'm sure you share the idea that prevention is more effective than criminal punishment, Mr. Balanant. Furthermore, it is not an offence for the victims to recall that the perpetrators of such violent acts are also children and that, as such, they must be subject to juvenile justice. This juvenile justice is a social conquest...
ParlaMint-FR_2021-12-01-O1080.u37	Yes, and it exists!
ParlaMint-FR_2021-12-01-O1080.u38	...that we must cherish, preserve, protect, whatever the circumstances. That is why we have tabled an amendment to remove the offence of harassment in schools and another to include the fight against harassment in the curriculum of moral and civic education. Time passes and I will not be able to explain all my arguments. Finally, I would like to draw attention to the cost to families of the necessary psychological care, which can be up to 500 euros per month. [[Applause on the benches of the GDR group]] This bill is to a large extent welcome: it is necessary to act, and urgently. However, in the current state of the text, marked by a repressive reflex, and without firm commitments on the part of the minister on the strengthened means to be attributed to school medicine, the GDR group will abstain.
ParlaMint-FR_2021-12-01-O1080.u39	Mrs Zivka Park has the floor.
ParlaMint-FR_2021-12-01-O1080.u40	We have talked a lot about the figures and the definitions this afternoon. Instead, I would like to talk to you about the ill-being and distress of a large part of our harassed or harassed children. There was Marion, Thybault, Marie, Matteo; Evaëlle and Alisha in Val-d'Oise; Dinah, a few weeks ago; Chanel, a few days ago. They were all under the age of 15. These names are here to remind us that school harassment sometimes leads to terrible tragedies. I can also tell you about the one I will name Louis, who begins a long reconstruction from the top of his 15 years after an attempted suicide. It starts with almost nothing, shambles, stories of children as they say. Then come the bullying, the repeated humiliations, often in a collective silence. Acts that lead to the worst, especially because of pack phenomena. This is a complex reality that schools cannot confront on their own, nor are parents, who are often deprived. It's not a taboo. It is our whole society that must become aware of the scale of the phenomenon. By this text, which all members of the groups of the presidential majority have signed, we enshrine a ban in the law. The fight against the scourge of school harassment must bring us together beyond political labels and that is what is being done. This text, more than setting standards, calls for collective awareness. School is a place of learning and socialization that cannot be transformed into a place of suffering. Our children must be able to go to school without fear in the stomach. Our children must be able to go home and feel safe at home, without feeling hunted and trapped in their own room. This is a new step in the fight against school harassment and violence at school that we must take. The President of the Republic made a strong intervention during the National Day to Combat Harassment at School on 18 November: he announced the creation of the application 3018 and the strengthening of youth homes and youth listening reception points. We are part of the fight led since 2017 by the Government and our majority, in particular with the generalization of the PHARE programme. With this bill, it is a dual objective that we aim to achieve. On the one hand, its preventive component aims to broaden the right to education without harassment and to improve the prevention, detection and care of victims. On the other hand, it aims to devote a criminal component to improving the judicial treatment of incidents of school harassment, in particular through the creation of an autonomous offence. For, yes, the harassers must understand that their actions are punished by the law! The work in committee has enabled us to reach a text that sets out the guidelines for combating school harassment. Everyone will have understood here that we cannot put everything in the law. We have come to a clear definition of the facts characterizing school harassment that will cover all situations. As for the offence of school harassment that we create, it will be sufficiently effective to improve judicial treatment. This text will have to be translated effectively in the field, especially in schools. Each of us will have to bring together professional actors so that they can work together: medical and paramedical personnel, magistrates, law enforcement officers, national education staff and sports, cultural and leisure entertainment staff. I do not forget, of course, those who have an essential role to play: parents and associations. All these actors, we take them into account in this text, either to enable them to be better trained or to involve them in the struggle, with their own expertise. Yes, they must be mobilized and find the contract that will allow them to act together on their territory. In other words, this bill is not intended to say in the slightest detail how actors should do it, at the risk of taking any initiative away from them. Nevertheless, it gives us the opportunity to discuss the measures to be taken with regard to access to our children's social networks, the conditions under which it is carried out, and even its prohibition in certain specific cases. We put a first stone to the building by proposing to confiscate telephones or any other means that have led to cyberharassment. [[Applause on the benches of the LaREM and Dem groups]] To all associations like Marion the hand out, HUGO! or e-Enfance, who are doing a lot of work on the ground to help victims, train, raise awareness, do prevention and fight what is not fatal, I say thank you. And I want to assure all children that we will be there to ensure that our battles today and tomorrow are not in vain.
ParlaMint-FR_2021-12-01-O1080.u41	Mr Grégory Labelle has the floor.
