ParlaMint-BG_2015-11-26.u1	I'm opening the meeting. Mr. Hristov's procedure.
ParlaMint-BG_2015-11-26.u12	Dear Madam Chairman, colleagues! I support everything Professor said. Stankov, about the flaws in this bill. We of the Parliamentary Group of the Patriotic Front will abstain for several reasons. The first is that we really could not accept that civil servants, and in fact the state health inspectors from the Bulgarian Food Safety Agency, will implement measures on preventive programmes and will control this activity. Colleagues, all European regulations show that we have to take great account of who performs and who controls the activity in a single structure. So we cannot agree with those who implement the measures to carry out control activities. At the same time, it is extremely important for us to have freedom of negotiation between people who raise animals and veterinarians. This who, how many times will visit a livestock farm is exceptional and only negotiated between the veterinarian and the owner of the animals. Moreover, when there is a particular problem, this veterinarian can visit this farm and five times a month. We cannot say that he should do this visit, for example, every two months once. I will not list any other problems that we have seen in this Bill, but I would like to say that our opinion is that only cosmetic changes have been made here and we need to think in the direction of a whole new Animal Treatment Act. Thank you.
ParlaMint-BG_2015-11-26.u13	Thank you, Mrs. Petrova. The next statement is from Mrs. Svetla Bachvarova.
ParlaMint-BG_2015-11-26.u14	Dear Mr. Chairman, honourable Members! We will not support the proposed bill for amending the Animal Health Act for several reasons. They are related, firstly, to the fact that six months the Ministry of Agriculture and Food is working on this bill in relation to the events that took place in 2015. "Insects," "syn language" and all that has created the prerequisites for a serious problem in the country and the outbreaks to be contained. As a result, a Bill was published, which had to be discussed publicly. Unfortunately, what is offered to us in the National Assembly at this time is significantly different from what has been discussed in working groups. That is why you are hearing that the National Union of Veterinary Doctors strongly opposes the proposed changes, which in some cases we can call scandalous and far from reality. They will not lead to an improvement in animal health. There's only a few things I'd like to draw your attention to. The state prevention program. It is mandatory to finance it every year by the state, this is required by the European Commission, it is written in European regulations. Every year by May the Programme must be ready, public procurement must be carried out and must be carried out within June of July, when the deadline is when it is to be made as a commitment of the State. This doesn't happen every year! Because public procurement, private labs and interests that arise in the supply of any supplies!? And this year, the State Prevention Programme is held in November for 25 days, which does not solve a single question, neither to veterinarians, nor to livestock farmers. Because the month of November is not the appropriate period for it to be implemented, given the physiology which, respectively, the professor will say, must be implemented. Now it's said that we're going to do the State Prevention Program for three years. It'll be the same! June again! What does it mean three years after you won't have funding and you don't have funding because in the Budget Act this is not provided for in any form, you will not have public procurement and this wishing text will remain as recorded again as the current system? It is therefore better to find other mechanisms for the administration to do its job in time and to implement the Law as it is now. It does not prevent it from being every year, but to meet the deadlines accordingly. The identification system is a serious problem in livestock farming. It does not work as it is written in its rules, therefore creates exceptional problems. Now we tell veterinarians that within 48 hours they should record any change in the number of animals. Guys, I'm sorry, but that can't happen! For 48 hours, the I.D. system hasn't worked for 12 hours, and no one has access to it, and if we add that there's not all the Internet in all the areas, we've recorded a fine of 20,000. BGN if the veterinarian does not do so. There hasn't been a deadline so far. In the working group it was said that in seven to nine days changes can reflect, but in 48 hours it is impossible to physically affect the movement of animals. This is also a problem that is not solved in the Law. The bill provides for an awful lot of sanctions. For veterinarians, the sanctions are from 5 to 20 thousand. BGN, from 5 thousand to 20 thousand. lv.! How did they decide that such sanctions could be borne by veterinarians? I can't explain. This means that the control authorities must carry out checks every day and impose sanctions accordingly. And the last thing I want to focus on is the obligation that veterinary doctors have to do clinical exams every two months. It is written that they are obliged, therefore there is a penalty, but it does not say who pays. It is a commitment under the state preventive program, but the state will not pay! That means the farmer will pay for transport, supplies. Excuse me, but a form loaded with 15 - 20% of the costs of veterinary services cannot withstand any European requirements. Then we cannot talk about any competitiveness of Bulgarian livestock, regardless of the wishes we have, and in what direction we implement them through the legislation. I therefore propose that we do not support this Law, return to juvie, reconcile the requirements and possible options for the realization of long-term policy in the business sector, and that they present to us the bill of our attention, because the Law, as it is written, will result in greater harm than the current Law. Thank you.
ParlaMint-BG_2015-11-26.u15	Thank you, Mrs. Bachvarova. Are there any other statements on the bill? I won't. The discussion is closed. We are going to vote on the Draft Law amending and supplementing the Animal Health Act, No 502-01-95, submitted by the Council of Ministers on 23 November 2015. They voted 135 MPs: for 89, against 15, abstention 31. The bill was passed at first reading. Mr. Hristov's procedure. Here you go.
ParlaMint-BG_2015-11-26.u16	Mr. Chairman, ladies and gentlemen of the House! I am making a procedural proposal that the deadline for proposals between the first and second votes be extended to 10 days.
ParlaMint-BG_2015-11-26.u17	A reverse opinion? I won't. We vote. Vote 127 MPs: 114 against 8, abstention 5. The motion is accepted. Moving on to the next point of the weekly program: SECOND VOICE OF THE LAW FOR CHANGE AND CLEARANCE OF THE LAW FOR ACCESS TO PUBLIC INFORMATION. Mrs Marinska will report to us the Commission's proposals.
ParlaMint-BG_2015-11-26.u18	Report on the Draft Law amending and supplementing the Public Information Access Act, No 502-01-33, submitted by the Council of Ministers, adopted at the first vote on 6 October 2015. The Act for amendment and supplement of the Public Information Access Act. The Commission supports the text of the importer on the name of the Law.
ParlaMint-BG_2015-11-26.u19	We vote. Vote 108 MPs: for 100, against none, abstention 8. The motion is accepted.
ParlaMint-BG_2015-11-26.u20	According to § 1, there is a proposal from the National Representative Ivan Valkov. The Commission supports the proposal in principle. Proposal by the National Representative Snezana Dukova, made on the basis of art. 80, para. 4 t. 2 of the Rules of Procedure of the National Assembly. The Commission supports the proposal. The Commission shall, in principle, support the text of the importer and propose the following version for § 1: ................................................................................... In Article 4 (1) (b), point (c) is replaced by the following: 2 the following 1. In para. 3 the words "paper, electronic or other' are replaced by The following shall be added after the word "Maritime" and shall be added "Military." 2. A new para is being created. 4. The information referred to in paragraph 1 shall be published in the Official Journal of the European Union and shall be published in the Official Journal of the European 3. So far, the Al. 4 becomes para. 5.
ParlaMint-BG_2015-11-26.u21	Statements? I won't. We vote § 1. Vote 95 MPs: for 87 MPs, against none, abstention 8. The motion is accepted.
ParlaMint-BG_2015-11-26.u22	The Commission shall support the text of the importer for § 2. Proposal by the National Representative Snezana Dukova under art. 80, para. 4 t. 2 of the Rules of Procedure of the National Assembly. The Commission supports the proposal. The Commission proposes to create a new § 3: .................................................. In Article 4 (1) (b), point (c) is replaced by the following: 6, para. 1, t. 5 the words "personal information' shall be replaced by "personal data'.
ParlaMint-BG_2015-11-26.u23	Statements under § 2 and the new § 3? I won't. Ann Block, we vote paragraphs 2 and 3. Vote 98 MPs: 94, none, abstention 4. The proposals have been accepted.
ParlaMint-BG_2015-11-26.u24	According to § 3 a proposal was received by the MP Ivan Valkov. The Commission supports the proposal. Proposal from the MPs Atanas Merdjanov, Chavdar Georgiev, Philip Popov, Krasimir Yankov. The motion has been withdrawn. The Commission shall, in principle, support the text of the importer and propose the following version of § 3, which shall become § 4: ............................................ In Article 4 (1) (b), point (c) is replaced by the following: 15 the following amendments and additions are made: 1. In para. 1: (a) c. 2 after the word "Requirement" is added to the texts of the the regulatory and general administrative acts issued by the authority (b) c. 4 after the word "address', a comma shall be placed and an e-mail address added; c) create t. 5-17: It's five o'clock. rules of procedure and internal rules relating to the provision of administrative services to citizens; 6. strategies, plans, programs and activity reports; 7. information on the budget and financial statements of the administration, which is published under the Public Finance Act; 8. information on conducted public contracts designated for publication in the buyer profile under the Public Procurement Act; 9. draft regulations together with the reasons, respectively the report and the results of the public discussion of the project; 10. Notifications of the opening of the proceedings for the issue of a common administrative act under art. 66 of the Administrative Procedure Code, including the main considerations for the issuance of the act and forms and the time limits for the participation of the persons concerned in the proceedings; 11. information on the exercise of the right of access to public information, the terms and conditions for reuse of information, the fees under art. 41g and the formats in which the information is maintained; 12. notices of competitions for civil servants; 13. the information to be published under the Law on the Prevention and Establishment of Conflict of Interest; 14. information which is public under the Law on the Protection of Classified Information and the Act on its Implementation; 15. information under art. 14, para. 2, p. 1-3; 16. the information provided more than three times in accordance with Chapter Three; 17. other information specified by law. 2. In para. 2 after the word "supplied" "reuses of public sector information" shall be added. 3. They're creating an al. 3 and 4: The persons referred to in Article 3 (3) shall be the persons referred to in Article 3 (1). 3, para. 2, p. 1 periodically publish up-to-date information on their activities corresponding to the information under para. 1, t. 1, 4, 5, 6, 8, 11, 15, 16 and 17. (4) Public sector organisations, including public libraries (including libraries of universities), archives and museums, shall publish all the conditions for the provision of the information for reuse of their website and the portal under art. 15 г...........................................................................................
ParlaMint-BG_2015-11-26.u25	Paragraph 4 statements? I won't. We vote, fellow Members. Vote 97 MPs: 89, none, abstention 8. The motion is accepted.
ParlaMint-BG_2015-11-26.u26	A proposal has been made under § 4 by the MP Ivan Valkov. The Commission supports the proposal. The Commission shall, in principle, support the text of the importer and propose the following version of § 4, which shall become § 5: .................................................................................. In Article 4 (1) (b), point (c) is replaced by the following: 15a The following 1. In para. 1 shall be added to the entities referred to in Article 1. 3, para. 2, p. OJ L 347, 20.12.2013, p. 2. Alinea 2 is amended as follows: In section "Access to information" on the websites under para. 1 shall be reported in the data referred to in Article 1. 15, para. 1, t. 4 et c. 11 and the annual reports under para. 2, existing internal rules on access to public information, regulations on the cost of providing access to information under art. 20, para. 2 and re-use of public sector information under art. 41g, the order of access to public registers held by administrative structures in the executive system. 3. They're creating an al. 3 and 4: Each head of art shall be the head of the Board of Directors of the Board of Directors of the Board of Directors of the Board of Directors of the Board of Directors of the Board of Directors of the Board of Directors of the Board of Directors of the Board of Directors of the Board of Directors of the Board of Directors of the Board of Directors of the Board of Directors of the Board of Directors of the Board of Directors of the Board of Directors of the Board of Directors of the Board of Directors of the Board of Directors of the Board of Directors of the Board of Directors of the Board of Directors of the Board of Directors of the Board of Directors. 15, para. 1 annually (4) The information referred to in art. 15 shall be published, updated accordingly, within three working days of the adoption of the relevant act or the establishment of the relevant information, and if the act is promulgated within three working days of the promulgation, unless another period is laid down by law.
ParlaMint-BG_2015-11-26.u27	Statements? I won't. We vote § 5. They voted 108 MPs: 99, against 1, abstention 8. The motion is accepted.
ParlaMint-BG_2015-11-26.u28	Under § 5, a proposal was received by the MPs Martin Dimitrov and Petar Slavov. The Commission supports the proposal. Proposal from the National Representative Ivan Valkov. The Commission supports the proposal. Proposal from the MPs Atanas Merdjanov, Chavdar Georgiev, Philip Popov and Krasimir Yankov. The Commission supports the proposal in principle. Proposal by the National Representative Grozdan Karadzhov under art. 80, para. 4 t. 2 of the Rules of Procedure of the National Assembly. The Commission supports the proposal. The Commission shall, in principle, support the text of the importer and propose the following version of § 5, which shall become § 6: ........................................................... Art. 1 (2) (a) and (b) and Open-to-date publishing Art. 15b. (1) Each public sector organisation shall annually plan the phased publication on the Internet in an open format of the informational arrays and resources it maintains, access to which it is free. (2) The executive bodies shall include in the annual objectives for the activities of the relevant administration under art. 33a of the Law on Administration aims to ensure the phased publication on the Internet of the informational arrays and resources under para. 1. (3) The Council of Ministers shall annually adopt a list of data sets to be published in an open format on the Internet. Platform for access to public information Art. 15c. (1) The administration of the Council of Ministers shall establish and maintain a platform for access to public information. (2) The platform shall enable applications for access to information to be submitted. (3) Each obliged entity under art. 3, para. 1 publishes on the platform under para. 1 applications submitted through the platform, their decisions and the public information provided, subject to the protection of the applicant's personal data under the Personal Data Protection Act. (4) In the event of refusal to grant access to public information, the decision shall also be served in accordance with art. 39 of the relevant debtor under art. 3, para. 1. Open Data Portal Art. 15 years. (1) The administration of the Council of Ministers shall establish and maintain a portal for open data. (2) Public sector organisations shall publish on the portal under para. 1 information under art. 15b, access to which is available. (3) The order and the way to publish the information under para. 2 shall be determined by a regulation adopted by the Council of Ministers.
ParlaMint-BG_2015-11-26.u29	Statements, colleagues, according to § 6, creating new members from 15b to 15d? I won't. We are voting § 6 on the report. Vote 101 MPs: 97 against 1, abstention 3. The motion is accepted.
ParlaMint-BG_2015-11-26.u30	Under § 6 there is a proposal made by the National Representative Grozdan Karadzhov, according to the order art. 80, para. 4 t. 2 of the Rules of Procedure of the National Assembly. The Commission supports the proposal. The Commission shall, in principle, support the text of the importer and propose the following version of § 6, which shall become § 7: .............................................................................. In Chapter 2, Section I is created art. 16a: "Contribution on re-use of information Art. 16a. (1) The administration of the Council of Ministers shall draw up every three years a summary report on the availability of information on reuse provided by public sector bodies, the conditions under which it is provided and the legal protection practices. Public sector organisations annually send the administration of the Council of Ministers reports on these circumstances. (2) The report shall be made public and made available to the European Commission.
ParlaMint-BG_2015-11-26.u31	Statements? I won't. We vote § 7. They voted 99 MPs: 89, against 3, abstention 7. The motion is accepted.
ParlaMint-BG_2015-11-26.u32	Proposal by the National Representative Snezana Dukova under art. 80, para. 4 t. 2 of the Rules of Procedure of the National Assembly. The Commission supports the proposal. The Commission proposes to create a new § 8. ................................................................................... In Article 4 (1) (b), point (c) is replaced by the following: 19 words "Private information' shall be replaced by "Personal data'.
ParlaMint-BG_2015-11-26.u33	Statements? I won't. We vote § 8. Vote 98 MPs: 93 against 1, abstention 4. The motion is accepted.
ParlaMint-BG_2015-11-26.u34	The Commission shall support the text of the importer for § 7, which shall become § 9. Under paragraphs 7, 8, 9, and 10, no proposals have been received. The Commission shall support the text of the importer.
ParlaMint-BG_2015-11-26.u35	We are voting, colleagues, paragraphs 7 to 10 by importer, which are respectively 9 to 12 by the Commission report. Vote 96 MPs: 87, against 1, abstention 8. The proposals have been accepted.
ParlaMint-BG_2015-11-26.u36	According to § 11 there is a proposal of the MP Ivan Valkov. The Commission supports the proposal. The Commission shall, in principle, support the text of the importer and propose the following version of § 11, which shall become § 13: ...... 13............................ 13. In Article 4 (1) (b), point (c) is replaced by the following: 35 are created. 3 and 4: Where the applicant has requested access to information to be provided by electronic means and has indicated an e-mail address for receipt, the authority shall send the decision to provide access to the specified e-mail address together with a copy of the information or internet address containing the data. In such cases, no minutes shall be drawn up under para. 2 and no provision costs shall be paid. (4) If the applicant has changed the e-mail address without notifying the authority or has indicated an incorrect or non-existent address, the information shall be deemed to have been received from the date of its dispatch.
ParlaMint-BG_2015-11-26.u37	Statements? I won't. We vote § 13. Voted 103 MPs: 94 against 1, abstention 8. The motion is accepted.
