ParlaMint-FR_2019-02-15-O1151.u1	The next item is the continuation of the debate on the bill for a school of trust (No. 1481, 1629).
ParlaMint-FR_2019-02-15-O1151.u12	[[Mr. Marc Le Fur applauds]] Members of the Republican Group will not vote for these deletion amendments. We do indeed share, once it is not customary, all the arguments of the minister. The creation of the European School in Strasbourg was decided in 2000 and carried out in 2008, during which time we addressed all the questions that some of us are asking here today, and provided answers to them. The criteria of social mix or attractiveness of the territory are respected – and when I mention the attractiveness of the territory, it is also that of the country. Everything that happens in this school, the continuum between primary and secondary school, the forums of trades that have an international dimension, the emphasis on the practice of modern languages, is a real asset. We are therefore fully in favour of Article 6.
ParlaMint-FR_2019-02-15-O1151.u13	Mr Bastien Lachaud has the floor.
ParlaMint-FR_2019-02-15-O1151.u14	The argument of the minister and Mr Reiss reinforces me in my position: it is a question of attractiveness, but it says attractiveness means competition. The EPLEI is therefore a tool for competition between schools. Since the aim of the scheme is to attract the best students, other schools will remain in only the most difficult pupils. Therefore, the mix that the minister boasted will not be favoured in any way. So we will have a two-speed system between schools of excellence on the one hand and the rest of the public service of national education on the other, which is dramatic.
ParlaMint-FR_2019-02-15-O1151.u15	Mrs Fannette Charvier has the floor to support Amendment No. 637.
ParlaMint-FR_2019-02-15-O1151.u16	This is a precise amendment.
ParlaMint-FR_2019-02-15-O1151.u17	Mrs Fannette Charvier has the floor to support Amendment No. 631 as corrected.
ParlaMint-FR_2019-02-15-O1151.u18	The original text only provided that these establishments would be established by decision of the Prefect, on the proposal of the local authorities. The aim of this amendment is also to seek the opinion of the Rector, the competent authority of the State in the field of education. This is because it is more aware of local needs and problems.
ParlaMint-FR_2019-02-15-O1151.u19	What is the Government's opinion?
ParlaMint-FR_2019-02-15-O1151.u20	Wisdom.
ParlaMint-FR_2019-02-15-O1151.u21	Mrs Elsa Faucillon has the floor to support Amendment No. 565.
ParlaMint-FR_2019-02-15-O1151.u22	Yesterday, I explained why we wanted this article to be removed, because of the inequalities and the selection it reinforces or introduces. In committee, while we were giving the EPLEI a legislative framework, we have also tried to give a framework to this mix that you are boasting, but you have rejected all the amendments in this direction. I was not convinced by your argument of trusting the future rectors: we trust the rectors, but we are also legislators, and it is possible to establish a legislative framework here. We therefore propose, in order to open the debate in this Chamber, that these establishments be created exclusively in the priority areas of city policy – QPV. The aim would be both to make these territories attractive – I prefer to avoid the term "attractive" – to a part of the population that does not live there and to benefit those who live there. Indeed, the legislative framework does not specify anything about the selection that will take place. I am not opposed to specialized courses in certain institutions. I live in a territory and in a neighbourhood where there is a high school of excellence – but located in a priority area of city politics: the population can take full advantage of its presence, since it is on the school map. In your text, we're off the school card. When I hear arguments about the attractiveness of a territory, it always reminds me of the principle of cultural or economic runoff. But I live in the Hauts-de-Seine, and I saw what it could give: we were told that it was necessary to attract the richest people, and it was in fact the poorest people who were excluded.
ParlaMint-FR_2019-02-15-O1151.u23	What is the opinion of the committee?
ParlaMint-FR_2019-02-15-O1151.u24	Your amendment would have the effect of depriving a certain part of the territory of this possibility of opening EPLEIs. But the ambition is to be able to open them everywhere, including in rural areas and in cities that would not be sufficiently disadvantaged to have PQs, but which would not necessarily be hyper-favoured either. My opinion is therefore unfavorable.
ParlaMint-FR_2019-02-15-O1151.u25	What is the Government's opinion?
ParlaMint-FR_2019-02-15-O1151.u26	Same opinion.
ParlaMint-FR_2019-02-15-O1151.u27	Mrs Elsa Faucillon has the floor to support Amendment No. 647.
ParlaMint-FR_2019-02-15-O1151.u28	He's forbidden.
ParlaMint-FR_2019-02-15-O1151.u29	Mrs Fannette Charvier has the floor to support Amendment No. 633.
ParlaMint-FR_2019-02-15-O1151.u30	Editorial.
ParlaMint-FR_2019-02-15-O1151.u31	Mrs Michèle Victory has the floor to support Amendment No. 713.
ParlaMint-FR_2019-02-15-O1151.u32	You are right: to make real progress on the issue of modern language learning, project policies are needed that allow all schools to develop in this direction. I will not go back at length on how best to develop these language skills. With this amendment, the Socialist and Related Group is part of the continuation of the debate in committee on the necessary supervision of donations and bequests to EPLEI. Like some colleagues in the majority, the amendment seeks to cap the 25% share of these donations and bequests in the resources of these institutions, in order to respond to a number of fears and avoid some drifts.
ParlaMint-FR_2019-02-15-O1151.u33	What is the opinion of the committee?
ParlaMint-FR_2019-02-15-O1151.u34	This amendment was tabled by Stéphane Testé in committee, which rejected it. I would simply like to point out, in substance, that the traditional public educational institutions – EPLE – can already benefit from donations and bequests without any particular difficulties, and that in ten years of existence the European School in Strasbourg has received a piano as such, in all and for all. Unfavorable opinion.
ParlaMint-FR_2019-02-15-O1151.u35	What is the Government's opinion?
ParlaMint-FR_2019-02-15-O1151.u36	Same opinion.
ParlaMint-FR_2019-02-15-O1151.u37	Mrs Fannette Charvier has the floor to support Amendment No. 632.
ParlaMint-FR_2019-02-15-O1151.u38	It's editorial.
ParlaMint-FR_2019-02-15-O1151.u39	Mrs Fannette Charvier has the floor to support Amendment No. 634.
ParlaMint-FR_2019-02-15-O1151.u40	The purpose of this amendment is to clarify that the conditions for checking the suitability of applicants for admission to an EPLEI are adapted to the age of the children. The aim is that, both in substance and in form, these tests do not require the impossible, especially for children under the age of 6!
ParlaMint-FR_2019-02-15-O1151.u41	What is the Government's opinion?
ParlaMint-FR_2019-02-15-O1151.u42	This illustrates that our goal is social mix. I indicated earlier that these institutions were both primary and secondary. The aim is to ensure that children from disadvantaged backgrounds who have no particular reason to practise a living foreign language in their family environment can integrate EPLEI from kindergarten and then follow the same language learning path as other pupils. This is part of what can be done in favour of this objective of social mix which, I believe, is shared on every bench. Favourable opinion.
ParlaMint-FR_2019-02-15-O1151.u43	Mrs Nadia Essayan has the floor.
ParlaMint-FR_2019-02-15-O1151.u44	This is an important subject. We have already mentioned in committee the issues of foreign language acquisition and the conditions of admission for children. Thank you for not imposing a condition on entry. But, during the hearings, we had identified the possibility for international high schools to support children integrating them at 4 or 5 years of age, for example, without yet mastering a foreign language, so that they could catch up fairly quickly with other students. I therefore hope that this provision will be kept in mind, so as to facilitate the integration of these pupils, with a social mix objective which the MODEM group supports.
ParlaMint-FR_2019-02-15-O1151.u45	Mrs Beatrice Piron has the floor to support Amendment No. 309.
ParlaMint-FR_2019-02-15-O1151.u46	It is always about learning children who do not already have multilingual skills. I will rely on the example of an institution close to my home, the international high school of Saint-Germain-en-Laye, which welcomes more than 4000 students, from kindergarten to high school. It is a high school of excellence with fourteen different international sections, whose students come from 80 different municipalities, sometimes relatively far away. It is therefore a high school of excellence, and there are many applications for admission. It is now very difficult to integrate the institution, even for children who live nearby. Tests exist for each class. I can understand that in elementary, at 9 or 10 years old, it is difficult to mix beginners with students who already have a perfect command of a language. However, with the aim of encouraging mixing and enabling non-binational children living nearby to integrate this learning path, children must be able to integrate EPLEI from kindergarten onwards. That is why I hope that there will be no language test on kindergarten students, and that we will not only integrate bilingual children into these schools. Minister, can you tell us how the selection will be made when applications exceed the capacity of these institutions?
ParlaMint-FR_2019-02-15-O1151.u47	What is the opinion of the committee?
ParlaMint-FR_2019-02-15-O1151.u48	Your amendment seems to me to be satisfied with the one we have just adopted. I therefore ask for his withdrawal. Failing that, unfavorable notice.
ParlaMint-FR_2019-02-15-O1151.u49	What is the Government's opinion?
ParlaMint-FR_2019-02-15-O1151.u50	Same opinion.
ParlaMint-FR_2019-02-15-O1151.u51	Mrs Beatrice Piron has the floor.
ParlaMint-FR_2019-02-15-O1151.u52	Mrs Charvier's amendment does not say that there will be no test, but only that the tests will be adapted to the child's age. One can very well develop a test to know whether a 3-year-old is fluent in a language or not!
ParlaMint-FR_2019-02-15-O1151.u53	The Minister has the floor.
ParlaMint-FR_2019-02-15-O1151.u54	To be even more explicit, the European School of Strasbourg carries out aptitude tests. We do not want to put her in a difficult situation because of the vote on this amendment. But of course, as the rapporteur mentioned, selection should not be based on language proficiency. That would, in fact, be contradictory to everything we have said. That is why the rapporteur replied that the amendment was satisfactory and that I did not develop.
ParlaMint-FR_2019-02-15-O1151.u55	Mr Paul Molac has the floor.
ParlaMint-FR_2019-02-15-O1151.u56	Mr Minister, I would like to know whether, in the end, the policy of national education will be that schools near the EPLEI gradually bring students to the level of language required to integrate them, whatever the language. Indeed, if we create a kind of ghetto, forgiveness for this excessive term, for outside students and that schools around them do not have the capacity to raise the level of children, the EPLEI will remain a total exception. You mentioned the balance sheets. As soon as awareness of German begins in kindergarten and primary school, there are pupils with the necessary level to integrate them. If a comprehensive policy is carried out in this context, it does seem to me to be coherent.
ParlaMint-FR_2019-02-15-O1151.u57	The Minister has the floor.
ParlaMint-FR_2019-02-15-O1151.u58	I'll just say one word – I wouldn't want us to have too long debates on each amendment. If I have to sum up my thinking into an idea, these establishments are locomotives, and certainly not bubbles. Therefore, territorial language policies are necessary, carried out by the EPLEI, as well as territorial musical, cultural and sporting policies will be carried out by other institutions. When institutions have particularly pronounced educational projects, they have a "halo" influence on the rest of the territory. This is clearly what we want, and this is an illustration of it, with a particular voluntarism for disadvantaged institutions that need to give themselves additional attractiveness.
ParlaMint-FR_2019-02-15-O1151.u59	Mrs Geraldine Bannier has the floor to support Amendment No. 804.
ParlaMint-FR_2019-02-15-O1151.u60	This amendment proposes that the establishment project include a strategy to promote social mix objectives. These schools must really work on a wide pool and promote knowledge of their existence so that all students, from all walks of life, can access them.
ParlaMint-FR_2019-02-15-O1151.u61	What is the opinion of the committee?
ParlaMint-FR_2019-02-15-O1151.u62	I share the requirement of social mix within public institutions, including EPLEI. I confess that the settlement project was one of the tracks I had looked at while working on the subject of mixing. But since the decision to assign students to the EPLEI is the responsibility of the rectors, it seemed to me more effective to entrust them with this responsibility. An amendment to that effect was adopted in committee. My opinion is therefore rather unfavorable.
ParlaMint-FR_2019-02-15-O1151.u63	What is the Government's opinion?
ParlaMint-FR_2019-02-15-O1151.u64	Same opinion.
ParlaMint-FR_2019-02-15-O1151.u65	I have before me a number of amendments to the additional article after Article 6. The first two, Nos. 83 and 928, are identical. I call Mr Le Fur to support Amendment No. 83.
ParlaMint-FR_2019-02-15-O1151.u66	This is the first in a series of fifty-five amendments relating to regional languages. Last night, we discussed this issue that concerns us. There will be several stages, there will be various possibilities, but we expect changes. If they do not intervene in the examination of this text, we will have little opportunity to return to it during this parliamentary term. Amendment No 83 deals with the introduction to regional languages: there is no question of bilingual education, but children in the territories where regional languages exist – for Brittany, I am thinking of Breton and Gallo – must be able to have this initiation. This teaching must also take place during school hours, not during the canteen or after classes! The public authorities must also inform families about this possibility. In short, this is to encourage institutions to respond to a demand from families by proposing this initiation.
ParlaMint-FR_2019-02-15-O1151.u67	Mr Jean-Félix Acquaviva has the floor to support Amendment No. 928.
ParlaMint-FR_2019-02-15-O1151.u68	It's the same. Since the constitutional recognition of regional languages by the constitutional revision of 23 July 2008, they have been at the highest level of our country's legal standards. However, we still have to work to implement a much more consistent legislative framework to save and promote them, by laying down specific rules for the protection and promotion of their teaching. The aim of the amendment is to indicate, after the third paragraph of Article L. 111-1 of the Education Code, that "As part of the existing hourly volume, regional languages and cultures may be taught to the children of the families concerned". It is clear from the general provisions of the Education Code that concrete progress will be made. [[Applause on a few benches of the LT and LR groups. – Mr. Didier Le Gac also applauds]] Regional languages are a wealth. They provoke passionate debates: it is not a question of wanting a delict of the Republic, but of enriching it, by allowing the children, the individuals to be rooted, even as our country is experiencing a social crisis coupled with an identity crisis. Rooting is not confined: the roots of a tree allow it to develop its branches. The Corsican language allows for example to go to Tuscany, to Sardinia, to Lazio, while remaining in the Republic. It is a guarantee of immediate openness that makes us aware of our common membership within the European Union.
ParlaMint-FR_2019-02-15-O1151.u69	What is the opinion of the committee on these identical amendments?
ParlaMint-FR_2019-02-15-O1151.u70	Unfavorable opinion. These amendments involve making the teaching of the Corsican language compulsory, which I do not think is appropriate.
ParlaMint-FR_2019-02-15-O1151.u71	What is the Government's opinion?
ParlaMint-FR_2019-02-15-O1151.u72	Since we are addressing the issue of regional languages, allow me to share with you the Government's comprehensive approach to this issue. The various statements made last night by each other do not seem to me to be contradictory. We are all very attached to the French language, constitutionally consecrated. We want all the children of France to have a perfect command of writing and speaking in French, to be attached to their language and to cultivate its subtleties in a world where rooting is indeed necessary. The vocabulary of our language must not become too impoverished, or be too influenced by the dominant language. This is a major issue that is absolutely not contradictory to the promotion of regional languages, which share their roots with French and share the wealth of our country. We are all in the same boat called France, where we speak different languages, beside, of course, a basic language, the French language. Promoting one does not mean not promoting others, on the contrary. You just said, Mr. Acquaviva, there are wide bridges between languages. At present, we strongly promote the teaching of Latin: it is clear that a number of French regional languages have very deep Latin roots. In the future, a series of pedagogical innovations will lead to proposing to teach Latin with the associated regional languages, which will be beneficial both in educational and cultural terms. It is not a question of opposing a bit binaryly such a regional language to French, but of showing the existence of a real cultural basin. I believe that we can fully agree on these issues. I just said, the debate must not be binary. I would add that it is necessary to avoid any position of victimisation of regional languages: on the contrary, it is in the interest of the promotion of regional languages that they show their serene strength and progress. I mentioned the "small homelands" two days ago. Without caricature of the Third Republic school, which has not always sought to crush regional languages, the fact is that yesterday we spoke the regional language at home, but not at school. Today, it's a bit the opposite: we speak regional languages at school but not so much at home. I have no value judgment: it is a fact that must be kept in mind, even if there are exceptions of course. The Basque Language Public Office was established in 2004, and in July 2008, the constitutional revision to which you referred, Mr Acquaviva, made it possible to introduce Article 75-1 into the Constitution: "Regional languages belong to the heritage of France. In 2010 the public office for the Breton language was established and, in 2015, the law on the new territorial organization of the Republic – the NOTRE law – prohibited a mayor from refusing the enrolment of a child residing in his municipality in the school of another municipality which provides regional language education. In 2015, the Occitane Public Office was created. In July 2016 the aggregation of languages of France was created, with the following options: Corsican, Basque, Breton, Catalan, Creole, Occitan-language of Oc and Tahitian. In 2016 the public office for the Catalan language was established, and in 2017 the circular on the teaching of regional languages and cultures was issued. Regional languages and cultures now have a real place in the education code. Thus, article L. 312-10 provides that "their teaching shall be given priority in the regions in which they are in use", and that such teaching shall be provided "in accordance with arrangements laid down by agreement between the State and the territorial authorities in which these languages are in use". It distinguishes two forms of teaching: "regional language and culture education" and "bilingual French and regional language education" and refers to information provided to families. Article L. 312-11 provides that "first- and second-degree teachers are permitted to use regional languages", especially to promote the acquisition of the common knowledge base and curricula. Article L. 312-11-1 states: "The Corsican language is a subject taught within the framework of the normal schedule of kindergartens and elementary schools in Corsica. » I also stress that, most recently, in 2019, we decided that the teaching of foreign languages, one of the seven specialties of the terminal cycle, is present almost everywhere, will also include regional languages. This is a considerable step forward. I saw that it had been minimized, and I want to make things right. Thanks to this provision, and this is completely new, even today, a second student can choose, for next year, a four-hour weekly teaching of a regional language and then a six-hour teaching the following year. Today, more than 300,000 students are taught regionally, in various ways, whether in public, contract or out-of-contract schools. This ranges from a few hours in primary school to bilingual education with hourly parity, but it can also involve a high level of exposure to the regional language in the networks or a particularly proactive extracurricular policy. I would point out that the Plan on Wednesday provides a framework for this practice, especially since they are designed by municipalities with the help of the State. Government after government, it is therefore clear that there is a clear policy of recognizing and taking into account regional languages, a policy which, I repeat, is not contradictory to that which is very strong in favour of the French language. We will have to continue the same path with today's votes. There must be only winners, because we are all on the same boat, eager to cultivate the richness and linguistic strength of our students.
ParlaMint-FR_2019-02-15-O1151.u73	Mr Gilles Lurton has the floor.
ParlaMint-FR_2019-02-15-O1151.u74	Minister, I fully support Marc Le Fur's amendment, of which I am a co-signatory. I am quite satisfied with the positions you have just expressed, but not completely. We believe that the demand for regional and minority languages to be taken into account has already been the subject of a great deal of debate, particularly in recent years, with the proposal, widely supported by Marc Le Fur, to adopt a charter of regional languages. One could even go back to 1957, since from that time on, the European Consultative Assembly had voted a resolution to encourage the introduction of measures allowing minorities to use their own language. Today, discrimination persists against those who use regional and minority languages. We can no longer accept this situation, because these ancestral languages are fully part of our heritage and contribute to the cultural wealth of our country, as you yourself said. In a context of growing internationalisation, these languages are important social and cultural landmarks for European citizens. Does that mean that they go against the unity of the French nation to which I, like you, am viscerally attached? Of course, no: of course, our Republic remains indivisible! As a Breton, I see that, on the spot, our citizens are increasingly showing us their attachment to the Breton language, and their will for this regional language to continue through generations. If we are not able to encourage this will, this cultural heritage, this invaluable wealth will disappear from our country, which would be truly regrettable. The amendment allows me to reaffirm my support for the Diwan schools. Minister, I must tell you that the reform of the baccalaureate does not go in the direction of better schooling in this type of school which teaches regional languages.
ParlaMint-FR_2019-02-15-O1151.u75	Mr Paul Molac has the floor.
ParlaMint-FR_2019-02-15-O1151.u76	It would appear that there is confusion between proposal and obligation. Madam rapporteur, I would like to remind you that the decision of the Constitutional Council of 17 January 2002 confirmed the principle of teaching Corsica during school hours, and that it is possible for families to refuse their child to follow it. I point out that at school, almost everything is compulsory – music, drawing, natural sciences... Everything except two subjects: regional languages and Latin. However, since article 75 (1) of the Constitution affirms that regional languages belong to the heritage of France, the question of their preservation will one day have to be asked. If this provision does not create an obligation for pupils and citizens, as decided by the Constitutional Council, it gives the State, which will have to strive to preserve this heritage, as it does for castles and old stones. You have to choose. We can decide to end regional languages, but then we have to say it! Otherwise, given that they are all classified as being in great danger of extinction by UNESCO, a policy must be pursued to eliminate this threat. In this context, it seems interesting to me to generalize the teaching of these languages in certain territories. Otherwise, when ten people meet around a table, only one of which does not speak the regional language, we obviously find ourselves all speaking French. As a result, we speak much less regional languages, and our language skills are lost. It is therefore important to reinject regional languages massively into teaching, so that people, even if they do not speak the regional language, at least understand it. This would create another dynamic for these languages, and also for plurilingualism.
ParlaMint-FR_2019-02-15-O1151.u77	I have before me two identical amendments, Nos 81 and 929. I call Mr Le Fur to support Amendment No. 81.
ParlaMint-FR_2019-02-15-O1151.u78	Madam rapporteur, the previous amendment did not impose any obligation, as Paul Molac said. Although the administration had to propose an initiation, there was no obligation for parents to retain this possibility. Minister, I very much appreciated what you have just said. You said it perfectly well: we used to learn regional language in the family, not in school. I am part of this generation, but it is true that it no longer exists in many families and that we are now learning the regional language at school. This is all the more important, and even more so in some regions where the language is not supported by a large European language such as Alsatian or Catalan. For us, Bretons, our neighbours are far away – among others the Welsh – even though relations are relatively close. You mentioned Latin, but Breton is not a Latin language. Nevertheless, he has been very much imbued with the French language, as you well know. I come to Amendment No 81. I think there are some very interesting things in your reform of the baccalaureate, but until then the candidate could choose to take the regional language test without it competing with a foreign language, i.e. presenting two foreign languages plus one regional language. That was great. You insist that young French people will now have to master two foreign languages, and I agree with them. But unless you say otherwise, it seems that they will no longer be able to add the regional language. Students will then be confronted with a Cornelian choice: two foreign languages, or one plus the regional language. People who choose a regional language want to give their children every chance. They know very well that learning several foreign languages contributes to this. There should be no contradiction between learning the second foreign language and learning the regional language. I therefore hope, Minister, that the reform of the baccalaureate and all that is related to it, such as Parcoursup, will maintain the opportunity for young people and their families to learn two foreign languages plus the regional language of their choice.
ParlaMint-FR_2019-02-15-O1151.u79	Mr Jean-Félix Acquaviva has the floor in support of Amendment No 929.
ParlaMint-FR_2019-02-15-O1151.u80	Of course, I agree with Marc Le Fur's comments. The so-called regional languages do not replace the learning of foreign languages, on the contrary. This amendment clarifies the situation, in particular by specifying in Article L. 121-3 of the Education Code that "French-language bilingual regional schools and institutions may use teaching methods in the regional language beyond the framework of hourly parity" What Marc Le Fur has just said is important: we must not compete with foreign languages, in other words, the utilitarian side of things, for obvious professional reasons, with regional languages. This is what can happen through the reform of the baccalaureate. And if we come back to the burden of ensuring that the rules for the protection and promotion of regional languages and their status are much more precise, it is because, despite the texts, beginning with article 75-1 of the Constitution, the obligation of the State to provide resources, particularly for the training of teachers, has often not been properly fulfilled, despite the danger of death that threatens these languages. Today, euthanasia continues: it's been a long time since we've taken four steps forward, to give ourselves a good conscience, and five steps backwards, waiting for complete death. There, it's enough to say that languages are no longer spoken in families, and that we can stop everything! However, Minister, where I disagree with you, it is important not to forget that the repression of the so-called regional languages was fierce under the Third Republic, to insinuate in the minds of people that their language and culture were a sub-language and a sub-culture. This has been a reality. One day it will have to be more objectively understood, with historical hindsight, but it cannot be denied.
ParlaMint-FR_2019-02-15-O1151.u81	Yes!
ParlaMint-FR_2019-02-15-O1151.u82	There has been a massive destruction of these languages. It is therefore normal, since they are now claimed to be saved, to restore a genuine obligation of means, which means that the status of these languages must be clarified, in accordance with the basic legal provision of Article 75(1) of the Constitution.
ParlaMint-FR_2019-02-15-O1151.u83	What is the opinion of the committee on these identical amendments?
ParlaMint-FR_2019-02-15-O1151.u84	Ladies and gentlemen, your amendments aim to ensure that teaching in the regional language can be provided beyond hourly parity. However, it seems to me that hourly parity is a limit that must not be exceeded.
ParlaMint-FR_2019-02-15-O1151.u85	That's not the point! You don't have the right file!
ParlaMint-FR_2019-02-15-O1151.u86	While the Constitution certainly provides in Article 75(1) that regional languages and cultures belong to the French heritage, and it is to be welcomed,...
ParlaMint-FR_2019-02-15-O1151.u87	And draw the consequences!
ParlaMint-FR_2019-02-15-O1151.u88	... it also provides in Article 2 that "The language of the Republic is French". Unfavorable opinion.
ParlaMint-FR_2019-02-15-O1151.u89	That's an answer next to the plate! We have to work, Madam rapporteur!
ParlaMint-FR_2019-02-15-O1151.u90	Mr. Le Fur, please. I believe that the House has listened to you with great attention, do the same. What is the Government's opinion?
