ParlaMint-IT_2019-07-10-LEG18-Senato-sed-131.ana.u1	The sitting is open (9.31 a.m.). The Minutes shall be read.
ParlaMint-IT_2019-07-10-LEG18-Senato-sed-131.ana.u12	I declare the general discussion open. Senator Fantetti is registered to speak. You have the right to do so.
ParlaMint-IT_2019-07-10-LEG18-Senato-sed-131.ana.u13	Mr President, I would like to say that I will speak on the specific issue of the foreign constituency, which I am honoured to represent in this House, and on the effects that this reform would have on this specific representation of the interests of Italians abroad. I want to point out to this Assembly, once again, a phenomenon very little known by the Italian media: in the face of some migrations to our country, there has been for about fifteen years a real migratory explosion coming out of our country, which has led to an increase in the registration of Italians living abroad (AIRE) who have now almost 5.5 million members. We are therefore talking about 10% of the Italian population and we have repeatedly demonstrated in this House that in the official data of the authorities of the countries in which so many Italians reside this figure is underestimated and in fact there are many more. So we are talking about 10% of the Italian population living abroad, Italian citizens with political rights deriving from Italian citizenship, but residing abroad. They did it not by choice, but by compulsion, like their fathers and grandparents, who were forced to go abroad to find a better way of life. The exceptionality of Italian emigration, which has been going to all the countries of the world for over two centuries, has had an institutional recognition in these classrooms with the establishment of the foreign constituency. It is therefore a recognition of political rights finally intervened in the years 2000 and 2001 with two laws of reform of the Constitution, which gave a specific representation to this audience. Faced with a demographic decline in this country - which the rapporteur has forgotten to consider, but in Italy the population is falling - there is an explosion of members of the AIRE: the proportionality, which is extremely discriminatory, between representatives in the Parliament of the foreign constituency and the audience of Italians abroad is therefore worsening from day to day. At the end of this day, a few hundred Italians enrolled in AIRE who abandoned this country, according to the reform under discussion, will not have the opportunity to have representatives in the institutions. In fact, the linear cut of 33% is applied to the audience of representatives of the foreign constituency, already extremely discriminated against, and the numbers quoted for Italy are completely different from those that we Italians have abroad. I also imagine that we six senators elected abroad will vote in favour of this reform, while respecting those who voted for it, and we represent at least a triple audience of those who represent our colleagues in Italy. The cut intervenes on an already very discriminatory number, which would become almost double, with effects on the different divisions, in particular in Europe, where there are 3.1 million Italians, who would have a representative to the Senate of the Republic. The nice proposal, made by some thinkers of the Movimento 5 Stars, to draw the parliamentary representatives perhaps could be useful. It would therefore be appropriate to draw by lot a representative in this Assembly - which is not made up of nominated but elected - which would represent 3.1 million Italians (a number that will continue to increase), who have the same citizenship rights as all other Italian citizens, but are abroad. Otherwise, the only effect will be the election of the richest, because in front of such an audience an electoral campaign can only be undertaken by someone who has enormous resources. I therefore challenge you to show us the economic effects and benefits of this reform compared to the linear cut on the foreign constituency: two fewer places. I don't really feel like you guys can brag about something like that. There is no effect in terms of the efficiency of Parliament's work, on the contrary, it is lost. The political effect, on which you will really have to recognize some coherence, is to take away from the representation of Italians abroad any capacity for action: it is a political effect that this majority - alas - is trying to impress on the work of this legislature from the start and is succeeding with some effectiveness. You have abolished the Committee on the Issues of Italians Abroad, the only institution present in this branch of Parliament dedicated to Italians Abroad, which was in force by three legislatures. It is an absolute shame that this House and this majority have decided to cancel the legacy of the Committee's work on the issues of Italians abroad by three legislatures, replacing it with a survey of the phenomenon of Italians abroad, which has not yet started. I dare you to imagine that in your territories someone comes to tell you that representing 10% of the population, instead of the parliamentary representatives and the committees in which these interests are discussed, you think you will undertake a cognitive investigation. Let's do a cognitive survey of Sicilians or bells, which are still 5 and a half million people, like Italians abroad: it is shameful, but very consistent with your political plan, which is clear; that is, to take away their political rights from Italian citizens living abroad. I would also like to point out to you and the rapporteur that, in the devastating fury of this draft, you have incurred a bad mistake, as we have already said in the debate during the first part-session here in the Senate and also in an explanation of vote, a vote which on our part has always been consistently opposed. You have violated the principles which inform the Italian constitutional order: the principle of democratic representation, the principle of equality between citizens, the principle of reasonableness of rules and the principle of proportionality between means and end of representation. I have mentioned four cardinal principles with respect to the Italian Constitution since the time of the constituents - if we want to mark a difference, as well as a rapporteur, between the constituents and subsequent legislators, even if there is no law - that inform the supervisory activity of the Constitutional Court, which we will try to address. Similarly, we will bring to the attention of the maximum guarantor of the Italian institutional order and of the principles which inform him, namely the President of the Republic, the obvious violation committed against the foreign constituency with such a cut (four senators and eight MPs representing 10% of the population). I would point out to you that the Italian Constitution and legal order do not discriminate against citizens on the basis of race and religion, but also on the basis of residence. This is therefore a clear violation of three or four general principles of the Italian constitutional order, which we will enforce, and this plan for the destruction of the political rights of Italians abroad that you are pursuing will not go to the end. [[Applause from the FI-BP Group]]
ParlaMint-IT_2019-07-10-LEG18-Senato-sed-131.ana.u14	He's enlisted to speak Senator Pagano. You have the right to do so.
ParlaMint-IT_2019-07-10-LEG18-Senato-sed-131.ana.u15	Mr President, I have already expressed the orientation of our Group and what I think in particular of this spot reform proposed to us in the Committee on Constitutional Affairs, since I was unable to take part in the debate that took place at first reading here in the Senate a few months ago. Yes, it is true that the Forza Italia Group, at first reading, voted in favour of this reduction and this linear cut by Members of Parliament (deputees and senators), in an incisive way, of about 37%. It was said, however, that that vote was a form of openness of credit to the present majority which proposed it, because it was clear and logical that, as it was proposed, a simple linear cut of the parliamentarians, not accompanied by a structural and harmonious reform of our Constitution, not only did not make sense, but would result in failures and damage, perhaps even irreversible. Such a reform would certainly produce them if it were finally adopted. Well, that opening of credit has gone and I am sorry to disappoint Mr Calderoli, who was hoping for a reconsideration, because it was we who wanted it, dear colleague. Frankly, in spite of a climbing on the mirrors even a little' watered down, I see no other purpose in this populist provision than to continue to nourish, with Jacobine attitude, the feeling of anti-politics that snakes in the population and that paradoxically some politicians feed. It's like saying, let's hurt ourselves, with an obviously self-harmful attitude. It is like saying that politicians are hurting their jobs, we are too many in Parliament - even if we are 60 million inhabitants - and since 1948 everyone else has been wrong: we are good and we have understood that in four cats we can do better, even if then maybe a single college will contain a million voters. Imagine, then, what logic the majority system would have, which should bring the electorate closer to the elected one, with one million inhabitants per single-member college. Forza Italia is deeply disappointed by the attitude that this majority intended to pursue in such terms. I must say that we are not opposed on principle to reducing the number of Members. I do not say that in terms of merely auspiciousness. Forza Italia, together with the Northern League - said Mr Calderoli himself who subscribed to that measure and then changed his mind over the years - and to the National Alliance - and I therefore address my colleagues in the Brothers of Italy - subscribed to a comprehensive and harmonious reform that provided, of course, the principles of the so-called check and balance, that is, a balance such that within our Constitutional Charter the powers were balanced among themselves, such as - for example - the legislative power with respect to the executive one. That reform was launched in 2005 and signed by my colleague Calderoli as well as by Senator Pastor of Forza Italia and others, if I remember not badly also by Senator La Russa. That reform, Mr President, said completely different things than what the measure says in our examination. I'm glad you're nodding, ma'am. That reform provided - and I tell you this because it is right for it to remain in the proceedings - for a reduction of senators and MPs: from 630 to 518 Members and from 315 to 252 senators; it therefore provided for a significant reduction, and not as marked as the one under consideration, based on principles and criteria which were to safeguard the establishment of balances, avoiding distortions between the various powers of the State. It was expected, for example - I remember it at the North League, because at the time it was called the North League - that the second Chamber, which remained in its place, namely the Senate, became the Federal Senate, in the sense that it would have to deal with issues relating to local authorities and regions; You're afraid that since the birth of the North League, they've been at the heart of that political movement. Well, this is a commercial measure - I would like to stress the commercials - proposed by this majority, which wants to approve it quickly and furiously. Just think about how Mr La Russa was treated in the Committee on Constitutional Affairs. For the sole reason that he asked for a 48-hour delay, he was mistreated. And that postponement requested would not have changed the timetable at all, because in any case we would have arrived here today to discuss the measure. Not even that: parliamentary practice is also changed by the current majority. We take note of this, and Mr La Russa will also take note of it, who has suffered a small procedural scorn in the parliamentary reports. What's the rush? To approve in haste and fury what? A simple linear cut in the number of parliamentarians, without changing - and that is the point - the structure of our State, without changing our Constitutional Charter in a harmonious way. Colleagues, then it's only fair to know that at least Senator Pagano will never sign a populist stuff that only feeds anti-politics. I am proud to be a representative of the voters of my region. I am proud to be here to represent a piece of our country's history and I do not intend to pick up the cornerstones, the pillars of our Constitution, designed by people far more prepared than we, who came from the Second World War, who had suffered and had the skills, skills and knowledge that we here unfortunately - I am sorry to say - dream about ourselves. Those people we're mistreating to do what? To speed up legislative activity? To improve the quality and the legislative product of the Italian Parliament? No, gentlemen, it is the exact opposite: to make it worse and create serious distortions in the balance between powers, making the executive power much stronger and Parliament useless. At this point, given, among other things, that this absurd reform of the reduction of the number of parliamentarians is also associated with another reform - in some ways it can be even worse qualified - on the proposed referendum, which throws another hammer at the foundations of our Constitution and especially our principles of representative democracy, it is absolutely useless for the Italians to vote, because so much those who will be voted and elected to represent them will no longer have any power. Mr President La Russa, you who are chairing - and I regret this today - a dark page, very bad in the history of the Italian Parliament, and anyone who is following us know - and remains on the Reports of this House - that Senator Pagano di Forza Italia declares that he is absolutely opposed to the terrible massacre launched at the foundations of the State and the principles that establish the contrast between the distortions between its various powers. [[Applause from the FI-BP Group]]
ParlaMint-IT_2019-07-10-LEG18-Senato-sed-131.ana.u16	Senator Pagano, thank you for the many quotations you have made, for which I am particularly grateful, whatever they may be.
ParlaMint-IT_2019-07-10-LEG18-Senato-sed-131.ana.u17	Senator Binetti is registered to speak. You have the right to do so.
ParlaMint-IT_2019-07-10-LEG18-Senato-sed-131.ana.u18	Mr President, members of the Government, ladies and gentlemen, today's issue is one that intercepts, in some way drugged public opinion, a consensus that is all too easy; it is part of that anti-political attitude on which for a long time, in different situations and circumstances, not only some parties but also a number of significant members of the public are insisting. The logic that presupposes consensus on the drastic reduction in the number of Members of Parliament is the great doubt that arises on one point: what are so many politicians for? What are so many Members for? And the reflection on the exclusive - let me use the term - in the event of a quantity seems to somehow cancel out all the other factors - and I would also say other values - which define the quality and presence of Members of Parliament. What could have led to the dark feeling that Members actually do little good? One that I believe can and should be denounced also in this legislature is objectively the systematic substitution of parliamentary work, and therefore of that work done by the legislative power that is never self-referential, because it unfolds in the deep dialogue with the social components. None of us would ever write a bill without having first intercepted sensitivity and understand the doubts, needs and labors on which it somehow falls. Our main work in this House and in the Commissions is only the head of the iceberg of a much deeper, more widespread and more widespread work carried out on the territories, sometimes geographical, sometimes cultural, sometimes professional. Much of our work is precisely to rebuild that relationship of trust between the institutions - in this sense Parliament is perhaps the highest of the institutions - and so-called civil society. In this context, the idea that legislative work is systematically bypassed by what we call the trend in progress of the decree of urgency is certainly not helpful in identifying the effective and in some way unique interlocutor in Parliament to bring within Parliament's classrooms, in the form of a legislative instrument, the demands of a changing society, which calls for constant and continuous adjustments, but always and above all of the answers. Devalue the work of the Member of Parliament becomes the easiest alibi to demand its reduction. When we put the issue of reducing the number, therefore, the basic question is what a Member of Parliament needs, how can one value its contribution? Historically speaking, when an institutional architecture was established, the parliamentarians were given competence and the parliamentary dialectic - to put it simply - between majority and opposition was attributed to the true salt of democracy. It is no longer important to be in the majority or in some way it cannot be considered devalued to be in opposition, because it is precisely in a strong and meaningful dialectic that the designs of law that intercept more and better the needs of the country take shape intelligently. But, for this to be given, there is a need for a positive dialectic not only between majority and opposition, but also within the majority and the same opposition. In other words, there is a need for that pluralism of ideas which is the only guarantee, so that in fact what is a bill that has in some way the greatest possible degree of truth, effectiveness and efficiency can be approved. Now, as part of a reduction in the number of Members, even within the Groups, what is called the dominant thinking prevails. By definition, the majority - otherwise it would no longer be a majority and, among other things, in the Senate there is no instance that recognizes that proportional right present in the House to present drafts of law and to be rapporteurs; we know that the Rules of Procedure of the Senate do not provide and does not allow this - in the Senate practically presents a draft law, discusses it in the Commission, approves the amendments, makes the final report, votes the mandate to the rapporteur, takes it to the Chamber and approves it. If the majority is small, if it reduces its point of interest in the same number of parliamentarians, inevitably that political group will tend to select the single thought, that is to say, it will tend to select what we have experienced as the greatest risk of democracy, which is the attitude of complacency towards those who govern the Group, those who govern the party, those who govern that situation. The less pluralism there is, the less pluralism there will be, not only in Parliament, but also within the Groups. I'm not saying anything to the President, the members of the government and our colleagues. Before that, Mr Fantetti made a very profound, careful and acute analysis of the Group of Members elected abroad. I could say something similar with regard to that tiny group - we are not even a group - made up of us, Members of the UDC. We live, work and network together with our colleagues from Forza Italia. It would be very easy to delete this Group, but to do so, in such a logic, would also mean to erase a historical memory; it would mean to erase the power of a symbol and a historical line that have crossed the life of our Republic over the last seventy years. Attention to minorities is something that defines the high quality of a democracy. As we all know, the power of a chain is measured by the strength of its weakest link. The power of a Parliament is measured by the quality of respect for its minorities. The cut is clean, and I would say even openeristic. Are you 600? All right, you're 400. Are you 300 and more? All right, it's 200. According to what logic does the number decrease? What's the reason? Is it efficiency? Colleagues, you have to be careful. This is a historic moment in which we are all trying to subtract the internal democracy of the parties from the logic of the boss I do everything, to bring it back in a context in which the internal democracy of the party is the one that makes opinion and culture and guarantees the representativeness of the points of view. In this way, we will end up creating a Parliament that is not only elected - that is what we like - but also very faithful. And the smaller the margin, the more the requirement will be that of fidelity. We are living in a culture that - we all know - is that of individual rights, in which everyone cultivates the richness of opinions and confronts the power of nuances. I believe that reducing all this, in order to bring it back to false efficiency, would be a very serious injury not only to the quantity but also to the democratic quality of Parliament and would remove one of its most beautiful prerogatives, which is the personal freedom of parliamentarians to express themselves in science and conscience - yes - as provided for in the Constitution. [[Applause from the FI-BP Group]]
ParlaMint-IT_2019-07-10-LEG18-Senato-sed-131.ana.u19	He's enlisted to speak Senator Romano. You have the right to do so.
ParlaMint-IT_2019-07-10-LEG18-Senato-sed-131.ana.u20	Mr President, there has been a great deal of talk about the cut in the number of Members, not always with due serenity. I shall try, therefore, to make a brief, clear and simple account, not of the content of the constitutional law that this House is preparing to approve, but of why it is right and necessary to approve it. I believe that, with regard to the much feared vulnus of representativeness, the real problem is not the quantum, but the quis and the quomodo, that is, the who represents and how the citizens are represented. Ladies and gentlemen, the idea of representativeness cannot be dissociated from that of responsibility, as it cannot be completely detached from the interest represented. And here's the thing. Is the democratically pursued interest really that of the nation? Or is it more and more of the power groups represented in Parliament? The real objective is to ensure that democratic participation is effective and, in order to be effective, the problem is not numbers; the problem is to bring the sceptre back into the hands of the citizen. It is not an attempt at democracy, therefore, as someone wants us to believe, because the real problem of modern democracies is not the number of elected people, but the space within which each citizen can exercise his sovereignty. The reduction in the number of parliamentarians - as long supported by the 5 Star Movement - must necessarily be accompanied by the strengthening of direct democracy, in a flexible system that allows a widespread and close exercise of sovereignty. It is clear that today there is a wide gap between the demands of an increasingly evolving society and the times of political representation, of the democratic process proper, which testifies to the senescence of representative democracy. It is therefore necessary to reconstruct the geography of power that underlies democratic institutions and reflects the structure of our society. It is necessary to understand whether and to what extent a plurality of representatives allows a good democratic dynamic. Perhaps we should all look with less scepticism at this process of renewal of democracy, so that the democratic mechanism does not implode. Political representation must therefore be integrated with the technological development of an era, ours, which no longer involves a virtually total separation between representative and represented, both from the point of view of information and knowledge. The determination of the political will of the citizens, of the nation, does not require any more cumbersome procedures, it does not contemplate liabilities, but is fueled by total discourse. What is about to happen is the inevitable transition from the democratisation of the State to the democratization of society, where the public service, in all its forms, must be as much as possible the main occupation of the citizens. [[Applause from the M5S Group]] For this reason, in line with the provisions of the current government contract and with what has always been supported by the Movimento 5 Stars, the cut of parliamentarians is not a threat to representative democracy. It is not a threat to representative democracy! It is the right corrective to increase Parliament's efficiency and productivity and to rationalise public spending, aligning Italy with the most modern western democracies in a path that can no longer be postponed of total renewal and modernization, which sees the citizen directly involved in democratic choices and fully responsible for them. [[Applause from the M5S Group]]
ParlaMint-IT_2019-07-10-LEG18-Senato-sed-131.ana.u21	He's enlisted to speak Senator Malan. You have the right to do so.
