ParlaMint-NO_2010-04-21.ana.ud1911e26	The representative, Rigmor Andersen Eide, will present a proposal for a representative.
ParlaMint-NO_2010-04-21.ana.ud1911e102	I agree that the ash cloud shows that we are a vulnerable society, but they also show that we are capable of mobilising, and it is strongly mobilised within the healthcare community, so that we have strengthened preparedness where it has been most vulnerable. It is strongly mobilised within other transport companies – bus companies, NSB – and I want to praise all those who have done a great job there. Then, of course, we can learn from this crisis and certainly develop new and better preparedness in the future. But I'll get back to the road. I stress that I am not satisfied with the road standard in Norway. That's exactly why we're going to spend 322 billion kroner in the next ten years to renovate the road and track in Norway – more than ever. If we were satisfied, we wouldn't have had to spend NOK 322 billion. It's precisely because we're not satisfied, that we're going to spend so much money on the way. And so it's like we've opened up a lot of motorways in recent years. It's not always the best goal of whether the government has made a formidable effort. First of all, we need maintenance, second, we need tribal roads elsewhere than where we make motorways, and thirdly, opening up motorways is often a result of previous decisions.
ParlaMint-NO_2010-04-21.ana.ud1911e109	There will be three follow-up questions – first the representative Bård Hoksrud.
ParlaMint-NO_2010-04-21.ana.ud1911e112	First of all, what the Prime Minister says is not right, for 322 billion dollars is all about infrastructure, not just the road and the track. I think it's a little bad that the Prime Minister didn't continue to drive a little further up in Norway, so he got to see how the everyday life of Norwegian professional drivers and all those on the road is actually. It is probably true that when you drive into Norway, some of the road sections have improved, but further into Norway it is extremely poor. Nor is it the government that is going to take responsibility and credit for having a lot of people gone – it is despite all the drivers who have largely paid everything in the form of extra taxes and taxes, and not least in the form of tolls. Road Director Terje Moe Gustavsen said at a conference in January that even with the increased appropriations, the downturn will continue on the Norwegian road network, despite what the Government provides in the national transport plan. So the prime minister says there's a lot of investment in highway development. We're going to build 240 kilometers over the next ten years. Poland has built 440 kilometers.
ParlaMint-NO_2010-04-21.ana.ud1911e119	I would like to repeat what I said instead. Road standards in Europe vary. It is also in Norway. There's a lot of good new road in many places, and then it's very bad, old road elsewhere in Norway. Just because we are not satisfied with the road standard in Norway, we are going to spend a lot of money on the road in the years to come, and significantly more than the government supported by the Progress Party in the 2001–2005 Great Britain. So you get more money with governments The Progress Party does not support it than with governments The Advance Party supports it, and it should be a crossroads for the electorate of the Advance Party. When it comes to road development, it's true that the number 322 billion is for road, rail and port, and I'm proud of all three areas, because we're betting on them all. We need a combined transport effort here in the country. I was specifically asked to tell about my impression when I crossed the line, and then I pointed out that when we crossed the line, we went from a poor road standard to a good road standard in Norway.
ParlaMint-NO_2010-04-21.ana.ud1911e126	Ingerd Schou - for follow-up questions.
ParlaMint-NO_2010-04-21.ana.ud1911e130	The right has proposed the use of new tools to build roads and railways more quickly – Public Private Financing Cooperation. The Minister of Transport said yes, the Minister of Finance said no, but he was basically positive when he was in charge. What does the Prime Minister want?
ParlaMint-NO_2010-04-21.ana.ud1911e135	The Prime Minister wants what is in the national transport plan, and that is that we should give more money to road and rail. Then we don't have to finance projects, because there won't be anything cheaper about borrowing projects, but it'll just be a lot easier to finance projects. The Norwegian State's problem is that we do not have a lack of cash. There are two challenges we have, one is pressure in the economy in the periods we have, and the other is long-term funding of popular welfare/pension. None of the problems are solved by financing loans for road projects. The important thing is that we donate significantly more money to the road now than before, and that makes it better and more roads. We're not satisfied, we're not in the goal, but the direction is a completely different one. In addition, I believe that every time a right-wing representative says something about the road, you have to start by saying I'm sorry that you have used so little in the way of the years you put yourself in government. Because it's a little strange to hear this intense interest in spending money on the road, after you've been in government for many years and neglected the way and the way to those degrees. Then it's okay to get into opposition and suddenly have a lot of money for things you didn't have when you were in position – but you might start to be a little humble.
ParlaMint-NO_2010-04-21.ana.ud1911e142	Rigmor Andersen Eide – for follow-up questions.
ParlaMint-NO_2010-04-21.ana.ud1911e145	Infrastructure is about more than road and rail. The recent report, State of the Nation, presented on Construction Days, shows that the reduction in the maintenance of public buildings and infrastructure is over 800 billion kroner. Functionality is threatened. Much of the reason for this is that the government has gradually reduced the appropriations for church activities in the municipalities over four years, which include: has gone beyond securing the country's church buildings. Schools fall due, the indoor climate in many classrooms is miserable, and there are still many swimming pools that lack water. Put on the tip: The land rots on the root. It's a paradox that in the richest country in the world, we've set ourselves so that we can't take care of the values we have, and that we can't make it over again to meet the needs of society. I hope the Prime Minister will respond to what is being done within a short time and a long time to re-enter this lag. And will we have a review of the lack of maintenance in the future municipality proposal?
ParlaMint-NO_2010-04-21.ana.ud1911e154	When we describe the conditions in Norway, and the conditions of Norwegian infrastructure and building mass, I think it is very important that we try to be precise and nuanced. It is not that it glimmers in all Norwegian infrastructure projects – on the contrary, many of them are worn out and in poor condition, and many buildings are in poor condition. But to say that Norway ‘ rots on the rot’, I think I’m going a little too far the other way. In fact, there are many buildings, many buildings in Norway, which are in good condition, where there is a lot of investment, but then there are a lot of people who are in bad condition, and who are not in good enough condition. That's why this government has thought it's much more important that we spend billions of dollars on, for example. loan scheme for school buildings, on a lot more money for municipalities so that they can renovate their buildings, instead of spending billions of dollars on tax havens. And that's also why there's become much more money for public investment in the way, in the way, in school, in municipal construction, in church buildings, with its own lending arrangement, than it was under the previous government.
ParlaMint-NO_2010-04-21.ana.ud1911e161	Then we move on to the next main question.
ParlaMint-NO_2010-04-21.ana.ud1911e164	Just before Easter, there was an eye-catching statement by Kristin Halvorsen in the class struggle. Then she said, ‘It is my opinion that there is not a right-wing wave going on, but that the red-green project lacks booze and does not show a clear direction.’ It's an in-and-out eye-catching insight into the Government's inner life. It is also alarming when the Government has recently had a reorganization in which 13 out of 20 government councils are either new or have new responsibilities. Such things usually lead to more booze, more joy over new things, more joy over being able to grasp. But perhaps the truth is that the old saying that when the crib is empty, the horses bitten, is especially important for the red-green project. For the red-green project, the Prime Minister’s previous response, namely that it is only about spending more money – not on solving more tasks, but on spending more money. The mantra ‘more money’ is more difficult to use at a time when Norwegian economy requires less money use, but smarter solutions. This government chooses the opposite of pushing important issues ahead of it. Now we also see that one of the few reforms that this government has introduced, the Reform of Cooperation, can today well be characterised as the ‘Lam Action Reform’, because the internal disagreement in the Red-Green Government has now led to its cessation, and the municipalities do not know what to do with it. Torpedoing the new initiatives, inter alia: by the Prime Minister himself, e.g. how to finance roads in a new and better way. My question to the Prime Minister is, how does it feel to lead a government that not only Kristin Halvorsen believes lacks booze, but that almost everyone else sees lack of booze?
ParlaMint-NO_2010-04-21.ana.ud1911e180	It feels great. It actually feels so good that I spent a lot of time last year winning a choice. I am still happy about that, and I intend to manage that trust for four years. It is up to the voters to decide who will govern this country. We have a clear project and a clear direction. Let me remind you of a couple of the most important. This government's task is to provide work and value creation. We have managed Norway safely through the financial crisis. We have Europe's lowest unemployment rate. We have lower unemployment now, with the financial crisis, than we had with the previous government without the financial crisis. It is a major and important project: it is about value creation, integration, equality and social justice when we keep high employment and low unemployment. The second major project we have is to improve, renew and strengthen the world's best welfare society. It's not a little project. We're still very proud of what we've achieved, but it's a lot undone and a lot unfinished. Among other things, we need to: improve care for the elderly. We set ourselves the goal in the previous period of full child care coverage. We reached that goal. Now we set ourselves as a goal of full health care coverage, an offer of care or nursing home to everyone who needs it. It is a new, great reform. This government is running. The third is that we have to be leading the environment. So there are big projects and big tasks this government is working on. What I am pleased about the cooperation reform is that there is a broad consensus in the Storting on the direction and the idea. Then the opposition parties have, as usual, come up with very many additional cost-intensive proposals. It is a good thing that you have a lot of money in the opposition that you never have in the position. We will follow up on the Interaction Reform, both with new ways of financing, such as municipal co-financing, more emphasis on prevention and more outsourcing of ready-to-write patients from hospitals as examples. Fortunately, the cooperation reform has gained broad support. The opposition parties have a lot of extra money. We need to implement the reform.
ParlaMint-NO_2010-04-21.ana.ud1911e193	It may have to be a cross of thought for the Prime Minister when he reads today's Newspaper leader – it's from his closest one often gets it. It says: ‘From the outside, the government seems to have punctured. It's standing still.' I believe that is a good characteristic of what we see by this government after the election. The openness of the campaign has disappeared. There is a total lack of new solutions, and you go back to the mantra ‘more money’. The Prime Minister is, among other things, the Minister for Foreign Affairs. appointed as the perfectly clear and clear brake block to enable us to build more infrastructure faster, using new methods. The previous Minister of Transport and also the current one has repeatedly gone out and wanted Public Private Cooperation, because it is not just a good method of financing – it is a good method of construction. The Minister of Finance, when he was a county councillor, was active in finding other funding solutions. It is interesting to look for the location of the brake block. I would like to know if the Prime Minister can confirm that he is now the brake block for more road construction and better railway investment.
ParlaMint-NO_2010-04-21.ana.ud1911e207	If I'm a brake pad, I wonder what Erna Solberg was when she was in government. Because we spend a lot more money on the way than what was done when Solberg's representative was in government. So I don't quite know what kind of imagination you're going to have, but it's at least so that if she means what I'm doing, what she did is an absolute scandal over Norwegian roads and investment in Norwegian infrastructure. It is therefore true that this government with me as Prime Minister has been a driving force for the upliftment of times – much more than the Right dream – in terms of road investment. There won't be any more money to borrow money. The only thing that's going to be is higher interest costs. And for a state that has enough cash – or enough cash – it's a strange exercise to borrow money to finance something that we can fund with our own money. What we need are increased appropriations over several years, and those appropriations I have been a driver for. 100 billion extra to travel, it's more than the Right has ventured to dream of, even in opposition.
ParlaMint-NO_2010-04-21.ana.ud1911e214	Three follow-up questions will be raised – first Per-Christian Foss.
ParlaMint-NO_2010-04-21.ana.ud1911e218	I understand that the Prime Minister feels well, especially if he comes home over Svinesund. But there are also some other roads in the country, which the Prime Minister might want to pay some attention to. It must feel a little strange when even the Daily Newspaper, the Labour Party's own body here in Oslo, begins to wonder if the Prime Minister feels well. One wonders whether the prime minister actually wants a top job abroad, or is plagued by illness and wants to get away from work. Feeling well is well and good, but if you can't convince others about it, you have a problem. And so this government is in a state of coercion, because in a number of areas, it's now possible to have a large majority against the parties that are in government. Had the majority been advised in the Storting, we would have had another outcome in the biodiesel case, we would have had another outcome in the OPS case, which the Prime Minister now strongly argues against, among other things. because the centre party is for, and the rest of the Storting is for, but because they're in government, they're forced to oppose. The same can also be said about the government’s resistance to tax-stimulated share purchases. How does it feel to rule by coercion?
ParlaMint-NO_2010-04-21.ana.ud1911e227	A few–three things: first of all, there is a widespread trick among others. Right-wing representatives to claim that I have said something I have not said. I have not claimed that roads in Norway are generally of good standard – on the contrary, I have underlined that there are many roads that are clearly worse than the way I drove from Svinesund to Oslo last Saturday. But I was asked how I experienced crossing the border, and that was a good experience – and I'm glad. This was point 1. The second point is that the daily newspaper is no longer the body of the Workers' Party. I am among those who miss the Worker's magazine, and who think it was a pleasure when the Worker's editor sat in the central government and we could look hard on him, and that was the order of the leaders. [[Laughter]] Now it slips out, and it does not mean that everything that is in the leaders of the Newspaper comes from the internal partners of the Workers' Party. It happens that there are things that are unexplained and that at least I disagree with. Now I haven't read today's leader – it's also an expression of maturity – but I certainly disagree with what it says. [[Laughter]]
ParlaMint-NO_2010-04-21.ana.ud1911e234	It is clear that the Prime Minister is trying to fool himself away from the seriousness. I agree with Erna Solberg that there is not much booze and speed in the government. We have also seen in this Questionnaire that the Prime Minister has begun to be very approximate to the facts. He made it clear that it was important to be precise, when he snuffed out that the government spent 320 billion kroner on transportation. So that's not right. It is the total amount that goes to operate directorates, for the purchase of services, for rubble and stubble in this sector. If you look at the precise, ice-cold facts, the government spends SEK 5.1 billion on highway investment – in addition to collecting about DKK 7 billion from the drivers in toll financing. It's quite different numbers than the 320 billion kroner that the Prime Minister tried to create the impression that the government used to speed up infrastructure construction in Norway. And that's what I asked you -- not what you used on the directorates.
ParlaMint-NO_2010-04-21.ana.ud1911e241	The President would point out that ‘snatching itself’ is not a good parliamentary expression.
ParlaMint-NO_2010-04-21.ana.ud1911e244	That's well said for it.
ParlaMint-NO_2010-04-21.ana.ud1911e249	We're now operating with a lot of different numbers. Firstly, 322 billion kroner is the total national transport plan framework over ten years, and it is clear that if you break down every year, it is a significantly smaller figure – about 1/10>. That's to understand. Point 2 is about the railway, the traffic controller – i.e. ports – and the road. And point 3: With regard to roads, it is therefore both investment in highways – other national roads – and, of course, operation and maintenance. Road operation and maintenance are also important. All of these numbers have increased, whether we look at investments, on operations and maintenance, on annual expenses, or we see it over ten years. The crucial thing is that no matter how we present the figures, and no matter what we look at: operation, maintenance, investment, one year or ten years, there has been a sharp increase in road construction precisely because we are not satisfied with the road standard in Norway. Therefore, the appropriations for upgrading roads in Norway are increasing.
ParlaMint-NO_2010-04-21.ana.ud1911e256	It is not only Prime Minister Jens Stoltenberg is, he is also a social economist – and among the best in the country, I have listened. And he can prove it no. I am thinking about the Sandvika-Lysaker project, which has been expanded as a double track in the last few years. It's built in eleven years, and the railroad company says that had we built it out in five years, we would have saved the Norwegian community for $2 billion. Because this isn't just about permissions, it's about how we use the money. It was not just the opposition who said that we need more money for the railways, that is what SV said yesterday, Mr Solhell, the parliamentary leader, spoke about it in this Chamber yesterday. And my question to the Prime Minister is: Will the Prime Minister take the initiative in a wide-ranging settlement with regard to the railways that go both on the promises and in how we use the money in the sector?
ParlaMint-NO_2010-04-21.ana.ud1911e263	I believe that what the representative Hareide is now addressing is a very important question, because it is that when we are preparing the road and the track – transport – in Norway, we have to do two things: we need more money, and it has come in the national transport plan, among other things. by providing more money now in the 2010 budget. But the second thing that the representative said is that we have to spend the money better. And then it's to complete projects, to implement projects in a good way and not in a clattery and divided way, but to have large, whole projects, a key. That's what we're adding when it comes to double tracks for Ski. We're adding on some road projects that we're going to get big, whole projects, so we don't have to rig down and rig up plant equipment and other things. I would like to have a dialogue with the Stortinget and others on how we can further improve the implementation of the projects in a good and effective way, because there are too many examples of clumsy use of money in previous road projects under different governments.
ParlaMint-NO_2010-04-21.ana.ud1911e270	Step Skei Grande – for follow-up questions.
ParlaMint-NO_2010-04-21.ana.ud1911e273	Prime Minister Stoltenberg is the prime minister in Norway's history who has had the most money to spend, the most money to spend, the greatest opportunity to invest in the future. In this country, at this great moment, governments have been seen in the past as when we were Europe's poorest country, prioritising knowledge, which used an entire state budget to build the Bergensbanen, and which introduced popular peace when we were a very poor and pressured people economically. Today's prime minister appears to be the most conservative prime minister we've ever had, who basically believes that things are just super like they are right now. We in the Left believe that the major challenge we are facing today is, above all, an environmental challenge, which the Government is facing with the postponement of all major issues: nine out of ten wind turbines are being iced, the largest number of concessions in Norway's history were presented, and all the important big things are being paused. Why are you so conservative when you have so many opportunities?
ParlaMint-NO_2010-04-21.ana.ud1911e280	First of all, I would like to congratulate the representative Skei Grande on his position as head of the Left. It is an important position in a traditional party that has worked well with social democracy for many years. Even I believe that there is a party team in Oslo that was originally a left-wing team, and it says something about the historical ties between our two parties. So the tone right now is not so good, we're going to try to do something about it, but the crucial thing is that this government does a lot with the things we don't think work. So there's a lot in Norwegian society that doesn't work well enough. That's why I stress that one of our major projects is to improve and renew one of the world's best welfare societies. We thought it was a big problem that many children did not have kindergarten. Then we made sure we had full babysitting. We thought it was a big problem that there was too little investment in the road/railway. We have doubled investment and increased strong investment in the way. We believe that it should be applied more to research and higher education. We have increased the appropriations for research and education. So it's a lot of mess, and that's why we want to continue taking responsibility for the governance of the country.
ParlaMint-NO_2010-04-21.ana.ud1911e288	Let's go to the next main question.
ParlaMint-NO_2010-04-21.ana.ud1911e291	I have noticed that the Prime Minister in virtually every single answer so far in this questioning has referred to the previous government. Now I'm going to ask a question where the Prime Minister can drop it, because this is a topic he can take full responsibility for. These are the non-governmental organisations and non-profit institutions in Norway, where the perception is unique so that conditions have become more difficult under the red-green regime. Ideal institutions and voluntary efforts are perceived as undesirable. Voluntary organisations find that the state power is increasingly used to control the content of their activities, and HSH, the main trade and services organisation, which is not exactly a party team in the Christian People's Party, has said that they are seriously concerned that the ideal actors in the health, care and child protection field have disappeared in the course of five to ten years with the policy currently pursued. The Christian People's Party wants the voluntary and non-profit organisations in the health, social and care sectors to really be released and to make a social effort. And then the opposite happens over and over again. I have raised this question with the Prime Minister before, to get an exemption from the volunteering of the public tender schemes. The Prime Minister, in a positive order, has mentioned the excellence of volunteering, but in practice this happens again and again – and now it has happened again: Now Buffetat, under the Government, has signed a four-year contract with Solstrand Children's Protection Centre in Karmøy, where I was for some time back. One year within that contractual period, they cancel the contract, and that means that a non-profit institution with a solid professional environment, a good reputation and nearly 90 years of operation must give up the offer to some of our most vulnerable children. Had it been the case that there were child protection measures and foster homes ready to take over, it would have been okay, but it does not. There are 700 children in line for foster homes in Norway, and the possibility of using such a great offer as Solstrand is said to be. Is the Prime Minister proud of developments in this area?
ParlaMint-NO_2010-04-21.ana.ud1911e302	I believe that it is very important that we have non-governmental organisations as part of welfare production in Norway, and that they contribute important things, both what they do voluntarily, and what the public – municipalities/state – pays for. We have many good examples of this. As far as child protection is concerned, there has been a broad consensus that we want to focus more on foster homes. We have always been busy doing what is best for the child, and therefore we have wanted to turn the service offer away from institutions and into foster homes. It certainly means that some of the institutions we have today have had less to do, but some of the reasons for this have, of course, been the concern of the child and the increased use of foster homes. The second is that we have to follow the law on public acquisitions, have to follow the EEA agreement. That means that we have to evaluate the different offers that are coming, and some of the offers that have been cancelled have been cancelled in terms of quality. I do not know the specific example that the representative named Højbråten mentions, but that it is that you exchange different suppliers by choosing one over another for reasons such as: quality, or increasing the use of foster homes and thereby reducing the use of institutions, may create challenges for some of the suppliers, I understand, but the crucial thing is always what is best for the child.
ParlaMint-NO_2010-04-21.ana.ud1911e313	If it had been the way the Prime Minister says, that it is crucial what is best for the children, it is strange to conclude a preparedness offer in a region where it is per. Today, 59 children are in line for the foster home places referred to by the Prime Minister as an alternative. It can't be best for the kids to lose what they have when it's queue within the alternative offers. When the Prime Minister refers to non-governmental organisations as ‘suppliers’, I think it illustrates the problem in many ways. This government understands very poorly that volunteering and non-profit activities actually have a self-esteem that mobilizes people, who mobilize spirit of virtue, who deliver quality. If it hadn't been quality in these places at Solstrand, then why have they had 100 pst. occupations in recent years, since 2004? I ask the Government to re-enter this. The EEA Agreement provides for the possibility of exempting volunteering from tenders. The government is not using that opportunity.
ParlaMint-NO_2010-04-21.ana.ud1911e322	I can only stress that this government wants to volunteer, to stimulate volunteering and to support non-governmental organisations. There are many different types of voluntary organisations that are doing very different things, but we are now introducing a VAT compensation scheme which means a strong stepping-up of financial support and an improvement in the framework conditions of voluntary organisations in general. What we're doing now in terms of VAT, which represents hundreds of millions of dollars, is an expression that this government is supporting the volunteer. So it's not like we've stepped down the stakes in child protection. Overall, there is an increased effort in child protection when we look at the state and the municipality. So there has been no reduction in the state. But there have been changes in composition, and it's due to different conditions in different places. But there's no less effort. If there's less to do in one institution, it's more to do elsewhere, because overall, we've maintained the state effort and increased it in the municipalities.
ParlaMint-NO_2010-04-21.ana.ud1911e329	There will be three follow-up questions – first Øyvind Hope.
ParlaMint-NO_2010-04-21.ana.ud1911e332	The Prime Minister will be given a new chance to demonstrate in concrete terms what he thinks of his well-defined, positive attitude towards non-governmental organisations. The Prime Minister, in a previous reply, showed that we have now finally received almost full child-care coverage, and said that ‘we set ourselves the goal of full health care coverage’. But despite the fact that the Prime Minister refers to the upswing of material infrastructure, the Government has not yet responded to whether and when we are going to have full child protection coverage. The situation today is that children live in insecurity, with care failure, with drug-using parents, with temporary solutions because we do not have enough foster homes. At the same time, the Salvation Army and other non-profits and knocking on the door of the State Children's Protection say: We can get more foster homes, we can get the foster homes that these children need. The answer from state child protection is negative: we do not want the help of private non-profit organisations. Will the Prime Minister take the initiative to wind up this senseless riddle of principles and to give the children the help they need?
ParlaMint-NO_2010-04-21.ana.ud1911e341	We are to strengthen child protection. And then we believe that we need both public institutions – public services – and private organisations that can contribute to child protection, and then we need foster homes. So we believe that there will be an assessment locally, not least in the municipalities, of what is the best offer and how they want to organize it. We also believe that it has been right to shift the protection of state children towards increased use of foster homes, thereby reducing the emphasis on institutions. Also in this area I believe that there is a lot of work done. We need more money and more effort in child protection. The main government in the 2010 budget was to increase the free income with the result that more municipal child protection posts would be created. Yes, we need more money for child protection. And yes, we need to use both the municipalities, the foster homes and the volunteer organizations.
ParlaMint-NO_2010-04-21.ana.ud1911e348	Solvent Horn – for follow-up questions.
ParlaMint-NO_2010-04-21.ana.ud1911e351	It is clear that the Prime Minister has been on a long journey when he is not aware of the situation in the field of child protection. The opposition has taken this up throughout the winter, and even the Council of State Light Hill clearly says that child protection fails children every day. Also, Arild Stokkan-Grande says that children are being betrayed by child protection. This year, Rogaland Bufetat will save 110 million. kr. That is, they are now setting up two institutions without any other measures in place. The Progress Party has responded to this, and yesterday we received support from the Rogaland Workers' Party, with Torfinn Opheim at the head, through a press release where they say they are concerned about the rapture in the institutional offer for children under 12 years of age in Rogaland. They respond to the closures of these private non-profit institutions without any alternative in place. This is the result. How far does the Prime Minister think the child-rescue measures will go before the Government wakes up?
ParlaMint-NO_2010-04-21.ana.ud1911e358	It is not the case that there has been a cut-off in the state child protection system, and there has been a substantial increase in the amount of money that makes it possible to invest in municipal child protection. But we are facing some problems. We have problems recruiting enough foster parents. We are facing the problem that when you choose one institution over another, as the different regions often do, you lose the institution that no longer receives a job, even if another institution or perhaps foster home is responsible for the same children. I believe that even in the area of child protection, both state and municipal, we need to increase resources. So it's not that the situation in Norwegian child protection, whether state or municipal, is good enough. That's why we've increased the appropriations in 2010, and then we're going to do everything we can to continue the escalation in the coming years.
ParlaMint-NO_2010-04-21.ana.ud1911e366	Olemic Thommessen – for follow-up questions.
ParlaMint-NO_2010-04-21.ana.ud1911e369	In the coming five years, the Prime Minister has been Prime Minister, the opposition has tried to illustrate the current issue, namely that the mechanisms for tendering and the government's procurement of services systematically undermine the total resources of child protection. By means of closure and reduction within what is driven by, inter alia: the ideal institutions, we undermine the human resources that are sorely needed for the weakest group in our society. It's right that it's not a cut in national sense. But the government is now choosing to deal with a situation in Buffetat in a way that makes it a real cut in child protection capacity in the West. My question is, when the government chooses to deal with the situation this way, does the Prime Minister think that the offer in the West is good enough?
ParlaMint-NO_2010-04-21.ana.ud1911e376	The answer to that question is no. It's not a good enough offer in child protection. That is why we need to step up efforts in the field of child protection, both municipal and state. How much extra money comes into the 2011 budget, I can't say anything about now. But there is no doubt that the situation in child protection is not good enough. I think there's a very broad consensus on that. It is – as in many other areas – about both the need for more money and better organisation. I am a little uncertain about what the right side really means, for the right side is usually very dependent on us having competition and tenders. Then there's someone who gets it and others who don't get it. Those who don't get it will always be dissatisfied. The key here is that the total resources in child protection are too small. That's why we're stepping up this year. But we have to continue the escalation. How fast and strong it comes, we get back into the budget.
ParlaMint-NO_2010-04-21.ana.ud1911e381	Let's move on to the next main question.
ParlaMint-NO_2010-04-21.ana.ud1911e384	The last Prime Minister and I met here in the spontaneous questioning session he had also been abroad. At that time, the Council of State guessed that had had some kind of home alone party. What has shaped the news picture while he's been abroad this time, has been a form of the Government's Aunt Sofie. There's been a lot of 'Oh huffamei to huffamei, I'm so angry!' The Navarsete in this case has been angry, in fact, is the government's own policy, which leads to the closure of the local hospital. So far during this government period, six local hospitals have been closed down, and we know that there are more under assessment, for example. both in Kristiansund, Lærdal and Nordfjord. I expect both the Navarsete and the Prime Minister to take responsibility for this, of course, which is the government's policy. There can be no surprise, either for Navarsette or for the Prime Minister, that the wording that no local hospital should be closed has been removed from the mission document. Thus, when the Government formulates a policy, it is included in documents, in this case the mission document, which goes to the health companies to carry out the government's policy. I assume that the mission document is not an expression of the health minister's wish, but an expression of the government's policy. My question then is: Is this policy and what is expressed in the mission document, an expression of the government's policy as a whole, or is it someone who has taken it's, for example. The center party?
