ParlaMint-NL_2015-01-20-tweedekamer-7.u1	I propose that we also vote this afternoon on the motion for a resolution Dik-Faber (31793, No. 72)................................................................................................................................................................................... At the request of the applicant, I propose that the 30-member debate on the letter on the consequences of the rejection of the Market Organisation Bill by the First Chamber be removed from the list. I also propose, at the request of the applicant, that the debate on the report that UWV is sending job seekers into the arms of crooks and the debate on the report that child allowances should not be reduced abroad be removed from the list. At the request of Mr Dik-Faber and Mr Geurts, I propose their motion (34000-XIII, No. 79), as last amended by Directive 79/7/EEC. This means that the two-month period provided for in Rule 69 (2) of the Rules of Procedure for this motion is to run again. I propose to add to the agenda: the VAO Future-oriented foundation education held on 15 January following a general consultation, with Mr Van Meenen of D66 as the first speaker; VAO Culture in the picture and BIS following a general consultation held on 15 January, with Mr Jasper van Dijk as the first speaker.
ParlaMint-NL_2015-01-20-tweedekamer-7.u43	I'm sorry about that. I did indeed make this request on behalf of D66. We looked at this together and looked together to see if we could get a majority in favour of the proposal. My second request concerns the following. On Friday we paid a work visit to Groningen. Then I read in the news that the PvdA wants gas reduction as well. The Minister wrote in his written replies that it is indeed technically possible to bring gas extraction in Groningen back to 30 bcm. That's exactly what the gas regulator, the SodM, recommends. I would like a letter from the government on how this changed position of the PvdA is handled. If there is reason to do so, I would like to have a debate on it.
ParlaMint-NL_2015-01-20-tweedekamer-7.u44	It is a request for support for a letter and a debate.
ParlaMint-NL_2015-01-20-tweedekamer-7.u45	With this turn of the Labour Party, a majority seems to decline in order to gain less gas. We support GroenLinks' request for a letter and a debate on it.
ParlaMint-NL_2015-01-20-tweedekamer-7.u46	I believe that a debate on the amount of gas we are going to gain is already under way. The only question is how much Minister Kamp is going to win. As Members of Parliament, we have prepared an extensive procedure together for the steps we will take. We need to know what proposal we are talking about. A letter from Minister Kamp in which he answers the question of whether he is prepared to seriously investigate a further reduction in gas extraction, I would like to ask for the technical briefing that we have planned tomorrow. If he comes up with an amended decision, then question two must be: does he intend to come up with an amended decision? We must postpone the technical briefing and the other steps. Otherwise, we're talking about an old proposition. That's why I'd like to get that letter by tomorrow, before the start of the technical briefing.
ParlaMint-NL_2015-01-20-tweedekamer-7.u47	I understand that technical briefing is tomorrow night?
ParlaMint-NL_2015-01-20-tweedekamer-7.u48	Yeah, tomorrow night.
ParlaMint-NL_2015-01-20-tweedekamer-7.u49	Our opinion on gas extraction in Groningen is progressing. Friday's work visit was part of that. Personally, however, I do not think that we should interrupt the formation of opinion in the Labour Party, which is apparently still in progress, with a debate. The major debate on the gas extraction decision is planned at the beginning of February. My only hope is that the Labour Party will then be so advanced in its opinion-forming that we can take a majority decision that is good for the Groningen people. I do not want to appeal to a party now for its vision of development by holding a debate on it.
ParlaMint-NL_2015-01-20-tweedekamer-7.u50	That debate is indeed scheduled for the week of 10 February.
ParlaMint-NL_2015-01-20-tweedekamer-7.u51	The Labour Party was and is of the opinion that the safety of the Groningers should be at the forefront of gas extraction. To this end, on 4 February last year, we tabled a motion which was adopted by a majority in the Chamber, in which economic gain is subordinated to security. In that sense, therefore, the position has not changed. I think it is very strange if we ask the Minister for Economic Affairs to respond to a position of the Labour Party if we already have a debate on this. It is also strange to ask a letter about this. The Labour Party has a separate responsibility in the Chamber. So we do not want to honour the request made by the Group of the Greens/European Free Alliance.
ParlaMint-NL_2015-01-20-tweedekamer-7.u52	It is becoming increasingly unclear to me in my heart what the Labour Party Group stands for and to what extent the government's position can still count on the support of the coalition parties. I particularly need to ask the Labour Party where it really stands. I would very much like to conduct the debate according to the processes we have agreed on and put those questions to the Labour Party. At the moment, I have no need to get a response from the Minister. I do not think it is necessary to go through agreed processes. Let's just go down the agreed path and I'll definitely look at the Labour Party in the eye.
ParlaMint-NL_2015-01-20-tweedekamer-7.u53	It is about a position of the Labour Party. I think it is inappropriate that we should ask the cabinet to respond to this. I don't think that's wise. During all the debates that we are going to have in the future, we can certainly still disagree, share our opinions and ask each other about all the issues that are involved in the dossier. I do not think it is appropriate to ask the Cabinet in a debate or a letter what is the meaning of the position of the Labour Party.
ParlaMint-NL_2015-01-20-tweedekamer-7.u54	It is indeed a bit of a curious course of action. The spokesman for the Labour Party just said that its position does not really need to be taken into account, because nothing changes substantially. However, we would like to know from the Minister whether he can send those scenarios to us before the gas debate and how he thinks about it. Then we can make a decision about that. We would therefore like to receive that letter tomorrow.
ParlaMint-NL_2015-01-20-tweedekamer-7.u55	I do not think it is appropriate to hold a debate with the government on what the PvdA Group thinks. We've set a timeline. We think it's a good idea to hold onto that. We therefore do not support this proposal.
ParlaMint-NL_2015-01-20-tweedekamer-7.u56	You do not have the support of the majority of the Chamber for holding a debate, Mrs Van Tongeren. You asked for a letter. I would like to pass on the stenogram of this part of the debate to the cabinet. Once again, the debate on gas extraction in the broad area, which has been requested by the Chamber for a very long time, is scheduled for the week of 10 February. That's pretty soon.
ParlaMint-NL_2015-01-20-tweedekamer-7.u57	I understand that, but if the Minister still has a decision to take and if it turns out that there is no majority in this Chamber, that seems to me to be a new point. However, a majority of my fellow Members disagree with me on this point. A minority does say that it is incredibly useful to have these scenarios, including for the expression of opinion within the Labour Party. I therefore hope that the Minister will meet the request of the minority of Members of Parliament to at least make it clear what will happen if we continue to turn that crane off there.
ParlaMint-NL_2015-01-20-tweedekamer-7.u58	Mrs. Van Veldhoven has another afterburner. Very briefly, please.
ParlaMint-NL_2015-01-20-tweedekamer-7.u59	To avoid any misunderstandings: we do not want a letter on the position of the Labour Party; we want a letter from Minister Kamp on whether he is considering adjusting the gas extraction. This would mean that this Chamber would be given a different proposal. The Labour Party can also think about what it thinks about this.
ParlaMint-NL_2015-01-20-tweedekamer-7.u60	This remark is included in the stenogram which will shortly be sent to the cabinet. I give the floor to Mr Van Helvert of the CDA.
ParlaMint-NL_2015-01-20-tweedekamer-7.u61	Mr. Chairman. The KLM must transfer excess cash to the holding company Air France-KLM. The management of the holding company has announced this. It intends to transfer 1 billion from KLM's greenhouse to the holding company in the coming year so that Air France gets a better position on the money market or can buy aircraft for it. We do not think that is a good thing. Mr Graus has already requested a debate on this in the past. My colleague Omtzigt and I have asked questions about this. In answering these questions, the Secretary of State does not at all address our question about the holding holding's grip on the cash. 5 February the holding company meets on the decision on cash. It is important for the House to be able to say something about this before 5 February. If we only do that afterwards, it is tea parties afterwards. My request is that the debate requested by Mr Graus be held before 5 February.
ParlaMint-NL_2015-01-20-tweedekamer-7.u62	This is a 30-member debate. I propose that I submit your request to the Chamber in a different way, namely as a request for a majority debate, in which the Chamber requests that it be scheduled for 5 February. This is the 26th debate on the list. It is indeed a debate requested by Mr Graus. I shall therefore give him the floor first.
ParlaMint-NL_2015-01-20-tweedekamer-7.u63	Of course I support this request. I wanted that when I asked for this debate in December, but I did not get enough support for it at the time. So thank you for this proposal. I hope more MPs are waking up now. I also hope, of course, that this debate will be raised from a 30-member debate to a plenary debate. That is what Mr Van Helvert is referring to.
ParlaMint-NL_2015-01-20-tweedekamer-7.u64	This is a majority debate scheduled for 5 February.
ParlaMint-NL_2015-01-20-tweedekamer-7.u65	I would like to thank Mr Van Helvert for the clear written questions he has put to the Secretary of State. We received clear answers to these questions this morning. As far as we are concerned, that is enough for the moment. The question that Mr Van Helvert is now asking has everything to do with business management. Air France-KLM really has to decide for itself. So no support for a debate.
ParlaMint-NL_2015-01-20-tweedekamer-7.u66	It's not just business. It is an organization of which the State is also a shareholder. So I think it would be wise for us to talk about this here in the Chamber before we get a hold of the cash at the KLM. So support the request.
ParlaMint-NL_2015-01-20-tweedekamer-7.u67	The Christian Union would like to support the request for a debate if there is room for it in the agenda; and I believe that this can be done, because we have just decided that another debate will be taken off the agenda. So it must be possible to schedule it in the short term.
ParlaMint-NL_2015-01-20-tweedekamer-7.u68	KLM is an important economic player. It is also important that it can function properly as a company. A letter has been asked earlier about the shareholder's commitment. It seems to me to be a good idea to include it as a matter of urgency, but not support for a debate.
ParlaMint-NL_2015-01-20-tweedekamer-7.u69	Mr Van Helvert, you do not have the support of the majority to turn the debate into a majority debate, and that is why I cannot accept your request to plan it earlier. There is indeed a gap in the agenda, but there are 25 thirty Members' debates that have been requested before this debate. So I think I'm going to schedule one of those debates for Thursday morning, at least that's what I'm going to try. So I'm afraid I can't live up to your request.
ParlaMint-NL_2015-01-20-tweedekamer-7.u70	Then I'd like to use the last word. I am sorry, because we have three debates on horse meat this week, but we cannot say anything about the KLM. I would like to ask the President to put the report of the written consultation on national participations on the agenda this week or next week, so that we can then table a motion.
ParlaMint-NL_2015-01-20-tweedekamer-7.u71	That's what we're gonna do. I call Mr Klein.
ParlaMint-NL_2015-01-20-tweedekamer-7.u72	I thought it was Mrs. Helder's turn first.
ParlaMint-NL_2015-01-20-tweedekamer-7.u73	I'm wrong, so you can go first.
ParlaMint-NL_2015-01-20-tweedekamer-7.u74	Mr. Chairman. April last year, the OECD report on the labour market position of older people, particularly over 50, was published. We asked for a debate on this at the time. It is a little nonsense, almost a year after that, to start that debate now, especially since there is a general consultation on labour market policy scheduled for 11 February. We would like to discuss this further there, because in itself the problem of the unemployed
ParlaMint-NL_2015-01-20-tweedekamer-7.u75	It sounds strange to some people. It was a 30-member debate. You only needed the support of 29 other Members to get that debate on the agenda. Now that it's in place, you'll need the support of the majority of the Chamber to get it off.
ParlaMint-NL_2015-01-20-tweedekamer-7.u76	First of all, I have a correction to what Mr Klein has said. It is exactly nine months since this debate was requested this week. The children who are now born were conceived on the day that Mr Klein asked for that debate. That says something about the absurdity of those 30-member debates, but that aside. And for the rest, support for Mr Klein's request.
ParlaMint-NL_2015-01-20-tweedekamer-7.u77	Support for the request.
ParlaMint-NL_2015-01-20-tweedekamer-7.u78	Support for the request.
ParlaMint-NL_2015-01-20-tweedekamer-7.u79	Mr Klein, you have the support of the majority. The debate will go off the agenda and I will see if I can schedule another thirty-member debate in that place. I shall now give the floor to Mrs Helder.
ParlaMint-NL_2015-01-20-tweedekamer-7.u80	Mr. Chairman. I'd like to send a report to the Secretary of State for Security and Justice. During the general consultation on judicial youth establishments on 2 July last year, he undertook to send the evaluation of the "Brains 4 Use" behavior intervention to the Chamber as soon as possible. Despite a repeated reminder, the Court has not yet received this evaluation.
ParlaMint-NL_2015-01-20-tweedekamer-7.u81	The reason why you are standing here today is that the recall has also been done very often through the committee. We also called the Ministry this morning. I shall pass on the stenogram of this part of the sitting. I also look very closely at the minister of that ministry, who is now in trade-K. Would you please send that report to the Chamber as soon as possible, as promised? I call Mr Bashir.
ParlaMint-NL_2015-01-20-tweedekamer-7.u82	Mr. Chairman. After a lot of research, many second opinions and many debates between the Chamber and the Cabinet, it was finally decided that ProRail's top man could earn up to €188,000. Yesterday we were surprised by a letter from the cabinet stating that ProRail's new top man will earn more than €200,000, namely €207,000 excluding pension, a car of the business and other expenses. That's not according to the agreement with the Chamber. That is why I call for a 30-member debate with the Secretary of State for Infrastructure and the Environment as soon as possible.
ParlaMint-NL_2015-01-20-tweedekamer-7.u83	There is therefore a request for at least a 30-member debate.
ParlaMint-NL_2015-01-20-tweedekamer-7.u84	I would like to support that request, because I am also surprised by this fact. You'd say this isn't the deal.
ParlaMint-NL_2015-01-20-tweedekamer-7.u85	GroenLinks is also surprised that there is another top man who apparently can't get to work for less than such a phenomenal amount. We are also surprised that the Secretary of State defends this with the words that you will not find anyone else for such a job. All ministers can then put that in their pocket, because their work is apparently less complicated. So I really support this request for a debate.
ParlaMint-NL_2015-01-20-tweedekamer-7.u86	The CDA also believes that a clear explanation of the Secretary of State is needed in this story. However, we think it is a little excessive to hold a debate on one person. The debate itself will then be more expensive than the Mr's salary increase on who it is. So no support for the debate, but for the Minister's explanation.
ParlaMint-NL_2015-01-20-tweedekamer-7.u87	In that line, the SGP is also moving. We do not feel that we should hold debates in the Chamber on individual salaries. An explanation from the Secretary of State is, of course, highly desirable and necessary, but this can be done by letter.
ParlaMint-NL_2015-01-20-tweedekamer-7.u88	It is fine to ask the Secretary of State by letter why they have deviated from their own standards in this case. I do not support the request for a debate.
ParlaMint-NL_2015-01-20-tweedekamer-7.u89	The Christian Union supports the request.
ParlaMint-NL_2015-01-20-tweedekamer-7.u90	We also support the request for a letter. After that, we can always see what we do with it.
ParlaMint-NL_2015-01-20-tweedekamer-7.u91	Mr Bashir, you have broad support for a letter explaining why there is a deviation from the rule of the Ministry itself. You do not support the holding of a majority debate, but you do support the holding of a 30-member debate. I will add it to the list of 30 Members' debates, with three minutes' speaking time per group.
ParlaMint-NL_2015-01-20-tweedekamer-7.u92	You have a very long list, Mr. Chairman.
ParlaMint-NL_2015-01-20-tweedekamer-7.u93	Yes.
ParlaMint-NL_2015-01-20-tweedekamer-7.u94	I can also imagine that we are now going to have the letter sent to the Chamber quickly and, because it concerns the appointment of a person, perhaps through the committee to see whether a general consultation can be planned this week or next week. Then your agenda will be relieved and we will discuss it in committee. Then the letter has to come in this week. I would ask you to keep the request on the agenda until the committee has decided to hold a general discussion.
ParlaMint-NL_2015-01-20-tweedekamer-7.u95	Very clever, Mr Bashir. I will pass on to the Cabinet the stenogram of this part of the meeting, including the request to send the letter to the Chamber this week. I shall put the request on the list, with three minutes' speaking time per group. When the letter comes, I hope I can read something in the audience later. For now, the letter is on the list. You have another request.
ParlaMint-NL_2015-01-20-tweedekamer-7.u96	Yes, Mr. Chairman. That's exactly why I made the previous request that way. On 2 September 2014, Mr Omtzigt requested a 30-member debate on the increase in excise duties. We get one news message after another with dramatic data that scares the hell out of you. In this case, sales of diesel have fallen by 23% compared to 2014. My request is therefore that the debate requested by Mr Omtzigt should be converted into a majority debate and planned as soon as possible, preferably next week.
ParlaMint-NL_2015-01-20-tweedekamer-7.u97	A request for support for the conversion of a 30-member debate on the increase in fuel taxes and their consequences into a majority debate and for it to be put on the agenda as soon as possible, preferably next week. I give the floor to Mr Omtzigt, who was at the time the applicant for the 30-member debate.
ParlaMint-NL_2015-01-20-tweedekamer-7.u98	I wholeheartedly support the call for that debate to be brought forward. Next week I have an agenda problem, because I have to present a report on Snowden, but it is very good to have the debate this week because there are debates going to be held this week or this week. I would like to add a request. In the mid-term review of the increase in excise duty in the spring of this year, the government sent six graphs to the Chamber, which state exactly what happened before the increase in excise duty and what happens afterwards. Since then three quarters have been added. We would like to see the graphs extended by the three quarters that have taken place.
ParlaMint-NL_2015-01-20-tweedekamer-7.u99	An update of the charts.
ParlaMint-NL_2015-01-20-tweedekamer-7.u100	Yes. We'd really like to have it tomorrow or the day after tomorrow. That can't be that much work. Then it will also be clear to the government, on the basis of its own charts, that the policy is not right.
ParlaMint-NL_2015-01-20-tweedekamer-7.u101	You therefore support the request to convert the debate and to schedule it as soon as possible, but not next week, because then it will not be a good time. Then it'll be the week after that. The charts are due in the Chamber this week.
ParlaMint-NL_2015-01-20-tweedekamer-7.u102	Also from the PVV there is support for the request. As far as we are concerned, today, tomorrow, the day after tomorrow or next week, because the sooner we talk about it, the sooner we might be able to get the Secretary of State to understand these ridiculous increases in excise duties.
ParlaMint-NL_2015-01-20-tweedekamer-7.u103	I would like to support the debate, provided that we can talk about the VAT component and the increase in VAT thanks to the CDA, which has increased fuel prices. I therefore support the debate.
ParlaMint-NL_2015-01-20-tweedekamer-7.u104	I see things in newspapers, but I haven't seen any official figures yet. I do, however, support the request for more information and up-to-date figures, even if the CBS appears to provide information. I support the request for a rapid response, but I do not support the request to speed things up. Let's see what we do as soon as we get that information.
ParlaMint-NL_2015-01-20-tweedekamer-7.u105	In addition, I would first like to wait for further figures from the CBS. It is of course fine if these graphs are supplemented, so support for a letter from the cabinet. If we are going to adjust excise duties, it will not happen until next year. So we are not really in very much of a hurry with this debate. We will undoubtedly talk about it, but on the basis of the final CBS figures for the previous year.
ParlaMint-NL_2015-01-20-tweedekamer-7.u106	Support for the debate.
ParlaMint-NL_2015-01-20-tweedekamer-7.u107	Mr Bashir, you have broad support for your request for more information, the latest figures, in the way in which Mr Omtzig has just described that even more specifically. In any case, I will be redirecting the stenogram of this part of the meeting to the cabinet. At the moment, there is no support for converting the 30-member debate into a majority debate. I cannot honor that part of your request at this time. However, there is not only support for more information, but also for the request to send that information quickly to the Chamber. I'll see you again, no doubt.
ParlaMint-NL_2015-01-20-tweedekamer-7.u108	Sure. Thank you for that. I would also like to point out that my agenda is also very flexible, so if you have a place in the next few days or weeks to plan this 30-member debate, then I am prepared to change my agenda accordingly. I'd love to.
ParlaMint-NL_2015-01-20-tweedekamer-7.u109	Thank you for this announcement. I give the floor to Mr Harbers of the VVD.
ParlaMint-NL_2015-01-20-tweedekamer-7.u110	Mr. Chairman. I'm gonna do a pre-announcement. As a result of today's AO on Ecofin, I intend to ask for an address to the House. This implies a VAO with votes, to be held today after the end of the AA or tomorrow at the latest.
ParlaMint-NL_2015-01-20-tweedekamer-7.u111	I'm gonna do that. That means that we will probably have the VAO tonight and then the votes tomorrow. We can then combine them with the votes requested by the SP in connection with the AO on culture. The final schedule is still coming to the Chamber. I give the floor to Mrs Dik-Faber of the Christian Union.
ParlaMint-NL_2015-01-20-tweedekamer-7.u112	Mr. Chairman. Yesterday there was a meeting of 600 concerned farmers. They're very worried, because they're dealing with ever-growing mouse damage. The damage has now risen to about 75 million. This also leads to distressing situations. There are farmers who have up to four or five times their annual salary in harm's way. I would therefore like to request a debate with the Secretary of State for Economic Affairs, preceded by a letter. I hope this can be planned in the short term.
ParlaMint-NL_2015-01-20-tweedekamer-7.u113	Requesting support for a letter and holding a debate on the field mouse plague in Friesland.
ParlaMint-NL_2015-01-20-tweedekamer-7.u114	We too want to talk about the mouse plague in Fryslân as soon as possible. A debate and a letter seem fine to me, but we have an AA on the Agriculture and Fisheries Council tomorrow, and that is where I am going to bring it up, because I think that is the fastest.
ParlaMint-NL_2015-01-20-tweedekamer-7.u115	Is "fine" a yes?
ParlaMint-NL_2015-01-20-tweedekamer-7.u116	Yeah, I'll support the debate when it gets there.
ParlaMint-NL_2015-01-20-tweedekamer-7.u117	A very urgent problem. I have already addressed this by written questions on 22 September for a reason, and I think that farmers and entrepreneurs in Friesland are waiting for clarity. That is why my group would like to raise the issue tomorrow during the AA. That does not mean supporting a debate that is not going to take place for months.
ParlaMint-NL_2015-01-20-tweedekamer-7.u118	There is a ground water level that is artificially kept extremely low and huge fox hunting, which means that many measures are not taken to prevent this kind of plague, if there is a plague. I would very much like to have the response of the Secretary of State to some of these issues and I would like to be given the opportunity through the committee to formulate these questions, so support for a letter and therefore support for the debate.
ParlaMint-NL_2015-01-20-tweedekamer-7.u119	Unfortunately, none of our MPs could be here yesterday, because they had to be active here in The Hague, but I am very pleased that there is a lot of attention to this. Even if we are going to talk about this tomorrow in the preparation for the Agriculture and Fisheries Council, we need a good letter from the province of Fryslân which states exactly what is going on, what is the problem, how we can solve it...
ParlaMint-NL_2015-01-20-tweedekamer-7.u120	Mrs Jacobi, you have been with us for so long that you know that we cannot ask for letters from the delegates through the organisation of work, but from the cabinet.
ParlaMint-NL_2015-01-20-tweedekamer-7.u121	Exactly. You can tell the Cabinet that we want that information in it. If necessary, we will then have a debate on this in due course, but we will certainly discuss it tomorrow.
ParlaMint-NL_2015-01-20-tweedekamer-7.u122	So you also support the request for a plenary debate.
ParlaMint-NL_2015-01-20-tweedekamer-7.u123	Absolutely!
ParlaMint-NL_2015-01-20-tweedekamer-7.u124	Support for the application. We will pay attention to this tomorrow, but I think it is appropriate to hold a separate debate on this subject in response to a letter.
ParlaMint-NL_2015-01-20-tweedekamer-7.u125	I'd like a letter from the cabinet. For this letter, the cabinet must explicitly consult the province of Friesland to hear what the problem is and what possible solutions may be. I would like to receive that letter by the end of the day so that we can involve it in the debate on the Agriculture and Fisheries Council tomorrow. No support for a debate, but it is for the letter tonight and for the discussion in the Agriculture and Fisheries Council tomorrow.
ParlaMint-NL_2015-01-20-tweedekamer-7.u126	I'll make it easy for you. For the sake of clarity, I would like to join Mr Van Gerven.
ParlaMint-NL_2015-01-20-tweedekamer-7.u127	There is an approved motion from the PVV to put an end to this problem. If that motion is carried out quickly, so that more buzzards can be deployed, everything is resolved. In addition: stop shooting the fox. So the problem was created by the Chamber itself. So no support for the debate.
