ParlaMint-NL_2015-10-28-tweedekamer-6.u1	I give the floor to Mr Van Meenen. He has indicated that he will speak for fifteen minutes.
ParlaMint-NL_2015-10-28-tweedekamer-6.u12	If that also helps, of course, but I would ask the PvdA to take care of the budget, otherwise we will have the same situation as unfortunately for appropriate education. Then we are all in agreement here, but then there is again no appropriate cover and then we are just as far from home. So if Mrs Ypma is kind enough to put that 2 million in the budget for a moment, she will find me entirely on her side. I haven't found that amount yet!
ParlaMint-NL_2015-10-28-tweedekamer-6.u13	That's a fair point, because who bounces can expect the ball. Otherwise, together, let's make this request to the cabinet. This is only a small budget, so perhaps we can put this question together. I've already done that in my term, I hope D66 supports that.
ParlaMint-NL_2015-10-28-tweedekamer-6.u14	Totally. As we sometimes say in education, this kind of money falls out of the folds of the curtains at OCW, I think. Oh, there are no curtains. Then it's just on the ground. I'll help you find it. The COC has referred to asylum seekers who feel unsafe, bullied and threatened because of their sexual orientation and has made a number of proposals. Is the Minister prepared to write to the Chamber in which it responds to the actions requested by the COC?
ParlaMint-NL_2015-10-28-tweedekamer-6.u15	Thank you very much, Mr Van Meenen.
ParlaMint-NL_2015-10-28-tweedekamer-6.u16	It was once again my pleasure to serve among you.
ParlaMint-NL_2015-10-28-tweedekamer-6.u17	It was a pleasure listening to you. We are not done with that, because Mr Van Dijk has a question.
ParlaMint-NL_2015-10-28-tweedekamer-6.u18	I would have expected Mr Van Meenen to bring it up himself; we had a nice little debate on it this morning. Medical students made a plea yesterday about the damage done to them by the loan system. In their case, they have little opportunity to update and the debts are huge. Then Mr Van Meenen suggested that we should see if we can come up with a solution on this point. So I'm very curious about that. Those students argue for an allowance of €280, the basic grant. Do you come up with something like that or do I have to give you any more suggestions?
ParlaMint-NL_2015-10-28-tweedekamer-6.u19	Apart from the question of whether my group should come up with that, I think everyone should be entitled to do so. I think that, as is very common in other training courses, an internship allowance would be in place for people you ask to work 50 to 60 hours. After all, that is what it comes down to, I also know from my own immediate surroundings. So I would like to cooperate on that, if that is an answer to your question. The qualification about the loan system I'll leave for a moment. Loan system or not, this should have been like this a long time ago.
ParlaMint-NL_2015-10-28-tweedekamer-6.u20	That is, of course, the whole point. Last year we had a wide-ranging debate on this loan system. We disagree. You wanted me to. I didn't want you to. But also the medical students came by. Then why didn't you wake up until now? I appreciate that you want to think about a solution, but why have you only just woken up? We knew that last year, but you did not support my amendment.
ParlaMint-NL_2015-10-28-tweedekamer-6.u21	No, that's because Mr Van Dijk brought this subject to us in a litany of misery that would come before us and in which it was difficult to discern what would really happen and what would not. The groups that have supported the loan system have always said that they remain very critical of implementation and that they will adjust the system where necessary. That's not the request of these students. These students say: we think the loan system is a good plan in itself, but our situation is different from the situation of all other students in the Netherlands, because we are supposed to work 50 to 60 hours a week for three years; therefore we have no other option but to ask for compensation for the internship costs. This is very common in the care sector. It also happens in the MBO, for example. That is why I think that the request to the Minister to look into the possibilities for an internship allowance for these people is excellent.
ParlaMint-NL_2015-10-28-tweedekamer-6.u22	What a joyous news: the loan system is only a year old and the first batch begins with its demolition. That's a good thing, because the CDA would like that, too. After all, the loan system doesn't work. We are going to table a motion to give these students a decent remuneration. Is Mr Van Meenen prepared to finance this from the proceeds of the loan system?
ParlaMint-NL_2015-10-28-tweedekamer-6.u23	I'm just waiting on that motion. The proceeds of the loan system are not, in principle, intended for this purpose. They are intended for the quality of education and they are not used for this. This concerns the question of whether or not an internship fee is justified for people who have to do so. So I'm not saying yes in advance. What Mr Rog is doing now, I find a little too easy. Moreover, Mr Rog continues to do so: he draws with the greatest ease from the proceeds of the autumn agreement, from the proceeds of the loan system, all of which raise a total amount of 1.5 billion that will improve the quality of education, but to which the CDA has not contributed a euro. It might also be good for the CDA to come up with something for once that will allow extra investment in education rather than just calling for others to do so to make choices that are not Mr Rog's choices.
ParlaMint-NL_2015-10-28-tweedekamer-6.u24	I'm just gonna go back to what this is all about. We have a loan system, we have negative effects, and we want to solve them. Mr Van Meenen of D66 says: I also want to contribute to a solution. In that he finds the opposition to the loan system on his side, but if it cannot be financed from the proceeds of the loan system, then I would like to hear what D66 sees as a real cover for this defect. We want to solve this. D66 says with the mouth that it wants to participate, then I also want butter with the fish: how does D66 pay for that?
ParlaMint-NL_2015-10-28-tweedekamer-6.u25	That's pretty easy. Mr. Rog wants to solve it, and D66 can give us some cover. I really can't go along with that. I would say to Mr Rog: why don't you look creatively for yourself and look for resources yourself, instead of seeing where others have already made sharp choices and thus freed up resources, and then say that it has to come from there. I really think that's...
ParlaMint-NL_2015-10-28-tweedekamer-6.u26	You don't agree.
ParlaMint-NL_2015-10-28-tweedekamer-6.u27	...a sign of poverty.
ParlaMint-NL_2015-10-28-tweedekamer-6.u28	Mr. Chairman. Today and tomorrow we are discussing the education budget. I actually think that is a good time to express appreciation for all those men and women who work daily at all these different levels to give good education to young people, and to those who support them in it. Respect for what they do. I would also like to express respect for the two directors who are here with us to defend their budget. The Christian Union does not always agree with their choices, but that is without prejudice to our respect for them for their work. They too are looking for something that we assume and I do not doubt at all that it is good for the young people in the Netherlands and for those who teach them. There's a lot going well, but there's also concern. These are concerns that we can also see as a challenge. In the speaking time of the Christian Union, I would like to mention a number of them, namely the decline in apprenticeship numbers, higher unemployment among teachers, the proper introduction of appropriate education for each pupil in regular or special education wherever in the Netherlands, more refugee children in school and the cuts in green education. I'll start with the drop in the number of students. As we know, we have also worked to ensure that the small school allowance is maintained. That has, as we estimate, prevented a lot of damage. However, there are still major concerns. Last year, 124 primary schools were closed. This means that many children have to move to other schools in other centres of residence or that the school that fits in with one's own identity or education is not nearby. In secondary education, too, the effects of the decline in the number of pupils are clearly beginning to emerge. We must continue to ensure that this is the commitment of the Christian Union to good education and freedom of choice close by. Soon we will discuss solutions in shrinking regions with the Secretary of State. However, from this point on, I would like to call on him to stick to the motion by Mr Voordewind, Mr Bishop and Mr Ypma, who has received support from a large majority in the Chamber, on the maintenance of the small school allowance, which gives the possibility of maintaining a supplement in the case of cooperation or merger and asks the school boards in shrinking areas to participate in regional consultations on a future-proof and high-quality education offer. That is a long sentence, but I think it was a very clear statement. I think that is the basis on which we will talk to the Secretary of State later. Maybe he can confirm that tomorrow. The decline in the number of pupils in the coming years will also lead to a lower budget for schools. However, we are facing a number of major challenges, as other colleagues have already mentioned. First of all, schools have lost more and more money to paying unemployment benefits to teachers. Between 2010 and 2015, contributions to the Participation Fund increased by 175 million euros. We also see that there will be a shortage of teachers in a number of years' time. The education agreement agreed to create 3,000 additional jobs for young teachers, for which 150 million were available in 2014. That money seems to have been used mainly for the Participation Fund. This does not create additional jobs, but, as I say, it does preserve important jobs. Still, we still need new young teachers. I would like to hear a response from the Secretary of State on this issue, which others have also addressed. A number of years ago, the Christian Union called for the budget for education to be frozen in the coming years, despite falling numbers of pupils. Is the cabinet still open to this suggestion? The proposal did not make it then, but we really do see the need to start again with each other. If we do not, we will reduce the budget in the years to come. As a result, many teachers will be fired again, when we need them, especially in the future. In short, how do we deal with this major issue? The governance agreement on primary education contains very nice agreements on the use of digital learning resources. If this also applies to schools in the outskirts that have to work with slow internet, I ask the rulers. 900,000 primary school students will have very poor access to the Internet in the coming years. Is it normal in 2015 that you cannot use the digi board properly, which is just the practice in a number of schools, that only one or two students can work on a PC at the same time or that the administration should stop sitting behind the computer at the moment what happens in a classroom? Those are real situations that are happening now, in 2015. The Christian Union has asked questions about this a number of times, in the spring and a few weeks ago. We can see that the Secretary of State and also Minister Kamp-Kamp-Kam-Kam-Kam-Kam-Kam-Kam-Kam-Kam-Kam-Kam-Kam-Kam-Kam-Kam-Kam-Kam-Kam-Kam-Kam-Kam-Kam-Kam-Kam-Kam-Kam-Kam-Kam-Kam-Kam-Kam-Kam-Kam-Kam-Kam-Kam. In the meantime, Internet providers and local authorities have already agreed to cooperate. That is also what the PO Council reports, and I believe it. With smart solutions, such as cooperation with companies in the off-site area, shouldn't this have to be solved? What does the Secretary of State do? Is he prepared to open up the investment fund under the governance agreement to plans for fast internet access? I come to the issue of appropriate education. We could devote the whole of the budget to this. I've been following this file for a long time, and I've been looking around the country. I see that there is hard work there to make suitable education possible, by teachers, by supervisors, but also by parents and administrators. They work hard every day for inclusive education and a fine learning environment for every child. I'd like to compliment them on that. However, there are also concerns. They have already been expressed by others. The Kinderombudsman has also joined with a rather critical report. The child isn't always at the center of attention. There is not enough customization for children. How come there's still so many kids at home? At the time, this was a major problem for the introduction of appropriate education. It still is. Isn't that what we were gonna do about it? How can special education schools have to fire so many people with expertise and even close doors? Hasn't the bureaucracy of governments and teachers just increased since schools have to consult in all kinds of partnerships and make difficult connections with the WMO and other schemes? I would like to hear the Secretary of State say a little more about how we are really going to deal with these issues. This is not just a financial issue. When it comes to finances, the Chamber has intervened and reversed its austerity, I say impeccably. That has even happened twice. Still, it's a problem. These negative settlements in the shrinking regions are also a problem. It's just really ticking through there. In certain areas, children simply cannot always be referred to special education when it is necessary. We also see that schools even cease to exist. That even happens to me in the backyard and also to Mrs Siderius. The Ambelt, a school for special education, simply ceases to exist. The parents are really desperate. How can that happen? I would like to hear from the Secretary of State. The Christian Union has also tabled motions I remember we did so together with the SP about students with a severe multiple disability. Mrs. Siderius asked about it as well. The Group A scheme is budgeted for 1,250 pupils, but it seems that there is now even a doubling of the number of applications, i.e. 2,500 applications. Will the amount per pupil be reduced or will that amount remain the same? That's what I'd like to know anyway. What about Group B and Group C? It's all a lot of jargon, but the people involved know exactly what it's about. For these groups, no additional arrangements have been made. Will the Secretary of State keep an eye on this group and, if necessary, will he arrange additional funding? I know that's very easy to ask, but there is a real problem here. I come to education and asylum seekers, and education for children of asylum seekers. Special things are happening in the country right now. People are working really hard on this. I myself visited the Dutch Team about three weeks ago, where a school is bordering on the reception of the hundreds of asylum seekers who are housed there. That is what we have had discussions about here. Beautiful things happen there, but there are also problems. The rules we have for education do not always apply to such circumstances. This is particularly true, for example, for regular counting dates. There is one added now, but that is not quite enough. Can we offer tailor-made solutions for this, I ask the responsible Secretary of State. And I ask again for an elected chamber, namely one of Mr Klaver, Mr Pechtold and myself. It says that there should also be a real budget for education. That motion was adopted by the General Political Reviews. By the way, I have read the letter from the Secretary of State on this matter. I think the heart's beating in the right place. Something has to be done. However, it would be nice if we knew how that would happen. I myself have seen in the budget that less money is needed for the resources that are lagging behind. We know what the system is like. If the money isn't used, it disappears. Is there any way to use that money for this? I'm just giving you this suggestion. If we did it this way, the money would stay in the field of education. That would be worth something. On the subject of green education, I have just had an interrupting debate with Mr Van Meenen of D66. I'm looking at the cabinet, but I'm also looking at the coalition parties. Because we know how it works. There's just a problem here. We got rid of that 2% last year because the coalition wanted to cooperate. In particular, the VVD was prepared to do so. Now, however, this austerity is still pushing through. It's working on those aocs. This is at the cost of funding per pupil. It is therefore out of line with the funding per pupil on the rocks. We can have a whole discussion about this and reports have been written on it. One says it's almost $1,000. The other says: it's only €56 or €57. There's just a problem here. The schools really don't mess around. I use that term just for a while if there's nothing going on. They just see a problem at the basic cost. We should be done with that now, because it comes back every year. I ask the rulers to solve that problem. I know that this comes back to the agricultural budget, because the problem is covered by EZ, but I think it is best to transfer this point to OCW. It is also advisable to consider how we can solve the financial problems in this area. I'm joining the loan system. Or is it called the cost system? What was the term of the creators of it again? I keep forgetting that term. Oh, yeah, college advance. I think that term is so far-fetched that I have to go far every time to remember her. The choice has been made, a choice that we would rather reverse today than tomorrow. That's probably not gonna happen just like that. But now I would like to be clear about how this money, which is being taken away from students, is being used for extra investments in quality, because that is really shady at the moment. We would like to clarify this point. Then we can say something back to those students who ask where that money went.
ParlaMint-NL_2015-10-28-tweedekamer-6.u29	Mr Duisenberg would like to ask you another question. I assume that Mr Slob has no objection to this. Otherwise, Mr Duisenberg can ask the question. But Mr Slob has no objection.
ParlaMint-NL_2015-10-28-tweedekamer-6.u30	Mr Slob has interrupted me on this subject before. I did my best to get the question straight, but it obviously didn't go well. Does he want to know from the minister in advance what she's going to spend the money on? Then The Hague determines what the money is spent on. Or does Mr Slob want to know, in my view, that is the approach taken by the Minister of Foreign Affairs by which it is ensured that the money is well spent, determined by the institutions and stakeholders?
ParlaMint-NL_2015-10-28-tweedekamer-6.u31	That's a very good question. I can use that question to clarify my position. I am not of the category that thinks that we should decide exactly what is happening in the institutions here in The Hague. That is a piece of freedom that must be given to the institutions, freedom that must of course be fulfilled under responsibility. If that does not happen, action must be taken, but that space must be created. But what has been agreed here is that the institutions must be clear about what they are going to do about additional investments in this quality. This must be transparent, student organisations must be involved and participation must say something about it. Mr Duisenberg even wants to bring in people from outside. At the moment, it is not clear at many institutions whether there is any extra money. After all, they must pre-finance activities which otherwise would be carried out under the guise of 'that is part of this'. We even hear sounds that, for example, a gymnasium or a new lecture hall has been opened somewhere. Yes, in a manner of speaking, that was already planned. It has been said here: there will be a lot of extra money, which, of course, is slowly increasing, that we will invest in quality. Even if you did not agree with that choice, the question is still justified where that extra money is and who has decided on it. In many ways, that is not clear at the moment. Maybe that's a run-up, but let's get on top of it from the beginning.
ParlaMint-NL_2015-10-28-tweedekamer-6.u32	Mr Slob and I are in complete agreement. Since Mr Slob also spoke about green education, which he warmly welcomes, I would like to ask him the following question. There is a great deal of cooperation with the agricultural sector, i.e. with industry and the region. Does Mr Slob therefore agree with me that this is also about external stakeholders?
ParlaMint-NL_2015-10-28-tweedekamer-6.u33	Sure. That is one of the reasons why we have been holding on for a very long time to just leave the money on the EZ budget. Then you're in that column and you can work well with Wageningen and everything around it. I have come to the conclusion that that is true in itself. But because it is on the budget, which has many limitations, there are financial problems. I am also convinced, supported by research on this point, that cooperation in the green chain can best continue if the aocs are treated in the same way as the rocks and on the education budget. Then we are done with the financial problem and we can just focus on what we can do in the Netherlands and what you have said so beautifully. It's an insanely good and beautiful sector. He's unique in the world. When our minister speaks somewhere, he calls Heineken, but also this sector. Those are real examples that you can come up with. Then it can't be that these kinds of problems are going to arise? We should be ashamed if we allow this situation to continue.
