ParlaMint-NL_2016-07-07-tweedekamer-56.u1	I welcome the Secretary of State for Social Affairs and Employment.
ParlaMint-NL_2016-07-07-tweedekamer-56.u29	I asked a substantive question that I did not have an answer to, Mr President. We're also here to get answers.
ParlaMint-NL_2016-07-07-tweedekamer-56.u30	Yes, but we're not standing here to continue the general discussion.
ParlaMint-NL_2016-07-07-tweedekamer-56.u31	I figured that out, Mr. Chairman.
ParlaMint-NL_2016-07-07-tweedekamer-56.u32	Yes, thank you.
ParlaMint-NL_2016-07-07-tweedekamer-56.u33	In the motion in part No. 27 the government is invited to give all young people with disabilities an individual right to guidance and job coaching. I must advise against this motion, because municipalities are responsible for this. Young disabled people can appeal to their municipalities. They must assess, on the basis of customisation, what instruments young people can get. The next motion, in part No. 28, belongs to Mrs Koşer Kaya. It calls on the government to introduce the route of practice for sheltered work. The target group sheltered work is really different from the target group job appointment. These are people who need intensive guidance and heavy adjustments to the workplace. They cannot and must not be expected from employers immediately. The practice route job appointment goes through certified wage value methods. They provide safeguards for careful assessment. In the context of new shelter, it's not about making the practical route available for that. However, I would like to promise that I will look into what is possible to simplify the work process. I would like to come back to that in relation to the legislative proposal we discussed this morning. However, I must advise against the motion now before us. The motion in part No. 29 is about matching. It is essential that everything is done to ensure that the target group register is properly filled. We talked about that, too. This must not only be done by the UWV, but also by the municipalities. So I would very much like to inform the Chamber about the state of play before the budgetary procedure of SZW and I would like to leave this motion to the House. I'm getting to the motion on part No. 30. This motion is about the experiments. I think it is very constructive that Mrs Voortman says that the Chamber has a role to play in this. In this motion, if the Chamber is indeed making a great deal of effort, it is asking for the period to be kept as short as possible. The same applies, of course, to those who have to take the implementation tests, namely the municipalities and the Council of State. On the part of the Council of Ministers, every effort will be made to forward the matter to your Chamber as soon as possible. We also discussed this this morning and I indicated that we would send the AMvB as soon as possible. In fact, therefore, this motion is superfluous.
ParlaMint-NL_2016-07-07-tweedekamer-56.u34	"Send as soon as possible" has indeed been the subject of discussion. I am concerned, however, with the operative part, and the Secretary of State is not really in a position to give an opinion on it. The motion states that the Chamber declares that it wishes to enable experiments in the Participation Act from 1 January 2017. The Secretary of State quite rightly indicated that the First and Second Chambers should agree quickly. Then it's possible. With this motion, therefore, the various groups can state for themselves whether they wish to make this possible by 1 January. If they want to do so, they will vote in favour; if they do not want to do so, they can of course vote against. It is therefore not really up to the State Secretary to judge that particular part of the operative part.
ParlaMint-NL_2016-07-07-tweedekamer-56.u35	The Secretary of State takes note of this, of course. However, I think we have understood each other well in the debate. Thanks to the Acts, Mrs Voortman makes an appeal here, not only to the fellow chamber members, but also to the Cabinet, the Council of State and those who have to take the execution tests in order to keep the periods as short as possible.
ParlaMint-NL_2016-07-07-tweedekamer-56.u36	Thank you, but then the motion cannot really be superfluous. I could also delete the section "the government therefore requests that the General Measure of Governance be sent to the Chamber as soon as possible." But then the judgment of the cabinet will change. We are talking about something that is no longer really up to the judgment of the cabinet, but which the Chamber itself has to decide on.
ParlaMint-NL_2016-07-07-tweedekamer-56.u37	So you propose that you delete the second line.
ParlaMint-NL_2016-07-07-tweedekamer-56.u38	If Mrs Voortman makes the motion in this way, the verdict is indeed up to your Chamber, President.
ParlaMint-NL_2016-07-07-tweedekamer-56.u39	Then I will delete the second operative part and then the motion will only deal with the part in which the Chamber declares that it wants to allow experiments in the Participation Act from 1 January 2017.
ParlaMint-NL_2016-07-07-tweedekamer-56.u40	Clear. Thank you.
ParlaMint-NL_2016-07-07-tweedekamer-56.u41	The amended motion-Voortman c.s. (, No , was No. 30) has been amended to read as follows: [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that municipalities want to help people to work with the Participation Act, thereby exploiting the experimental space described in Article 83;]] [[having noted that a number of municipalities have been preparing these experiments for some time in close coordination with the Ministry of Social Affairs and Employment;]] [[Whereas municipalities have a desire to start from 1 January 2017 and the Secretary of State has previously promised to make this possible;]] [[declares that she (the House of Representatives) wants to enable experiments in the Participation Act from 1 January 2017,]] [[and goes to the order of the day.]] It seems to me that their submission is sufficiently supported. She gets no, was no. 30 ().
ParlaMint-NL_2016-07-07-tweedekamer-56.u42	I'll come to the motion in part No. 31 by Mr Heerma. In that motion, the government is asked to ensure that, when the quota is being transferred, purchasing from companies with the highest step on the PCA becomes transferable. I've asked The Work Room for advice. I am talking to the social partners and the implementing bodies about the possibilities of including the buying-in of services. I think we have no misunderstanding about the fact that that is a great good. I see how difficult it is to properly include the posting of people in ICT matters. The suggestions I have received from various quarters about how we can count on this procurement of services have been brought in to the parties and are involved in the deliberations. As far as I am concerned, I would like to say this as firmly as possible in order to allow for the suggestion that hours are transferable when purchased from companies with the highest step on the PSO. I also think it is a good idea to ask The Workroom to see if it is possible to do a pilot with this. If I may point out the motion in that way, I can leave the verdict to the Chamber. I come to the last motion, namely the one on part No. 32 by Mr Kerstens and Mrs Nijkerken-de Haan.
ParlaMint-NL_2016-07-07-tweedekamer-56.u43	May I interrupt you for a moment? Mrs Schouten has a further question on the motion for a resolution on item No. 31.
ParlaMint-NL_2016-07-07-tweedekamer-56.u44	It is not customary to deal with a motion from a colleague and I very much agree with the judgment. However, the second motion I tabled is very similar. The Secretary of State said that she was going to talk to The Work Chamber, but that she wasn't recommending the motion. In this motion, however, she says that she understands what is being asked in the motion and now she leaves the judgment to the Chamber. I am very happy for Mr Heerma, so I do not want to change that judgment. But I don't understand why my motion isn't explained that way.
ParlaMint-NL_2016-07-07-tweedekamer-56.u45	And that goes for you too, because your name is also under the motion.
ParlaMint-NL_2016-07-07-tweedekamer-56.u46	You're a duo. This motion is about the location requirement. Let me be equestrian. If I may refer to this motion as I have just said about the pilot, I would also like to leave the location requirement with De Werkkamer and ask for advice. The partners in the Chamber can then shed their light on this. If I may direct the motion in this way, I can leave the verdict to the Chamber.
ParlaMint-NL_2016-07-07-tweedekamer-56.u47	That's the motion in part No. 22. Anything else you'd like to say, Mrs. Schouten?
ParlaMint-NL_2016-07-07-tweedekamer-56.u48	It's okay.
ParlaMint-NL_2016-07-07-tweedekamer-56.u49	Well, well, well. We have one more motion.
ParlaMint-NL_2016-07-07-tweedekamer-56.u50	Yeah, last one. It's about the students who come from practical education. This motion asks whether these pupils could enter the target group register. I leave the judgment on this motion to the Chamber, because, as with special education, it appears that these vulnerable young people actually belong to a very large part of this register. If this does not turn out to be the case, they leave the register after two years, because they can earn the statutory minimum wage on their own. In short, I leave the judgment on this motion to the Chamber.
ParlaMint-NL_2016-07-07-tweedekamer-56.u51	Thank you.
ParlaMint-NL_2016-07-07-tweedekamer-56.u52	The motions tabled will be put to the vote this evening at the end of the sitting.
