ParlaMint-NL_2016-03-30-tweedekamer-5.u1	I would like to welcome the spokesmen and, of course, the Secretary of State.
ParlaMint-NL_2016-03-30-tweedekamer-5.u13	There are a few more questions for you. I think Mrs. Schouten was the first to get to the microphone. At least she did her best to do that.
ParlaMint-NL_2016-03-30-tweedekamer-5.u14	I can run real fast, Mr. Chairman. I have listened very carefully to what Mr Bashir has said. He's really on the verge of it. That is fine in itself, but he also threatens a little to the Secretary of State that he may not agree to the bill because it is not green enough. But how does Mr Bashir reconcile this with the position of the SP on environmental zones? I thought that went the other way. It's hard for him to blame this Secretary of State for not being green enough.
ParlaMint-NL_2016-03-30-tweedekamer-5.u15	I'm equally surprised at this interruption. I happen to have included Mr Smaling's opinion article which deals with environmental areas, why we voted as we voted and what our alternative is. This debate is not about that. Everyone can look for 'Environmental zones: the goal is good, the means must be better' by Mr Smaling. I would like to pass the article on to Mrs Schouten, so that she can read what we stand for and what we want to do with those environmental zones.
ParlaMint-NL_2016-03-30-tweedekamer-5.u16	I even read that article, because I myself live in an area where an environmental zone applies, so I was very interested in explaining how the SP's voting behaviour could be explained. Because I don't understand it very well. But the fact is that the SP's voice has led to a counter-action on the environment. I am particularly opposed to Mr Bashir's wording towards the Secretary of State. Shouldn't that be a little more balanced? Anyway, it's the SP's choice to do it this way. I thought it was just as important to mark that double.
ParlaMint-NL_2016-03-30-tweedekamer-5.u17	Mrs Schouten will be able to discuss environmental areas in greater depth with Mr Smaling. We agree with the objective, but we are opposed to the way in which it is to be achieved. The headline above the article says it: 'Environmental zones: the goal is good, the means must be better'. Mr Smaling knows how to do it, so I would like to say to Mrs Schouten: have a debate with him.
ParlaMint-NL_2016-03-30-tweedekamer-5.u18	Not here.
ParlaMint-NL_2016-03-30-tweedekamer-5.u19	No, we're discussing environmental zones at another time.
ParlaMint-NL_2016-03-30-tweedekamer-5.u20	The SP plays a bit hard to get, but for one percent extra addition the party is inboard. How much would that one percent extra add-on cost from 22% to 23% and where would the Secretary of State get the cover for that?
ParlaMint-NL_2016-03-30-tweedekamer-5.u21	The other way around, just so we're clear, one percent isn't little. If a car costs €50,000, then 1% is €500 extra add-on. This will generate additional money, EUR 60 million. We can use this EUR 60 million, not to fill the pockets of the Secretary of State, but to spare the green driver, the green driver. Mrs Van Tongeren has made a number of suggestions for this. I'd like to hear from the Secretary of State if he's willing to come with us. If he goes with us, we will ensure a better balance between the business lease driver and the green cars of the ordinary private. The Group of the Party of European Socialists is in favour of this. If the Secretary of State doesn't do that and chooses the lease driver, then his bill will end up in the First Chamber, but that's not my problem.
ParlaMint-NL_2016-03-30-tweedekamer-5.u22	So for one percent, ergo 60 million euros, the SP brings this bill to a majority? That's basically what it's all about. Where exactly the EUR 60 million have to land, I am still completely unclear. If the SP wants this so badly, why does it not come up with an amendment? Why is the ball placed at the State Secretary's office? If Mr Bashir submits an amendment and obtains a majority for it, the Secretary of State is pleased.
ParlaMint-NL_2016-03-30-tweedekamer-5.u23	Quite a coincidence, I have an amendment with me. Indeed, I intend to present what I have said as an amendment to the Secretary of State's bill. I would much rather he said: I am going to change the bill with a letter of amendment. The point is that we want a better balance. I have just mentioned all these benefits, while the private sector is being driven out of public transport. Let's restore balance. You can start with the one percent. For Mr Van Dijk of the PVV Group, 1% is apparently too little, but I can imagine that people in the country will find a lot of €500 extra add-on. We are not going to leave that money in the pockets of the Secretary of State, but we are going to use it to spare individuals so that they are encouraged to drive cheaply.
ParlaMint-NL_2016-03-30-tweedekamer-5.u24	It would be nice if the amendment were to be tabled by the second deadline at the latest, so that colleagues would be able to take note of a possible reaction from the Secretary of State to that amendment. It is not an obligation, but it can be pleasant for colleagues.
ParlaMint-NL_2016-03-30-tweedekamer-5.u25	Mr. Chairman. I start with a compliment and that concerns the charging stations for electric cars. A motion has been tabled by D66 and GroenLinks and the State Secretary has done his homework and acted on it. I know that in the field about the physics and chemistry of the method of calculation a lecture is probably given and I like to sit down with that, because then I also get a little extra training. In addition to a compliment, GroenLinks has made an action plan on electric driving on the road to clean transport. This subject falls not only with this Secretary of State and not only with Minister Kamp or Minister Schultz. Once again, I would like to offer it to these spokesmen for inspiration. There are proposals and ideas in it that can be used to achieve faster and better clean transport in the Netherlands. It won't stop tonight. I have brought something for the Secretary of State, namely ordinary electric cars for the ordinary man and woman, provided that this Secretary of State is going to try to help make them affordable. These are famous car brands that are now driving on the road. I understand that we do not yet have a ruler who drives an electric car himself. Perhaps this Secretary of State will be the first to dare to innovate and drive an electric service car. I'll give these model cars to the messenger for delivery. One of these two cars gave me a week's trial run.
ParlaMint-NL_2016-03-30-tweedekamer-5.u26	I assume there is no objection to this document being made available to the Central Information Point of the Chamber. (For inspection at the Central Information Point of the Second Chamber of the States General.)
ParlaMint-NL_2016-03-30-tweedekamer-5.u27	I'm afraid that's where the good news stops a little bit.
ParlaMint-NL_2016-03-30-tweedekamer-5.u28	That's what I thought!
ParlaMint-NL_2016-03-30-tweedekamer-5.u29	I read a report on Saturday about the electrical ambitions in another country, India. That has an innovative plan, namely to make every new car in India electric by 2030. How do they do that? They do so in the same way that they have been able to hang a lot of LED lamps in India, namely by making the vehicles available free of charge. The user pays back the vehicle by the difference with the cost of the old car and the savings that the user now has. Perhaps something for the Secretary of State to look at.
ParlaMint-NL_2016-03-30-tweedekamer-5.u30	India has 1.2 billion people. If they all have to drive an electric car, my question to Mrs Van Tongeren is: how does she think that electricity is generated in India?
ParlaMint-NL_2016-03-30-tweedekamer-5.u31	I am glad that the issue in India is also being discussed this evening. Just as we should in the Netherlands. Firstly, we need to work much more with sub-cars. We should not have a car everywhere that is on average used two hours a day or even less. Secondly, much more must be done to improve and clean public transport. The last pieces of the trains must be electrified. Electric tuktuks are already here. India can use that. The last transport that these other solutions do not serve, you should preferably do with the electric car.
ParlaMint-NL_2016-03-30-tweedekamer-5.u32	That wasn't my question, was it? If of those 1.2 billion people want 600 million people to have a car, then maybe 100 million people will end up buying an electric car. They have to be able to run on power and that power has to come from somewhere. My question is: how is that huge amount of electricity generated in India for those 100 million electric cars?
ParlaMint-NL_2016-03-30-tweedekamer-5.u33	You could do that in India, a rather sunny country, mainly with solar energy. Putting solar panels on top of any suitable roof in India is more than enough to allow this amount of cars to drive.
ParlaMint-NL_2016-03-30-tweedekamer-5.u34	I will give you the floor very briefly, because the first question was misunderstood.
ParlaMint-NL_2016-03-30-tweedekamer-5.u35	Right. Whether she misunderstood that question: she mainly walked around with her electric shoes.
ParlaMint-NL_2016-03-30-tweedekamer-5.u36	The answerer is about the answers.
ParlaMint-NL_2016-03-30-tweedekamer-5.u37	Madam President, I would just like to say through you to Mrs Van Tongeren that India and China have placed the biggest order ever for new nuclear power stations. It's just nuclear power! I'm fine with that in itself, but this isn't a green dream, you know.
ParlaMint-NL_2016-03-30-tweedekamer-5.u38	I did not hear a question in that, but I will respond briefly to the question of nuclear energy. A European country, England, is in the process of ordering a nuclear power plant, and I recommend that Mr Van Vliet take a look at how well that is going and how much the costs have now gone up. Hinkley Point is about to be ordered off. So the future of nuclear energy is not great, but before we go through India's energy policy, I will just continue with my input. Is that okay, Mr. Chairman?
ParlaMint-NL_2016-03-30-tweedekamer-5.u39	That seems to me to be the right course for tonight.
ParlaMint-NL_2016-03-30-tweedekamer-5.u40	Mr. Chairman. In the Netherlands, where this Parliament is concerned, transport accounts for around 20% to 30% of total CO emissions. In order to take seriously the judgment of the judge in the Urgenda case, our climate agreements in Paris and the government's own policy, these emissions need to be reduced quickly. In my opinion, the Secretary of State is very much in agreement with me. Mr Bashir already referred to Pillar 7 of the Energy Agreement on Mobility and Transport. It states that tax measures are subject to a separate and special trajectory within that pillar, which will be reported in the Autobrief II. It's gotta go down there. As far as cars are concerned, what we agreed on in the energy agreement is going to crash in Autoletter II. I will continue to read that the whole transport and mobility sector will result in savings of between 15 and 20 petajoules. I would like to hear from the Secretary of State how his car letter contributes to that. It says that it is extremely ambitious and we agree with each other. Then, under 9.3, second paragraph, which is perhaps the most important point for tonight, it says: "Amidst a growth model with intermediate targets, from 2035 onwards, all newly sold cars will be able to drive CO-emission-free; by 2050 this will apply to all passenger cars." I'm very curious about that model of growth and the intermediate targets. What intermediate objectives does the Secretary of State have in taxation? What about the ingrowth model? My name is with those of other attendees under a motion from the PvdA to do it not in 2035 but in 2025. In both cases, you have to have a growth path with goals. I would therefore like to receive an update from the Secretary of State on his growth model and on the intermediate targets for taxation. What about the investigation into paying for use? The aim is to examine whether you can abolish the Eurovignette, the vehicle tax and the bpm and replace it with a system of payment for use. I am very interested in that, and I would like to hear the results of this when the Chamber receives the results.
ParlaMint-NL_2016-03-30-tweedekamer-5.u41	Mrs Van Tongeren rightly calls for attention to be paid to the path of integration in order to end up selling only electric cars. Does she agree with me that it would also be very interesting to hear from the Secretary of State what percentage of news sales will be electric in 2013? Mrs Van Tongeren is asking for a path, but I am also very curious to hear how far we will be in 2020, the end date of this letter. The Labour Party will soon be able to see that we are "extremely" upset by this law. The cynicism is intense, Mr. Chairman.
ParlaMint-NL_2016-03-30-tweedekamer-5.u42	It's never gonna happen through the Acts. So it's a good thing you mention it.
ParlaMint-NL_2016-03-30-tweedekamer-5.u43	I also heard the cynicism. In my contribution, I have raised the question, and I shall get to the point in more detail in this respect: what was the initial estimate of this State Secretary, what is the State Secretary's estimate of the proposed new policy and how he reconciles it with the harsh agreements in the energy agreement? I also expect the VVD to be entirely on my side, because the VVD is regularly acting as the guardian of the energy agreement; no letter should be deviated from that. I therefore assume that this also applies to Pillar 7, mobility. The VVD Group can therefore prepare itself for the fact that I would also like to hear from her how she thinks that the government's own goals will be met in the energy agreement with the current measures we are discussing. In terms of mobility management and fuel savings, including in the energy agreement, I have stated that there will be a pilot project for mobility budgets. If it is evaluated positively in 2016 I would therefore like to hear when the evaluation of that pilot will continue to work. It also states that 1 million mobility passes will be in use in 2015. I would like to know if that number has actually been reached; I have not been able to find it myself. I also read that in 2020 there will be 100,000 semi-cars with very low average emissions. I would also like to hear what the Secretary of State's plan is for this to be achieved and how far we are on the way, because 2020 is already very soon. So much for points in the energy agreement. We have presented a plan for hybrid cars to which reference has already been made. In previous consultations, the Secretary of State said that hybrid cars may prove to be overly expensive. But they're in the Netherlands now, they're sold, they're there and they're plug cars, so you could drive a lot more economical. How are we going to ensure that the ordinary woman or man gets into such a car and that we also have the advantages in terms of less noise and cleaner air in the Netherlands? How are we gonna do that? GroenLinks is excited to think about all solutions. We believe that a purchase premium may be the easiest. We find it difficult to explain that hybrid cars are increasingly treated as old-fashioned fossil, regular cars according to the Autoletter of this State Secretary. We would like to hear how the Secretary of State thinks this will contribute to achieving the goals. The famous Porsche Cayenne, with an emission of 215 grams per kilometer, has already been mentioned. This will cost €3,000 cheaper in purchase, while a Toyota Prius with 39 grams per kilometer, a quarter of Porsche Cayenne's emissions, will cost €2,500 more. How do we explain that, Secretary of State? Originally, with the older policy, the cabinet expected to have 185,000 full electric or hybrid on the road by 2020, and it itself calculates that this goes down with the current proposals, namely to about 100,000 hybrid electric cars by 2020. Is this closer to the government's stated ambition? I think it is very fair that the bill shows that the cabinet is not going to make it this way. What measures will the Secretary of State take to ensure that this is done? How can you achieve your climate goals if the expected CO emissions from our fleet increase from 87 grams per kilometer to 96 grams per kilometer with this letter? We have to go downstairs, but we're going upstairs. The cabinet will then say, and this Secretary of State will do so tonight, that the measures it has put in place are too expensive and not effective. So you're gonna get rid of them. What the Secretary of State forgets is to replace it with new ones. At GroenLinks we are in favour of cost-effectiveness, but then look for better environmental measures instead of abolishing them. We are therefore in favour of keeping the bpm and the mrb for regular, polluting cars equal or rather going up for the toughest cars, including in the addition; the polluter pays. In order for the electric fleet to get off the ground properly, we prefer to stimulate second best, so the hybrids. After all, an electric car is also a challenge in the Netherlands in terms of infrastructure until we have all those loading posts. We also make proposals. I have tabled two amendments. The amendment in part No. 9 regulates that the specific fee levied on the Tesla does not go into €50,000 but at €100,000, with coverage from the Porsche Cayennes of this world. We would also very much like to arrive at green vans instead of just white. Entrepreneurs also want to make it more sustainable. The government now spends 1.1 and a quarter billion on exemptions in the bpm and the tax on motor vehicles for the white vans. That's a very big grant. In the way it is being used, it is not helping to make it more sustainable. There are several techniques that can make this happen, for example by raising rates a little bit and putting it into an environmental investment deduction (MIA). Then it is attractive for entrepreneurs as well. At the moment it is very expensive for entrepreneurs to go greening with a white van. It is much cheaper for them to drive a polluting van. We shouldn't have that, should we?
ParlaMint-NL_2016-03-30-tweedekamer-5.u44	That is a little too easy for Mrs Van Tongeren. She has just tabled an amendment which the Teslacap does not take up until €100,000. This means that a Tesla has up to €100,000 4% add-on. If you buy a Tesla of €100,000, you only have to pay €2,000 net per year, so less than €150 per month. This will make the Tesla for the richer because only very rich can of course drive Tesla as expensive in the lease as a Volkswagen Polo. Because not only the Porsche Cayenne is being made more expensive, which is not leased at all in the Netherlands, but also the Volkswagen Polo, the Nissan, the Opel Astra, in short all small cars go from 22% to 22.1%. Why does GroenLinks think it is justified that the addition of a car of €100,000, with all the luxury involved, should be subsidised in such a way that the whole of the Netherlands will have to pay more for leasing, including all drivers of small cars in the Netherlands?
ParlaMint-NL_2016-03-30-tweedekamer-5.u45	There are actually two questions in that question. It was just about the jealousy on the Porsche Cayenne. There is also a big jealousy in the Netherlands on the Tesla. I love it when CEOs switch to clean cars. I don't think it's just because of that car. I get a ride sometimes from a guy like that in a car. When you talk to such a CEO who has a Tesla, you generally notice that there is an interest in energy and that there is much more interest in energy and sustainability. So it has an effect on the whole company. So I think you should put some on a pioneering group until we've reached the cabinet's goal and then we're done. I think it's good to explain when we do. Instead of going from 25% to 22%, it would go from 25% to 22.1%. This then applies to lease drivers, generally not the category that has to prepare a Cup-a-Soup in the evening because there is not enough money to buy dinner.
ParlaMint-NL_2016-03-30-tweedekamer-5.u46	No, but that Cup-a-Soup isn't prepared by CEOs driving a Tesla at night either, as far as I know. And if they did, they did something wrong. This amendment by GroenLinks proposes that a Tesla rider receive a discount in the add-on that may amount to €18,000 per year. That's next to the bpm exemption and next to the mrb exemption. Has Mrs Van Tongeren read the report of the General Court, which states how much it went wrong with the Mitsubishi Outlander, how it cost hundreds of millions? Why does GroenLinks want to repeat that error by a small group of car drivers, also very well-equipped.. so to speak canal belt types, but I can't say that here, of course, to give €18,000 a tax advantage? In the Netherlands, for example, we are going to import all Tesla's from all over the world and we are going to have a gap of hundreds of millions in the budget, which is already going to be passed on to the leasing car drivers with a small car and later on to the whole of the Netherlands.
ParlaMint-NL_2016-03-30-tweedekamer-5.u47	This chairman is not a stereotype, but I now give the floor to Mrs Van Tongeren.
ParlaMint-NL_2016-03-30-tweedekamer-5.u48	There are a number of nice points of confusion in that; Mr Omtzigt is good at that. The Mitsubishi Outlander is not a full electric car. It doesn't have a 400 km electric range, it's a plug car. This amendment does not apply to hybrid plug cars, but only to full electrics, so also to full electrics: the same category that a Golf can buy can also buy or lease one of these two. There is an alternative, but that only works for people with a reasonably short travel distance. It's a technique in development. Mr Omtzigt will remember how we got the Netherlands on the Groningen gas. Then we also very quickly distributed a lot of free cookers, because we wanted to get that process going. If you want to have serious electric transport in the Netherlands, you do need the infrastructure. At the moment there aren't even signs to find a Fastned fast charging station along the highways, because we can't get Rijkswaterstaat far enough to hang those signs. If there are enough people driving an electric lease car who want to charge their car there, you can do that kind of thing. You have to build mass to realize that transition. This has enormous benefits for the whole of the Netherlands, for example the air quality in and around large cities. You do not see that in this amendment, but there too, you will gain enormous costs in a longer life for people who live closer to the highway.
ParlaMint-NL_2016-03-30-tweedekamer-5.u49	We're going to see Mrs. Schouten. Interrupts in principle in two.
ParlaMint-NL_2016-03-30-tweedekamer-5.u50	I'm never taken away by CEOs with Tesla's, so that's probably what it's about.
ParlaMint-NL_2016-03-30-tweedekamer-5.u51	I can arrange that for you.
ParlaMint-NL_2016-03-30-tweedekamer-5.u52	Let's just stick to the car letter.
ParlaMint-NL_2016-03-30-tweedekamer-5.u53	You made it sad, so I can fix it.
ParlaMint-NL_2016-03-30-tweedekamer-5.u54	Mrs Schouten is now going to formulate her question.
ParlaMint-NL_2016-03-30-tweedekamer-5.u55	Mr Omtzigt is right. A euro tax advantage can only be spent once. We stand here every day debating what we spend it on. This group is not very poor or has very little income, as Mrs Van Tongeren herself points out. How does she justify giving this group an extra tax advantage to drive a very expensive car? This euro tax discount will indeed be withheld from other people in the Netherlands, for example the less well-off. Does Mrs Van Tongeren agree with me that if that group is of good will, who can pay for it and does not need that extra incentive in addition?
ParlaMint-NL_2016-03-30-tweedekamer-5.u56	If this money went directly to the food banks, Mrs Schouten would find me beside her. Then I would say: if necessary, you set the fare for all the expensive lease cars at 30% and then we will have proper social policy. We are talking about leasing cars which are at 25% and for which the rate is going down. They're old-fashioned fossil cars that become cheaper because of the Secretary of State's proposal. They're not cars that we make incredibly much more expensive. The lease rate goes from 25% to 22% for the dirtiest cars. We want to put 0.1% on top of that in order to stimulate the growth of the number of Tesla's. By the way, not only are CEOs driving a Tesla, but also a lot of taxi drivers. This too has a huge advantage in terms of noise quality, climate and air quality in large cities. To start a movement, you have to do it somewhere. If Mrs Schouten has better coverage on offer, I am always prepared to amend the amendment with her suggestion.
ParlaMint-NL_2016-03-30-tweedekamer-5.u57	It's not about cover, it's about spending. Maybe I wasn't clear about that. By putting that cap at €100,000, we sponsor a group that I think they might not really need if they choose that car, because then she often does so on a green principle, as Mrs Van Tongeren herself points out. Then you can use the euro you are spending on it much better for middle incomes or lower incomes, which also want to take a step towards greening. Why does Mrs Van Tongeren deliberately choose to encourage the richest group to drive an expensive car that most people in this room probably can't afford?
