ParlaMint-NL_2016-05-18-tweedekamer-7.u1	I would like to welcome the Prime Minister and the Foreign Minister. I call Mr Voordewind.
ParlaMint-NL_2016-05-18-tweedekamer-7.u12	Of course, I agree wholeheartedly with Mrs Maij, but she outlines a contradiction that does not exist. It simply pretends that the granting of emergency aid to Syrian refugees in Turkey should be made dependent on this very big EU-Turkey deal. Of course, that is not the case. We provide emergency aid to refugees in Lebanon and Jordan, even without having such a far-reaching deal with those countries as we have with Turkey. I do not see Mrs Maij's contradiction at all.
ParlaMint-NL_2016-05-18-tweedekamer-7.u13	Mr. Chairman. It is crazy for words that Ebru Umar was deprived of her freedom in Turkey because she exercised her right to freedom of expression. But that is Turkish reality. Erdogans Turkey is world champion of journalists. He is also a great friend of the extremist Muslim Brotherhood. For him, democracy, freedom and justice are words that have absolutely no value. I am not making that up, he said it himself, on 16 March in Ankara. The here not so well known but in Erdogan's party widely appreciated Islamofascist Kısakürek is his great inspiration. In the line of Kısakürek Erdogan pursues a presidential dictatorship. He calls this "advanced democracy": all power in the hands of the President who can quickly bring the will of the people to justice. According to Erdogan, this is proven by Hitler Germany. Erdogan sees himself as that lofty leader. Anyone who criticises that will be eliminated. The free media in Turkey have already been eliminated; 'parallel' as it is called in fascist language. Out of fear, Turkish media keep quiet. This is typically a characteristic of a dictatorship: creating fear among opponents. Exalted leader Erdogan also sees himself as the leader of Turks outside Turkey. Most Lower Turks see it that way. They like to vote for him. Some like to enslave themselves by mass reporting insults of the exalted leader abroad. Some report insults via a click line of the Turkish diplomatic service. Then the unified justice system of the supreme leader can tackle the critics when they come to Turkey. Of course, it was not acceptable for Erdogan's long toes to tolerate that a Nederturkse said something about him. That's how Ebru Umar got into trouble. That was a good thing, because her arrest offered the opportunity to sow fear among people outside Turkey. The deeper you bend into the dust, the deeper a dictator falls into that dust. Erdogan thinks he's got us in a stranglehold by pouring out a flood of fortune seekers on us. We've had a taste of that lately. However, that only applies if we have weak leaders who are not up to him and his negotiating tactics, who do not see that "a deal is a deal" does not apply to Erdogan, who do not understand that an agreement for Erdogan is only a starting point for making further demands the next day, who do not want to see that you cannot make any agreements with an islamofascist at all and therefore do not want to make any. Unfortunately, there are such leaders in Europe today, for example the President of the European Council, Tusk, who felt that no one should lecture Turkey and the Labour Commissioner's Party Timmermans. He wants to call a Turkish tsunami over us by allowing visa-free travel for all Turks. Don't do it, I'm asking our government today. Don't bow to that Islamic dictatorship. Our country is already at its knees in the Islamic shit, don't make it worse. Reject the Islamic influence and do not bow to those Islamofascists. Don't give them a finger because they want to take away our freedom. Finally, I would like to point out the following. As far as PVV is concerned, do not do business with Erdogan, Turkey not in the European Union but in NATO, not 80 million Turks visa-free to the Netherlands, remove Islamofascist influence from the Netherlands and clean up. The Netherlands again free, safe and sovereign.
ParlaMint-NL_2016-05-18-tweedekamer-7.u14	Mr. Chairman. Yesterday, a German judge ruled that the German satirist Bömermann was rightly charged with insulting the Turkish President Erdogan. The fact that Erdogan has stepped on his toes rather quickly in his own country is evident from the fact that he has charged more than 1,500 compatriots. We do not like that, but that is the reality of Turkey. But the fact that the Turkish head of state now also allows criminal prosecution of a German satirist in Germany is a long arm. Fortunately, we live in the Netherlands. When on Saturday 23 April the Dutch columnist Ebru Umar was arrested in Turkey for statements and tweets she had made in the Netherlands, the Dutch government and our diplomats tried to get her out. After a night at the police station and three weeks in Kuşadasi, Ebru Umar returned to the Netherlands last Tuesday. Yesterday she called us again to do our job. Apart from what I think of her columns, I'm especially glad she can do her job again. A few questions to the government. What is the legal status of Ebru Umar's case in Turkey, now that her exit ban has been revoked? Can it return to Turkey if it so wishes? Or is she persona non grata? How does the government estimate that this will not be a Rena-Nice scenario, condemning Mrs Umar in absentia in Turkey? Can the government here confirm that the reason for her arrest, the alleged insult of Erdogan, can never or should never be a reason for extradition? Is her safety a priority here in the Netherlands? This case has shown that the old handiwork of silent diplomacy can sometimes be achieved more than with deafening roaring. Once the cabinet, and in particular the Ministry of Foreign Affairs, gets to work within the existing diplomatic channels, our Parliament will fit in with restraint. Anyone who then calls that the government cannot or will not find the Turkish Government's telephone number, when it is already clear that there has been intensive contact, or who roars that the relationship with Turkey should be broken, which would have prevented Ebru Umar from getting any help, is working on his own political profiling and not on a Dutch person who is in trouble abroad. Screaming for the stage is not an alternative to chess on the international field. The caller of politics must sometimes also want to give way to the silent drum of diplomacy. Staying in a protest is not a solution to a problem. The real problem is not in Turkey, the real problem is the displeasure we feel here in the Netherlands if we can no longer trust that everyone who criticises each other here also identifies with the core values of our open and resilient society, which makes it possible to safely express criticism. Among large groups of Dutch people with Turkish passports there was applause, after the arrest of Mrs Umar, but certainly not among all. I know many Turkish Dutch people who hate Erdogan, who like to live and work in our society and who make a great contribution. But there is also a significant group of Turkish Dutch people who put the identification with the interests of the Turkish state above that of the Netherlands. It is with these Turkish Dutch that the click line of the Turkish consulate does its harmful work. It is this group that intimidates and threatens on Facebook and Twitter. Ebru Umar is now free from Turkey, but she lives here at a safe house. Mr Keklik Yücel I am glad that she is in the plenary room today, from facebook onwards, had to accept a perhaps orchestrated protest bombing on her facebook profile. Other colleagues with a Turkish background were judged on the basis of their ethnicity on their voting behaviour. Here, in this Parliament, in fact, a parliamentary click line. That is what we must oppose and that is what I am saying again. I hope more people will. But I also have two questions for the Prime Minister. If there is a suspicion that foreign governments are causing sectarian tensions in our country, shall we leave it to a protest? Can the Prime Minister give me the assurance that the Dutch State will also investigate this directly, if necessary? Are our police and security services going to get to the bottom of this violation of freedom of expression, especially when it comes to MPs? Because intimidation in public space by individuals and groups, especially by anonymous individuals, especially when the long toes of a foreign government are behind it, is unacceptable in an open and therefore vulnerable society like ours. It kills the freedom that is also the best defence against that vulnerability. That is what distinguishes us from the Middle East, where sectarianism, intimidation and intolerance prevail. We can spare the Middle East here as a toothache. It's bad enough we have to do business with it. I say to Mr De Roon that we do things for our own good, but in this case we do: first the girl.
ParlaMint-NL_2016-05-18-tweedekamer-7.u15	Were you done with your speech?
ParlaMint-NL_2016-05-18-tweedekamer-7.u16	Yes.
ParlaMint-NL_2016-05-18-tweedekamer-7.u17	I had to think about that last remark.
ParlaMint-NL_2016-05-18-tweedekamer-7.u18	I always say something to think about!
ParlaMint-NL_2016-05-18-tweedekamer-7.u19	I referred to the fact that the real problem is not there, but here. In part, Mr Ten Broeke is right, of course, if the people of Turkish origin living in the Netherlands are going to take the same measure, we are going to have a very unhealthy society, but isn't it both? Mr Ten Broeke also mentioned the click line proposed by the Consulate and the long arm of Ankara.
ParlaMint-NL_2016-05-18-tweedekamer-7.u20	Yeah, I think that's part of the same problem. If there were an orchestrated public outrage, and behind that orchestration, perhaps a foreign government would be hiding, then I think that needs to be sorted out to the bottom, because that is detrimental to an open society. We have an open debate, and that open debate can only take place if freedom here is virtually unbiased, and that can only be done by the responsible action of everyone, if everyone knows what they are restricted by. But you also need to be safe. You must have the confidence that in an open society you have that freedom in full. That is not the case when massive clicks, threats and intimidation are made, or if this happens anonymously, and unfortunately we have examples of this in our own parliament.
ParlaMint-NL_2016-05-18-tweedekamer-7.u21	I was a little confused by the remark that the real problem is not there, but here. However, Mr Ten Broeke will have to acknowledge that the oppositions and oppositions between people come mainly from the Turkish authorities and the Turkish consulate. Then what does he ask of this government? I have mentioned the example of the Reformatorisch Dagblad, but other newspapers may also receive this kind of reprimand. We are used to getting them from the Turkish consulate, but now many more agencies, including the media, are threatened. What message should the government send to the Turkish Government on such threats and intimidations, according to the VVD Group?
ParlaMint-NL_2016-05-18-tweedekamer-7.u22	I was talking about the feeling of displeasure in our own society that is fed by the idea that you are not free here, that you are intimidated. The fact that Dutch media editors receive letters from foreign governments is part of that, that is one and the same problem. I only distinguish between foreign governments that have to investigate and prove that they are orchestrating and deliberately deploying actions, such as at the click line of the Turkish consulate in Rotterdam, and on the other hand massive actions that are being launched by Turkish Dutch people themselves to intimidate them. This may be normal in Turkish society, but it is practices that I do not want in the society we share with each other, nor in this Parliament, in so far as that is what I hope is still a reflection of our society.
ParlaMint-NL_2016-05-18-tweedekamer-7.u23	Madam President. After seventeen long days of land arrest in Turkey, columnist Ebru Umar fortunately returned to the Netherlands last week. Although there has sometimes been strong criticism, including of the Prime Minister, I still have the impression that the cabinet has taken everything out of the closet to get Umar back to the Netherlands. In my opinion, it is without precedent that a Dutchman who got into trouble abroad could count on calls from both the Foreign Minister and the Prime Minister. Chapeau before that. Concerns now exist especially at the safety of Umar, who regularly makes enemies with her sharp, sometimes offensive columns. Can the Minister state whether everything is being done to ensure the safety of the columnist? There are also concerns about the criminal investigation against Umar because of the alleged insult of the Turkish President Erdogan, because that investigation is still ongoing as far as is known. Can this be addressed? What's the status? Can we also discuss the possibility of extradition to Turkey if the trial continues? Does the Minister agree with the SP that the insult of the Turkish President should not be the subject of extradition? The Metro columnist is by the way only one of the about 2,000 people who have had to deal with insult charges since President Erdogan's arrival in August 2014. This is not because of new legislation. Insulting the President has been a criminal offence in Turkey for a long time, but in the past it has been very rarely prosecuted. That raises the question of why so many lawsuits have started now. What does this say about President Erdogan? Can the Minister answer that? Does the Minister also pay attention to all those others, including journalists, academics and politicians who have been charged? I have the impression that Europe and the Netherlands have remained very quiet on this point until recently. Umar's arrest fits a pattern. Freedom of expression and freedom of the press have been under great and increasing pressure in Turkey for years. In the latest global index of freedom of the press, drawn up annually by the reporters Without Borders, Turkey has again dropped a few places. It is now in place 151, which is lower than Venezuela, Russia and Tajtjikistan, for example. Turkey also scores extremely badly every year with regard to journalists under lock and key. This is reflected in the review drawn up by the Committee on the Protection of Journalists at the end of each year. Only China, Egypt, Iran and Eritrea did worse in 2015. Infamous examples are the two journalists of the newspaper Cumhuriyet who were arrested for writing about arms supplies by the Turkish secret service to warriors in Syria. These Turkish journalists, Can Dündar and Erdem Gül, have recently been sentenced to five years in prison. Can the Minister respond to that? Various groups in the Chamber have called for research into such supplies. These journalists provided the evidence and Europe looks away. Can the Minister also indicate more generally how the Netherlands and the EU respond to the repression of freedom of expression and freedom of the press in the candidate country of Turkey itself? The increasing repression in Turkey cannot be seen in isolation from the continuing conflict in the Kurdish south-east of the country which has been stirred up again last summer. I was there earlier this month. The devastation of towns and villages and the great suffering of the population were shocking. Maintaining reports that citizens have been deliberately attacked led the UN High Commissioner for Human Rights to call for an independent investigation into violence and access for UN personnel to conduct research in the region. Turkey still does not make that possible. Does the Minister support this call from the UN? The repression of the Kurds has now also reached parliament. There is a law in the making that rules that parliamentarians are deprived of their immunity if there are investigations, often terrorism-related, against them. This is a development which seems to affect pro-Kurdish HDP MPs in particular. Although persecution of terrorism sounds sympathetic, it should be noted that in the Turkish context this often means that critics who have nothing to do with terrorism are silenced. I'd like to hear a response from the Minister.
ParlaMint-NL_2016-05-18-tweedekamer-7.u24	Mr. Chairman. Democracy is like a train. You ride along until you get to your destination and then you jump off. That's what Erdogan said 18 years ago. This very dangerous tyrant has already left his desired destination: the halting Islamic dictatorship. His tentacles also reach into the Netherlands. It seems that the AK party even has its own section in our parliament. Klik-Turken from our own country ensured that Ebru Umar was grounded for weeks for insult. History teaches us that dictators should never be admitted. The cabinet should, of course, have publicly demanded its release, otherwise it should have deported the Turkish ambassador. But Prime Minister Rutte was in trouble. He has made us completely dependent on Erdogan in guarding our borders, who can make demands on our freedoms. It took the Netherlands, the President of the EU, no less than 17 days to free Umar from the Turkish claws. And that's not a victory, it's a mockery. The cabinet has to show some nerve for once and do the following. Guarantee that Umar will never be extradited. Do not let Erdogan into the Netherlands as long as Umar is at risk of prosecution. Set up a negative travel advice for Turkey. Furthermore, no 6 billion, no visa-free travel and never Turkish accession to the EU. Stop the influence of the Turkish state in our own country, because thousands of Lower Turks are not loyal to the Netherlands, but to Erdogan. We say to them: turn in your Dutch passport and go to Turkey.
ParlaMint-NL_2016-05-18-tweedekamer-7.u25	Mr. Chairman. First of all, I would like to join the groups that have congratulated the cabinet for resolving Mrs Umar's land arrest. It is right that this demonstrates the importance of diplomacy. I also agree with the groups that have asked questions about how she is going to proceed. The arrest of Ebru Umar is an unacceptable restriction on freedom of the press and freedom of expression. Within Turkey, that fits in a pattern. Dutch journalists such as Fréderike Geerdink, Mehmet Ülger and Bram Vermeulen had to deal with the limited freedom of the press in Turkey. The Zaman newspaper has been taken over by the government. The main editor of the newspaper Cumhuriyet has been sentenced to five years in prison and critical TV channels have been removed from the sky. In Turkey, freedom of the press has never been good, but it has been better than it is now. It is disappointing that the ruling AK party and its leader, President Erdogan, have resolutely turned their backs on freedom of the press, because that freedom is closely linked to the European Union. EU membership is unthinkable without freedom of expression. Visa liberalisation is unthinkable without adapting terrorism legislation to the European standard. I would again like to hear confirmation that the government is maintaining these conditions and not relaxing them, in line with the Verhoeven-Klaver motion. GroenLinks wants to continue talking to Turkey, but never compromise at the expense of our principles. A series of critical Umar tweets about the Turkish government were grounds for arrest. Any opinion on Erdogan should be able to be expressed in the Netherlands, just as people can express any opinion on Umar's columns. But what about Twitter? Can every Dutchman in Turkey be arrested for his or her tweets? Does it matter from which country you tweet? Does it matter which passport you have? The restriction of freedom of the press in Turkey is serious, but for us it is even more serious if freedom is restricted in the Netherlands. This freedom is, after all, a matter that concerns us first. Freedom of expression deserves an active defence, because once again a public figure in the Netherlands needs to be protected. I trust that the justice system and the police will make every effort to get the bad guys and the burglars. Would the cabinet like to inform the Chamber of the progress of the investigation? Reports about Ankara's long arm are intimidating. Is the click line from the Turkish consulate really out of the sky? Has there really been a misunderstanding and do all the contacts of the consulate know that there has been a misunderstanding here? Some Dutch people like to participate in that long arm. Then what can the cabinet do to reduce that comprehensibility for Ankara's line? How do we ensure that people do not feel limited by actions by the Turkish government in the Netherlands? The cabinet must be on top of that. The cabinet must do everything in its power to give Turkish Dutch people the same freedom as all Dutch. People who live here belong to the Netherlands.
ParlaMint-NL_2016-05-18-tweedekamer-7.u26	Mr. Chairman. The vacation of Ebru Umar in Turkey was brutally disturbed. On April 23rd, the police were at her door. Because of the critical tweets about President Erdogan, she was arrested. She wasn't allowed out of the country. She was threatened in Turkey and the Netherlands. During her stay in Turkey, her house was broken into. Our group is very happy and relieved to be back in the Netherlands. However, the fact that she now needs security says a lot. For Ebru Umar, it's not a business as usual. As far as our group is concerned, this also applies to relations with Turkey. The repression of Erdogan is increasing. His long arm extends far into Europe. His supporters in the Netherlands threaten and intimidate opponents. There was a click line. It was a misunderstanding. Who's gonna believe it? This arrest wasn't an incident. It's a pattern, a long-term pattern. First, I will deal with the arrest in the Ebru Umar case and then with the bigger picture that I believe this arrest is part of.
ParlaMint-NL_2016-05-18-tweedekamer-7.u27	I thought that perhaps Mr Knops would start with a little Ienimienie compliment to the government and the diplomatic services for ensuring, through quiet diplomacy and not the megaphone policy he requested from the government on 26 April, that Mrs Umar could come back to the Netherlands.
ParlaMint-NL_2016-05-18-tweedekamer-7.u28	I started my contribution by saying that I am happy and relieved. You're really early. You will have to wait for the highlight to come once in a while, because I was just about to give a heartfelt compliment to the government and the diplomats involved. As Mr Van Bommel said, it is rare for so many rulers to interfere in a matter. I mean that, too. I'd like to pay that compliment. Thank you for the opportunity to do so.
ParlaMint-NL_2016-05-18-tweedekamer-7.u29	I like that very much. Mr Knops started his story on Ms. Umar and then went straight on to some of the following points. That's why I thought he'd gone over this, but his highlight did come a little later.
ParlaMint-NL_2016-05-18-tweedekamer-7.u30	You've known me a long time.
ParlaMint-NL_2016-05-18-tweedekamer-7.u31	Please continue. Do you have another highlight?
ParlaMint-NL_2016-05-18-tweedekamer-7.u32	Now don't ask questions, Mr. Chairman. I don't think you should interrupt me. I'm gonna keep going. I'll stop with the compliments, if you don't mind. I think that was enough. Our group is still critical. In fact, on 26 April and earlier, it expressed strong words about the fact that the government did not strongly condemn what had happened. What was said about this was regrettable. I think you should not talk to flour in your mouth about this kind of thing, but you should take strict measures. The ambassador was not summoned. Erdogan didn't get a call. At the same time, I say that the result is important. I have a different role to play from the cabinet, and I will not let Mr Ten Broeke or anyone else say what I should or should not say about this matter. I think this is a very important subject. Everyone must be very clear about this.
ParlaMint-NL_2016-05-18-tweedekamer-7.u33	Mr Knops would like to make a clear statement on something. I would like to give him the opportunity to do so. Could he reflect on the difference between Germany and the Netherlands? While the German Chancellor actually handed over the German satirist, everything was done here in the Netherlands to get a Dutch columnist released. Can Mr Knops reflect on the difference between these two situations? Which one does he prefer?
ParlaMint-NL_2016-05-18-tweedekamer-7.u34	As a member of the Dutch Parliament, I am dealing with...
ParlaMint-NL_2016-05-18-tweedekamer-7.u35	Don't dive now!
ParlaMint-NL_2016-05-18-tweedekamer-7.u36	No, I'm not diving.
ParlaMint-NL_2016-05-18-tweedekamer-7.u37	Just reflect on the question I just asked.
ParlaMint-NL_2016-05-18-tweedekamer-7.u38	You can ask what you want, but I am not in the German Parliament and I do not have to judge the Chancellor. I'm not gonna do that here either. I judge the Dutch government on its actions. I now have to compliment you for the third time; that was really not my intention before this debate. I have just spoken about the Dutch Government's efforts in this area. However, I believe that this is part of a pattern that has been visible for much longer. That's why this case isn't on its own. The government has been talking about this with flour for a long time, not only in response to questions from my group but also in response to those from other groups. It is not clear about the role Turkey plays in engaging with IS, in releasing people suspected of being involved with IS, the IS leaders, and in picking up nearly a thousand journalists. In view of all these issues, this issue deserves to be discussed. Mr Ten Broeke has just suggested that we should have been silent as a parliament and that we should have let the government do its job, but I do not think that this is in line with my role as a parliamentarians. The government is judged by its actions. The result is no different than positive, but I say that this is only a part of it. This is about the return of Ebru Umar. That case hasn't been solved yet. There's a lot more going on. I'm also gonna appeal to the government on the other things that are going on.
ParlaMint-NL_2016-05-18-tweedekamer-7.u39	It is clear why Mr Knops does not dare to respond to the actions of the CDA colleague, the CDU colleague, I would almost say, Mrs Merkel, for whom he would otherwise always be very grateful. The result is that in Germany there is a satirist who has to fear criminal proceedings in his own country and a Dutch columnist has been released from Turkey. She may not be in her own place, but at least she's free. The great difference between the two governments does not dare to comment here, but at least let him reflect on his own tweets. After the arrest, he needed less than six hours to blame this cabinet for not finding the Turkish Government's phone number. That was literally in Mr. Knops' tweet. On that day, I spoke in a public meeting with his colleague Omtzigt, who was ashamed that this government was able to call the columnist Ebru Umar, but did nothing about the Turkish Government. Mr Knops, today is the day on which you can put that right. It would please you if you did it here.
ParlaMint-NL_2016-05-18-tweedekamer-7.u40	No, I am not going to correct anything here in accordance with Mr Ten Broeke's plan. I repeat that we are here in the Dutch Parliament and that I judge the Dutch cabinet on its actions. That is what you can address me today, not Merkel's or anyone else's behavior. I am not going to judge Timmermans and others who have played a role in this either. This is the Umar issue. It is on the agenda here and we should discuss it. Mr Ten Broeke, what you are trying to do is all nice and kind, but this is really out of the order of this debate. I can say the following, looking at how this all went. I did indeed ask if there had been any contact and if the Prime Minister had already called. The Minister for Foreign Affairs, in particular, was initially very persistent. That is allowed; we now know how it ended. He doesn't have the most powerful words... I hear all kinds of words from box-K. I don't know if those words are part of the Acts.
ParlaMint-NL_2016-05-18-tweedekamer-7.u41	I hear those words, too. No, they are not part of the Acts, nor are they recorded.
