ParlaMint-NL_2016-03-24-tweedekamer-4.u1	I would like to welcome the Secretary of State for Health, Welfare and Sport.
ParlaMint-NL_2016-03-24-tweedekamer-4.u12	It even explicitly states in the amendment that it is not a unilateral right. On this point, Mrs Keijzer's amendment goes further. It does, however, offer the opportunity to opt for a wider period by mutual agreement. I am therefore going to look very closely at Mrs Keijzer's amendment. We're still trying to figure out what the best solution is.
ParlaMint-NL_2016-03-24-tweedekamer-4.u13	I think that's what we're all looking for. We want a bridging arrangement to prevent people from being pushed back and forth and that the situation is unclear, but we also do not want it to get tight. Still, I have one more question. I hope Mr Van Weyenberg can answer that. Does the D66 think that a healthcare office can force someone to live somewhere he doesn't want to live?
ParlaMint-NL_2016-03-24-tweedekamer-4.u14	According to the bill, in theory, it can be done after 13 weeks. We're saying that's too tight. That is why we propose to extend this period and then try to do something by mutual agreement. However, I have just asked what is happening, for example, with regard to travel time. You can quite reasonably set a limit to that. Then you can say: if that's the travel time, then you can't be placed there. So I do not think the answer to the question is entirely black and white. In any case, we are trying to increase the scope to find an optimal solution for the client as well, but also to maintain the incentive for the healthcare office to quickly come up with a good solution, so that there is no waiting and waiting.
ParlaMint-NL_2016-03-24-tweedekamer-4.u15	I don't think it's handled that way in practice, you know. I think there's a lot of work being done to get people into a decent place that's also accepted by those people. The latter is of crucial importance. We should not get into the situation where the health offices say you have to live there, otherwise your indication or your bridging care will lapse. Is there not another problem with this bill, namely that it must be effective? In other words, home care should not be more expensive than in the nursing home. If we let that demand go, will we not give ourselves some more freedom in dealing with people who certainly need bridging care or heavy care but do not want to be forced to live somewhere they do not want to live? 'Cause I don't think we should go over that bridge. Let us not only extend the deadline, something that you as D66 and CDA will probably come out of, but also drop the requirement of efficiency. Then we'll have more room to do it.
ParlaMint-NL_2016-03-24-tweedekamer-4.u16	But then, in theory, you can get some sort of limitless situation. As far as I am aware of the current practice, it is now also limited to about a year. That was a question I asked the Secretary of State. In my view, therefore, the fact that there is a limit is not new in this law in relation to the current practice of implementation. In any case, I always find efficiency something to pursue; I am sure Mrs Leijten will do the same.
ParlaMint-NL_2016-03-24-tweedekamer-4.u17	Please continue.
ParlaMint-NL_2016-03-24-tweedekamer-4.u18	I'm gonna continue with the youth assistance. In applying for a minor's removal, a so-called grant decision through the College of Mayors and aldermen should be submitted to the children's court. Since decentralisation, the municipalities have been given responsibility for the whole youth system. This includes both funding and directing the provision of youth assistance. D66 would like to keep that division of roles very clear and clean. The Council of State was critical of the proposal to delete this grant decision in this legislative proposal. The cabinet has now decided not to do so, but to look at a broader context. That you look at a broader context, we understand, but we see that in practice municipalities sometimes take a very long time to take such a decision, which can really be a problem in the case of emergency permissions. That is why I would like the Secretary of State's undertaking that the Cabinet will also consider how to prevent unnecessary delays in this broad context approach. My group considers this to be a problem. I am also curious, of course, when the Chamber will be able to see the outcome of that exploration into the wider context. Within the Youth Act, it is also possible to lock minors into closed youth care, in certain cases without judicial intervention, through a so-called conditional authorisation. D66 sees risks in that. We find it undesirable, on principle, to allow restrictions of freedom to take place without the intervention of a judge. This also creates tensions with the European Convention on Human Rights. Does the Secretary of State share the concerns of the D66 Group? Why didn't we choose to add a repair to this law at this point? Is the Secretary of State prepared to take this subject with him in his exploration in the context of the removals? We are genuinely concerned about this. We have not tabled an amendment on it now because we would like to give the Secretary of State a chance to look at it again, but we are concerned about this.
ParlaMint-NL_2016-03-24-tweedekamer-4.u19	Mr. Chairman. More than a year after the introduction of the Long-Term Care Act, we are standing here because the Secretary of State wants to give the impression that he provides bridging care for people waiting for a place in a nursing home, in a disabled institution or in a ggz institution. About 13,000 people have rejected an available place in a nursing home, disability institution or ggz institution. Why? Because they prefer to wait for a place in an institution of their preference. Warriors, the Secretary of State calls them. We call it freedom of choice. The waiting list for the nursing homes concerns 8.573 elderly people. The crucial question before us today is: are there 13,000 free places in nursing homes, disability institutions and ggz institutions? Are there 8,500 free places in nursing homes? We don't have that information. We're gonna have to do it again without it. Why is that question crucial? If you have 13,000 waiting and 13,000 free places, you can come a long way with some managing. But if there are only 4,000 places, or 1,000, or zero, how dare the Secretary of State send a law like this to the Chamber? How dare he send a law to the Chamber that regulates that elderly people, disabled people and people with disabilities do not receive bridge care, but that it ends after a period of 13 weeks? For the elderly, they lack their necessary care and care. The coalition parties will applaud this change again, but my group really does not think it can be done. High-age people, the people who built our country, they're just getting wiped out. They can't even wait for a place in the nursing home in their own village with brother or sister, who are also very old and can't visit fifteen villages further away. The Secretary of State should be ashamed that he sent this law to the Chamber. Staying in a nursing home is the last station for people. That's where they'll stay until they die. Can you please go to an institution where you feel comfortable, close to family and friends? This Secretary of State is not allowed to do so, because a person who, after a period of thirteen weeks, wants to wait for a place or no place in the institution of his preference does not receive bridge care. Is there a reasonable distance from here? What's reasonable? a suitable If this is not the case, the care office fulfils its duty of care with this undesirable place. Grandpa or grandma, father or mother can swallow or suffocate. Meeting the duty of care is apparently more important than the much preached meaningless mantras "bespoke care," "own direction" and "free choice." That freedom of choice has become freedom of choice for thirteen weeks. After that, it's too bad. For the people who are eligible, the bridging care is limited to thirteen weeks. That's a little over three months. Recent studies by Follow the Money show that the waiting period is on average four months higher than the standard of six weeks, i.e. five and a half months. So that is much longer than the thirteen weeks laid down in this law. It also appeared that some institutions have a waiting period of up to one to two years. What's the Secretary of State's reaction to this? How dare he set this standard if the practice has long and wide shown that the deadline laid down in this law is far exceeded? That brings me to the question of what happens after the thirteen-week transitional period. Will the reasonable distance be released? Can someone from Delft, for example, be referred to an institution in Gelderland, far away from family and friends? Will the responsible care card be drawn and an urgent withdrawal made? But what if there's just no places? Then who decides what responsible care is? Or will the indication simply lapse, so that in his or her final phase of life, a deadly elderly person is thrown back into the Wmo and Health Insurance Act? I'd like to get a response from the Secretary of State. The most offensive thing is that these are solutions to a problem caused by the cabinet itself. If you close the nursing homes and cut away the funding of 60,500 nursing homes from one day to the next, and thus also a part of the nursing homes or the places that could possibly have been converted to do so, then you can assume that there aren't enough free spaces, let alone those still come. Again, how many free spaces are there for the 8,500 seniors who are now on the waiting list? As long as this cabinet, together with the CDA, the Christian Union and GroenLinks, holds on to the no longer financing of the nursing homes, only places will disappear. We cannot repeat it often enough: the closure of care homes has not only destroyed the possibility of living in a protected residential environment, it has also been particularly damaging to the survival of institutions that also provided nursing care. In doing so, nursing homes have been killed and the Secretary of State is in trade-K with towering waiting lists. If he wants to get rid of it and not leave people to their fate, then there are places to go. How's the Secretary of State gonna take care of that? We do have the solution: the Secretary of State must start financing the nursing homes again. But we know this Secretary of State: as always he perseveres in his policy. He's holding onto it, even if he's on a dead end. Come on, get in the ravine. "Toodledokie, old folks! It was a pleasure to have your care aborted." Even though the whole world sees that it doesn't work and that it does more harm than good, he still insists that it all gets better. Finally. Of course, we are pleased that the bridging care is being arranged, but this should never have the effect of simply letting the vulnerable elderly in this country rot or tear away from their loved ones. It must never restrict people's freedom of choice, even if the deadline of thirteen weeks is exceeded. The deadline of thirteen weeks simply has to be out of the law, because ultimately the government is responsible for exceeding the period. If the government has no places and if the government has waiting lists, it will have to cancel the thirteen-week deadline. After all, it is the duty of the Secretary of State to provide enough places, with dignity and pride, even here.
ParlaMint-NL_2016-03-24-tweedekamer-4.u20	Mr. Chairman. In the law we are discussing today, the cabinet proposes a number of changes to the various health care reforms. These changes concern different laws and different target groups. The CDA wishes to obtain more clarity from the Secretary of State on a number of points than the legislative proposal and the explanatory statement. The first concerns bridging care. It's been discussed extensively this morning. The CDA shares with the State Secretary the premise that the healthcare office, the Wlz executive, should do more than is currently the case to arrange good bridging care for people with an indication based on the Long-Term Care Act. What the health care office has to and can do in these thirteen weeks is not entirely clear to the CDA, let alone to the insured and his or her family; let us not forget it. After all, we are talking about people with such limitations that inclusion in an institution is actually required. A ministerial arrangement is going to clarify this, but we do not yet have it. Does the Secretary of State intend to clarify this today? Is this ministerial arrangement coming to the Chamber? The cabinet states in the note following the report that this law should be seen as a law that does not restrict the rights of clients, but sets a standard for healthcare offices. As indicated earlier, this is a very good starting point. However, this is a bit of a system response as the insured person and his or her family are in practice confronted with this and suffer the consequences. They wonder where the father, mother or child is to go and what the care looks like in the meantime. What happens if there is no solution after 13 weeks of bridging care? What can the insured person expect from the health care office? After 13 weeks, does anyone have to go to a residence outside the region? What are the coercive means of keeping care offices to these thirteen weeks in the sense that within this period a place will be found in their own region? In the bill this is called "at a reasonable distance." In this context, the CDA considers that the cabinet feels too easy to move to an institution other than that desired by the insured person. It is not only often sad, but it is also extremely impractical, especially in times when, rightly, more family is expected in terms of family care. As I said, that is right, but it is important that the institution where a family member is located should at least be somewhat accessible. How can it be ensured that rooms in nursing homes in their own environment are actually financially available? We often hear that rooms are empty, but they cannot be filled in because there are not enough places to buy. What can the Secretary of State do about it? What are the sanctions for health care agencies and health care institutions if no place has been found within the thirteen-week deadline? I think the Secretary of State is going to talk about keeping care offices on duty. That is the system we know, but if "reasonable distance" is not defined and described, where are you as an insured person when the health care office says that having a place in an institution 40 kilometres away fulfils the duty of care? Is that 10, 20, 30 kilometers? I would like to hear from the Secretary of State what this will look like in practice.
ParlaMint-NL_2016-03-24-tweedekamer-4.u21	We often see that people who want to go to a health care facility where there is room cannot go there because the health care office did not buy in there. This is one of the consequences of the expiry of the obligation to contract. Is Mrs Keijzer in favour of reintroducing this obligation of contract?
ParlaMint-NL_2016-03-24-tweedekamer-4.u22	That is a direct solution, but I would like to hear from the Secretary of State what the financial consequences are. What does this mean for health care institutions in parts of the country where there is a vacancy due to insufficient insurance? It is certainly a solution, but we need to think about what this means for those care institutions. If you're gonna do this, do you have to think of some kind of phasing-out?
ParlaMint-NL_2016-03-24-tweedekamer-4.u23	If there is no demand for a place, it cannot be filled in. That's clear. Now, however, you see that care institutions are not allowed to do so, because there is no or too limited contract. We must do something about this and not allow the health offices to mess around in a reasonable time and a reasonable distance. Re-introducing the obligation of contract could be one of the solutions. I am also curious to hear the answer from the Secretary of State.
ParlaMint-NL_2016-03-24-tweedekamer-4.u24	Well, that makes two of us. In any case, a period of thirteen weeks is short day. That is why we have proposed an amendment to extend the transitional period. If the care provider cannot provide care within 13 weeks, an extension of 13 weeks may be made at the request of the insured person. I'd like to get a response from the Secretary of State. Does he wish to address the question of what sanctions can be imposed? I would also like to receive a response to the duty of care and the reasonable distance that is now included in this bill.
ParlaMint-NL_2016-03-24-tweedekamer-4.u25	I have just had an interrupting debate with Mr Van Weyenberg on the amendment proposed by the D66 Group on this point. There seems to be similarities with Mrs Keijzer's amendment, but also differences. The CDA clearly chooses to postpone for 13 weeks once. After these thirteen weeks there must be a mandatory delivery by the care office at the institution and the temporary arrangement can no longer be used. Does this 26-week period therefore constitute a hard deadline or does Mrs Keijzer and Mr D66 consider that it can be extended for a period of time?
ParlaMint-NL_2016-03-24-tweedekamer-4.u26	The proposal includes the provision of 26 weeks. The CDA Group is well aware that this concerns people with such limitations that there really is a need to find a place in an institution because otherwise insufficient care can be provided. However, we are still looking, because the question is what the penalty is after that thirteen-week period in the bill or the twenty-six-week period in our proposal. I have asked a number of questions about this and I will not repeat them.
ParlaMint-NL_2016-03-24-tweedekamer-4.u27	I get that; 26 weeks is the final deadline. My question then is what should happen after 26 weeks. Should the person concerned then accept an institution provided by the healthcare office, even if that institution is not preferred, or can the temporary scheme still be used? Mrs Keijzer's amendment merely refers to a delay of 13 weeks, and after twenty-six weeks, someone has to go to the institution that is being delivered. In my view, that is the proposal as it is now before us.
ParlaMint-NL_2016-03-24-tweedekamer-4.u28	No, not quite. What is the duty of care of a care office? The care office should provide a place for example within a reasonable distance. So it cannot say to anyone: we have a place for you 100 kilometers away. I am therefore looking for the question of what the care obligation of the healthcare office entails so that it can find a place within reasonable distance. That is what I am looking for, and that is why I am curious about the reaction of the Secretary of State to determine whether we are doing the right thing with each other today. Mr. Chairman. I have one more question about the bridge care. In the note following the report, the CDA reads: "Formally, care starts from the Wlz when a client has received an indicative decision on the basis of the Wlz. By mutual agreement, interested parties have agreed to fund the care and support from Wmo 2015, Zvw and Wlz for a maximum of five days from the domain from which the transition takes place in order to allow a proper transfer and to manage care from the receiving domain." From a financial point of view, this is an impure course of action. The CDA understands that in this way we reduce the cost of the Long-Term Care Act somewhat, but it is not purely and legally either. More importantly, it is becoming more and more complicated to determine the actual financial impact of the various forms of care. In doing so, municipalities and health insurance companies are facing huge cuts. As soon as there is an indication and people thus comply with the access requirements of the Long-Term Care Act, the care should also be financed from the domain of the Long-Term Care Act. We have tabled an amendment to this effect. I would like to receive a response from the Secretary of State to this second CDA amendment. Another part of this bill is the Youth Act and the disclosure of medical data. Rather deep down in the bill, a change of law has been put in place that caused the CDA group to frown. It is also a bit of a search, because the article-by-article explanatory statement does not sufficiently explain the reason for this change. I am referring to Article 2 at the bottom. It proposes to amend Article 7.3.1, third paragraph, of the Youth Act. This would mean that the medical professional secrecy of paediatricians, juvenile doctors, general practitioners and paediatric psychiatrists would no longer apply to minors subject to supervision. Are we reading this right? Can this change make it compulsory for medical professional secrecy to be broken if a healthcare professional involved in a supervised child so requests? What's the reason for this? After all, it is already the case that a doctor may break medical professional secrecy when the safe growth of a minor is at stake. Is my analysis of this bill correct? And don't push this too far, especially since we know from the Children's Ombudsman's report that under surveillance and removals are not always carefully truth-finding. Then stop the grant for the orthocommunicative treatment of autism by Kentalis. These are children with double problems, so they are autistic and blind, deaf, hearing impaired or visually impaired. The CDA understands that the outpatient offer, the day-to-day treatment, for existing clients is currently being phased out by Kentalis. This now makes agreements with municipalities, organisations in the youth-ggz appropriate education in the Eindhoven region. What does this mean for new clients? Do they know where they're supposed to be? Are municipalities willing to purchase Kentalis' very specialised expertise? Are youth institutions buying this particular care? Let us be honest: the target group is small and the problem is highly specialised. When it comes to children with autism, I have to remember the previous President of the VNG, who thought membership of the football association for children with autism was a good idea. If I let that work on me and look what we're talking about now, it's unclear where it ends up, then I'm worried. There is also a problem with caring for children with these double problems living in an institution. It's only about 38 young people between the ages of 12 and 23. This existing client group still lives with Kentalis and is being treated there. It is therefore not easy to place. We do not want these children and young people to fall between the loopholes of the Youth Act and the Health Insurance Act. We believe that the Secretary of State, Mr Delors, I hear him say it very often and share this point of view with the CDA. We're talking about a specific limited target group. Does the Secretary of State wish to consult with the VNG to purchase this care, both in-patient and intra-mural, nationally, in accordance with the existing regional-cross-border specialist care scheme, which we sometimes refer to as the framework agreement? The CDA wants this expertise to remain secure in the long term and that fathers and mothers of these children quickly know where they can go and also receive the care that is so important for their children. Another part of this bill concerns the Social Insurance Bank and the labour law audit of health care contracts on the basis of which personal budgets are paid out. The Social Insurance Bank will have to check whether the employment contract submitted complies with labour law. If this is not the case, the Social Insurance Bank will ask the budget holder to amend the agreement. We all know what an administrative circus that whole pgb system is now, because also colleges of mayor and aldermen have to approve the contracts. The Council of State also pointed it out: this in turn increases the regulatory burden, the administrative burden. Does the Secretary of State see this and, if so, how does he feel about it? This bill's been there for a while. Therefore, the question of how this proposal relates to the improved plan on drawing rights in which this advisory task has been transferred to municipalities for a very large part, and the fact that we discussed this yesterday - that an investigation is taking place in order to remove the payout task in relation to the personal budgets from the Social Insurance Bank, also in connection with the motion I tabled to identify what is going to happen at the Social Insurance Bank and what is not. I would like to hear an extensive response from the Secretary of State. If there is a need for an amendment to get this out of this law, I am, of course, prepared to do so. Then the final point. The House of Representatives has agreed to the bill to increase investment opportunities in medical-specialist care (33168). This is now in the First Chamber. In this, profit payments to care institutions that provide care with accommodation are prohibited, and that is good, but this does not apply to the accommodation facilities. Is this analysis correct and, if so, what does the Secretary of State think about this? Is that conscious or is that a mistake? [[Sentence could not be parsed: Ik heb op dit punt al een amendement liggen.]] So I'd like to hear the Secretary of State's reaction.
