ParlaMint-NO_2003-03-19.ana.ud31e28	The representative of Geir-Ketil Hansen will make a private proposal.
ParlaMint-NO_2003-03-19.ana.ud31e124	The main issue of counter-cyclical policy has been discussed many times with the representative of Djupedal, and if I have not convinced him of the need to establish such a policy within the framework of a tight fiscal policy, at least I point out what LO's chief executive said about this when such an outlay came into the paper. He strongly warned against breaking down the spending framework of the State budget by adopting a counter-cyclical policy, when there is still considerable room for further cuts in interest rates and thus creating an incentive in the economy, and that the krone price can further dampen to help the export industry. I remember statements, as late as today's newspapers, from the fishing industry, represented by the FHL, that there's a lot to go on to recover what the industry has lost as a result of a high dollar price. That room must not be used up by misunderstandings of economic policy.
ParlaMint-NO_2003-03-19.ana.ud31e129	Siv Jensen – for follow-up questions.
ParlaMint-NO_2003-03-19.ana.ud31e132	It's a sad marriage vow to witness between the Workers' Party and the Government. The point is: Be faithful to the tight budget in both good and bad times. But the consequence of that in the time we now stand in, is that the Government and to the extent that the Workers' Party chooses to use the unemployment rate to get the crown price and the interest rate down. And my question to the Minister of Finance is: How long has the Government been planning to wait for the krone price to reach the level that the Government considers acceptable, that interest rates are falling at the level that the Government considers acceptable, in parallel with the increase in unemployment? I just want to remind you that we have already reached the predictions of the Government when it presented the 2003 state budget. So we already have over 100 000 unemployed in Norway. There's no reason to believe that this will go over soon.
ParlaMint-NO_2003-03-19.ana.ud31e137	For the record, we don't have a marriage vow. I have considerable respect for marriage, I, so it has nothing to do with it. I think the representative Jensen agrees with me there. But I always thought that we had a budgetary settlement with the Progress Party. And for the record, we have no budgetary agreement with the Labour Party. For the sake of order: it is not the case that the Government's prognosis of unemployment cracks in relation to today's figures. Forecasts of registered unemployment are 4.1 pst. on an annual basis; it is still below that level. But I think – and I have said that in the past – that the forecasts may prove too cautious, but we will come back to an assessment of that as usual in the revised budget. The answer to the question of how long to wait has been given by the national business and employee organisations as a whole, which express themselves in line with the Government's policy, that there is still considerable room for interest reduction in Norway, and still considerable room for weakening the krone price in order to strengthen competitiveness and secure jobs.
ParlaMint-NO_2003-03-19.ana.ud31e144	Marit Arnstad – for follow-up questions.
ParlaMint-NO_2003-03-19.ana.ud31e147	We hear what the Minister of Finance says about a tight budget, but at the same time the last few days' talks have shown us that the Government may also consider it useful to combat unemployment with more than just a tight budget. The issue of active transport policy, racial security and also access to capital for business are areas that are important. My follow-up question is in relation to the representative Hill-Marta Solberg asked when the differentiated employer fee was involved. The removal of the tax exemption could therefore threaten 30,000 jobs, and my simple question is: if a person is now considering using a special clause in the EEA Agreement to maintain the tax exemption in parts of the country, why is it not trying to use the same clause to maintain the full exemption, which is both sensible, unbureaucratic and effective, and which may be important to prevent more people from becoming unemployed in this country?
ParlaMint-NO_2003-03-19.ana.ud31e154	Since the centre party now asks, let me answer the two questions that SV asked. We have a significant sense of strengthening the school-building system, and also the possibility of further funding for racial protection is one of the things that the Government assesses up to the revised national budget. There have also been discussions with several of the staging parties. Differentiated employer's fee, I will explain to the EEA Committee in the meeting that was announced on Friday, but let me say so that we see good opportunities to use the protocol procedure for the established action zone. We have not received any support from the whole scheme to maintain, either in the European political authorities, in the Commission or among individual Member States, and the premises for this are very clear in the EFTA judgment of 1999 and in the Commission decision, which fell last year, towards Sweden, which tried a similar scheme. So the question that the representative Arnstad is really asking is whether the EEA country Norway can expect to have a system that the EU country Sweden cannot have.
ParlaMint-NO_2003-03-19.ana.ud31e161	Torstein Rudihagen – for follow-up questions.
ParlaMint-NO_2003-03-19.ana.ud31e164	I want to follow up on the last one a little, because there are often major disadvantages in establishing industry and operating in the districts, not least in communication and transport. Our goal is to use the whole country, and therefore there is a need for some targeted regional and industrial policy instruments, and there is evidence that SND has had a lot to say in this way. Now it's been reduced and decomposed by the current government. Agriculture has major challenges, and the WTO negotiations have weakened importers, and production support is likely to have to be greatly reduced. The differentiated employer's fee has been, as has been said here, one of the most targeted tools. In this way, it is more competitive than it is distorting. There is a district-friendly potential in new technology. Nevertheless, it appears that some compensatory measures are necessary to take this action and, in many cases, a reduction in the employer’s contribution has been decisive for some establishments. Is it reasonable then that we have to bend away from ESA in this matter?
ParlaMint-NO_2003-03-19.ana.ud31e169	The question is well resolved in itself. The question is whether ESA has to bend to the EU, and the answer to that is as far as we have been able to figure out after months, not to say years, with political processes: Yes. But this does not mean that the whole scheme disappears. I have good reason to believe that we can keep significant parts of the scheme and find out about other compensatory measures, as was mentioned in Rudihagen's articles, among others. cohesion in relation to transport aid. The scheme may be maintained for the primary industries, for the fishing industry and, in the Government’s view, also in the action zone.
ParlaMint-NO_2003-03-19.ana.ud31e174	Let's move on to the next main question.
ParlaMint-NO_2003-03-19.ana.ud31e178	In the context of the Government's Budgetary Conference, the Minister of Finance stated in the press conference that there would now be a break in the government's tax relief. I think it is so interesting if the Minister of Finance can inform the Storting about this situation, for the whole of the Sem Declaration, which is the basis of the Government, carries the bid for a significantly greater offensive in fiscal policy than the signals now coming from the Government. Then the question is whether the government has now given up parts of the Sem-Declaration. Or is it that you're going to take back what you can't do now, the year after? It is paradoxical that the Government does not see that lower rates can actually generate higher tax revenues.
ParlaMint-NO_2003-03-19.ana.ud31e187	For the sake of order, I would like to draw your attention to the Government's intention to provide information on the 2004 budget. It comes in a normal way. I have not used the term ‘pause’ in relation to neither taxes nor other parts of the Sem-Declaration. The government has not given up the Sem declaration's objectives, but we must point out that the economy in Norway is more difficult than it was when the period started, and when this year started. It is not new, perhaps, that there are significant problems in the international economy. The term ‘crisis’ is used by many analysts. Unemployment is increasing sharply in countries around us, and growth is falling sharply in countries around us. Tax revenue in Norway also fails in relation to forecasts for the current year and for the next year. This means that the Government is facing a more difficult budgetary situation in 2004 than was foreseen when we entered the year, and than that situation was when we last briefed the Biggest on the economic situation, namely in the national budget for 2003.
ParlaMint-NO_2003-03-19.ana.ud31e192	We've all registered that things are going worse in the Norwegian economy. We have also recorded that the government says that tax revenue goes down because it goes worse for Norwegian business. But precisely in a situation where the economy is going worse, where the government has to adjust growth estimates, is it not time to assess an alternative economic policy where economic growth is more focused? And one of the most important means of boosting economic growth is a tax policy that stimulates companies to invest, which stimulates people to work, which makes Norwegian business more optimistic than you can see. It is reassuring that the Government is so passive and indebted to the economic cycle rather than exploiting the possibilities.
ParlaMint-NO_2003-03-19.ana.ud31e197	I record that the Progress Party and the government parties have a different view of what it is to be active. Keeping a budget and not proposing changes to the budget for the second week of January, as the Progress Party did, is actually a virtue in itself. Keeping the tightness of the budget so as to facilitate the stimulation of the economy through a fall in interest rates and, as a result, a decline in the exchange rate is a virtue supported by all employee organisations and all employers’ organisations. It's not passivity, it's actually keeping a course.
ParlaMint-NO_2003-03-19.ana.ud31e202	There will be follow-up questions – Audun Bjørlo Lysbakken.
ParlaMint-NO_2003-03-19.ana.ud31e205	Since the Minister of Finance was last in the spontaneous questioning session, we have got the position from his party trap, Skauge. The Skauge Committee has given interesting signals in relation to the dividend tax. Since the Minister of Finance calls for immediate action and counter-cyclical policies that can be pursued within the framework, it is natural to ask whether it is now time to consider getting out of work by introducing a modest dividend tax of 14 p.m., as proposed by SV, and as also the Skauge Committee has seen is common in most countries and economies with which we can compare. Is the Minister of Finance willing to reconsider his position on the dividend tax if there may be measures that can get out of work within the framework?
ParlaMint-NO_2003-03-19.ana.ud31e212	The representative's reference to the dividend tax is factually incorrect in relation to what is in the configuration of the Skauge Committee. It's not a dividend tax according to the old model, it's a so-called shareholder model that has substantially different sides to the former dividend tax. The proposal of the Skauge Committee, combined with the relief of marginal taxes and wealth taxes, are interesting ideas that the Government will come back to in a big deal. If signals from the representative Lighthouse now are that there can also be SV's policy, it opens up considerable opportunities. The last time I saw the representative, Lysbakken, put forward proposals for action in the Norwegian economy, was to limit the pressure by reducing business opening hours. It is a proposal that has not been followed up either, and I am pleased about that.
ParlaMint-NO_2003-03-19.ana.ud31e219	Hill-Marta Solberg – for follow-up questions.
ParlaMint-NO_2003-03-19.ana.ud31e222	The Minister of Finance and the Government are usually very pleased that they have managed to pay DKK 19 billion in tax bills, and in all respects the Minister of Finance stresses that all the essentials of this tax haven't been given to business. Now that we are seeing developments in Norwegian business, with increasing unemployment, I would like to ask: has this tax haven been completely wrong? Has it not had any positive significance, as the government has used to mention it, when we still see that unemployment is accelerating and we are getting as much growth as we see all over the country? Have these billions been wrong?
ParlaMint-NO_2003-03-19.ana.ud31e229	I can reassure the representative of Solberg, who has also voted for most of these billions of companies, that it has not failed. It has been very successful in mitigating developments in a difficult international situation that would otherwise have been much worse in Norway. I remind the representative of Solberg that in the social democratic overthrow of Germany, an unemployment rate of 10.5 pst is recorded. at the end of February. In social democratically governed Sweden, there is also an increasing unemployment rate, from a higher level than in Norway. Norway, after all, is facing a difficult international situation, but the krone price increase in Norway has been a particular challenge, which has had to be met by a policy aimed at tackling this basic problem and, in addition, at stimulating it through tax relief. For the companies, it would have been bad if the Workers' Party's proposal for further increases in taxes on wealth and dividends had been adopted.
ParlaMint-NO_2003-03-19.ana.ud31e234	Gjermund Hagesetter – for follow-up questions.
ParlaMint-NO_2003-03-19.ana.ud31e238	The Norwegian and international economies face an uncertain time. Norwegian companies are losing their jobs and unemployed path. The need for tax relief may never have been greater than it is today. As is known in the Sem Declaration, the Government Party has stated that during the period 2001-2005 tax reliefs of DKK 25 billion are to be implemented in addition to the removal of the investment levy. In recent times, there are doubts as to whether the Government is able to implement these tax and tax payments. The liability for this has been tested to be located, inter alia. the opposition and on falling share prices and thus less return on the oil fund. If the Government now chooses to go away from its tax-free promises, with a basis for falling share prices and a lower rate of return from the oil fund, does this not show that the rule of action is mature for auditing?
ParlaMint-NO_2003-03-19.ana.ud31e247	The government does not disregard the promise of tax relief or other promises made in the Sem Declaration, but the balance between different promises must at all times be adapted to the economic situation of the country. Giving tax reliefs, as the Government has done, at NOK 19.7 billion, has been a right policy. The pace of further relief needs to be adapted to the balance I mentioned. And what's the point of the balance? Well, getting a budget that itself helps to dampen the pressure in the economy and allows for interest rate reductions to be stimulating. In fact, there is a division of labour between financial and monetary policies on which the Progress Party has been a strong supporter in the past, because the party was a strong supporter of the monetary policy objective that we are currently pursuing. It is therefore necessary to take the consequences of this and to see that there is an interaction between monetary policy and financial policy that must function in such a way as to strengthen competitiveness and thus ensure jobs.
ParlaMint-NO_2003-03-19.ana.ud31e252	Let's go to the next main question.
ParlaMint-NO_2003-03-19.ana.ud31e255	The Minister of Finance may be allowed to sit down, for I will ask a question to the Minister for Children and Family Affairs. The Christian People's Party was once concerned with family politics. In many election campaigns, they have been concerned with family policies and have said that it was important for families to have a good and predictable framework for their children. We agree with the heart. The Storting has made a historic decision about a bet on kindergartens that lack parallels. The kindergartens are going to be cheaper, and you're going to get an extension that actually gives you a real freedom of choice, that there's a kindergarten for those who want it, at an affordable price. My amazement is therefore great to note that the Christian People's Party uses most of its energy and its forces to counteract and then doubt this decision and the historical by it for hundreds of thousands of the country's young children's parents. A state secretary raised doubts about different things about this at the latest last week. We have also heard this from the pulpit of the Great Government many times from various representatives of the Government. My question to the Minister for Children and Family Affairs is: Does not the Government feel a responsibility not to create insecurity among many hundreds of thousands of young children's parents by constantly pointing out things that the Government believes, but what the Storting does not mean, rather than folding up its arms and saying that this is what we're going to do, now we're going to build kindergartens and get the price down?
ParlaMint-NO_2003-03-19.ana.ud31e268	I am pleased to say that there is a great deal of consensus, fortunately, both at large and in the government on the objectives of the kindergarten policy in this country – both that we are going to provide enough space for everyone and that we are going to have a much more acceptable parental payment than what we have today. In fact, the level of that is the same. As the representative also knows, the government will come back to Stortinget as early as April with a big message and also with an odelstingsproposition on kindergartens. We have also invested considerable resources both in the last year's budget and in the year's budget, which certainly shows a willingness of both government and growth to follow up, namely to ensure that everyone has a kindergarten as soon as possible. That being said, it is clear that there are some elements of the nursery agreement that some people have allowed to say something about. The State Secretary Width was out with the other day, and, let's say, a kind of interpretation of it, perhaps to some of us, the joyous news that the Central Party has made a decision at the national meeting that you want to look at parts of the kindergarten agreement, which makes some people uncertain. There, I think, more than the State Secretary of the Ministry of Children and Family is somewhat uncertain – perhaps also in the population.
ParlaMint-NO_2003-03-19.ana.ud31e277	So I am still very surprised that a party that at least markets itself as family friendly spends so much time and effort to counter decisions in the Stortinget and the opposition's desire to build kindergartens and get at a maximum rate, so that it actually becomes a freedom of choice for the country's young children's parents. To say that you agree on the objectives is a veil of reality. From the day one, the government has fought against the decisions of the Stortinget. The two billion allocated to this year's budget are the responsibility of the opposition, not the Government. And the money that will come to next year, it will also be the opposition that makes sure to get in place. That's why my amazement is that you don't choose to cooperate on this, not for the opposition in Stortinget's sake, but simply for the hundreds of thousands of parents and young children who depend on this to be good. The decision in Stortinget has been confirmed several times and will create the world’s best kindergarten policy in Norway. But what surprises me all the time is that the Christian People's Party uses force and time to counter this instead of saying that OK, we lost that battle, and then we're working together. [[President clubs]]
ParlaMint-NO_2003-03-19.ana.ud31e282	It's hard to talk in the mouth of an eager bigotry representative, but I have to say that this is – if it's allowed to use the word – hesitate.
ParlaMint-NO_2003-03-19.ana.ud31e287	No, it's not allowed – because it's not!
ParlaMint-NO_2003-03-19.ana.ud31e292	In two consecutive budgets, the government has proposed the largest investment ever in kindergartens in Norway. What we're fighting for, working for, is getting the best possible kindergarten agreement for the population. We know that the most important thing for very many is to get a nursery place. We're now working on finding a good model for this. I hope the representative of Djupedal understands that our intentions and my intentions are very good. I really want to invite Stortinget to cooperate to find the best possible model, because it is not given that the model proposed by Stortinget is entirely...
ParlaMint-NO_2003-03-19.ana.ud31e297	Then the President considers the question to be answered. A little comment from the president's place to the comment from Djupedal: the comment is correct, but what's wrong is that it comes from the representative, it must come from the president. There will be follow-up questions – Torny Pedersen.
ParlaMint-NO_2003-03-19.ana.ud31e304	I want to follow up on something the representative of Djupedal said, that we feel that what Stortinget has said is not being followed up by the Government. We are constantly hearing from parents to children in kindergarten that the parental payment still goes up, especially in private kindergartens. It was not Storting’s intention that municipalities should reduce their spending on kindergartens when the government grant was increased. It would rather stimulate more expansion and less parental pay. How does the Council of State follow up the municipalities to ensure that they do not reduce subsidies to kindergartens? And what pressure is the Council of State putting on the municipalities to follow up the objective set for 2005?
ParlaMint-NO_2003-03-19.ana.ud31e312	This is one of the key points of the kindergarten policy that has been pursued in Norway up to now, namely that government authorities have not had sufficient means to ensure that the transfers made from the country to the kindergartens are actually followed up. We have had a big problem with this. This was also the reason why the Sem Declaration called for a completely different and new funding model, which included: should take into account non-discrimination between public and private kindergartens. What we've seen is that it's the private kindergartens that have been subjected to a reduction in transfers from the state when the operating grant has now increased. This is precisely what we are going to try to do when, together – I hope – we are going to create a new funding model, where we are getting stronger tools. But today, in fact, a government council does not have the necessary means. We have discussed this with KS in consultation meetings. We have written letters, which KS has also done.
ParlaMint-NO_2003-03-19.ana.ud31e317	Siv Jensen – for follow-up questions.
ParlaMint-NO_2003-03-19.ana.ud31e320	I have a follow-up question for the Minister of Finance. Recently, both the Minister of Finance and the Prime Minister have stated that the Government does not intend to follow up the decision of the Stortinget in the autumn budgetary procedure on tax exemptions for the employer-paid kindergarten. I would like to remind you that the nursery agreement is a written agreement between four parties on Stortinget, just as an agreement was reached on cash support in the previous large-scale period. This means that the Progress Party does not intend to break a written agreement. This again means that if the government challenges that agreement, the government and government parties do not have anyone to negotiate with in Stortinget. Does this not mean that the Government must recognize that they must both respect and follow up the decisions of the Odelstinget and Lamentationet, of a solid majority of the Stortinget, rather than continue to train and train and create uncertainty about what many are waiting for to become a reality?
ParlaMint-NO_2003-03-19.ana.ud31e329	I perceive that the question was asked to Per-Christian Foss.
ParlaMint-NO_2003-03-19.ana.ud31e332	I have also perceived the question, in all its intensity! I will not put myself up in relation to an agreement concluded between four parties. The government has nothing to do with it. We have to deal with decisions taken by Stortinget. The majority took a law decision on a tax reform that did not cover the budget. None – at the very least the contracting partners – were in favour of budget coverage. The progress party was such a partner. The government has substantial objections to this way of making tax reliefs. We have two objections. One should at least count for the Progress Party, namely that a tax relief granted to most people should not be determined by the employer but given to the individual. This tax relief depends on the willingness of the employer. The second objection may not impress the Progress Party as much, but at least I've heard that SV has upset it, that this gives an extremely distorted social profile. High incomes are much better off than intermediate and lower incomes. That is why the Government has notified us that we will come back to this question in the revised version. We'll see for ourselves. the current low level of budgetary coverage for such a tax haven.
ParlaMint-NO_2003-03-19.ana.ud31e341	Let's move on to the next main question.
ParlaMint-NO_2003-03-19.ana.ud31e344	I want to ask questions to the Minister for Children and Family Affairs. The opposition on the Stortinget has gathered on the kindergarten agreement, which states that kindergarten space should be available to all those who want it during 2005 and that each nursery place should have a maximum price of DKK 1500 from 1 January 2005. It can't be that state councils in the sitting government will in any way train the impositions of the Stortinge. I have therefore been surprised to note that State Secretary Odd Anders With in Political Quarter on 17 March stated that he is more optimistic now than we can get a funding scheme for kindergartens that allows for greater speed and predictability in the development, so that everyone can have room, and that it will not only be cheap kindergarten for those who already have room. I would therefore like to ask: is it such that the political leadership of the Ministry of Children and the Family does not intend to comply with the development plan and the reduction in parental payment adopted by the Stortinge?
ParlaMint-NO_2003-03-19.ana.ud31e353	I want to say that the government will come back with a big message and an odelstingsproposition in April, which will contain all the elements of the nursery agreement. There must be no doubt about it. However, what is a problem — or should we say a challenge — is what the Minister of Finance has said a little about. Another challenge that lies in the staging agreement is the relationship between what we call maximum price and expansion. In some of the investigations received by the Ministry of Children and Family at the latest in the last few days, these are also problematic. I'll come back with the impact assessments of this. This does not mean that the downgrading agreement does not have to be fully fulfilled, we come back with all the elements, but it may be that you might want to look at the device of parts of the agreement. For example, sibling moderation, which is also decided upon in the Storting, can take place in very different ways. But everything is going to be signed out. The representative can be quite calm about that.
ParlaMint-NO_2003-03-19.ana.ud31e360	I have noticed the Council's response and should perhaps feel secure, but I am not. For those of us who are active in political parties, it is an objective to put into practice the policies we believe in. I note that the Central Government of the Christian People's Party as late as August 6, 2001, stated the following: ‘A kindergarten area should cost less than NOK 1500 per month. The aim of the KrF is that by 2003 there will be a children's gardening space for all those who want it.» The content of this press release is surprisingly similar to the content of the nursery agreement adopted by the Storting. Therefore, it would be interesting to hear the Council of State Laila Davøy explain how, as the Council of State, she will be able to carry out the policy behind the Christian People's Party.
ParlaMint-NO_2003-03-19.ana.ud31e370	We absolutely do not disagree with this. It's my intention – and that's what we work for in the Government, fortunately with the bulk of the population in the back – to get enough kindergartens and get an acceptable price, preferably NOK 1,500, as the Christian People's Party has also said. There's no disagreement about that. However, what the government has said sometimes – and then I do not say that we are not following the decision of the Storting – is that it would be wrong not to come back to Stortinget with the investigations we have now carried out, which show the consequences of systematic implementation. Then I am talking about absolutely all the decisions, including what the Minister of Finance has also said about here today. It would be wrong for me, as the councillor, not to come back and make visible all the consequences that actually result from the kindergarten agreement that was decided by parties on the Stortinget, without any investigation at all. This is also important for a state council to be able to do.
ParlaMint-NO_2003-03-19.ana.ud31e375	There will be follow-up questions – May Hansen.
ParlaMint-NO_2003-03-19.ana.ud31e379	The Council of State and the Government are primarily responsible for the uncertainty about the orphanage agreement around the municipalities. The municipalities refuse to implement the kindergarten agreement because they believe that the Department and the Council of State are unclear on how this is to be implemented. Around the municipality of Norway there are cuts in the kindergarten sector, and there is a lack of re-establishment and the creation of places despite the incentive subsidy and despite increased appropriations from the state budget. This is going to hit the kids. What will the Council of State do specifically to correct this uncertainty that has been created by her and the ministry? So the state councils have so far talked about their good model in their answers. What, then, is the good model of the Council of State to achieve this orphanage agreement?
ParlaMint-NO_2003-03-19.ana.ud31e386	As for the last one, we're making an odelsting proposal and a big deal in April. We're adding the last pieces. We have not finished the work either in the State Secretary's Committee or in the Government for the time being. That's an answer. Municipal self-government continues in this country. The representative knows that very well. I am also very pleased with what SV has done at his country meeting. I could have really wanted to ask the representative – but that is not possible – about what you think the municipalities should have greater freedom, because they have actually adopted it. I think it is an exciting discussion, and I would like to take it in relation to kindergartens, but that is not the case today. We are not responsible for the uncertainty associated with kindergartens. I take a great distance from that. There is no government before us that has given so much money for kindergarten development, and I find myself in a way not being held responsible for creating an uncertainty. What has created uncertainty is a decision made by some parties in the Storting, where one has opted for a nursery model without knowing whether or not it could be implemented. And it's my responsibility to make this visible.
ParlaMint-NO_2003-03-19.ana.ud31e395	Trond Giske – for follow-up questions.
ParlaMint-NO_2003-03-19.ana.ud31e398	It is quite right, as the Council of State says, that we have municipal autonomy, but we also have some national rights to welfare services. We have e.g. a statutory right to primary school here in the country, and we have a maximum price in that primary school, i.e. NOK 0. Similarly, Stortinget has now decided that we should have a maximum price in kindergarten, and we should have a statutory right to kindergarten. It is then up to the Government to implement the policy and, where appropriate, to reach the Grand Duchy with the measures necessary to get it through. Now we see that kindergarten expansion is too slow, and we see that a lot of municipalities put on the price instead of reducing it. In this case, the Stortinget assumes that the State Council will come to the Stortinget with the measures to be taken. But we're still seeing government representatives say it's the pediatric agreement that's responsible for us having pressure in the economy, which makes it impossible to get a responsible budget. My question is: Could the Government intend to give up its heart matters, for example: more tax relief or baptism training for half a billion dollars, to accommodate the kindergarten agreement?
ParlaMint-NO_2003-03-19.ana.ud31e403	The last thing I'm referring to is a budget debate, where you're going to put all the issues up against each other. When it comes to predictability, I think it's one of the most important things about kindergarten policy. I agree with the representative, Giske, that the expansion is too slow. It's not good enough that we built 6,000 out of 10,000 places last year, as it looks now. But the problem is that it is not only the Council of State, I say, that it has created a kind of uncertainty about the agreement that has been concluded. The private kindergartens have said this. KS has also been quite critical to parts of this agreement. There are two elements I want to mention in this. First of all, it is the maximum price that you find difficult. But it also depends on the fact that, from PBL’s point of view – I talked to PBL yesterday – it is too bad to organise the municipalities in our country in relation to kindergartens. That is why we will also come back with tools linked to the local apparatus. But we're coming back with all the elements of the nursery agreement.
ParlaMint-NO_2003-03-19.ana.ud31e412	Marit Arnstad – for follow-up questions.
ParlaMint-NO_2003-03-19.ana.ud31e415	I noticed that the Council of State in a previous reply, in an attempt to look into the agreement, pushed the centre party ahead. I just want to say that there's no reason. The national meeting of the Central Party has said that we should clearly stand by the agreement that has been concluded. We also say that it is not an agreement that is totally non-profit in relation to the Center Party's programme and the Central Party's thoughts about municipal maritime governance. But we stand by the agreement, and we look at possible changes within point two of the agreement if it becomes part of a discussion in Stortinget. I wish the Government too could take the assumption that they recognize that an agreement has actually been reached, and that they would then take a reasonable and constructive discussion with the opposition when they now file a case. The answers that the Council of State gives here today make me worried about that, because the Council of State seems more concerned about attacking the opposition's agreement than about taking note of the agreement and then working constructively in relation to it. The same applies to the Minister of Finance's replies and the statements made earlier by the Minister of Finance and the Prime Minister. My question is simply: will the Government take note of the agreement and then have a reasonable discussion and constructive cooperation in the Storting, or will one continue to attack it in that way today?
ParlaMint-NO_2003-03-19.ana.ud31e424	I'm sure you can discuss who's being attacked and not in different contexts here. I also think that the government and I as the state council have been attacked for not wanting to follow up or wanting to make kindergartens, for that matter. That's wrong. I think it is good to clarify that the Central Party is at the time of the agreement. Nevertheless, I understand that there are opportunities for perhaps some changes within the contract that are. As I have said in many contexts in Stortinget, at the latest in the budget debate last year: When the government comes back with the big message, when we have all the consequences on the table, when we see how we should proceed to find the best possible model, so that we can try to get as many children's playgrounds as possible, and we get a really good parental payment at the level that everyone wants, then I hope that we can sit down and negotiate this in Stortinget. There's nothing else I'd like to do. There have been enough government councils and large numbers of people who have promised their parents full child care coverage.
ParlaMint-NO_2003-03-19.ana.ud31e431	Let's move on to the next main question.
