ParlaMint-NO_2003-01-29.ana.ud1382e28	The representative of Ingvild Vaggen Malvik will make a private proposal.
ParlaMint-NO_2003-01-29.ana.ud1382e124	It is probably SV Prime Minister does not understand in this matter when he is concerned that not everyone will comply with a possible resolution on war, or obediently will follow the United States if they find out that they are going to war alone. What's unfortunate in this case is that the world has slipped into a situation where the only possible outcome can be a war against Iraq. Norway is co-responsive, because we've been sitting in the Security Council and taking part in the resolutions that have begun to threaten war, and that have legitimized the build-up of force that the United States has now undertaken in the Gulf, making it difficult for Bush to go home without a clear victory. Our position is that the worst possible outcome in relation to the crisis in Iraq is a war. It gambles with world peace, it gambles with the situation in the Middle East – it needs a despot who can be faithful to use any weapons of mass destruction if he has it, up in a corner. Does Bondevik think that the worst possible outcome in Iraq is a war?
ParlaMint-NO_2003-01-29.ana.ud1382e135	Firstly, I have to make it clear, since Kristin Halvorsen clearly misunderstood, that we will take an independent assessment after a treatment in the United Nations. One does not follow slavishly a UN decision. But it's clear that the world community speaks with one clear voice, it's going a lot to go another way. But we will – and I said that in my previous answer – have an independent conclusion afterwards. It is also totally misleading and, in my view, gross propaganda to say that we will obey the United States without further delay. We've had our own line. We've given our views to the United States. We asked them to cooperate with the UN, because it was long unclear. The United States has done so far. If they want to do it in the follow-up, we'll see. I do not therefore believe that the only possible outcome is war. One possible outcome is that Saddam Hussein is cooperating with the UN and the inspectors. That's the safest way to avoid it. I think we're going to be a little careful today to conclude with what's the worst possible. A war has cruel consequences, primarily suffering, and destabilization of the region. But Saddam Hussein has previously shown that he can use weapons of mass destruction. If he does, and uses them to an even greater extent than before, it can be a disaster that we don't see the end of.
ParlaMint-NO_2003-01-29.ana.ud1382e145	Åslauga Haga – for follow-up questions.
ParlaMint-NO_2003-01-29.ana.ud1382e148	The Prime Minister has been extremely economical in providing assessments of any war in Iraq. He has largely adhered to the procedure, and we still hear the mantra: the UN track. The problem with the UN track is that the United States has taken the UN as a hostage. President Bush says that if you don't do what the United States wants, we will go to war with Iraq alone. President Bush says that the Security Council does not do what the United States wants, makes itself irrelevant. This is some kind of blackmail. And the United States is actually breaking the basics of multilateralism, which some of us are concerned about. We can risk the United States threatening to reach a decision in the Security Council without representing the collective wisdom of the Council. My question is: does the Prime Minister think that the United States is running an acceptable race in the United Nations, and that the game that is now taking place in the Security Council is worthy of the UN?
ParlaMint-NO_2003-01-29.ana.ud1382e155	If the United States were to break with multilateralism, at least the representative Åslaug Haga would do it. And that's what surprises me the most, the one who's always spoken to strengthen the world organization of the United Nations. Now she will no longer care what the Security Council comes to, contrary to the intention of Resolution 1441, which I thought the Center Party was behind after consultations in the Stortinget. This surprises me quite strongly. It's also totally wrong to talk about the mantra UN track. The UN track is an active position because we want to strengthen the UN, because we believe that individual countries should not get along, nor the United States. However, it is the world community that is to provide guidance on how this matter is to be dealt with, and Norway is then to reach an independent conclusion. This is not a mantra. This is an active position in the hope of achieving a peaceful solution. My vision is that the Åslaug Hagas line increases the risk of war. It takes away the pressure on Saddam Hussein. It legitimizes that the United States doesn't care about the United Nations. I now have no need to distribute characteristics or to be an commentator, but if Åslaug Haga says that I have been sparing with assessments, she has followed something poorly. I have participated up to several debates on this and expressed my opinion. But my role as Prime Minister is not to be an commentator, it's to lead Norway, and I'm glad it has a wide coverage in the Stortinget – even if it doesn't have it with the representative Haga.
ParlaMint-NO_2003-01-29.ana.ud1382e164	Marit Nybakk – for follow-up questions.
ParlaMint-NO_2003-01-29.ana.ud1382e167	I am pleased that the Prime Minister underlines so strongly that we should try to find a peaceful solution. War is and will be the absolute worst that can hit a population. It is an absolute last resort that can be used and will be used, after using all means, both diplomatic and other. Of course, we are all concerned. The Norwegian people are concerned, and we have to do what we can to avoid war, and not least strengthen the UN, as we have always done. I want to ask the Prime Minister again what he is doing now along the way to strengthen the UN track, and for it to continue. And what does the Norwegian Government do to keep in touch with our allies, our closest, and other members of the Security Council to help ensure that the UN's position, whatever the outcome, is not weakened?
ParlaMint-NO_2003-01-29.ana.ud1382e174	For me – and I have thought through this matter thoroughly from an ethical point of view, I did so also in the context of the situation in Kosovo and Afghanistan – the use of military power is the absolute last resort after everyone else has been tried. Political, diplomatic and all kinds of means must be tried before a grabber comes to something as serious as military use of power. It must only be used if the option is worse – we do not face ideal choices – and Norway should have an independent assessment of it. But it is important that we also know what the UN Security Council means. Then we also have to think -- as I learned in my study time, and that's important -- consistent; so ethics is not just having a norm and a goal, it's also assessing the consequences of what a do and don't do. Not following the UN trail now can increase the risk of war, and it is ethically unacceptable to me. That is why we are following the UN track. So what do we do? We are actively working in the UN, even though we are no longer a member of the Security Council. We are in contact with our closest allies – at the latest yesterday we had – and make active use of the Norwegian views at this stage. No one should doubt that we are active. We're not passive posters after the U.S. or anyone else, who's made themselves insinuate. But fortunately not the representative Nybakk, who is in line with us.
ParlaMint-NO_2003-01-29.ana.ud1382e181	Let's move on to the next main question.
ParlaMint-NO_2003-01-29.ana.ud1382e184	I have a question for the Prime Minister about the forthcoming salary settlement. Last year, the result resulted in a dramatic increase in the costs of Norwegian business and municipalities because there was no income policy cooperation, which the Progress Party then tried to propose in vain. This year there is income policy cooperation and contact between the Government and the parties. And I have now noticed that the L.L. Federal Head of the Joint Alliance, Kjell Bjørndalen, has begun to copy the views of the Progress Party. He says in today's Business today: ‘If we go in with traditional low-wage supplements in ours, it can stimulate more people to move production to Lithuania and other countries. I have therefore launched the idea of providing tax relief instead of low pay supplements." The Government of income policy cooperation is set to offer tax incentives, for example: increased bottom-up deductions, which have a social good profile, and any changes in fees to limit the cost growth of business and possibly to zero settlement?
ParlaMint-NO_2003-01-29.ana.ud1382e196	Firstly, I think it is very important that we achieve income-policy cooperation based on the situation in the Norwegian economy and in the Norwegian business world, because many Norwegian companies, especially export-oriented ones, face a severe risk of job losses. For this reason, the Government has already made tax cuts — in two years’ time — of DKK 19 billion, most of which are for business. We're also happy to see that the interest rate is going down. It's been reduced twice after the budget agreement here in Stortinget. Under the previous government it just went up, now it goes down, and is one percent lower than when we took over the government power. We now see a tendency at a reduced dollar rate, at least in relation to the euro. I also see a Chef's wife in Mutual NOR today says: ‘I believe the implemented and expected interest rate cut is part of the explanation of the impaired crown. In addition, both Prime Minister Bondevik and Minister of Finance Foss have said that they should keep tight budgets and reduce wage growth. This may also have contributed.’ So now economic policy works as it pleases. The interest rate goes down, the krone price is probably going down, and we're strengthening the business community in the fight against unemployment, which is essentially for the Government. But income policy cooperation is also important to dampen the rise in wages, so that we do not get into disrepute with the rest of the world. As is known, probably also for the representative of Hagen, the Government already agrees with the social partners on the basis of income policy cooperation and a joint opinion has been issued by the Contact Committee. Some elements have been mentioned as the basis for cooperation in the field of income policy. We shall consider further increases in the deduction of the trade union quota, an active response to undesirable wage developments, an intervention against undesirable time use, a follow-up to developments in the price of electricity and, where appropriate, action – some have already started by the Government. The question of direct tax relief in addition to this is, as far as I remember, not mentioned in this declaration. But of course, income policy cooperation is to be developed and materialised now, and all questions raised by the parties will of course be taken into consideration.
ParlaMint-NO_2003-01-29.ana.ud1382e208	I thank the Prime Minister for the answer, which I think could have been much more offensive. It is clear that Norwegian industry, and in particular the competitive sector, are struggling with its competitiveness. Then it's about doing not increase costs. In contrast to all other countries, Norway has a very large surplus in its state economy, in its state budgets. So we have an opportunity that other countries do not have to ensure the development of purchasing power by reducing taxes and taxes to compensate for employers' pay supplements, whether private sector enterprises or municipalities. Will the Prime Minister state that yes, the Government is prepared to assess this if there is a wish to do so in income policy cooperation and in the meetings that will also be later, so that a positive signal is already given to the competitive sector – and yes, the Government is prepared to also make changes in taxes and taxes to ensure competitiveness, thereby ensuring employment?
ParlaMint-NO_2003-01-29.ana.ud1382e217	We have already given the positive signal about cooperation in income policy and the assessment of actions that the parties are travelling, through the Contact Committee meeting and the declaration there. There are specific questions mentioned in this statement, where – as far as I remember – the representative Hagen now raises was not mentioned. We are based on this statement. On that basis, inter alia: The Land Organisation, in which Bjørndalen represents an important special federation, supported that declaration. We're dealing with it. It is clear that further questions arise during the process, we will always consider them. However, we should also bear in mind that the Government and the majority of the population – in comparison with the Progress Party – have already made a significant contribution, through the adopted State budget, in terms of tax relief, also too low pay. It was part of the 2003 budget decision, which is also based on income policy cooperation.
ParlaMint-NO_2003-01-29.ana.ud1382e225	There will be follow-up questions – Rolf Terje Klungland.
ParlaMint-NO_2003-01-29.ana.ud1382e228	It is quite remarkable that the representative Carl I. Hagen now presses the Joint Alliance to his chest, as it is an organisation that the Progress Party has committed itself to the removal of the program. As for the Government's income policy cooperation, I have a follow-up question to the Prime Minister. It's like when you're going to have a relationship with someone, you're going to cooperate. At the same time as emphasising income policy cooperation, the Government makes proposals in the Storting that weaken the employee's rights. They will extend their working hours, and they will weaken job protection, and we know that in the long term they also have a desire to weaken the health pay system. My question is therefore: will the Prime Minister extend income policy cooperation to take account of the workers in this country – in relation to the rights they currently have through the law?
ParlaMint-NO_2003-01-29.ana.ud1382e237	Of course, the Government and the Grand Duchy take account of employees' rights. The Labour Environment Act and other laws are a strong protection of Norwegian workers’ rights, and the Government has no plans — in any decisive way — to weaken it. There may be differing views on flexibility with regard to overtime provisions. In my view, the proposals put forward do not represent a weakening of employees' rights. We have no long-term goal of weakening the sickness pay system. On the contrary, we are working together on inclusive working to reduce the strong increase in sick leave without interfering with the sickness pay scheme. After all, income policy cooperation does not require the Government to follow the social partners slavely — and is deprived of any political perception. Income policy cooperation presupposes that we can have a different view of a number of questions. However, we still have income policy cooperation, because this is so important. The LO has agreed – despite the things the representative of Klungland said – to engage in income policy cooperation. We are pleased that this is a responsible position.
ParlaMint-NO_2003-01-29.ana.ud1382e246	Siv Jensen – for follow-up questions.
ParlaMint-NO_2003-01-29.ana.ud1382e249	An important part of the debate on the State budget this autumn was about an important part of our competitive industry, namely shipping. There was also a tax as an instrument which was absolutely central to the introduction of a net pay mechanism to strengthen the competitiveness of this industry vis-à-vis the rest of the world – in so far as the exact same thing that Bjørndalen is talking about, but this time it concerns wage-fixing. We can now read in the paper today that the government has ambitions to make a notification about Norwegian shipping only in the spring of 2004. In my opinion, it is a very passive way by the Government to meet the challenge in a very vulnerable industry. Does this mean, together with the signals now given by the Prime Minister, that the Government intends to meet the challenges facing the entire Norwegian competitive business, just as passively as the Prime Minister now expresses?
ParlaMint-NO_2003-01-29.ana.ud1382e256	The Prime Minister has not expressed a passive attitude. The fact that the Stortinget gets a message where you can go through Norwegian schemes compared to competing countries’ schemes, and not just take out individual parts of other countries’ schemes – a kind of top shelf withdrawal, as some people do – I think is very useful for the debate on the situation of shipping. We want to present that to the Stortinget, and I hope that the representative Siv Jensen will not have it asked. I think it might be useful both for her and for others to get an analysis of the shipping situation and compare the arrangements in Norway with those in other countries. This does not mean that the Government cannot take active action in the meantime, if the situation so requires. We made a budgetary settlement with the representative Jensen's party in Stortinget before Christmas that gave some decisions and some leadership. We'll follow that up, of course. In addition, however, we believe that such an analysis and a broad debate on which a communication is based are positive. As regards the general situation of the competitive business, the Government is not passive. On the contrary, we are pursuing an active tax, business and industrial policy to safeguard their situation.
ParlaMint-NO_2003-01-29.ana.ud1382e267	Let's go to the next main question.
ParlaMint-NO_2003-01-29.ana.ud1382e270	I would like to ask the Prime Minister a question. Last night – Norwegian time – the President of the United States gave his ‘State of the Union’ speech, where he spoke among others. said the U.S. has evidence that there is a connection between Saddam Hussein and the Al Qaida network, where he said the United States wants to follow the so-called UN track, but that they go alone if they don't get the UN with them against Iraq. Will the Norwegian Government demand that the United States immediately submit to the United Nations and the United Nations Security Council any evidence – as they say they have – of a connection between Saddam Hussein and Al Qaida, so that the logic of war does not say even more into this situation and one comes in the hopelessness that war can be the conclusion – almost in any case?
ParlaMint-NO_2003-01-29.ana.ud1382e279	First of all, just to make it clear: we're warning the United States against going alone. It's an independent Norwegian position and in itself an expression that we're not targeting the United States or other actors in this, for which we're sometimes accused. As far as evidence is concerned, the President of the United States has said – as far as I understood from the speech of the night – that his Foreign Minister will come to the Security Council in a week from today, February 5, and present this. If the United States believes that they need that time to organize this for the United Nations, it's hard for me here now, without knowing the background for this any more, to say that they have to be able to do this today. Of course, there will also be a question of what facilitates the treatment of the UN Security Council. But what I agree with the representative of the Halvorsen is that we must not accept a development where there is a kind of war logic that makes it the only possible outcome. We must also bear in mind that the most important key to avoiding war is, of course, at Saddam Hussein. It surprises me a bit that some people in this room don't seem to be into that thought at all. If Iraq is now cooperating – not with the United States, but with the UN and their weapons inspectors on the points where Hans Blix said they had not cooperated – by answering some important questions about weapons of mass destruction, biological and chemical, and also in the case of missiles, we can avoid a war. Now, too, much of the international commitment must be directed towards Iraq and make them understand that the United Nations, throughout the 1990s, has called for cooperation on the part of Iraq. They've been neglecting it for a long time. In practice, they threw the weapons inspectors out of Iraq in 1998. Now they're back in. Then they have to cooperate. Then we can get a peaceful exit on this. There is the Government's overall objective in this situation.
ParlaMint-NO_2003-01-29.ana.ud1382e290	I'm trying to take the Prime Minister with the good stuff, but I have to say it's going to last hard. We've been on a raging trend on this issue only over the past few weeks. The Prime Minister is beginning to become clearer and clearer about relieving the forces in his own party, in the Church and in Norwegian opinion that are now very concerned that there may be a dangerous war in Iraq. These are real discussions that SV has been trying to get the government to go into. Then we have received one answer, and that is to now follow Norway's lead. But we haven't got any meat and blood on our legs in terms of what this UN trail actually contains. Now the Prime Minister is out saying that those who believe it is dangerous to threaten war are those who provoke a war. I think that is very serious, especially because the Prime Minister is about to wash his hands at once when he says like Germany and France, that Norway has to take its own stand, and that even if the Security Council is going to go for war against Iraq, Norway is not sure to support it. Is this just to answer our country's questions, so that he can calm Norwegian voters, or is it the actual attitude that Norway will take?
ParlaMint-NO_2003-01-29.ana.ud1382e299	I think that when it comes to drawing the motives of others into doubt, as the representative Halvorsen really does, she should be a little careful. She does not stand back for anyone else in that way, with the accusations she has sometimes addressed to the Government. The government's line hasn't become clearer and clearer, it's actually been the same all along. The debate has become more intense in recent times. That is why opinions have also been expressed more strongly. We are just as concerned about a war as the representative of Halvorsen. I don't just understand the turmoil I share. That's why our work is now aimed at peace. But the representative Halvorsen has to bear to hear that the consequences of not wanting to wait for the UN means removing the pressure on Saddam Hussein, at the risk of developing weapons of mass destruction, with disastrous consequences as a possibility. The representative, Halvorsen, must be able to hear that. She must also bear to hear that it can mean legitimizing that the United States no longer cares about the United Nations – it has been an intense effort for the United States to follow the UN track. The consequences we have to explore also ethically, and in my view they are extremely problematic, to say it mildly.
ParlaMint-NO_2003-01-29.ana.ud1382e307	There will be follow-up questions – Carl I. Hagen.
ParlaMint-NO_2003-01-29.ana.ud1382e310	First, on behalf of the Progress Party, let me say that we largely share the government's assessments and are satisfied with the government's work on the Iraq issue. I also think it makes sense and useful that we have a situation in Norway where the two largest opposition parties essentially agree with the Government, so that we stand together – except for some parties. It's in itself an important moment for a small country. Then there has been talk of under – and war is a evil. I am therefore very pleased that the Council of State has stressed that there is something that Saddam Hussein can do here, namely to ensure that he fully cooperates with the UN, and that we get an assurance that he does not have weapons of mass destruction. There is another evil, which too many may be equally evil, namely that Saddam Hussein continues to move forward, has weapons of mass destruction and uses them, possibly against someone in his own area or against Israel. The whole purpose is to ensure that no weapons of mass destruction are used. I would like to ask the Prime Minister if he agrees that it is a quite clear objective to prevent Saddam Hussein from using weapons of mass destruction.
ParlaMint-NO_2003-01-29.ana.ud1382e319	The whole of the United Nations position throughout the 1990s, following the 1991 Gulf War, is aimed, firstly, at revealing whether Iraq has weapons of mass destruction and, secondly, at having a peaceful disarmament of them, if they exist. It has reinforced Resolution 1441 of the Security Council. This is a story over ten years long, which is also important for everyone in this debate to take inwards. The UN track is, of course, not a mantra for me. It's a reality, an active policy, because we think that's what gives the greatest chance of peace, and it helps to strengthen the UN. Secondly, the UN track is not a preparation for war. The UN track is, as Hans Blix himself said, the alternative to war, one last chance to try to avoid war. That's why the government is so active on that line. It surprises me that someone is opposed to it. War has dangerous consequences — suffering, destabilization of the region and unfortunate consequences for the Israeli-Palestinian conflict. That is why we must seek to avoid war.
ParlaMint-NO_2003-01-29.ana.ud1382e326	Kettil Bjørklund – for follow-up questions.
ParlaMint-NO_2003-01-29.ana.ud1382e329	A war against Iraq can lead to a very dangerous international situation and destabilise the whole region. One of our allies in NATO, Turkey, can quickly be drawn directly or indirectly into the war through its extensive lending of bases and ports to the United States. I would like to ask the Prime Minister what such a situation could mean for Norway as a NATO member. Could this bring us into the war against Iraq almost through the back door?
ParlaMint-NO_2003-01-29.ana.ud1382e336	Let me first say that I agree with the representative of Bjørklund that war is a dangerous situation – literally a fatal situation – and I think we largely share the analysis of it. For me, it's the worst human suffering it'll bring on civilians and innocents as well. It could destabilise the region. It could, if it is not widely discussed, mean a division in the international coalition against terrorism, and it may have additional unfortunate features of the Israeli-Palestinian conflict, which is difficult from before. We're dividing that. That's why we work actively to avoid this exit, and that's the entire government's goal: a peaceful solution. Turkey is an ally. If they are to be withdrawn, we have two articles in the NATO Pact, Article 4 and Article 5 – the first concerns the right to consult, Article 5 is the one that has been triggered earlier if a country is directly attacked. It is clear that we cannot close our eyes for that to happen, but we must make a very clear distinction between the issue of UN treatment and any military conflict in Iraq and how it had to go for an ally who had to ask for assistance.
ParlaMint-NO_2003-01-29.ana.ud1382e343	Then we move on to the next main question.
ParlaMint-NO_2003-01-29.ana.ud1382e346	I'm also going to ask the Prime Minister a question. In the previous round here, the Prime Minister did not answer my question, so I want to repeat it. Does the Prime Minister think that the United States is running an acceptable race in the United Nations, and that the game that is now taking place in the Security Council is worthy of the United Nations? The Prime Minister has commented on my views, he has commented on the views of the Central Party, and he has commented on the positions of the opposition in general. But I want to hear the Prime Minister's assessment of that question. Then the Government, as the Prime Minister commends it, is going to make a maritime assessment of its handling of the Iraq issue after the Security Council has dealt with it. I would like to challenge the Prime Minister to hear how he weighs what can be achieved with a military action in Iraq, against the risk he will take with him a military attack. I want to hear the substance in that emphasis.
ParlaMint-NO_2003-01-29.ana.ud1382e355	As far as the United States is concerned, it's not like I share all of the US's assessments, and much less everything that's part of the country's rhetoric. I think, for example, that the concept of ‘accle of evil’ is not productive for an approach to those countries that were thus characterised, although it is very much to say about Iraq, North Korea and other countries that were thus characterised. The question is, how do we approach these countries in order to seek a peaceful solution in the conflicts that are the case here? I think maybe you should be a little careful with talking about -- if I didn't hear wrong -- a game in the United Nations. I have more respect for what's going on in the United Nations than that. I believe that the members of the Security Council are taking this very seriously. In any case, it also does the Norwegian delegation, which is no longer a member of the Security Council. I have so much faith in the United Nations organization that they don't let themselves dictate or let themselves be a hostage of one country, the United States, although it's not an entirely unproblematic situation that we're left with just one superpower. There is a problematic situation in itself. So ask the representative if we can weigh the benefits and disadvantages of a war against another solution. Now I've already given those reasoning a long way, and they can't actually be completed until we get the final report from the UN inspectors. If they know more about the presence of weapons of mass destruction there and the danger of their use, of course, it's very heavy. We can't do that before we know anything about it. But I have said that in relation to a war, the worst thing for me is the human suffering, the danger of destabilization of the region, the division of the international coalition against terror if it is not united in an action, and the effect on the Israeli-Palestinian conflict. On the other hand, of course, there is the danger of war and the disastrous consequences it may have if Saddam Hussein has weapons of mass destruction, and uses them, as he has shown before, against Iran and against Kurds in Northern Iraq.
ParlaMint-NO_2003-01-29.ana.ud1382e362	A large majority of the Norwegian people seem to be against war, with or without UN mandate. It is said that the Norwegian people, long before the Prime Minister did so today, have pointed out some of the problems associated with a military attack. Nor do I believe that the Norwegian people in general see that there is something acute about the situation in Iraq now that would cause a military attack. So I want the Prime Minister's assessment of what it is now that is new, which means that it is now considering a military attack. We are now in the happy situation that the weapons inspectors are inside. In the last round they worked for several years. Now we've just given them a few months. My question is, what is it that should indicate that the situation is acute now? So my next question is: is it at all possible for the Prime Minister to take Norway into a war in Iraq when the opinion in Norway is as clear as it seems to be?
ParlaMint-NO_2003-01-29.ana.ud1382e367	I understand that the representative Haga will continue to anticipate the conclusions without listening to the UN. It surprises me that the Central Party spokeswoman does, the Center Party, which has always been a member of the United Nations in relation to multilateralism. Now the Center Party is actually going for a so-called unilateral approach. The other thing that surprises me is that the representative does this when, in fact – I mean it honestly – it increases the risk of war, either by Saddam Hussein triggering it because he no longer has any pressure on him, or by other countries, like the United States, taking the event on their own. Opinion I hear, and it is a strong expression of the desire to avoid war. That's also the government line. That's what we work for all the time. That is why we are following the UN track, because it is the alternative to war, not a preparation for war. As far as the emergency is concerned, I think we need to wait for the final report of the UN inspectors. There were some disturbing unanswered questions in it – I also hope the representative Haga admits – anthrax, nerve gas, rockets. Has Saddam Hussein or not? And how acute is the danger that he uses it? In fact, we need to have that assessed by the inspectors and the Security Council before we draw the conclusion.
ParlaMint-NO_2003-01-29.ana.ud1382e377	Let's move on to the next main question.
ParlaMint-NO_2003-01-29.ana.ud1382e380	My question goes to the Minister of Defence. A broad majority in the UK – that includes the Centre Party, otherwise – went for 14–15 months to participate in Operation Enduring Freedom in Afghanistan. We've sent special forces. They haven't been in battle. We've had miners there. We now have F-16 planes and pilots and ground crews in Kyrgyzstan. Yesterday, the first bomb was released from a Norwegian plane. I was in Ørland before the Norwegian pilots went to Kyrgyzstan. I've been talking to these guys -- and the girls, for that matter. I know that there are young people with a high degree of integrity, and I would like the families who sit at home and are anxious to know that we politicians are behind them once we have made the decision to send them. I would like to ask the Minister of Defence: is there any indisposition on or any reason to believe that the special Norwegian guidelines for participation in Operation Enduring Freedom have not been followed in the attack that was carried out yesterday?
ParlaMint-NO_2003-01-29.ana.ud1382e391	I can confirm that the Norwegian exposure rules have been followed to the point and the point in relation to the fact that we have now released bombing loads in Afghanistan. In addition to having exposure rules that describe what objectives and groupings we can attack, it's a code that's actually superior to this, and it's the self-defense institute. When the Norwegian forces or coalition forces are attacked by enemy groupings, self-defence applies unconditionally. It's what's entered into this case. There was a grouping that attacked our allies on the ground, and it was then necessary to three supporters from the air. Just because Norway itself has had special forces on the ground and has been dependent on other nations that had planes in the air, I know how, as Minister of Defense, I would have reacted if the planes that were to support our forces on the ground had not rescued us if we had needed it. When you operate in a coalition, you have to take care of each other. Now it's our turn to have the hard job of patrolling the air. But we're in alliance with those who do the job on the ground, the job we used to have. I want to say that when we sent the forces down, it was with three objectives: one is preventative presence in the air – it has President Karzai underlined the importance of keeping the activities calm and preventing attacks. The other is to be able to take out bombings on the ground. And the third is to get the ground strengths to the rescue. That's what we did. Everything has happened to the point, and I am very pleased that Marit Nybakk, as the representative of the broad majority, is behind the actions of our soldiers and our officers in this very matter.
ParlaMint-NO_2003-01-29.ana.ud1382e402	I thank the Council of State for the answer. If there's something people are tired of, it's politicians who run away from their responsibility. Sometimes it could actually be good to ask the question to the opposition. I'm not going to do that. I would just like to stress once again that the parties that have made the decision that we should participate in Operation Enduring Freedom, in my opinion, should also stand united at the moment that something is happening that you don't like. If you say a, you say b. However, I have another question to the Council of State. Now there is a huge need for humanitarian action in Afghanistan. I would like to ask how the Government affects its allies in order to create a nation building, and for real, also for the Americans to assist in humanitarian construction. I would also like to ask about the relationship between humanitarian aid and Operation Enduring Freedom.
ParlaMint-NO_2003-01-29.ana.ud1382e411	In fact, there is a close link between military activity and humanitarian activity in Afghanistan. There was also some of what President Karzai stressed so strongly when he was here before Christmas, that having the military presence was a prerequisite for rebuilding the country. And just the fact that the first flight of Operation Enduring Freedom sent down under the control of the Norwegian forces, was a plane with baby food, illustrates it. In addition to Operation Enduring Freedom, which helps to keep terrorist groups calm, we also participate in the UN-led ISAF forces. In this context, we have now announced that we will send down a team of CIMIC personnel, i.e. civil/military cooperation, which is about to participate in the reconstruction process. And as if that's not enough, we also participate as the leader of the donor country group and make large humanitarian contributions, not least together with allies.
