ParlaMint-NO_2009-01-21.ana.ud580e22	The representative, Elisabeth Røbekk Nørve, will present a proposal for a representative.
ParlaMint-NO_2009-01-21.ana.ud580e127	With Gunnar Gundersen addressing a question to SV, the President will draw the representatives' attention to the fact that questions are addressed to government councils and not to political parties. Dagrun Eriksen – for follow-up questions.
ParlaMint-NO_2009-01-21.ana.ud580e132	A crisis can provide opportunities. It can give opportunities to bet on higher education if you want, and if you want. The Right Party, the Christian People's Party and the Left have jointly recorded in the Government's crisis package that it is important now to invest both in people and in infrastructure in higher education. That is, you could take advantage of the chance of doing something with equipment, which we know is a missing factor in higher education, and you could bet on doing something in construction. That is why it is a little ominous when you get strong signals that higher education should not be part of the crisis package and that you do not have expectations about the crisis package. Because it's only if we take advantage of the crisis awareness in a positive way that we can turn this around. I have to ask – and now I ask the Council of State: is there also an understanding that we are facing a very critical situation in the Norwegian economy, or is this just a way of dealing with and continuing with a common policy for the Government?
ParlaMint-NO_2009-01-21.ana.ud580e137	Understanding a crisis situation is such that measures requiring employment are necessary and can provide a good incentive in the short term. The challenge with regard to higher education, and especially with regard to places of study, is that there are long-term measures that need to be taken. However, there must be an understanding that education is an important part of the type of action to be taken in general. Of course, I cannot say anything today about the package to be presented by the Government on Monday, but the understanding of such a crisis situation is that the measures should have an employment impact and that they should be an incentive in the short term, so that we should not rely on longer-term measures. Therefore, we need two types of planning: we need one type of planning of the more short-term measures, and we need one type of planning of the long-term ones, which then includes university and higher education places.
ParlaMint-NO_2009-01-21.ana.ud580e144	Odd Einar Dørum – for follow-up questions.
ParlaMint-NO_2009-01-21.ana.ud580e147	The long-term lies among other things. in having a research fund, where the current government has not yet been able to raise the last budget of the Bondevik II Government – a research fund which is also not to be used to finance current operations or the EU Framework Programme. So the government doesn't meet the long term. But I'm going to focus on the short-term, because you don't create anything long-term if the short-term isn't good. The short-term thing that we now hear examples of, subjects that are under pressure, study offers that are being reduced, the quality of quality reform, which is being weakened in many ways, is about one thing, and that is that you don't have enough money to run study offers, basic research, applied research – all the commitments you have. And we know what's missing in the sector, it's confirmed by the University and Higher Education Council, and that's 400 million. kr in the current year to avoid keeping job vacancies and cutting study offers. Will the Council of State guarantee that we will now be corrected so that we do not go backwards into the situation we have with the crisis around us?
ParlaMint-NO_2009-01-21.ana.ud580e154	I think it is quite striking that the representative, Mr Dørum, has already forgotten that we have strengthened the Research Fund by DKK 12 billion in the current year's budget: 6 billion in the general fund, of which a designation for equipment, and 6 billion in regional research funds. This is a formidable strengthening and the Research Fund has increased every year in the years that this government has held. With regard to the designation of funds from the Research Fund for equipment, there is a handle that I know is well received in the sector, precisely because there is a need to have predictability on important issues of equipment. So I'd like to say to the general that we have a continuous dialogue and work with universities and colleges to make them do their job, while we see that there are differences around the country in the individual schools. My goal, and I think we are very well on our way to that with this year's budget, is that they should have the necessary basis for both education and research, as the Storting and the Government want them to have.
ParlaMint-NO_2009-01-21.ana.ud580e161	Jon Jäger Gåsvatn – for follow-up questions.
ParlaMint-NO_2009-01-21.ana.ud580e164	We hear about higher education institutions where scientific staff lose their pensions and jobs remain unoccupied because the institution has to save money. We hear that skills and disciplines are being weakened and some disciplines are becoming confused and disappearing. Continuing this development, we will not have enough scientific staff to research and teach in several areas of real science. At the same time, we know that Norwegian industry and technology and energy companies are screaming for real-life vocational skills. The school needs real-time skills among its teachers, and there is a clear trend towards increased skills requirements in Norwegian business. Norwegian students score poorly in international real-life tests. The proportion of women in real science is below 10 p.p., the decline in engineering studies is very high, and there are too few higher sector places of study. These trends were also observed in 2005. What concrete measures has the Government actually taken to reverse these trends, and when can we expect concrete results?
ParlaMint-NO_2009-01-21.ana.ud580e173	These were accusations of a very large extent, and I just want to say that all this is unusually important for the commitment we are making to the real science strategy, for the effort that is made in general in universities and colleges, and not least for the commitment that is made to the business community, i.e. cooperation with the business community. Let me use the opportunity to say something about two of the important mechanisms we have to stimulate cooperation between universities and colleges and business, because it's not like everyone taking a doctorate is going to be a researcher. Business needs them, and now we have nutrition PhDs, nutrition doctorates, and we have the tax FUNN system, both of which are schemes to stimulate business to demand research, to do research and to cooperate with universities. With our real science strategy, we see the results of this. We see that there is now a strengthening on the real science side. We're very happy that it's going to be the right way forward, and we're going to really pay attention to this in the future as well. So here's an innumerable number of things to deal with.
ParlaMint-NO_2009-01-21.ana.ud580e180	The size goes to the next main question.
ParlaMint-NO_2009-01-21.ana.ud580e183	The teacher is the most important input in the school. An education system never gets better than the quality of its teachers. Therefore, competent, committed and motivated teachers are a prerequisite for students to learn more. Fortunately, we have many such teachers in school today, but we need more. Calculations from the Education Association show that we lack 5,700 teachers in school today, and the Ministry of Knowledge has calculated that we need more than 7,000 new teachers by 2020, if all the factors are kept constant. In the last two years, the proportion of unskilled people has increased by 30 p.m., and only in the last year, there have been twice as many unskilled teachers as teachers in school. We know that approx. 10 000 teachers today work in other professions outside the school. In the last three years, the Right has focused heavily on training, recruiting and retaining teachers in school. The government parties have voted in favour of every proposal, sitting still and watching the recruitment crisis grow and grow. Just before the weekend, the Ministry of Knowledge promoted a proposal for a so-called growth reform, in which the number of hours should be extended, as agreed on by the Right. But besides that, the main emphasis should be put on one hour of free SFO, it should be put at the maximum price in SFO and free food. Again, the government here shows that they give priority to school leave before school. Where the Right believes that we have to do the most important thing first, namely to improve the content of school and hire more teachers, the Government is thus giving the opposite priority. The Ministry of Knowledge has estimated that an hour-long extension will lead to an under-coverage of 10,000 teachers. There is a great number, and the Government has not presented a plan for how this so-called growth reform – which is actually a conservation reform – should be able to meet the needs of more teachers and better teachers. So the question is, why is a billion-dollar reform proposed that focuses on school leave ahead of school time and content and teachers?
ParlaMint-NO_2009-01-21.ana.ud580e197	I can assure the representative Eriksen Soreide that the government has not been calm in the situation on the teacher's side, and in relation to the schools, but we're trying to have more thoughts in our head at the same time. We're both trying to bet that the teacher should be good at his or her profession and that there should be a greater motivation to add teachers who have competence in his or her field. This will be an overall assessment of the educational and teacher role that is now right around the corner of learning. Secondly, we look at the importance of stimulating both knowledge and professional development for students and at the same time having a school that also offers opportunities to develop social skills. It's not an art to be able to have the two thoughts in your head at the same time. I think it's a completely natural and of course thing that, in a school situation, you primarily need good teachers to get good knowledge from the students, but at the same time you need to have a school environment that also stimulates good learning. That is what is important for the initiatives proposed. But first of all, I might ask the representative to wait to assess whether the government has been calm or not, until she has seen the big message about the teacher training. I fully understand that the opposition parties do not have the insight into the measures that are there, like what we have that has worked with them, but I can assure you that there we see the whole thing in the situation of the teacher as well as in the situation of the school and the students.
ParlaMint-NO_2009-01-21.ana.ud580e206	I thank you for the answer, sail if there was no answer to the question I asked. Right and other opposition parties have now for several years proposed senior measures to keep teachers longer in school. We have made suggestions to get all the teachers who are currently in other professions back to school. The parties to the Government vote on every proposal. What the government is now proposing – a storage reform where the money will be spent on one hour of free SFO, a maximum price in SFO and free food – will thus be directly pushed to recruit more teachers. My question remains – and I am trying to ask for an answer to it: why is it that the government is now proposing a reform where billions will go to keep children longer, at the expense of employing more teachers and at the expense of school contents? Why does the government give priority to schooling?
ParlaMint-NO_2009-01-21.ana.ud580e215	The government’s priority is to have an overall view of the school, and thus the communication of teacher training comes as an important answer to that question. It provides the basis for seeing the teacher’s role in the school situation. Then we get other measures that, of course, come in addition, and that need to be discussed and investigated in more detail. What is important now, for both the Right and the other opposition parties, is to deal with the whole picture we present in the big message about teacher training and the role of teachers, because there is a basis for what should be thought in school and in the educational situation. It may be that someone each will recognize suggestions from earlier, but we have now taken this into an overall context and presented a message where all of this is combined in one important effort, namely on the teacher, with whom the representative Eriksen Soreide also started his questions. The teacher is the important thing, and that's the teacher we now need to strengthen.
ParlaMint-NO_2009-01-21.ana.ud580e222	There will be follow-up questions – Anders Anundsen.
ParlaMint-NO_2009-01-21.ana.ud580e225	I'm glad the Council of State is focusing on the whole thing. The Progress Party has been very busy all along, namely that we should have quality throughout the education cycle, from initial and further training to higher education. We know that we're struggling with the quality of basic training. We know that Norwegian students do it worse than students in the countries we like to compare with, actually so bad that this government introduced so-called cramps, or immediate measures, for some time back to try to compensate for it. The challenge – since the Council of State is the Minister of Research and Higher Education – will be that the quality deficit we see in initial training will have consequences for higher education too, because the quality of those students who move to higher education is different from that of those who should be in higher education. Then the Progress Party is surprised that the Council of State defends a retention reform in school rather than focusing on quality. Does not the Council of State agree that priority should be given to professional skills in primary school in order to ensure the quality of higher education?
ParlaMint-NO_2009-01-21.ana.ud580e232	Governments are very concerned about defending professional competence in school. I have tried to explain that it will be at the heart of the message that the Storting will be receiving soon. Much attention will be paid to the teacher's ability to disseminate knowledge and thus to develop students who, when they come to higher education, are able to take on that education in a good way. I see that there is a clear link between quality in primary, secondary, secondary and higher education, and it is the government's clear goal that there should be quality in all parts of education. Both the expertise and the learning environment are important for this. Both parts mean something, and that's what makes up the whole school policy.
ParlaMint-NO_2009-01-21.ana.ud580e239	Dagrun Eriksen – for follow-up questions.
ParlaMint-NO_2009-01-21.ana.ud580e242	It's true, as the Council of State says, there's no piece of art to have two thoughts in your head at once, but the art of politics is about priority. That's where many of us jump when we saw the new reform that was presented by the party that the Council of State represents. We in the Christian People's Party want a good school with a good learning, and then we want a good leisure time with good SFO arrangements. But mixing this together means that local municipal politicians have to choose between fruit and green and good teachers, that they have to choose between creating good learning and good school content and quality in the SFO. Does the Council of State think this is a proper priority in school, if it's not just about having thoughts in your head, but about getting the money on the table?
ParlaMint-NO_2009-01-21.ana.ud580e249	I have tried to explain the processes in which we are involved, where the Stortinget is now receiving the message of teacher training and the role of teacher, which is my responsibility. Other issues relating to the school will need to be discussed both in government and big business and, of course, come as part of the overall picture. Now the situation is that we focus on the role of teacher and teacher education, so that the teachers, through their knowledge and their ability to communicate and learn away to the students at the stage of their childhood, in upper secondary school and in upper secondary school, will be able to impart good knowledge to the students. But what we don't have to forget is that this happens in a learning environment, which is also an important part of it. Having two thoughts in your head at the same time doesn't necessarily mean that one has to be more important than the other. It is that you can have two important thoughts in your head at the same time, but in time and process it is the teacher training and thinking about knowledge and knowledge dissemination that comes first.
ParlaMint-NO_2009-01-21.ana.ud580e256	Odd Einar Dørum – for follow-up questions.
ParlaMint-NO_2009-01-21.ana.ud580e259	In the left's opinion, this is about at least having one bright thought in your head, and that's that you can't run school without good teachers and many enough teachers. For example, we can read in Bergen's Official Journal today that in one of Bergen's largest secondary schools there are no teachers, and students in the class are left to themselves in two subjects. In the past, we have received descriptions from the same part of the country from which the Council of State comes, about the lack of teachers in Stavanger, about the municipalities that offer 80,000 kroner in wages and salaries to recruit teachers. It is very good that the Council of State makes a message about the role of teachers and strengthens it for any future situation. That's good, and we'll probably discuss that. But the crucial thing now is whether we take care of the teachers we have. Then my question is: When will the government finally do what most people realize we need, namely to create an obligating national recruitment plan for teachers both in high school and in primary school, so that we get enough teachers through obliging seniors and systematic further education for all teachers in all subjects? When will the government put it first that we recruit enough teachers through obliging plans?
ParlaMint-NO_2009-01-21.ana.ud580e267	Recruitment of teachers comes, if not just as a plan, as Dørum calls for and has called for in the past, but as important measures in that message that we are going to present to the Stortinget every moment. There will be good steps to motivate people to apply for teacher training, but also to hold the students and not least to hold the teachers afterwards. We have also made measures in the year's budget that work in this direction. So it's not like here that you're sitting there and you're not doing anything until a message is presented. We are working in parallel with measures both for continuing education and training, for strengthening the PPU and with other measures to keep people and motivate people to apply for the teaching profession. But it is important for me to also say that we must not convey such a negative impression of the school and of the situation of the teachers that in this way we prevent people from applying for this profession. It is important that we send the message to young people that this is a profession that is important.
ParlaMint-NO_2009-01-21.ana.ud580e272	Gunnar Gundersen – for follow-up questions.
ParlaMint-NO_2009-01-21.ana.ud580e275	We can't help but note that this government came up with an evaluation of the teacher's study right after it joined, and will go out with a big message that we barely manage. So we've been waiting for almost three years. The council said we need a school environment that stimulates learning. Everyone wants that. But at the same time, such an environment is characterized by teachers with competence. A number of government investigations show that the number of unskilled teachers in school has risen sharply during the period we are now in. The right has always warned against it. We have demanded that we now look at recruitment and senior measures, but everything has been voted down. So when it comes to priorities, it appears that the government prioritises school leisure time and food over quality and school time.
ParlaMint-NO_2009-01-21.ana.ud580e282	That's not right. What we have done after the evaluation report from NOKUT on teacher training came is to launch a series of actions towards the institutions, i.e. the training places. There has been an opportunity, with the support of the Ministry, also financially, to follow up on various actions, precisely to improve some of the weaknesses identified by the evaluation, such as: contact with practice and some continuity in the study itself. You're going to look at this in a completely different context and with a much more complete angle. It's not right to say that we're prioritizing knowledge, we're prioritizing it to the extent that we can do it even more. It is also true that we have put in place quite a number of measures and have not been at rest for these three years.
ParlaMint-NO_2009-01-21.ana.ud580e289	Let's go to the next main question.
ParlaMint-NO_2009-01-21.ana.ud580e292	I have a question for the Minister of Culture and the Church. There are some ideological dividing lines in our society. One of them goes about how to view community. A task solved by the state and the municipality is seen by some as a common solution, while tasks undertaken by the family or non-governmental organisations become private solutions. I think, after reading the Soria Moria statement, that when the red-greens joined, there were sky-high expectations of all those who are doing voluntary work. At two annual conferences, the Prime Minister and the Council of State may not have exactly reduced expectations about everything to come. But what we've seen is a government that rules more and more grants, and that wants to run the organizations instead of releasing the volunteers. We look at how the voluntary register has been established, with little involvement bureaucratically – it may be difficult to be small – that the grassroots share has only turned the money between organisations instead of giving more, that the tax deduction has remained silent, and that the tendering regime has been difficult for these organisations. However, I believe that what seems to be the most unfair thing for voluntary Norway is that when, for example. The city's cafe for the disadvantaged is to buy a coffee machine, you have to pay 25 pst. VAT, but when McDonald's buys a coffee machine, you get away because they have to make money. This is a VAT reform that voluntary Norway has been waiting for. It is a VAT reform that voluntary Norway had deserved, because it had then been seen that the state rewards instead of levying fines on all the work done by non-governmental organisations. I understand that neither the Council of State nor the Prime Minister will be here this year at the annual conference of voluntary Norway. It was probably a little loudest to get, because this reform has been put at risk. Will VAT reform come, so that we do not get a penal tax on voluntary work?
ParlaMint-NO_2009-01-21.ana.ud580e301	Let me first say that the reason why the Council of State was not at the conference that the representative mentioned was that he had a case in Stortinget. I think the President and others would be very upset if the Council of State gave priority to a conference in front of a big debate. Let me also say that the VAT system is formally a matter for the Minister of Finance, but I have to answer in terms of voluntary policy, because that is my responsibility. In fact, we say in the 2009 government budget that voluntary action has estimated its VAT expenditure at NOK 1 billion, and that the government is willing to step up support for voluntary action equivalent to this sum, but that there will be a dialogue on how this is to be done. I have to say that the representative has a rather bold run when trying to present this government's policy as less ambitious for volunteering than one's own policy. On the contrary, the previous government gave many, many billions of tax dollars without ever being close to introducing any VAT exemption for volunteering. And all of the issues that mattered to volunteering in this period, the opposition has been opposed. Tippe reform, where the volunteer was promised NOK 1 billion in compensation for the automatic dropout, has among other things. The representative Eriksen's party fought with beaks and claws. In the last budget proposal that was put forward, it was said that volunteering did not need this money because it had made so much extra money on the vending machines. For example, the Red Cross sheep. 220 million. kr per year thanks to the reform that sport receives 300 million. kr per year. One billion more kroner, which you wouldn't have gotten with Dagrun Eriksen's policy. The grass root fraction, which will give 400-500 million. kr to the localities of volunteering, the lot represented by Eriksen is opposed. The cultural promise has meant NOK 2 billion more to Norwegian cultural life, of which volunteering has received much, Freefonds have received, volunteering centres have received, and many other purposes have been given – again the party represented by Eriksen was opposed.
ParlaMint-NO_2009-01-21.ana.ud580e312	I want to say thank you for the attack, but I get to say thank you for the answer. There's an ideological difference, and that's one of the reasons why we've voted differently and done different things in the way you want to rule or not control the voluntary Norway. I think it's incredibly important that we now get good, general arrangements instead of continuing to rule. It feels so bitter and unfair for those who work on a voluntary basis that the VAT reform does not come. In the 2007 budgets, 2008 and 2009, the Christian People's Party has gone into the process of bringing forward a case of tax exemptions and tax exemptions for non-governmental organisations. Why does the Red Cross have to pay VAT on the snowmobile that you buy to look for people, while the high mountain hotel is getting away? That's what this is about. I understand that it is more comfortable with NOK 1 billion that the Council of State can distribute in new and no, because then he gets many more press releases. But what voluntary Norway wants a clear answer to is: has the entire VAT reform been abolished?
ParlaMint-NO_2009-01-21.ana.ud580e321	I think it's quite obvious that the Christian People's Party must have an ideology different from ours in terms of volunteering, because that ideology means you don't get the money you want. Red Cross may still pay VAT on snowmobiles, as they did when the Christian People's Party had the Minister of Volunteers, but unlike that time they get 220 million. kr more this year, which they would not get with the Christian People's Party in government. I don't know the price of a snowmobile per. Today's date, but I think you get a lot of snowmobiles for 220 million. kr per year. Voluntaryness does not live by ideology. Voluntary living – in the same way as the rest of us – is out of concrete money. The grassroots share, the volunteer billion, the cultural promise, a massive commitment to volunteering, tax incentives for fees for trainers and managers, tax incentives for employers' fees for voluntary organisations, all of this has been carried out in our period, and it strengthens volunteering. Then it helps little with fine words from Dagrun Eriksen.
ParlaMint-NO_2009-01-21.ana.ud580e328	There will be follow-up questions – Ulf Erik Knudsen.
ParlaMint-NO_2009-01-21.ana.ud580e331	It warms the Advance Party that both the Christian People's Party and the Right are now following up our proposal to drop VAT on virtue and volunteering. We have also followed the Council of State Gish, which has promised the voluntary sector arrangements in the field of VAT many times, but not fulfilled. This has led to the fact that an overall Freewill Norway is raging at the Council of State, and that representatives of the government parties have been grossly dispersed in many contexts in this area. Let me take some examples from small businesses. Ljan Skole's Music Corps paid NOK 30 000 in VAT in 2007. The search Youth Team, which deals with youth discos and computer courses, has paid around NOK 100 000 a year. The Church's Bymission café The meeting place bought in food, laundry detergents and equipment for 1.6 million. 2008 kr, which means about 300000 kr in VAT. This is pointless! What is the background for not getting a solution to this?
ParlaMint-NO_2009-01-21.ana.ud580e339	I can repeat what I said in my first answer, namely that the Ministry of Finance writes in its 2009 budget proposal that it is set to spend up to NOK 1 billion on resolving the VAT question for the voluntary sector. But we have to figure out how this is done, so that we reach volunteering in the best possible way and do this fairly. I also think it is absolutely incredible when the Progress Party sets an example for the school corps. Yes, it is possible that Ljan school corps, or whoever it was, have paid $30,000 in VAT on instruments. However, this increase, on a proposal from us and through the Cultural Promise, which was opposed to the Progress Party, has put in place an aid scheme of 10 million. kr of the year just to school corps for the purchase of instruments. Once again, volunteering lives on concrete appropriations, not on fine words in a big hall. None of the opposition parties has entered in their alternative budgets the exemption of VAT from voluntary activity.
ParlaMint-NO_2009-01-21.ana.ud580e346	Erna Solberg – for follow-up questions.
ParlaMint-NO_2009-01-21.ana.ud580e349	The framework conditions for the voluntary provision of money would be the same with the parties that are currently in opposition, as with the Council of State. But there's a difference in ideology, yes. There is a difference in the question of whether the Council of State is going to flag and select organisations and decide, or whether the organisations themselves should know automatically that once they have collected money, once they have stood and baked balls and sold them, 25 pst should not. the prize goes back to Kristin Halvorsen and the Ministry of Finance to distribute it to others. It is a completely different predictability for collection actions and for organisations operating, to know that they do not have to pay VAT or that they are getting VAT back. The blindfold pays 15 million. kr per year in VAT of their collected money, and Red Cross pays approx. 50 million. kr. For many small organisations, this means a lot. When is the State Council planning to deliver?
ParlaMint-NO_2009-01-21.ana.ud580e354	I can only repeat that the Ministry of Finance has announced that this will be resolved, but that is the model we have to look at. I repeat that the government that Erna Solberg was in, did not propose any VAT exemption for volunteering, but it was proposed to drop the volunteer billion that would be paid in compensation for the loss of the automatic income. Again – good examples, from the representative of Solberg: the Blind Alliance just receives around 14–15 million. kr in the distribution key of the automatic reform. This money would have been gone if the previous government had been sitting. It's just reading the budget proposal, St.prp. No 1, from the Ministry of Culture and the Church in the autumn of 2005, signed by Valgerd Svarstad Haugland. The grass root fraction, which will give 400-500 million. The right to the local laws – not determined by Erna Solberg, not determined by the Government, not determined by any central elements of the organisations, but determined by the tippers, the people of Norway themselves – is therefore the right-wing party. Then I wonder, who wants us to sit here and decide? And who will let people decide... [[The President cut off]]
ParlaMint-NO_2009-01-21.ana.ud580e363	Step Skei Grande – for follow-up questions.
ParlaMint-NO_2009-01-21.ana.ud580e366	I'm glad we have a government council that prioritises the landfill. I was the author of the case that the Council of State uses as a reason not to be at the Conference on Freedom, and got the Conference on Freedom with a good margin! But I understand from the co-operation that the Secretary of State got from Freedom Norway, that the Council of State rather prioritised something else. What I want to ask is: what was clear at the conference in Freedom Norway is that we now have a voluntary register that will not be usable in relation to a VAT exemption system. So what we said here in the opposition, that now you run through a volunteer register that you don't know is capable of doing the job that you want a volunteer register to do, turns out to be right. My question to the Council of State is, isn't it a little awkward? I understand that it is difficult in relation to the VAT reform, I have a lot of understanding of that, but is it not a bit awkward that it turns out that you have pressed through a register that does not work?
ParlaMint-NO_2009-01-21.ana.ud580e373	Now the volunteer register is not fully established yet, so it's a little early to determine whether it works or not. If we're going to use the voluntary register to refund VAT, then there's a reimbursement system you're talking about, and not a VAT exemption, which former representatives here have talked about, that's just that volunteer is not allowed to pay VAT on their goods. How that model becomes, we haven't clarified yet. What we've said is that we want to use the billion it costs to get this in place. And just the volunteer register might be a useful tool. But the voluntary register is the desire of volunteering in any case, among other things. also because it is the base of the grass root fraction, which was also the opposite of the lot left. I think it's 400-500 million. kr begins to flow into the account of the corps, choirs and sports teams, local joints – grassroots in Norwegian voluntarity – not through the central section, not through the Stortinget, not through the department, not through the distribution system, but right to the fires in grassroots, then I think the Left, Right, Christian People's Party and the Advance Party will have major explanation problems with why they were opposed.
ParlaMint-NO_2009-01-21.ana.ud580e380	Bjørg Tørersdal – for follow-up questions.
ParlaMint-NO_2009-01-21.ana.ud580e383	I don't think it helps the voluntary sector that the Council of State shuts down the opposition and says it hasn't done enough. I think the voluntary sector wants one to listen to the voluntary sector, which says that we want VAT compensation, because it is a tool that we will use for investment and to exploit the hard work in the voluntary sector. Listen to the volunteering itself, to the organizations! When the opposition takes this up in the Question Time today, it's based on the Government's own promises, the expectations created in the Soria Moria Declaration, where there's reason to believe that the Government will do something about it. And then one has to focus on answering the volunteer, and not answering the opposition. Then I want to focus a little on gifts with tax deductions. 440,000 Norwegians provide money to the voluntary sector through this scheme. And it turns out that when you increased the amount in the previous accumulation period, the payments also increased. So people give money to the community. Why does the Government not want to strengthen this good arrangement?
ParlaMint-NO_2009-01-21.ana.ud580e390	Once again, I think it's an advantage for the Council of State to respond to the opposition and not to volunteer. So I'm trying to answer the questions I get. There was a basis for an ideological distinction between the Government and the opposition. In this case, the difference is that during these four years, we have granted far more to volunteer – one volunteer billion through the tipping, two billion SEK through the cultural promise that also benefits the volunteering, the introduction of grassroots share, corps support, more to cows and more to grassroots root than it was before. We have retained the exemption scheme for taxes on gifts at exactly the same level as under the Bondevik regime. I think it's a nice arrangement. It stimulates volunteering. It has the disadvantage that those who receive the most gifts of private, thus also receive the most support from the State in the form of tax exemptions. But the arrangement is a fine addition to all the other arrangements.
ParlaMint-NO_2009-01-21.ana.ud580e399	Let's go to the next main question.
